game,2018,17,20181230,201812300kan,rai,"Oakland Raiders",3,kan,"Kansas City Chiefs",35
team,201812300kan,rai,First Downs,20,,,,,,
team,201812300kan,kan,First Downs,18,,,,,,
team,201812300kan,rai,Rush-Yds-TDs,29-127-0,,,,,,
team,201812300kan,kan,Rush-Yds-TDs,27-99-2,,,,,,
team,201812300kan,rai,Cmp-Att-Yd-TD-INT,24-33-185-0-2,,,,,,
team,201812300kan,kan,Cmp-Att-Yd-TD-INT,16-27-310-2-1,,,,,,
team,201812300kan,rai,Sacked-Yards,3-20,,,,,,
team,201812300kan,kan,Sacked-Yards,0-0,,,,,,
team,201812300kan,rai,Net Pass Yards,165,,,,,,
team,201812300kan,kan,Net Pass Yards,310,,,,,,
team,201812300kan,rai,Total Yards,292,,,,,,
team,201812300kan,kan,Total Yards,409,,,,,,
team,201812300kan,rai,Fumbles-Lost,3-2,,,,,,
team,201812300kan,kan,Fumbles-Lost,0-0,,,,,,
team,201812300kan,rai,Turnovers,4,,,,,,
team,201812300kan,kan,Turnovers,1,,,,,,
team,201812300kan,rai,Penalties-Yards,4-22,,,,,,
team,201812300kan,kan,Penalties-Yards,4-50,,,,,,
team,201812300kan,rai,Third Down Conv.,4-10,,,,,,
team,201812300kan,kan,Third Down Conv.,5-9,,,,,,
team,201812300kan,rai,Fourth Down Conv.,1-1,,,,,,
team,201812300kan,kan,Fourth Down Conv.,1-3,,,,,,
team,201812300kan,rai,Time of Possession,33:56,,,,,,
team,201812300kan,kan,Time of Possession,26:04,,,,,,
player,201812300kan,rai,CarrDe02,pass_cmp,24,,,,,
player,201812300kan,rai,CarrDe02,pass_att,33,,,,,
player,201812300kan,rai,CarrDe02,pass_yds,185,,,,,
player,201812300kan,rai,CarrDe02,pass_td,0,,,,,
player,201812300kan,rai,CarrDe02,pass_int,2,,,,,
player,201812300kan,rai,CarrDe02,pass_sacked,3,,,,,
player,201812300kan,rai,CarrDe02,pass_sacked_yds,20,,,,,
player,201812300kan,rai,CarrDe02,pass_long,13,,,,,
player,201812300kan,rai,CarrDe02,pass_rating,60.8,,,,,
player,201812300kan,rai,CarrDe02,rush_att,0,,,,,
player,201812300kan,rai,CarrDe02,rush_yds,0,,,,,
player,201812300kan,rai,CarrDe02,rush_td,0,,,,,
player,201812300kan,rai,CarrDe02,rush_long,0,,,,,
player,201812300kan,rai,CarrDe02,targets,0,,,,,
player,201812300kan,rai,CarrDe02,rec,0,,,,,
player,201812300kan,rai,CarrDe02,rec_yds,0,,,,,
player,201812300kan,rai,CarrDe02,rec_td,0,,,,,
player,201812300kan,rai,CarrDe02,rec_long,0,,,,,
player,201812300kan,rai,CarrDe02,fumbles,2,,,,,
player,201812300kan,rai,CarrDe02,fumbles_lost,1,,,,,
player,201812300kan,rai,MartDo00,pass_cmp,0,,,,,
player,201812300kan,rai,MartDo00,pass_att,0,,,,,
player,201812300kan,rai,MartDo00,pass_yds,0,,,,,
player,201812300kan,rai,MartDo00,pass_td,0,,,,,
player,201812300kan,rai,MartDo00,pass_int,0,,,,,
player,201812300kan,rai,MartDo00,pass_sacked,0,,,,,
player,201812300kan,rai,MartDo00,pass_sacked_yds,0,,,,,
player,201812300kan,rai,MartDo00,pass_long,0,,,,,
player,201812300kan,rai,MartDo00,pass_rating,,,,,,
player,201812300kan,rai,MartDo00,rush_att,21,,,,,
player,201812300kan,rai,MartDo00,rush_yds,100,,,,,
player,201812300kan,rai,MartDo00,rush_td,0,,,,,
player,201812300kan,rai,MartDo00,rush_long,15,,,,,
player,201812300kan,rai,MartDo00,targets,2,,,,,
player,201812300kan,rai,MartDo00,rec,1,,,,,
player,201812300kan,rai,MartDo00,rec_yds,1,,,,,
player,201812300kan,rai,MartDo00,rec_td,0,,,,,
player,201812300kan,rai,MartDo00,rec_long,1,,,,,
player,201812300kan,rai,MartDo00,fumbles,1,,,,,
player,201812300kan,rai,MartDo00,fumbles_lost,1,,,,,
player,201812300kan,rai,WashDe00,pass_cmp,0,,,,,
