game,2018,3,20180923,201809230htx,nyg,"New York Giants",27,htx,"Houston Texans",22
team,201809230htx,nyg,First Downs,21,,,,,,
team,201809230htx,htx,First Downs,21,,,,,,
team,201809230htx,nyg,Rush-Yds-TDs,27-114-1,,,,,,
team,201809230htx,htx,Rush-Yds-TDs,19-59-0,,,,,,
team,201809230htx,nyg,Cmp-Att-Yd-TD-INT,25-29-297-2-0,,,,,,
team,201809230htx,htx,Cmp-Att-Yd-TD-INT,24-40-385-2-1,,,,,,
team,201809230htx,nyg,Sacked-Yards,4-32,,,,,,
team,201809230htx,htx,Sacked-Yards,3-17,,,,,,
team,201809230htx,nyg,Net Pass Yards,265,,,,,,
team,201809230htx,htx,Net Pass Yards,368,,,,,,
team,201809230htx,nyg,Total Yards,379,,,,,,
team,201809230htx,htx,Total Yards,427,,,,,,
team,201809230htx,nyg,Fumbles-Lost,2-0,,,,,,
team,201809230htx,htx,Fumbles-Lost,1-1,,,,,,
team,201809230htx,nyg,Turnovers,0,,,,,,
team,201809230htx,htx,Turnovers,2,,,,,,
team,201809230htx,nyg,Penalties-Yards,3-20,,,,,,
team,201809230htx,htx,Penalties-Yards,7-50,,,,,,
team,201809230htx,nyg,Third Down Conv.,7-13,,,,,,
team,201809230htx,htx,Third Down Conv.,5-12,,,,,,
team,201809230htx,nyg,Fourth Down Conv.,0-0,,,,,,
team,201809230htx,htx,Fourth Down Conv.,2-2,,,,,,
team,201809230htx,nyg,Time of Possession,35:30,,,,,,
team,201809230htx,htx,Time of Possession,24:30,,,,,,
player,201809230htx,nyg,MannEl00,pass_cmp,25,,,,,
player,201809230htx,nyg,MannEl00,pass_att,29,,,,,
player,201809230htx,nyg,MannEl00,pass_yds,297,,,,,
player,201809230htx,nyg,MannEl00,pass_td,2,,,,,
player,201809230htx,nyg,MannEl00,pass_int,0,,,,,
player,201809230htx,nyg,MannEl00,pass_sacked,4,,,,,
player,201809230htx,nyg,MannEl00,pass_sacked_yds,32,,,,,
player,201809230htx,nyg,MannEl00,pass_long,30,,,,,
player,201809230htx,nyg,MannEl00,pass_rating,132.3,,,,,
player,201809230htx,nyg,MannEl00,rush_att,1,,,,,
player,201809230htx,nyg,MannEl00,rush_yds,-1,,,,,
player,201809230htx,nyg,MannEl00,rush_td,0,,,,,
player,201809230htx,nyg,MannEl00,rush_long,-1,,,,,
player,201809230htx,nyg,MannEl00,targets,0,,,,,
player,201809230htx,nyg,MannEl00,rec,0,,,,,
player,201809230htx,nyg,MannEl00,rec_yds,0,,,,,
player,201809230htx,nyg,MannEl00,rec_td,0,,,,,
player,201809230htx,nyg,MannEl00,rec_long,0,,,,,
player,201809230htx,nyg,MannEl00,fumbles,1,,,,,
player,201809230htx,nyg,MannEl00,fumbles_lost,0,,,,,
player,201809230htx,nyg,BarkSa00,pass_cmp,0,,,,,
player,201809230htx,nyg,BarkSa00,pass_att,0,,,,,
player,201809230htx,nyg,BarkSa00,pass_yds,0,,,,,
player,201809230htx,nyg,BarkSa00,pass_td,0,,,,,
player,201809230htx,nyg,BarkSa00,pass_int,0,,,,,
player,201809230htx,nyg,BarkSa00,pass_sacked,0,,,,,
player,201809230htx,nyg,BarkSa00,pass_sacked_yds,0,,,,,
player,201809230htx,nyg,BarkSa00,pass_long,0,,,,,
player,201809230htx,nyg,BarkSa00,pass_rating,,,,,,
player,201809230htx,nyg,BarkSa00,rush_att,17,,,,,
player,201809230htx,nyg,BarkSa00,rush_yds,82,,,,,
player,201809230htx,nyg,BarkSa00,rush_td,1,,,,,
player,201809230htx,nyg,BarkSa00,rush_long,24,,,,,
player,201809230htx,nyg,BarkSa00,targets,5,,,,,
player,201809230htx,nyg,BarkSa00,rec,5,,,,,
player,201809230htx,nyg,BarkSa00,rec_yds,35,,,,,
player,201809230htx,nyg,BarkSa00,rec_td,0,,,,,
player,201809230htx,nyg,BarkSa00,rec_long,21,,,,,
player,201809230htx,nyg,BarkSa00,fumbles,0,,,,,
player,201809230htx,nyg,BarkSa00,fumbles_lost,0,,,,,
player,201809230htx,nyg,GallWa00,pass_cmp,0,,,,,
player,201809230htx,nyg,GallWa00,pass_att,0,,,,,
player,201809230htx,nyg,GallWa00,pass_yds,0,,,,,
player,201809230htx,nyg,GallWa00,pass_td,0,,,,,
player,201809230htx,nyg,GallWa00,pass_int,0,,,,,
player,201809230htx,nyg,GallWa00,pass_sacked,0,,,,,
player,201809230htx,nyg,GallWa00,pass_sacked_yds,0,,,,,
player,201809230htx,nyg,GallWa00,pass_long,0,,,,,
player,201809230htx,nyg,GallWa00,pass_rating,,,,,,
player,201809230htx,nyg,GallWa00,rush_att,6,,,,,
player,201809230htx,nyg,GallWa00,rush_yds,25,,,,,
player,201809230htx,nyg,GallWa00,rush_td,0,,,,,
player,201809230htx,nyg,GallWa00,rush_long,8,,,,,
player,201809230htx,nyg,GallWa00,targets,1,,,,,
player,201809230htx,nyg,GallWa00,rec,0,,,,,
player,201809230htx,nyg,GallWa00,rec_yds,0,,,,,
player,201809230htx,nyg,GallWa00,rec_td,0,,,,,
player,201809230htx,nyg,GallWa00,rec_long,0,,,,,
player,201809230htx,nyg,GallWa00,fumbles,0,,,,,
player,201809230htx,nyg,GallWa00,fumbles_lost,0,,,,,
player,201809230htx,nyg,StewJo00,pass_cmp,0,,,,,
player,201809230htx,nyg,StewJo00,pass_att,0,,,,,
player,201809230htx,nyg,StewJo00,pass_yds,0,,,,,
player,201809230htx,nyg,StewJo00,pass_td,0,,,,,
player,201809230htx,nyg,StewJo00,pass_int,0,,,,,
player,201809230htx,nyg,StewJo00,pass_sacked,0,,,,,
player,201809230htx,nyg,StewJo00,pass_sacked_yds,0,,,,,
player,201809230htx,nyg,StewJo00,pass_long,0,,,,,
player,201809230htx,nyg,StewJo00,pass_rating,,,,,,
player,201809230htx,nyg,StewJo00,rush_att,2,,,,,
player,201809230htx,nyg,StewJo00,rush_yds,8,,,,,
player,201809230htx,nyg,StewJo00,rush_td,0,,,,,
player,201809230htx,nyg,StewJo00,rush_long,5,,,,,
player,201809230htx,nyg,StewJo00,targets,0,,,,,
player,201809230htx,nyg,StewJo00,rec,0,,,,,
player,201809230htx,nyg,StewJo00,rec_yds,0,,,,,
player,201809230htx,nyg,StewJo00,rec_td,0,,,,,
player,201809230htx,nyg,StewJo00,rec_long,0,,,,,
player,201809230htx,nyg,StewJo00,fumbles,0,,,,,
player,201809230htx,nyg,StewJo00,fumbles_lost,0,,,,,
player,201809230htx,nyg,BeckOd00,pass_cmp,0,,,,,
player,201809230htx,nyg,BeckOd00,pass_att,0,,,,,
player,201809230htx,nyg,BeckOd00,pass_yds,0,,,,,
player,201809230htx,nyg,BeckOd00,pass_td,0,,,,,
player,201809230htx,nyg,BeckOd00,pass_int,0,,,,,
player,201809230htx,nyg,BeckOd00,pass_sacked,0,,,,,
player,201809230htx,nyg,BeckOd00,pass_sacked_yds,0,,,,,
player,201809230htx,nyg,BeckOd00,pass_long,0,,,,,
player,201809230htx,nyg,BeckOd00,pass_rating,,,,,,
player,201809230htx,nyg,BeckOd00,rush_att,1,,,,,
player,201809230htx,nyg,BeckOd00,rush_yds,0,,,,,
player,201809230htx,nyg,BeckOd00,rush_td,0,,,,,
player,201809230htx,nyg,BeckOd00,rush_long,0,,,,,
player,201809230htx,nyg,BeckOd00,targets,10,,,,,
player,201809230htx,nyg,BeckOd00,rec,9,,,,,
player,201809230htx,nyg,BeckOd00,rec_yds,109,,,,,
player,201809230htx,nyg,BeckOd00,rec_td,0,,,,,
player,201809230htx,nyg,BeckOd00,rec_long,30,,,,,
player,201809230htx,nyg,BeckOd00,fumbles,0,,,,,
player,201809230htx,nyg,BeckOd00,fumbles_lost,0,,,,,
player,201809230htx,nyg,ShepSt00,pass_cmp,0,,,,,
player,201809230htx,nyg,ShepSt00,pass_att,0,,,,,
player,201809230htx,nyg,ShepSt00,pass_yds,0,,,,,
player,201809230htx,nyg,ShepSt00,pass_td,0,,,,,
player,201809230htx,nyg,ShepSt00,pass_int,0,,,,,
player,201809230htx,nyg,ShepSt00,pass_sacked,0,,,,,
player,201809230htx,nyg,ShepSt00,pass_sacked_yds,0,,,,,
player,201809230htx,nyg,ShepSt00,pass_long,0,,,,,
player,201809230htx,nyg,ShepSt00,pass_rating,,,,,,
player,201809230htx,nyg,ShepSt00,rush_att,0,,,,,
player,201809230htx,nyg,ShepSt00,rush_yds,0,,,,,
player,201809230htx,nyg,ShepSt00,rush_td,0,,,,,
player,201809230htx,nyg,ShepSt00,rush_long,0,,,,,
player,201809230htx,nyg,ShepSt00,targets,7,,,,,
player,201809230htx,nyg,ShepSt00,rec,6,,,,,
player,201809230htx,nyg,ShepSt00,rec_yds,80,,,,,
