game,2018,16,20181223,201812230sea,kan,"Kansas City Chiefs",31,sea,"Seattle Seahawks",38
team,201812230sea,kan,First Downs,22,,,,,,
team,201812230sea,sea,First Downs,31,,,,,,
team,201812230sea,kan,Rush-Yds-TDs,19-154-0,,,,,,
team,201812230sea,sea,Rush-Yds-TDs,43-210-2,,,,,,
team,201812230sea,kan,Cmp-Att-Yd-TD-INT,23-40-273-3-0,,,,,,
team,201812230sea,sea,Cmp-Att-Yd-TD-INT,18-29-271-3-0,,,,,,
team,201812230sea,kan,Sacked-Yards,1-8,,,,,,
team,201812230sea,sea,Sacked-Yards,3-17,,,,,,
team,201812230sea,kan,Net Pass Yards,265,,,,,,
team,201812230sea,sea,Net Pass Yards,254,,,,,,
team,201812230sea,kan,Total Yards,419,,,,,,
team,201812230sea,sea,Total Yards,464,,,,,,
team,201812230sea,kan,Fumbles-Lost,3-2,,,,,,
team,201812230sea,sea,Fumbles-Lost,1-0,,,,,,
team,201812230sea,kan,Turnovers,2,,,,,,
team,201812230sea,sea,Turnovers,0,,,,,,
team,201812230sea,kan,Penalties-Yards,8-76,,,,,,
team,201812230sea,sea,Penalties-Yards,3-20,,,,,,
team,201812230sea,kan,Third Down Conv.,5-12,,,,,,
team,201812230sea,sea,Third Down Conv.,7-14,,,,,,
team,201812230sea,kan,Fourth Down Conv.,1-1,,,,,,
team,201812230sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201812230sea,kan,Time of Possession,24:58,,,,,,
team,201812230sea,sea,Time of Possession,35:02,,,,,,
player,201812230sea,kan,MahoPa00,pass_cmp,23,,,,,
player,201812230sea,kan,MahoPa00,pass_att,40,,,,,
player,201812230sea,kan,MahoPa00,pass_yds,273,,,,,
player,201812230sea,kan,MahoPa00,pass_td,3,,,,,
player,201812230sea,kan,MahoPa00,pass_int,0,,,,,
player,201812230sea,kan,MahoPa00,pass_sacked,1,,,,,
player,201812230sea,kan,MahoPa00,pass_sacked_yds,8,,,,,
player,201812230sea,kan,MahoPa00,pass_long,32,,,,,
player,201812230sea,kan,MahoPa00,pass_rating,103.4,,,,,
player,201812230sea,kan,MahoPa00,rush_att,3,,,,,
player,201812230sea,kan,MahoPa00,rush_yds,33,,,,,
player,201812230sea,kan,MahoPa00,rush_td,0,,,,,
player,201812230sea,kan,MahoPa00,rush_long,22,,,,,
player,201812230sea,kan,MahoPa00,targets,0,,,,,
player,201812230sea,kan,MahoPa00,rec,0,,,,,
player,201812230sea,kan,MahoPa00,rec_yds,0,,,,,
player,201812230sea,kan,MahoPa00,rec_td,0,,,,,
player,201812230sea,kan,MahoPa00,rec_long,0,,,,,
