game,2018,8,20181028,201810280ram,gnb,"Green Bay Packers",27,ram,"Los Angeles Rams",29
team,201810280ram,gnb,First Downs,16,,,,,,
team,201810280ram,ram,First Downs,23,,,,,,
team,201810280ram,gnb,Rush-Yds-TDs,19-106-2,,,,,,
team,201810280ram,ram,Rush-Yds-TDs,34-135-0,,,,,,
team,201810280ram,gnb,Cmp-Att-Yd-TD-INT,18-30-286-1-0,,,,,,
team,201810280ram,ram,Cmp-Att-Yd-TD-INT,20-36-307-3-0,,,,,,
team,201810280ram,gnb,Sacked-Yards,3-33,,,,,,
team,201810280ram,ram,Sacked-Yards,5-26,,,,,,
team,201810280ram,gnb,Net Pass Yards,253,,,,,,
team,201810280ram,ram,Net Pass Yards,281,,,,,,
team,201810280ram,gnb,Total Yards,359,,,,,,
team,201810280ram,ram,Total Yards,416,,,,,,
team,201810280ram,gnb,Fumbles-Lost,1-1,,,,,,
team,201810280ram,ram,Fumbles-Lost,0-0,,,,,,
team,201810280ram,gnb,Turnovers,1,,,,,,
team,201810280ram,ram,Turnovers,0,,,,,,
team,201810280ram,gnb,Penalties-Yards,2-10,,,,,,
team,201810280ram,ram,Penalties-Yards,2-15,,,,,,
team,201810280ram,gnb,Third Down Conv.,2-9,,,,,,
team,201810280ram,ram,Third Down Conv.,8-18,,,,,,
team,201810280ram,gnb,Fourth Down Conv.,0-0,,,,,,
team,201810280ram,ram,Fourth Down Conv.,1-1,,,,,,
team,201810280ram,gnb,Time of Possession,25:50,,,,,,
team,201810280ram,ram,Time of Possession,34:10,,,,,,
player,201810280ram,gnb,RodgAa00,pass_cmp,18,,,,,
player,201810280ram,gnb,RodgAa00,pass_att,30,,,,,
player,201810280ram,gnb,RodgAa00,pass_yds,286,,,,,
player,201810280ram,gnb,RodgAa00,pass_td,1,,,,,
player,201810280ram,gnb,RodgAa00,pass_int,0,,,,,
player,201810280ram,gnb,RodgAa00,pass_sacked,3,,,,,
player,201810280ram,gnb,RodgAa00,pass_sacked_yds,33,,,,,
player,201810280ram,gnb,RodgAa00,pass_long,48,,,,,
player,201810280ram,gnb,RodgAa00,pass_rating,102.9,,,,,
player,201810280ram,gnb,RodgAa00,rush_att,1,,,,,
player,201810280ram,gnb,RodgAa00,rush_yds,5,,,,,
player,201810280ram,gnb,RodgAa00,rush_td,0,,,,,
player,201810280ram,gnb,RodgAa00,rush_long,5,,,,,
player,201810280ram,gnb,RodgAa00,targets,0,,,,,
player,201810280ram,gnb,RodgAa00,rec,0,,,,,
player,201810280ram,gnb,RodgAa00,rec_yds,0,,,,,
player,201810280ram,gnb,RodgAa00,rec_td,0,,,,,
player,201810280ram,gnb,RodgAa00,rec_long,0,,,,,
player,201810280ram,gnb,RodgAa00,fumbles,0,,,,,
player,201810280ram,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201810280ram,gnb,JoneAa00,pass_cmp,0,,,,,
player,201810280ram,gnb,JoneAa00,pass_att,0,,,,,
player,201810280ram,gnb,JoneAa00,pass_yds,0,,,,,
player,201810280ram,gnb,JoneAa00,pass_td,0,,,,,
player,201810280ram,gnb,JoneAa00,pass_int,0,,,,,
player,201810280ram,gnb,JoneAa00,pass_sacked,0,,,,,
player,201810280ram,gnb,JoneAa00,pass_sacked_yds,0,,,,,
