game,2018,4,20180927,201809270ram,min,"Minnesota Vikings",31,ram,"Los Angeles Rams",38
team,201809270ram,min,First Downs,25,,,,,,
team,201809270ram,ram,First Downs,25,,,,,,
team,201809270ram,min,Rush-Yds-TDs,17-54-0,,,,,,
team,201809270ram,ram,Rush-Yds-TDs,20-100-0,,,,,,
team,201809270ram,min,Cmp-Att-Yd-TD-INT,36-50-422-3-0,,,,,,
team,201809270ram,ram,Cmp-Att-Yd-TD-INT,26-34-465-5-0,,,,,,
team,201809270ram,min,Sacked-Yards,4-30,,,,,,
team,201809270ram,ram,Sacked-Yards,1-9,,,,,,
team,201809270ram,min,Net Pass Yards,392,,,,,,
team,201809270ram,ram,Net Pass Yards,456,,,,,,
team,201809270ram,min,Total Yards,446,,,,,,
team,201809270ram,ram,Total Yards,556,,,,,,
team,201809270ram,min,Fumbles-Lost,1-1,,,,,,
team,201809270ram,ram,Fumbles-Lost,1-0,,,,,,
team,201809270ram,min,Turnovers,1,,,,,,
team,201809270ram,ram,Turnovers,0,,,,,,
team,201809270ram,min,Penalties-Yards,4-35,,,,,,
team,201809270ram,ram,Penalties-Yards,2-15,,,,,,
team,201809270ram,min,Third Down Conv.,8-16,,,,,,
team,201809270ram,ram,Third Down Conv.,1-6,,,,,,
team,201809270ram,min,Fourth Down Conv.,2-2,,,,,,
team,201809270ram,ram,Fourth Down Conv.,0-1,,,,,,
team,201809270ram,min,Time of Possession,32:14,,,,,,
team,201809270ram,ram,Time of Possession,27:46,,,,,,
player,201809270ram,min,CousKi00,pass_cmp,36,,,,,
player,201809270ram,min,CousKi00,pass_att,50,,,,,
player,201809270ram,min,CousKi00,pass_yds,422,,,,,
player,201809270ram,min,CousKi00,pass_td,3,,,,,
player,201809270ram,min,CousKi00,pass_int,0,,,,,
player,201809270ram,min,CousKi00,pass_sacked,4,,,,,
player,201809270ram,min,CousKi00,pass_sacked_yds,30,,,,,
player,201809270ram,min,CousKi00,pass_long,45,,,,,
player,201809270ram,min,CousKi00,pass_rating,117.2,,,,,
player,201809270ram,min,CousKi00,rush_att,4,,,,,
player,201809270ram,min,CousKi00,rush_yds,28,,,,,
player,201809270ram,min,CousKi00,rush_td,0,,,,,
player,201809270ram,min,CousKi00,rush_long,19,,,,,
player,201809270ram,min,CousKi00,targets,0,,,,,
player,201809270ram,min,CousKi00,rec,0,,,,,
player,201809270ram,min,CousKi00,rec_yds,0,,,,,
player,201809270ram,min,CousKi00,rec_td,0,,,,,
player,201809270ram,min,CousKi00,rec_long,0,,,,,
player,201809270ram,min,CousKi00,fumbles,1,,,,,
player,201809270ram,min,CousKi00,fumbles_lost,1,,,,,
player,201809270ram,min,CookDa01,pass_cmp,0,,,,,
player,201809270ram,min,CookDa01,pass_att,0,,,,,
player,201809270ram,min,CookDa01,pass_yds,0,,,,,
player,201809270ram,min,CookDa01,pass_td,0,,,,,
player,201809270ram,min,CookDa01,pass_int,0,,,,,
player,201809270ram,min,CookDa01,pass_sacked,0,,,,,
player,201809270ram,min,CookDa01,pass_sacked_yds,0,,,,,
player,201809270ram,min,CookDa01,pass_long,0,,,,,
player,201809270ram,min,CookDa01,pass_rating,,,,,,
player,201809270ram,min,CookDa01,rush_att,10,,,,,
player,201809270ram,min,CookDa01,rush_yds,20,,,,,
player,201809270ram,min,CookDa01,rush_td,0,,,,,
player,201809270ram,min,CookDa01,rush_long,9,,,,,
player,201809270ram,min,CookDa01,targets,0,,,,,
player,201809270ram,min,CookDa01,rec,0,,,,,
player,201809270ram,min,CookDa01,rec_yds,0,,,,,
player,201809270ram,min,CookDa01,rec_td,0,,,,,
player,201809270ram,min,CookDa01,rec_long,0,,,,,
player,201809270ram,min,CookDa01,fumbles,0,,,,,
player,201809270ram,min,CookDa01,fumbles_lost,0,,,,,
player,201809270ram,min,ThomRo05,pass_cmp,0,,,,,
player,201809270ram,min,ThomRo05,pass_att,0,,,,,
player,201809270ram,min,ThomRo05,pass_yds,0,,,,,
player,201809270ram,min,ThomRo05,pass_td,0,,,,,
player,201809270ram,min,ThomRo05,pass_int,0,,,,,
player,201809270ram,min,ThomRo05,pass_sacked,0,,,,,
player,201809270ram,min,ThomRo05,pass_sacked_yds,0,,,,,
player,201809270ram,min,ThomRo05,pass_long,0,,,,,
player,201809270ram,min,ThomRo05,pass_rating,,,,,,
player,201809270ram,min,ThomRo05,rush_att,1,,,,,
player,201809270ram,min,ThomRo05,rush_yds,4,,,,,
player,201809270ram,min,ThomRo05,rush_td,0,,,,,
player,201809270ram,min,ThomRo05,rush_long,4,,,,,
player,201809270ram,min,ThomRo05,targets,1,,,,,
player,201809270ram,min,ThomRo05,rec,0,,,,,
player,201809270ram,min,ThomRo05,rec_yds,0,,,,,
player,201809270ram,min,ThomRo05,rec_td,0,,,,,
player,201809270ram,min,ThomRo05,rec_long,0,,,,,
player,201809270ram,min,ThomRo05,fumbles,0,,,,,
player,201809270ram,min,ThomRo05,fumbles_lost,0,,,,,
player,201809270ram,min,MurrLa00,pass_cmp,0,,,,,
player,201809270ram,min,MurrLa00,pass_att,0,,,,,
player,201809270ram,min,MurrLa00,pass_yds,0,,,,,
player,201809270ram,min,MurrLa00,pass_td,0,,,,,
player,201809270ram,min,MurrLa00,pass_int,0,,,,,
player,201809270ram,min,MurrLa00,pass_sacked,0,,,,,
player,201809270ram,min,MurrLa00,pass_sacked_yds,0,,,,,
player,201809270ram,min,MurrLa00,pass_long,0,,,,,
player,201809270ram,min,MurrLa00,pass_rating,,,,,,
player,201809270ram,min,MurrLa00,rush_att,2,,,,,
player,201809270ram,min,MurrLa00,rush_yds,2,,,,,
player,201809270ram,min,MurrLa00,rush_td,0,,,,,
player,201809270ram,min,MurrLa00,rush_long,2,,,,,
player,201809270ram,min,MurrLa00,targets,2,,,,,
player,201809270ram,min,MurrLa00,rec,2,,,,,
player,201809270ram,min,MurrLa00,rec_yds,16,,,,,
player,201809270ram,min,MurrLa00,rec_td,0,,,,,
player,201809270ram,min,MurrLa00,rec_long,9,,,,,
player,201809270ram,min,MurrLa00,fumbles,0,,,,,
player,201809270ram,min,MurrLa00,fumbles_lost,0,,,,,
player,201809270ram,min,ThieAd00,pass_cmp,0,,,,,
player,201809270ram,min,ThieAd00,pass_att,0,,,,,
player,201809270ram,min,ThieAd00,pass_yds,0,,,,,
player,201809270ram,min,ThieAd00,pass_td,0,,,,,
player,201809270ram,min,ThieAd00,pass_int,0,,,,,
player,201809270ram,min,ThieAd00,pass_sacked,0,,,,,
player,201809270ram,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201809270ram,min,ThieAd00,pass_long,0,,,,,
player,201809270ram,min,ThieAd00,pass_rating,,,,,,
player,201809270ram,min,ThieAd00,rush_att,0,,,,,
player,201809270ram,min,ThieAd00,rush_yds,0,,,,,
player,201809270ram,min,ThieAd00,rush_td,0,,,,,
player,201809270ram,min,ThieAd00,rush_long,0,,,,,
player,201809270ram,min,ThieAd00,targets,12,,,,,
player,201809270ram,min,ThieAd00,rec,8,,,,,
player,201809270ram,min,ThieAd00,rec_yds,135,,,,,
player,201809270ram,min,ThieAd00,rec_td,1,,,,,
player,201809270ram,min,ThieAd00,rec_long,45,,,,,
player,201809270ram,min,ThieAd00,fumbles,0,,,,,
player,201809270ram,min,ThieAd00,fumbles_lost,0,,,,,
player,201809270ram,min,DiggSt00,pass_cmp,0,,,,,
player,201809270ram,min,DiggSt00,pass_att,0,,,,,
player,201809270ram,min,DiggSt00,pass_yds,0,,,,,
player,201809270ram,min,DiggSt00,pass_td,0,,,,,
player,201809270ram,min,DiggSt00,pass_int,0,,,,,
player,201809270ram,min,DiggSt00,pass_sacked,0,,,,,
player,201809270ram,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201809270ram,min,DiggSt00,pass_long,0,,,,,
player,201809270ram,min,DiggSt00,pass_rating,,,,,,
player,201809270ram,min,DiggSt00,rush_att,0,,,,,
player,201809270ram,min,DiggSt00,rush_yds,0,,,,,
player,201809270ram,min,DiggSt00,rush_td,0,,,,,
player,201809270ram,min,DiggSt00,rush_long,0,,,,,
player,201809270ram,min,DiggSt00,targets,15,,,,,
player,201809270ram,min,DiggSt00,rec,11,,,,,
player,201809270ram,min,DiggSt00,rec_yds,123,,,,,
player,201809270ram,min,DiggSt00,rec_td,0,,,,,
player,201809270ram,min,DiggSt00,rec_long,34,,,,,
player,201809270ram,min,DiggSt00,fumbles,0,,,,,
player,201809270ram,min,DiggSt00,fumbles_lost,0,,,,,
player,201809270ram,min,RudoKy00,pass_cmp,0,,,,,
player,201809270ram,min,RudoKy00,pass_att,0,,,,,
player,201809270ram,min,RudoKy00,pass_yds,0,,,,,
player,201809270ram,min,RudoKy00,pass_td,0,,,,,
player,201809270ram,min,RudoKy00,pass_int,0,,,,,
player,201809270ram,min,RudoKy00,pass_sacked,0,,,,,
player,201809270ram,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201809270ram,min,RudoKy00,pass_long,0,,,,,
player,201809270ram,min,RudoKy00,pass_rating,,,,,,
player,201809270ram,min,RudoKy00,rush_att,0,,,,,
player,201809270ram,min,RudoKy00,rush_yds,0,,,,,
player,201809270ram,min,RudoKy00,rush_td,0,,,,,
player,201809270ram,min,RudoKy00,rush_long,0,,,,,
player,201809270ram,min,RudoKy00,targets,6,,,,,
player,201809270ram,min,RudoKy00,rec,5,,,,,
player,201809270ram,min,RudoKy00,rec_yds,57,,,,,
player,201809270ram,min,RudoKy00,rec_td,0,,,,,
player,201809270ram,min,RudoKy00,rec_long,24,,,,,
player,201809270ram,min,RudoKy00,fumbles,0,,,,,
player,201809270ram,min,RudoKy00,fumbles_lost,0,,,,,
player,201809270ram,min,TreaLa00,pass_cmp,0,,,,,
player,201809270ram,min,TreaLa00,pass_att,0,,,,,
player,201809270ram,min,TreaLa00,pass_yds,0,,,,,
player,201809270ram,min,TreaLa00,pass_td,0,,,,,
player,201809270ram,min,TreaLa00,pass_int,0,,,,,
player,201809270ram,min,TreaLa00,pass_sacked,0,,,,,
player,201809270ram,min,TreaLa00,pass_sacked_yds,0,,,,,
player,201809270ram,min,TreaLa00,pass_long,0,,,,,
player,201809270ram,min,TreaLa00,pass_rating,,,,,,
player,201809270ram,min,TreaLa00,rush_att,0,,,,,
player,201809270ram,min,TreaLa00,rush_yds,0,,,,,
player,201809270ram,min,TreaLa00,rush_td,0,,,,,
player,201809270ram,min,TreaLa00,rush_long,0,,,,,
player,201809270ram,min,TreaLa00,targets,7,,,,,
player,201809270ram,min,TreaLa00,rec,4,,,,,
player,201809270ram,min,TreaLa00,rec_yds,47,,,,,
player,201809270ram,min,TreaLa00,rec_td,0,,,,,
player,201809270ram,min,TreaLa00,rec_long,19,,,,,
player,201809270ram,min,TreaLa00,fumbles,0,,,,,
player,201809270ram,min,TreaLa00,fumbles_lost,0,,,,,
player,201809270ram,min,RobiAl00,pass_cmp,0,,,,,
player,201809270ram,min,RobiAl00,pass_att,0,,,,,
player,201809270ram,min,RobiAl00,pass_yds,0,,,,,
player,201809270ram,min,RobiAl00,pass_td,0,,,,,
player,201809270ram,min,RobiAl00,pass_int,0,,,,,
player,201809270ram,min,RobiAl00,pass_sacked,0,,,,,
player,201809270ram,min,RobiAl00,pass_sacked_yds,0,,,,,
player,201809270ram,min,RobiAl00,pass_long,0,,,,,
player,201809270ram,min,RobiAl00,pass_rating,,,,,,
player,201809270ram,min,RobiAl00,rush_att,0,,,,,
player,201809270ram,min,RobiAl00,rush_yds,0,,,,,
player,201809270ram,min,RobiAl00,rush_td,0,,,,,
player,201809270ram,min,RobiAl00,rush_long,0,,,,,
player,201809270ram,min,RobiAl00,targets,2,,,,,
player,201809270ram,min,RobiAl00,rec,2,,,,,
player,201809270ram,min,RobiAl00,rec_yds,33,,,,,
player,201809270ram,min,RobiAl00,rec_td,2,,,,,
