game,2018,13,20181129,201811290dal,nor,"New Orleans Saints",10,dal,"Dallas Cowboys",13
team,201811290dal,nor,First Downs,14,,,,,,
team,201811290dal,dal,First Downs,21,,,,,,
team,201811290dal,nor,Rush-Yds-TDs,19-65-0,,,,,,
team,201811290dal,dal,Rush-Yds-TDs,31-99-0,,,,,,
team,201811290dal,nor,Cmp-Att-Yd-TD-INT,18-28-127-1-1,,,,,,
team,201811290dal,dal,Cmp-Att-Yd-TD-INT,24-28-249-1-0,,,,,,
team,201811290dal,nor,Sacked-Yards,2-16,,,,,,
team,201811290dal,dal,Sacked-Yards,7-40,,,,,,
team,201811290dal,nor,Net Pass Yards,111,,,,,,
team,201811290dal,dal,Net Pass Yards,209,,,,,,
team,201811290dal,nor,Total Yards,176,,,,,,
team,201811290dal,dal,Total Yards,308,,,,,,
team,201811290dal,nor,Fumbles-Lost,3-0,,,,,,
team,201811290dal,dal,Fumbles-Lost,3-2,,,,,,
team,201811290dal,nor,Turnovers,1,,,,,,
team,201811290dal,dal,Turnovers,2,,,,,,
team,201811290dal,nor,Penalties-Yards,5-48,,,,,,
team,201811290dal,dal,Penalties-Yards,8-80,,,,,,
team,201811290dal,nor,Third Down Conv.,3-11,,,,,,
team,201811290dal,dal,Third Down Conv.,7-14,,,,,,
team,201811290dal,nor,Fourth Down Conv.,0-1,,,,,,
team,201811290dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201811290dal,nor,Time of Possession,23:07,,,,,,
team,201811290dal,dal,Time of Possession,36:53,,,,,,
player,201811290dal,nor,BreeDr00,pass_cmp,18,,,,,
player,201811290dal,nor,BreeDr00,pass_att,28,,,,,
player,201811290dal,nor,BreeDr00,pass_yds,127,,,,,
player,201811290dal,nor,BreeDr00,pass_td,1,,,,,
player,201811290dal,nor,BreeDr00,pass_int,1,,,,,
player,201811290dal,nor,BreeDr00,pass_sacked,2,,,,,
player,201811290dal,nor,BreeDr00,pass_sacked_yds,16,,,,,
player,201811290dal,nor,BreeDr00,pass_long,30,,,,,
player,201811290dal,nor,BreeDr00,pass_rating,71.6,,,,,
player,201811290dal,nor,BreeDr00,rush_att,1,,,,,
player,201811290dal,nor,BreeDr00,rush_yds,2,,,,,
player,201811290dal,nor,BreeDr00,rush_td,0,,,,,
player,201811290dal,nor,BreeDr00,rush_long,2,,,,,
player,201811290dal,nor,BreeDr00,targets,0,,,,,
player,201811290dal,nor,BreeDr00,rec,0,,,,,
player,201811290dal,nor,BreeDr00,rec_yds,0,,,,,
player,201811290dal,nor,BreeDr00,rec_td,0,,,,,
player,201811290dal,nor,BreeDr00,rec_long,0,,,,,
player,201811290dal,nor,BreeDr00,fumbles,1,,,,,
player,201811290dal,nor,BreeDr00,fumbles_lost,0,,,,,
player,201811290dal,nor,KamaAl00,pass_cmp,0,,,,,
player,201811290dal,nor,KamaAl00,pass_att,0,,,,,
player,201811290dal,nor,KamaAl00,pass_yds,0,,,,,
player,201811290dal,nor,KamaAl00,pass_td,0,,,,,
player,201811290dal,nor,KamaAl00,pass_int,0,,,,,
player,201811290dal,nor,KamaAl00,pass_sacked,0,,,,,
player,201811290dal,nor,KamaAl00,pass_sacked_yds,0,,,,,
player,201811290dal,nor,KamaAl00,pass_long,0,,,,,
player,201811290dal,nor,KamaAl00,pass_rating,,,,,,
player,201811290dal,nor,KamaAl00,rush_att,11,,,,,
player,201811290dal,nor,KamaAl00,rush_yds,36,,,,,
player,201811290dal,nor,KamaAl00,rush_td,0,,,,,
player,201811290dal,nor,KamaAl00,rush_long,7,,,,,
player,201811290dal,nor,KamaAl00,targets,11,,,,,
player,201811290dal,nor,KamaAl00,rec,8,,,,,
player,201811290dal,nor,KamaAl00,rec_yds,36,,,,,
player,201811290dal,nor,KamaAl00,rec_td,0,,,,,
player,201811290dal,nor,KamaAl00,rec_long,8,,,,,
player,201811290dal,nor,KamaAl00,fumbles,1,,,,,
player,201811290dal,nor,KamaAl00,fumbles_lost,0,,,,,
player,201811290dal,nor,IngrMa01,pass_cmp,0,,,,,
player,201811290dal,nor,IngrMa01,pass_att,0,,,,,
player,201811290dal,nor,IngrMa01,pass_yds,0,,,,,
player,201811290dal,nor,IngrMa01,pass_td,0,,,,,
player,201811290dal,nor,IngrMa01,pass_int,0,,,,,
player,201811290dal,nor,IngrMa01,pass_sacked,0,,,,,
player,201811290dal,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201811290dal,nor,IngrMa01,pass_long,0,,,,,
player,201811290dal,nor,IngrMa01,pass_rating,,,,,,
player,201811290dal,nor,IngrMa01,rush_att,7,,,,,
player,201811290dal,nor,IngrMa01,rush_yds,27,,,,,
player,201811290dal,nor,IngrMa01,rush_td,0,,,,,
player,201811290dal,nor,IngrMa01,rush_long,13,,,,,
player,201811290dal,nor,IngrMa01,targets,3,,,,,
player,201811290dal,nor,IngrMa01,rec,2,,,,,
player,201811290dal,nor,IngrMa01,rec_yds,1,,,,,
player,201811290dal,nor,IngrMa01,rec_td,0,,,,,
player,201811290dal,nor,IngrMa01,rec_long,1,,,,,
player,201811290dal,nor,IngrMa01,fumbles,0,,,,,
player,201811290dal,nor,IngrMa01,fumbles_lost,0,,,,,
player,201811290dal,nor,ThomMi05,pass_cmp,0,,,,,
player,201811290dal,nor,ThomMi05,pass_att,0,,,,,
player,201811290dal,nor,ThomMi05,pass_yds,0,,,,,
player,201811290dal,nor,ThomMi05,pass_td,0,,,,,
player,201811290dal,nor,ThomMi05,pass_int,0,,,,,
player,201811290dal,nor,ThomMi05,pass_sacked,0,,,,,
player,201811290dal,nor,ThomMi05,pass_sacked_yds,0,,,,,
player,201811290dal,nor,ThomMi05,pass_long,0,,,,,
player,201811290dal,nor,ThomMi05,pass_rating,,,,,,
player,201811290dal,nor,ThomMi05,rush_att,0,,,,,
player,201811290dal,nor,ThomMi05,rush_yds,0,,,,,
player,201811290dal,nor,ThomMi05,rush_td,0,,,,,
player,201811290dal,nor,ThomMi05,rush_long,0,,,,,
player,201811290dal,nor,ThomMi05,targets,8,,,,,
player,201811290dal,nor,ThomMi05,rec,5,,,,,
player,201811290dal,nor,ThomMi05,rec_yds,40,,,,,
player,201811290dal,nor,ThomMi05,rec_td,0,,,,,
player,201811290dal,nor,ThomMi05,rec_long,11,,,,,
player,201811290dal,nor,ThomMi05,fumbles,0,,,,,
player,201811290dal,nor,ThomMi05,fumbles_lost,0,,,,,
player,201811290dal,nor,KirkKe00,pass_cmp,0,,,,,
player,201811290dal,nor,KirkKe00,pass_att,0,,,,,
player,201811290dal,nor,KirkKe00,pass_yds,0,,,,,
player,201811290dal,nor,KirkKe00,pass_td,0,,,,,
player,201811290dal,nor,KirkKe00,pass_int,0,,,,,
player,201811290dal,nor,KirkKe00,pass_sacked,0,,,,,
player,201811290dal,nor,KirkKe00,pass_sacked_yds,0,,,,,
player,201811290dal,nor,KirkKe00,pass_long,0,,,,,
player,201811290dal,nor,KirkKe00,pass_rating,,,,,,
player,201811290dal,nor,KirkKe00,rush_att,0,,,,,
player,201811290dal,nor,KirkKe00,rush_yds,0,,,,,
player,201811290dal,nor,KirkKe00,rush_td,0,,,,,
player,201811290dal,nor,KirkKe00,rush_long,0,,,,,
player,201811290dal,nor,KirkKe00,targets,3,,,,,
player,201811290dal,nor,KirkKe00,rec,1,,,,,
player,201811290dal,nor,KirkKe00,rec_yds,30,,,,,
player,201811290dal,nor,KirkKe00,rec_td,1,,,,,
player,201811290dal,nor,KirkKe00,rec_long,30,,,,,
player,201811290dal,nor,KirkKe00,fumbles,0,,,,,
player,201811290dal,nor,KirkKe00,fumbles_lost,0,,,,,
player,201811290dal,nor,ArnoDa00,pass_cmp,0,,,,,
player,201811290dal,nor,ArnoDa00,pass_att,0,,,,,
player,201811290dal,nor,ArnoDa00,pass_yds,0,,,,,
player,201811290dal,nor,ArnoDa00,pass_td,0,,,,,
player,201811290dal,nor,ArnoDa00,pass_int,0,,,,,
player,201811290dal,nor,ArnoDa00,pass_sacked,0,,,,,
player,201811290dal,nor,ArnoDa00,pass_sacked_yds,0,,,,,
player,201811290dal,nor,ArnoDa00,pass_long,0,,,,,
player,201811290dal,nor,ArnoDa00,pass_rating,,,,,,
player,201811290dal,nor,ArnoDa00,rush_att,0,,,,,
player,201811290dal,nor,ArnoDa00,rush_yds,0,,,,,
player,201811290dal,nor,ArnoDa00,rush_td,0,,,,,
player,201811290dal,nor,ArnoDa00,rush_long,0,,,,,
player,201811290dal,nor,ArnoDa00,targets,2,,,,,
player,201811290dal,nor,ArnoDa00,rec,2,,,,,
player,201811290dal,nor,ArnoDa00,rec_yds,20,,,,,
player,201811290dal,nor,ArnoDa00,rec_td,0,,,,,
player,201811290dal,nor,ArnoDa00,rec_long,15,,,,,
player,201811290dal,nor,ArnoDa00,fumbles,1,,,,,
player,201811290dal,nor,ArnoDa00,fumbles_lost,0,,,,,
player,201811290dal,nor,SmitTr03,pass_cmp,0,,,,,
player,201811290dal,nor,SmitTr03,pass_att,0,,,,,
player,201811290dal,nor,SmitTr03,pass_yds,0,,,,,
player,201811290dal,nor,SmitTr03,pass_td,0,,,,,
player,201811290dal,nor,SmitTr03,pass_int,0,,,,,
player,201811290dal,nor,SmitTr03,pass_sacked,0,,,,,
player,201811290dal,nor,SmitTr03,pass_sacked_yds,0,,,,,
player,201811290dal,nor,SmitTr03,pass_long,0,,,,,
player,201811290dal,nor,SmitTr03,pass_rating,,,,,,
player,201811290dal,nor,SmitTr03,rush_att,0,,,,,
player,201811290dal,nor,SmitTr03,rush_yds,0,,,,,
player,201811290dal,nor,SmitTr03,rush_td,0,,,,,
player,201811290dal,nor,SmitTr03,rush_long,0,,,,,
player,201811290dal,nor,SmitTr03,targets,1,,,,,
player,201811290dal,nor,SmitTr03,rec,0,,,,,
player,201811290dal,nor,SmitTr03,rec_yds,0,,,,,
player,201811290dal,nor,SmitTr03,rec_td,0,,,,,
player,201811290dal,nor,SmitTr03,rec_long,0,,,,,
player,201811290dal,nor,SmitTr03,fumbles,0,,,,,
player,201811290dal,nor,SmitTr03,fumbles_lost,0,,,,,
player,201811290dal,dal,PresDa01,pass_cmp,24,,,,,
player,201811290dal,dal,PresDa01,pass_att,28,,,,,
player,201811290dal,dal,PresDa01,pass_yds,249,,,,,
player,201811290dal,dal,PresDa01,pass_td,1,,,,,
player,201811290dal,dal,PresDa01,pass_int,0,,,,,
player,201811290dal,dal,PresDa01,pass_sacked,7,,,,,
player,201811290dal,dal,PresDa01,pass_sacked_yds,40,,,,,
player,201811290dal,dal,PresDa01,pass_long,40,,,,,
player,201811290dal,dal,PresDa01,pass_rating,115.6,,,,,
player,201811290dal,dal,PresDa01,rush_att,5,,,,,
player,201811290dal,dal,PresDa01,rush_yds,22,,,,,
player,201811290dal,dal,PresDa01,rush_td,0,,,,,
player,201811290dal,dal,PresDa01,rush_long,15,,,,,
player,201811290dal,dal,PresDa01,targets,0,,,,,
player,201811290dal,dal,PresDa01,rec,0,,,,,
player,201811290dal,dal,PresDa01,rec_yds,0,,,,,
player,201811290dal,dal,PresDa01,rec_td,0,,,,,
player,201811290dal,dal,PresDa01,rec_long,0,,,,,
player,201811290dal,dal,PresDa01,fumbles,2,,,,,
player,201811290dal,dal,PresDa01,fumbles_lost,1,,,,,
player,201811290dal,dal,ElliEz00,pass_cmp,0,,,,,
player,201811290dal,dal,ElliEz00,pass_att,0,,,,,
player,201811290dal,dal,ElliEz00,pass_yds,0,,,,,
player,201811290dal,dal,ElliEz00,pass_td,0,,,,,
player,201811290dal,dal,ElliEz00,pass_int,0,,,,,
player,201811290dal,dal,ElliEz00,pass_sacked,0,,,,,
player,201811290dal,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201811290dal,dal,ElliEz00,pass_long,0,,,,,
player,201811290dal,dal,ElliEz00,pass_rating,,,,,,
player,201811290dal,dal,ElliEz00,rush_att,23,,,,,
player,201811290dal,dal,ElliEz00,rush_yds,75,,,,,
player,201811290dal,dal,ElliEz00,rush_td,0,,,,,
player,201811290dal,dal,ElliEz00,rush_long,21,,,,,
player,201811290dal,dal,ElliEz00,targets,6,,,,,
player,201811290dal,dal,ElliEz00,rec,6,,,,,
player,201811290dal,dal,ElliEz00,rec_yds,60,,,,,
player,201811290dal,dal,ElliEz00,rec_td,1,,,,,
player,201811290dal,dal,ElliEz00,rec_long,16,,,,,
player,201811290dal,dal,ElliEz00,fumbles,0,,,,,
player,201811290dal,dal,ElliEz00,fumbles_lost,0,,,,,
player,201811290dal,dal,SmitRo06,pass_cmp,0,,,,,
player,201811290dal,dal,SmitRo06,pass_att,0,,,,,
player,201811290dal,dal,SmitRo06,pass_yds,0,,,,,
player,201811290dal,dal,SmitRo06,pass_td,0,,,,,
