game,2018,13,20181202,201812020htx,cle,"Cleveland Browns",13,htx,"Houston Texans",29
team,201812020htx,cle,First Downs,20,,,,,,
team,201812020htx,htx,First Downs,25,,,,,,
team,201812020htx,cle,Rush-Yds-TDs,9-31-1,,,,,,
team,201812020htx,htx,Rush-Yds-TDs,39-187-0,,,,,,
team,201812020htx,cle,Cmp-Att-Yd-TD-INT,29-43-397-1-3,,,,,,
team,201812020htx,htx,Cmp-Att-Yd-TD-INT,22-31-224-1-0,,,,,,
team,201812020htx,cle,Sacked-Yards,0-0,,,,,,
team,201812020htx,htx,Sacked-Yards,4-27,,,,,,
team,201812020htx,cle,Net Pass Yards,397,,,,,,
team,201812020htx,htx,Net Pass Yards,197,,,,,,
team,201812020htx,cle,Total Yards,428,,,,,,
team,201812020htx,htx,Total Yards,384,,,,,,
team,201812020htx,cle,Fumbles-Lost,1-1,,,,,,
team,201812020htx,htx,Fumbles-Lost,2-0,,,,,,
team,201812020htx,cle,Turnovers,4,,,,,,
team,201812020htx,htx,Turnovers,0,,,,,,
team,201812020htx,cle,Penalties-Yards,6-45,,,,,,
team,201812020htx,htx,Penalties-Yards,5-77,,,,,,
team,201812020htx,cle,Third Down Conv.,2-8,,,,,,
team,201812020htx,htx,Third Down Conv.,8-16,,,,,,
team,201812020htx,cle,Fourth Down Conv.,0-2,,,,,,
team,201812020htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201812020htx,cle,Time of Possession,22:25,,,,,,
team,201812020htx,htx,Time of Possession,37:35,,,,,,
player,201812020htx,cle,MayfBa00,pass_cmp,29,,,,,
player,201812020htx,cle,MayfBa00,pass_att,43,,,,,
player,201812020htx,cle,MayfBa00,pass_yds,397,,,,,
player,201812020htx,cle,MayfBa00,pass_td,1,,,,,
player,201812020htx,cle,MayfBa00,pass_int,3,,,,,
player,201812020htx,cle,MayfBa00,pass_sacked,0,,,,,
player,201812020htx,cle,MayfBa00,pass_sacked_yds,0,,,,,
player,201812020htx,cle,MayfBa00,pass_long,71,,,,,
player,201812020htx,cle,MayfBa00,pass_rating,75.4,,,,,
player,201812020htx,cle,MayfBa00,rush_att,0,,,,,
