game,2018,5,20181007,201810070car,nyg,"New York Giants",31,car,"Carolina Panthers",33
team,201810070car,nyg,First Downs,18,,,,,,
team,201810070car,car,First Downs,21,,,,,,
team,201810070car,nyg,Rush-Yds-TDs,16-50-0,,,,,,
team,201810070car,car,Rush-Yds-TDs,31-118-0,,,,,,
team,201810070car,nyg,Cmp-Att-Yd-TD-INT,23-37-383-3-2,,,,,,
team,201810070car,car,Cmp-Att-Yd-TD-INT,21-35-237-2-2,,,,,,
team,201810070car,nyg,Sacked-Yards,1-1,,,,,,
team,201810070car,car,Sacked-Yards,1-5,,,,,,
team,201810070car,nyg,Net Pass Yards,382,,,,,,
team,201810070car,car,Net Pass Yards,232,,,,,,
team,201810070car,nyg,Total Yards,432,,,,,,
team,201810070car,car,Total Yards,350,,,,,,
team,201810070car,nyg,Fumbles-Lost,2-1,,,,,,
team,201810070car,car,Fumbles-Lost,1-0,,,,,,
team,201810070car,nyg,Turnovers,3,,,,,,
team,201810070car,car,Turnovers,2,,,,,,
team,201810070car,nyg,Penalties-Yards,8-62,,,,,,
team,201810070car,car,Penalties-Yards,4-22,,,,,,
team,201810070car,nyg,Third Down Conv.,0-7,,,,,,
team,201810070car,car,Third Down Conv.,4-13,,,,,,
team,201810070car,nyg,Fourth Down Conv.,1-2,,,,,,
team,201810070car,car,Fourth Down Conv.,1-1,,,,,,
team,201810070car,nyg,Time of Possession,24:33,,,,,,
team,201810070car,car,Time of Possession,35:27,,,,,,
player,201810070car,nyg,MannEl00,pass_cmp,22,,,,,
player,201810070car,nyg,MannEl00,pass_att,36,,,,,
player,201810070car,nyg,MannEl00,pass_yds,326,,,,,
player,201810070car,nyg,MannEl00,pass_td,2,,,,,
player,201810070car,nyg,MannEl00,pass_int,2,,,,,
player,201810070car,nyg,MannEl00,pass_sacked,1,,,,,
player,201810070car,nyg,MannEl00,pass_sacked_yds,1,,,,,
player,201810070car,nyg,MannEl00,pass_long,40,,,,,
player,201810070car,nyg,MannEl00,pass_rating,86.1,,,,,
player,201810070car,nyg,MannEl00,rush_att,1,,,,,
player,201810070car,nyg,MannEl00,rush_yds,2,,,,,
player,201810070car,nyg,MannEl00,rush_td,0,,,,,
player,201810070car,nyg,MannEl00,rush_long,2,,,,,
player,201810070car,nyg,MannEl00,targets,0,,,,,
player,201810070car,nyg,MannEl00,rec,0,,,,,
