game,2018,7,20181021,201810210sdg,oti,"Tennessee Titans",19,sdg,"Los Angeles Chargers",20
team,201810210sdg,oti,First Downs,23,,,,,,
team,201810210sdg,sdg,First Downs,14,,,,,,
team,201810210sdg,oti,Rush-Yds-TDs,33-164-1,,,,,,
team,201810210sdg,sdg,Rush-Yds-TDs,16-47-0,,,,,,
team,201810210sdg,oti,Cmp-Att-Yd-TD-INT,24-32-237-1-1,,,,,,
team,201810210sdg,sdg,Cmp-Att-Yd-TD-INT,19-26-306-2-0,,,,,,
team,201810210sdg,oti,Sacked-Yards,2-11,,,,,,
team,201810210sdg,sdg,Sacked-Yards,2-9,,,,,,
team,201810210sdg,oti,Net Pass Yards,226,,,,,,
team,201810210sdg,sdg,Net Pass Yards,297,,,,,,
team,201810210sdg,oti,Total Yards,390,,,,,,
team,201810210sdg,sdg,Total Yards,344,,,,,,
team,201810210sdg,oti,Fumbles-Lost,0-0,,,,,,
team,201810210sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201810210sdg,oti,Turnovers,1,,,,,,
team,201810210sdg,sdg,Turnovers,0,,,,,,
team,201810210sdg,oti,Penalties-Yards,4-32,,,,,,
team,201810210sdg,sdg,Penalties-Yards,4-31,,,,,,
team,201810210sdg,oti,Third Down Conv.,9-15,,,,,,
team,201810210sdg,sdg,Third Down Conv.,4-9,,,,,,
team,201810210sdg,oti,Fourth Down Conv.,1-1,,,,,,
team,201810210sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201810210sdg,oti,Time of Possession,35:23,,,,,,
team,201810210sdg,sdg,Time of Possession,24:37,,,,,,
player,201810210sdg,oti,MariMa01,pass_cmp,24,,,,,
player,201810210sdg,oti,MariMa01,pass_att,32,,,,,
player,201810210sdg,oti,MariMa01,pass_yds,237,,,,,
player,201810210sdg,oti,MariMa01,pass_td,1,,,,,
player,201810210sdg,oti,MariMa01,pass_int,1,,,,,
player,201810210sdg,oti,MariMa01,pass_sacked,2,,,,,
player,201810210sdg,oti,MariMa01,pass_sacked_yds,11,,,,,
player,201810210sdg,oti,MariMa01,pass_long,21,,,,,
player,201810210sdg,oti,MariMa01,pass_rating,92.8,,,,,
player,201810210sdg,oti,MariMa01,rush_att,7,,,,,
player,201810210sdg,oti,MariMa01,rush_yds,38,,,,,
player,201810210sdg,oti,MariMa01,rush_td,0,,,,,
player,201810210sdg,oti,MariMa01,rush_long,11,,,,,
player,201810210sdg,oti,MariMa01,targets,0,,,,,
player,201810210sdg,oti,MariMa01,rec,0,,,,,
player,201810210sdg,oti,MariMa01,rec_yds,0,,,,,
player,201810210sdg,oti,MariMa01,rec_td,0,,,,,
player,201810210sdg,oti,MariMa01,rec_long,0,,,,,
player,201810210sdg,oti,MariMa01,fumbles,0,,,,,
player,201810210sdg,oti,MariMa01,fumbles_lost,0,,,,,
player,201810210sdg,oti,LewiDi00,pass_cmp,0,,,,,
player,201810210sdg,oti,LewiDi00,pass_att,0,,,,,
player,201810210sdg,oti,LewiDi00,pass_yds,0,,,,,
player,201810210sdg,oti,LewiDi00,pass_td,0,,,,,
player,201810210sdg,oti,LewiDi00,pass_int,0,,,,,
player,201810210sdg,oti,LewiDi00,pass_sacked,0,,,,,
player,201810210sdg,oti,LewiDi00,pass_sacked_yds,0,,,,,
player,201810210sdg,oti,LewiDi00,pass_long,0,,,,,
player,201810210sdg,oti,LewiDi00,pass_rating,,,,,,
player,201810210sdg,oti,LewiDi00,rush_att,13,,,,,
player,201810210sdg,oti,LewiDi00,rush_yds,91,,,,,
player,201810210sdg,oti,LewiDi00,rush_td,0,,,,,
player,201810210sdg,oti,LewiDi00,rush_long,36,,,,,
player,201810210sdg,oti,LewiDi00,targets,6,,,,,
player,201810210sdg,oti,LewiDi00,rec,6,,,,,
player,201810210sdg,oti,LewiDi00,rec_yds,64,,,,,
player,201810210sdg,oti,LewiDi00,rec_td,0,,,,,
player,201810210sdg,oti,LewiDi00,rec_long,21,,,,,
player,201810210sdg,oti,LewiDi00,fumbles,0,,,,,
player,201810210sdg,oti,LewiDi00,fumbles_lost,0,,,,,
player,201810210sdg,oti,HenrDe00,pass_cmp,0,,,,,
player,201810210sdg,oti,HenrDe00,pass_att,0,,,,,
player,201810210sdg,oti,HenrDe00,pass_yds,0,,,,,
player,201810210sdg,oti,HenrDe00,pass_td,0,,,,,
player,201810210sdg,oti,HenrDe00,pass_int,0,,,,,
player,201810210sdg,oti,HenrDe00,pass_sacked,0,,,,,
