game,2018,5,20181007,201810070phi,min,"Minnesota Vikings",23,phi,"Philadelphia Eagles",21
team,201810070phi,min,First Downs,19,,,,,,
team,201810070phi,phi,First Downs,21,,,,,,
team,201810070phi,min,Rush-Yds-TDs,23-77-0,,,,,,
team,201810070phi,phi,Rush-Yds-TDs,17-81-0,,,,,,
team,201810070phi,min,Cmp-Att-Yd-TD-INT,30-37-301-1-0,,,,,,
team,201810070phi,phi,Cmp-Att-Yd-TD-INT,24-35-311-2-0,,,,,,
team,201810070phi,min,Sacked-Yards,1-3,,,,,,
team,201810070phi,phi,Sacked-Yards,3-28,,,,,,
team,201810070phi,min,Net Pass Yards,298,,,,,,
team,201810070phi,phi,Net Pass Yards,283,,,,,,
team,201810070phi,min,Total Yards,375,,,,,,
team,201810070phi,phi,Total Yards,364,,,,,,
team,201810070phi,min,Fumbles-Lost,2-1,,,,,,
team,201810070phi,phi,Fumbles-Lost,2-2,,,,,,
team,201810070phi,min,Turnovers,1,,,,,,
team,201810070phi,phi,Turnovers,2,,,,,,
team,201810070phi,min,Penalties-Yards,4-23,,,,,,
team,201810070phi,phi,Penalties-Yards,8-52,,,,,,
team,201810070phi,min,Third Down Conv.,4-11,,,,,,
team,201810070phi,phi,Third Down Conv.,2-9,,,,,,
team,201810070phi,min,Fourth Down Conv.,0-0,,,,,,
team,201810070phi,phi,Fourth Down Conv.,1-1,,,,,,
team,201810070phi,min,Time of Possession,32:47,,,,,,
team,201810070phi,phi,Time of Possession,27:13,,,,,,
player,201810070phi,min,CousKi00,pass_cmp,30,,,,,
player,201810070phi,min,CousKi00,pass_att,37,,,,,
player,201810070phi,min,CousKi00,pass_yds,301,,,,,
player,201810070phi,min,CousKi00,pass_td,1,,,,,
player,201810070phi,min,CousKi00,pass_int,0,,,,,
player,201810070phi,min,CousKi00,pass_sacked,1,,,,,
player,201810070phi,min,CousKi00,pass_sacked_yds,3,,,,,
player,201810070phi,min,CousKi00,pass_long,68,,,,,
player,201810070phi,min,CousKi00,pass_rating,109.6,,,,,
player,201810070phi,min,CousKi00,rush_att,5,,,,,
player,201810070phi,min,CousKi00,rush_yds,1,,,,,
player,201810070phi,min,CousKi00,rush_td,0,,,,,
player,201810070phi,min,CousKi00,rush_long,3,,,,,
player,201810070phi,min,CousKi00,targets,0,,,,,
player,201810070phi,min,CousKi00,rec,0,,,,,
player,201810070phi,min,CousKi00,rec_yds,0,,,,,
player,201810070phi,min,CousKi00,rec_td,0,,,,,
player,201810070phi,min,CousKi00,rec_long,0,,,,,
player,201810070phi,min,CousKi00,fumbles,1,,,,,
player,201810070phi,min,CousKi00,fumbles_lost,1,,,,,
player,201810070phi,min,MurrLa00,pass_cmp,0,,,,,
player,201810070phi,min,MurrLa00,pass_att,0,,,,,
player,201810070phi,min,MurrLa00,pass_yds,0,,,,,
player,201810070phi,min,MurrLa00,pass_td,0,,,,,
player,201810070phi,min,MurrLa00,pass_int,0,,,,,
player,201810070phi,min,MurrLa00,pass_sacked,0,,,,,
player,201810070phi,min,MurrLa00,pass_sacked_yds,0,,,,,
player,201810070phi,min,MurrLa00,pass_long,0,,,,,
player,201810070phi,min,MurrLa00,pass_rating,,,,,,
player,201810070phi,min,MurrLa00,rush_att,11,,,,,
player,201810070phi,min,MurrLa00,rush_yds,42,,,,,
player,201810070phi,min,MurrLa00,rush_td,0,,,,,
player,201810070phi,min,MurrLa00,rush_long,12,,,,,
player,201810070phi,min,MurrLa00,targets,2,,,,,
player,201810070phi,min,MurrLa00,rec,2,,,,,
player,201810070phi,min,MurrLa00,rec_yds,14,,,,,
player,201810070phi,min,MurrLa00,rec_td,0,,,,,
player,201810070phi,min,MurrLa00,rec_long,8,,,,,
player,201810070phi,min,MurrLa00,fumbles,0,,,,,
player,201810070phi,min,MurrLa00,fumbles_lost,0,,,,,
player,201810070phi,min,DiggSt00,pass_cmp,0,,,,,
player,201810070phi,min,DiggSt00,pass_att,0,,,,,
player,201810070phi,min,DiggSt00,pass_yds,0,,,,,
player,201810070phi,min,DiggSt00,pass_td,0,,,,,
player,201810070phi,min,DiggSt00,pass_int,0,,,,,
player,201810070phi,min,DiggSt00,pass_sacked,0,,,,,
player,201810070phi,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201810070phi,min,DiggSt00,pass_long,0,,,,,
player,201810070phi,min,DiggSt00,pass_rating,,,,,,
player,201810070phi,min,DiggSt00,rush_att,2,,,,,
player,201810070phi,min,DiggSt00,rush_yds,25,,,,,
player,201810070phi,min,DiggSt00,rush_td,0,,,,,
player,201810070phi,min,DiggSt00,rush_long,20,,,,,
player,201810070phi,min,DiggSt00,targets,11,,,,,
player,201810070phi,min,DiggSt00,rec,10,,,,,
player,201810070phi,min,DiggSt00,rec_yds,91,,,,,
player,201810070phi,min,DiggSt00,rec_td,0,,,,,
player,201810070phi,min,DiggSt00,rec_long,25,,,,,
player,201810070phi,min,DiggSt00,fumbles,0,,,,,
player,201810070phi,min,DiggSt00,fumbles_lost,0,,,,,
player,201810070phi,min,ThomRo05,pass_cmp,0,,,,,
player,201810070phi,min,ThomRo05,pass_att,0,,,,,
player,201810070phi,min,ThomRo05,pass_yds,0,,,,,
player,201810070phi,min,ThomRo05,pass_td,0,,,,,
player,201810070phi,min,ThomRo05,pass_int,0,,,,,
player,201810070phi,min,ThomRo05,pass_sacked,0,,,,,
player,201810070phi,min,ThomRo05,pass_sacked_yds,0,,,,,
player,201810070phi,min,ThomRo05,pass_long,0,,,,,
player,201810070phi,min,ThomRo05,pass_rating,,,,,,
player,201810070phi,min,ThomRo05,rush_att,4,,,,,
player,201810070phi,min,ThomRo05,rush_yds,8,,,,,
player,201810070phi,min,ThomRo05,rush_td,0,,,,,
player,201810070phi,min,ThomRo05,rush_long,6,,,,,
player,201810070phi,min,ThomRo05,targets,2,,,,,
player,201810070phi,min,ThomRo05,rec,1,,,,,
player,201810070phi,min,ThomRo05,rec_yds,6,,,,,
player,201810070phi,min,ThomRo05,rec_td,0,,,,,
player,201810070phi,min,ThomRo05,rec_long,6,,,,,
player,201810070phi,min,ThomRo05,fumbles,0,,,,,
player,201810070phi,min,ThomRo05,fumbles_lost,0,,,,,
player,201810070phi,min,BoonMi00,pass_cmp,0,,,,,
player,201810070phi,min,BoonMi00,pass_att,0,,,,,
player,201810070phi,min,BoonMi00,pass_yds,0,,,,,
player,201810070phi,min,BoonMi00,pass_td,0,,,,,
player,201810070phi,min,BoonMi00,pass_int,0,,,,,
player,201810070phi,min,BoonMi00,pass_sacked,0,,,,,
player,201810070phi,min,BoonMi00,pass_sacked_yds,0,,,,,
player,201810070phi,min,BoonMi00,pass_long,0,,,,,
player,201810070phi,min,BoonMi00,pass_rating,,,,,,
player,201810070phi,min,BoonMi00,rush_att,1,,,,,
player,201810070phi,min,BoonMi00,rush_yds,1,,,,,
player,201810070phi,min,BoonMi00,rush_td,0,,,,,
player,201810070phi,min,BoonMi00,rush_long,1,,,,,
player,201810070phi,min,BoonMi00,targets,0,,,,,
player,201810070phi,min,BoonMi00,rec,0,,,,,
player,201810070phi,min,BoonMi00,rec_yds,0,,,,,
player,201810070phi,min,BoonMi00,rec_td,0,,,,,
player,201810070phi,min,BoonMi00,rec_long,0,,,,,
player,201810070phi,min,BoonMi00,fumbles,0,,,,,
player,201810070phi,min,BoonMi00,fumbles_lost,0,,,,,
player,201810070phi,min,ThieAd00,pass_cmp,0,,,,,
player,201810070phi,min,ThieAd00,pass_att,0,,,,,
player,201810070phi,min,ThieAd00,pass_yds,0,,,,,
player,201810070phi,min,ThieAd00,pass_td,0,,,,,
player,201810070phi,min,ThieAd00,pass_int,0,,,,,
player,201810070phi,min,ThieAd00,pass_sacked,0,,,,,
player,201810070phi,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201810070phi,min,ThieAd00,pass_long,0,,,,,
player,201810070phi,min,ThieAd00,pass_rating,,,,,,
player,201810070phi,min,ThieAd00,rush_att,0,,,,,
player,201810070phi,min,ThieAd00,rush_yds,0,,,,,
player,201810070phi,min,ThieAd00,rush_td,0,,,,,
player,201810070phi,min,ThieAd00,rush_long,0,,,,,
player,201810070phi,min,ThieAd00,targets,10,,,,,
player,201810070phi,min,ThieAd00,rec,7,,,,,
player,201810070phi,min,ThieAd00,rec_yds,116,,,,,
player,201810070phi,min,ThieAd00,rec_td,1,,,,,
player,201810070phi,min,ThieAd00,rec_long,68,,,,,
player,201810070phi,min,ThieAd00,fumbles,0,,,,,
player,201810070phi,min,ThieAd00,fumbles_lost,0,,,,,
player,201810070phi,min,RudoKy00,pass_cmp,0,,,,,
player,201810070phi,min,RudoKy00,pass_att,0,,,,,
player,201810070phi,min,RudoKy00,pass_yds,0,,,,,
player,201810070phi,min,RudoKy00,pass_td,0,,,,,
player,201810070phi,min,RudoKy00,pass_int,0,,,,,
player,201810070phi,min,RudoKy00,pass_sacked,0,,,,,
player,201810070phi,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201810070phi,min,RudoKy00,pass_long,0,,,,,
player,201810070phi,min,RudoKy00,pass_rating,,,,,,
player,201810070phi,min,RudoKy00,rush_att,0,,,,,
player,201810070phi,min,RudoKy00,rush_yds,0,,,,,
player,201810070phi,min,RudoKy00,rush_td,0,,,,,
player,201810070phi,min,RudoKy00,rush_long,0,,,,,
player,201810070phi,min,RudoKy00,targets,5,,,,,
player,201810070phi,min,RudoKy00,rec,5,,,,,
player,201810070phi,min,RudoKy00,rec_yds,41,,,,,
player,201810070phi,min,RudoKy00,rec_td,0,,,,,
player,201810070phi,min,RudoKy00,rec_long,17,,,,,
player,201810070phi,min,RudoKy00,fumbles,0,,,,,
player,201810070phi,min,RudoKy00,fumbles_lost,0,,,,,
player,201810070phi,min,TreaLa00,pass_cmp,0,,,,,
player,201810070phi,min,TreaLa00,pass_att,0,,,,,
player,201810070phi,min,TreaLa00,pass_yds,0,,,,,
player,201810070phi,min,TreaLa00,pass_td,0,,,,,
player,201810070phi,min,TreaLa00,pass_int,0,,,,,
player,201810070phi,min,TreaLa00,pass_sacked,0,,,,,
player,201810070phi,min,TreaLa00,pass_sacked_yds,0,,,,,
player,201810070phi,min,TreaLa00,pass_long,0,,,,,
player,201810070phi,min,TreaLa00,pass_rating,,,,,,
player,201810070phi,min,TreaLa00,rush_att,0,,,,,
player,201810070phi,min,TreaLa00,rush_yds,0,,,,,
player,201810070phi,min,TreaLa00,rush_td,0,,,,,
player,201810070phi,min,TreaLa00,rush_long,0,,,,,
player,201810070phi,min,TreaLa00,targets,4,,,,,
player,201810070phi,min,TreaLa00,rec,3,,,,,
player,201810070phi,min,TreaLa00,rec_yds,21,,,,,
player,201810070phi,min,TreaLa00,rec_td,0,,,,,
player,201810070phi,min,TreaLa00,rec_long,8,,,,,
player,201810070phi,min,TreaLa00,fumbles,0,,,,,
player,201810070phi,min,TreaLa00,fumbles_lost,0,,,,,
player,201810070phi,min,HamxC.00,pass_cmp,0,,,,,
player,201810070phi,min,HamxC.00,pass_att,0,,,,,
player,201810070phi,min,HamxC.00,pass_yds,0,,,,,
player,201810070phi,min,HamxC.00,pass_td,0,,,,,
player,201810070phi,min,HamxC.00,pass_int,0,,,,,
player,201810070phi,min,HamxC.00,pass_sacked,0,,,,,
player,201810070phi,min,HamxC.00,pass_sacked_yds,0,,,,,
player,201810070phi,min,HamxC.00,pass_long,0,,,,,
player,201810070phi,min,HamxC.00,pass_rating,,,,,,
player,201810070phi,min,HamxC.00,rush_att,0,,,,,
player,201810070phi,min,HamxC.00,rush_yds,0,,,,,
player,201810070phi,min,HamxC.00,rush_td,0,,,,,
player,201810070phi,min,HamxC.00,rush_long,0,,,,,
player,201810070phi,min,HamxC.00,targets,1,,,,,
player,201810070phi,min,HamxC.00,rec,1,,,,,
player,201810070phi,min,HamxC.00,rec_yds,7,,,,,
player,201810070phi,min,HamxC.00,rec_td,0,,,,,
player,201810070phi,min,HamxC.00,rec_long,7,,,,,
player,201810070phi,min,HamxC.00,fumbles,0,,,,,
player,201810070phi,min,HamxC.00,fumbles_lost,0,,,,,
player,201810070phi,min,MorgDa01,pass_cmp,0,,,,,
player,201810070phi,min,MorgDa01,pass_att,0,,,,,
player,201810070phi,min,MorgDa01,pass_yds,0,,,,,
player,201810070phi,min,MorgDa01,pass_td,0,,,,,
player,201810070phi,min,MorgDa01,pass_int,0,,,,,
player,201810070phi,min,MorgDa01,pass_sacked,0,,,,,
player,201810070phi,min,MorgDa01,pass_sacked_yds,0,,,,,
player,201810070phi,min,MorgDa01,pass_long,0,,,,,
player,201810070phi,min,MorgDa01,pass_rating,,,,,,
player,201810070phi,min,MorgDa01,rush_att,0,,,,,
player,201810070phi,min,MorgDa01,rush_yds,0,,,,,
player,201810070phi,min,MorgDa01,rush_td,0,,,,,
player,201810070phi,min,MorgDa01,rush_long,0,,,,,
player,201810070phi,min,MorgDa01,targets,1,,,,,
player,201810070phi,min,MorgDa01,rec,1,,,,,
player,201810070phi,min,MorgDa01,rec_yds,5,,,,,
player,201810070phi,min,MorgDa01,rec_td,0,,,,,
player,201810070phi,min,MorgDa01,rec_long,5,,,,,
player,201810070phi,min,MorgDa01,fumbles,0,,,,,
player,201810070phi,min,MorgDa01,fumbles_lost,0,,,,,
player,201810070phi,min,RobiAl00,pass_cmp,0,,,,,
player,201810070phi,min,RobiAl00,pass_att,0,,,,,
player,201810070phi,min,RobiAl00,pass_yds,0,,,,,
player,201810070phi,min,RobiAl00,pass_td,0,,,,,
player,201810070phi,min,RobiAl00,pass_int,0,,,,,
player,201810070phi,min,RobiAl00,pass_sacked,0,,,,,
player,201810070phi,min,RobiAl00,pass_sacked_yds,0,,,,,
player,201810070phi,min,RobiAl00,pass_long,0,,,,,
player,201810070phi,min,RobiAl00,pass_rating,,,,,,
player,201810070phi,min,RobiAl00,rush_att,0,,,,,
player,201810070phi,min,RobiAl00,rush_yds,0,,,,,
player,201810070phi,min,RobiAl00,rush_td,0,,,,,
player,201810070phi,min,RobiAl00,rush_long,0,,,,,
player,201810070phi,min,RobiAl00,targets,1,,,,,
player,201810070phi,min,RobiAl00,rec,0,,,,,
player,201810070phi,min,RobiAl00,rec_yds,0,,,,,
player,201810070phi,min,RobiAl00,rec_td,0,,,,,
player,201810070phi,min,RobiAl00,rec_long,0,,,,,
player,201810070phi,min,RobiAl00,fumbles,0,,,,,
player,201810070phi,min,RobiAl00,fumbles_lost,0,,,,,
player,201810070phi,phi,WentCa00,pass_cmp,24,,,,,
player,201810070phi,phi,WentCa00,pass_att,35,,,,,
player,201810070phi,phi,WentCa00,pass_yds,311,,,,,
player,201810070phi,phi,WentCa00,pass_td,2,,,,,
player,201810070phi,phi,WentCa00,pass_int,0,,,,,
player,201810070phi,phi,WentCa00,pass_sacked,3,,,,,
player,201810070phi,phi,WentCa00,pass_sacked_yds,28,,,,,
player,201810070phi,phi,WentCa00,pass_long,48,,,,,
player,201810070phi,phi,WentCa00,pass_rating,115.3,,,,,
player,201810070phi,phi,WentCa00,rush_att,5,,,,,
player,201810070phi,phi,WentCa00,rush_yds,26,,,,,
player,201810070phi,phi,WentCa00,rush_td,0,,,,,
player,201810070phi,phi,WentCa00,rush_long,11,,,,,
player,201810070phi,phi,WentCa00,targets,0,,,,,
player,201810070phi,phi,WentCa00,rec,0,,,,,
player,201810070phi,phi,WentCa00,rec_yds,0,,,,,
player,201810070phi,phi,WentCa00,rec_td,0,,,,,
player,201810070phi,phi,WentCa00,rec_long,0,,,,,
player,201810070phi,phi,WentCa00,fumbles,1,,,,,
player,201810070phi,phi,WentCa00,fumbles_lost,1,,,,,
player,201810070phi,phi,AjayJa00,pass_cmp,0,,,,,
player,201810070phi,phi,AjayJa00,pass_att,0,,,,,
player,201810070phi,phi,AjayJa00,pass_yds,0,,,,,
player,201810070phi,phi,AjayJa00,pass_td,0,,,,,
player,201810070phi,phi,AjayJa00,pass_int,0,,,,,
player,201810070phi,phi,AjayJa00,pass_sacked,0,,,,,
player,201810070phi,phi,AjayJa00,pass_sacked_yds,0,,,,,
player,201810070phi,phi,AjayJa00,pass_long,0,,,,,
player,201810070phi,phi,AjayJa00,pass_rating,,,,,,
player,201810070phi,phi,AjayJa00,rush_att,8,,,,,
player,201810070phi,phi,AjayJa00,rush_yds,29,,,,,
player,201810070phi,phi,AjayJa00,rush_td,0,,,,,
player,201810070phi,phi,AjayJa00,rush_long,9,,,,,
player,201810070phi,phi,AjayJa00,targets,1,,,,,
player,201810070phi,phi,AjayJa00,rec,1,,,,,
player,201810070phi,phi,AjayJa00,rec_yds,5,,,,,
player,201810070phi,phi,AjayJa00,rec_td,0,,,,,
player,201810070phi,phi,AjayJa00,rec_long,5,,,,,
player,201810070phi,phi,AjayJa00,fumbles,1,,,,,
player,201810070phi,phi,AjayJa00,fumbles_lost,1,,,,,
player,201810070phi,phi,SmalWe00,pass_cmp,0,,,,,
player,201810070phi,phi,SmalWe00,pass_att,0,,,,,
player,201810070phi,phi,SmalWe00,pass_yds,0,,,,,
player,201810070phi,phi,SmalWe00,pass_td,0,,,,,
player,201810070phi,phi,SmalWe00,pass_int,0,,,,,
player,201810070phi,phi,SmalWe00,pass_sacked,0,,,,,
player,201810070phi,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201810070phi,phi,SmalWe00,pass_long,0,,,,,
player,201810070phi,phi,SmalWe00,pass_rating,,,,,,
player,201810070phi,phi,SmalWe00,rush_att,3,,,,,
player,201810070phi,phi,SmalWe00,rush_yds,27,,,,,
player,201810070phi,phi,SmalWe00,rush_td,0,,,,,
player,201810070phi,phi,SmalWe00,rush_long,13,,,,,
player,201810070phi,phi,SmalWe00,targets,4,,,,,
player,201810070phi,phi,SmalWe00,rec,3,,,,,
player,201810070phi,phi,SmalWe00,rec_yds,44,,,,,
player,201810070phi,phi,SmalWe00,rec_td,1,,,,,
player,201810070phi,phi,SmalWe00,rec_long,23,,,,,
player,201810070phi,phi,SmalWe00,fumbles,0,,,,,
player,201810070phi,phi,SmalWe00,fumbles_lost,0,,,,,
player,201810070phi,phi,ErtzZa00,pass_cmp,0,,,,,
player,201810070phi,phi,ErtzZa00,pass_att,0,,,,,
player,201810070phi,phi,ErtzZa00,pass_yds,0,,,,,
player,201810070phi,phi,ErtzZa00,pass_td,0,,,,,
player,201810070phi,phi,ErtzZa00,pass_int,0,,,,,
player,201810070phi,phi,ErtzZa00,pass_sacked,0,,,,,
player,201810070phi,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201810070phi,phi,ErtzZa00,pass_long,0,,,,,
player,201810070phi,phi,ErtzZa00,pass_rating,,,,,,
player,201810070phi,phi,ErtzZa00,rush_att,0,,,,,
player,201810070phi,phi,ErtzZa00,rush_yds,0,,,,,
player,201810070phi,phi,ErtzZa00,rush_td,0,,,,,
player,201810070phi,phi,ErtzZa00,rush_long,0,,,,,
player,201810070phi,phi,ErtzZa00,targets,11,,,,,
player,201810070phi,phi,ErtzZa00,rec,10,,,,,
player,201810070phi,phi,ErtzZa00,rec_yds,110,,,,,
player,201810070phi,phi,ErtzZa00,rec_td,1,,,,,
player,201810070phi,phi,ErtzZa00,rec_long,23,,,,,
player,201810070phi,phi,ErtzZa00,fumbles,0,,,,,
player,201810070phi,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201810070phi,phi,GibsSh00,pass_cmp,0,,,,,
player,201810070phi,phi,GibsSh00,pass_att,0,,,,,
player,201810070phi,phi,GibsSh00,pass_yds,0,,,,,
player,201810070phi,phi,GibsSh00,pass_td,0,,,,,
player,201810070phi,phi,GibsSh00,pass_int,0,,,,,
player,201810070phi,phi,GibsSh00,pass_sacked,0,,,,,
player,201810070phi,phi,GibsSh00,pass_sacked_yds,0,,,,,
player,201810070phi,phi,GibsSh00,pass_long,0,,,,,
player,201810070phi,phi,GibsSh00,pass_rating,,,,,,
player,201810070phi,phi,GibsSh00,rush_att,0,,,,,
player,201810070phi,phi,GibsSh00,rush_yds,0,,,,,
player,201810070phi,phi,GibsSh00,rush_td,0,,,,,
player,201810070phi,phi,GibsSh00,rush_long,0,,,,,
player,201810070phi,phi,GibsSh00,targets,1,,,,,
player,201810070phi,phi,GibsSh00,rec,1,,,,,
player,201810070phi,phi,GibsSh00,rec_yds,48,,,,,
player,201810070phi,phi,GibsSh00,rec_td,0,,,,,
player,201810070phi,phi,GibsSh00,rec_long,48,,,,,
player,201810070phi,phi,GibsSh00,fumbles,0,,,,,
player,201810070phi,phi,GibsSh00,fumbles_lost,0,,,,,
player,201810070phi,phi,AghoNe00,pass_cmp,0,,,,,
player,201810070phi,phi,AghoNe00,pass_att,0,,,,,
player,201810070phi,phi,AghoNe00,pass_yds,0,,,,,
player,201810070phi,phi,AghoNe00,pass_td,0,,,,,
player,201810070phi,phi,AghoNe00,pass_int,0,,,,,
player,201810070phi,phi,AghoNe00,pass_sacked,0,,,,,
player,201810070phi,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201810070phi,phi,AghoNe00,pass_long,0,,,,,
player,201810070phi,phi,AghoNe00,pass_rating,,,,,,
player,201810070phi,phi,AghoNe00,rush_att,0,,,,,
player,201810070phi,phi,AghoNe00,rush_yds,0,,,,,
player,201810070phi,phi,AghoNe00,rush_td,0,,,,,
player,201810070phi,phi,AghoNe00,rush_long,0,,,,,
player,201810070phi,phi,AghoNe00,targets,4,,,,,
player,201810070phi,phi,AghoNe00,rec,4,,,,,
player,201810070phi,phi,AghoNe00,rec_yds,45,,,,,
player,201810070phi,phi,AghoNe00,rec_td,0,,,,,
player,201810070phi,phi,AghoNe00,rec_long,20,,,,,
player,201810070phi,phi,AghoNe00,fumbles,0,,,,,
player,201810070phi,phi,AghoNe00,fumbles_lost,0,,,,,
player,201810070phi,phi,JeffAl00,pass_cmp,0,,,,,
player,201810070phi,phi,JeffAl00,pass_att,0,,,,,
player,201810070phi,phi,JeffAl00,pass_yds,0,,,,,
