game,2018,10,20181111,201811110gnb,mia,"Miami Dolphins",12,gnb,"Green Bay Packers",31
team,201811110gnb,mia,First Downs,19,,,,,,
team,201811110gnb,gnb,First Downs,21,,,,,,
team,201811110gnb,mia,Rush-Yds-TDs,23-131-0,,,,,,
team,201811110gnb,gnb,Rush-Yds-TDs,25-195-2,,,,,,
team,201811110gnb,mia,Cmp-Att-Yd-TD-INT,23-37-213-0-1,,,,,,
team,201811110gnb,gnb,Cmp-Att-Yd-TD-INT,19-28-199-2-0,,,,,,
team,201811110gnb,mia,Sacked-Yards,6-50,,,,,,
team,201811110gnb,gnb,Sacked-Yards,2-17,,,,,,
team,201811110gnb,mia,Net Pass Yards,163,,,,,,
team,201811110gnb,gnb,Net Pass Yards,182,,,,,,
team,201811110gnb,mia,Total Yards,294,,,,,,
team,201811110gnb,gnb,Total Yards,377,,,,,,
team,201811110gnb,mia,Fumbles-Lost,1-1,,,,,,
team,201811110gnb,gnb,Fumbles-Lost,1-1,,,,,,
team,201811110gnb,mia,Turnovers,2,,,,,,
team,201811110gnb,gnb,Turnovers,1,,,,,,
team,201811110gnb,mia,Penalties-Yards,3-10,,,,,,
team,201811110gnb,gnb,Penalties-Yards,6-45,,,,,,
team,201811110gnb,mia,Third Down Conv.,4-14,,,,,,
team,201811110gnb,gnb,Third Down Conv.,4-10,,,,,,
team,201811110gnb,mia,Fourth Down Conv.,3-4,,,,,,
team,201811110gnb,gnb,Fourth Down Conv.,1-2,,,,,,
team,201811110gnb,mia,Time of Possession,32:08,,,,,,
team,201811110gnb,gnb,Time of Possession,27:52,,,,,,
player,201811110gnb,mia,OsweBr00,pass_cmp,23,,,,,
player,201811110gnb,mia,OsweBr00,pass_att,37,,,,,
player,201811110gnb,mia,OsweBr00,pass_yds,213,,,,,
player,201811110gnb,mia,OsweBr00,pass_td,0,,,,,
player,201811110gnb,mia,OsweBr00,pass_int,1,,,,,
player,201811110gnb,mia,OsweBr00,pass_sacked,6,,,,,
player,201811110gnb,mia,OsweBr00,pass_sacked_yds,50,,,,,
player,201811110gnb,mia,OsweBr00,pass_long,39,,,,,
player,201811110gnb,mia,OsweBr00,pass_rating,66.6,,,,,
player,201811110gnb,mia,OsweBr00,rush_att,1,,,,,
player,201811110gnb,mia,OsweBr00,rush_yds,0,,,,,
player,201811110gnb,mia,OsweBr00,rush_td,0,,,,,
player,201811110gnb,mia,OsweBr00,rush_long,0,,,,,
player,201811110gnb,mia,OsweBr00,targets,0,,,,,
player,201811110gnb,mia,OsweBr00,rec,0,,,,,
player,201811110gnb,mia,OsweBr00,rec_yds,0,,,,,
player,201811110gnb,mia,OsweBr00,rec_td,0,,,,,
player,201811110gnb,mia,OsweBr00,rec_long,0,,,,,
player,201811110gnb,mia,OsweBr00,fumbles,1,,,,,
player,201811110gnb,mia,OsweBr00,fumbles_lost,1,,,,,
player,201811110gnb,mia,GoreFr00,pass_cmp,0,,,,,
player,201811110gnb,mia,GoreFr00,pass_att,0,,,,,
player,201811110gnb,mia,GoreFr00,pass_yds,0,,,,,
player,201811110gnb,mia,GoreFr00,pass_td,0,,,,,
player,201811110gnb,mia,GoreFr00,pass_int,0,,,,,
player,201811110gnb,mia,GoreFr00,pass_sacked,0,,,,,
player,201811110gnb,mia,GoreFr00,pass_sacked_yds,0,,,,,
player,201811110gnb,mia,GoreFr00,pass_long,0,,,,,
player,201811110gnb,mia,GoreFr00,pass_rating,,,,,,
player,201811110gnb,mia,GoreFr00,rush_att,13,,,,,
player,201811110gnb,mia,GoreFr00,rush_yds,90,,,,,
player,201811110gnb,mia,GoreFr00,rush_td,0,,,,,
player,201811110gnb,mia,GoreFr00,rush_long,39,,,,,
player,201811110gnb,mia,GoreFr00,targets,3,,,,,
player,201811110gnb,mia,GoreFr00,rec,2,,,,,
player,201811110gnb,mia,GoreFr00,rec_yds,12,,,,,
player,201811110gnb,mia,GoreFr00,rec_td,0,,,,,
player,201811110gnb,mia,GoreFr00,rec_long,8,,,,,
player,201811110gnb,mia,GoreFr00,fumbles,0,,,,,
player,201811110gnb,mia,GoreFr00,fumbles_lost,0,,,,,
player,201811110gnb,mia,DrakKe00,pass_cmp,0,,,,,
player,201811110gnb,mia,DrakKe00,pass_att,0,,,,,
player,201811110gnb,mia,DrakKe00,pass_yds,0,,,,,
player,201811110gnb,mia,DrakKe00,pass_td,0,,,,,
player,201811110gnb,mia,DrakKe00,pass_int,0,,,,,
player,201811110gnb,mia,DrakKe00,pass_sacked,0,,,,,
player,201811110gnb,mia,DrakKe00,pass_sacked_yds,0,,,,,
player,201811110gnb,mia,DrakKe00,pass_long,0,,,,,
player,201811110gnb,mia,DrakKe00,pass_rating,,,,,,
player,201811110gnb,mia,DrakKe00,rush_att,8,,,,,
player,201811110gnb,mia,DrakKe00,rush_yds,27,,,,,
player,201811110gnb,mia,DrakKe00,rush_td,0,,,,,
player,201811110gnb,mia,DrakKe00,rush_long,6,,,,,
player,201811110gnb,mia,DrakKe00,targets,2,,,,,
player,201811110gnb,mia,DrakKe00,rec,2,,,,,
player,201811110gnb,mia,DrakKe00,rec_yds,11,,,,,
player,201811110gnb,mia,DrakKe00,rec_td,0,,,,,
player,201811110gnb,mia,DrakKe00,rec_long,8,,,,,
player,201811110gnb,mia,DrakKe00,fumbles,0,,,,,
player,201811110gnb,mia,DrakKe00,fumbles_lost,0,,,,,
player,201811110gnb,mia,CarrLe00,pass_cmp,0,,,,,
player,201811110gnb,mia,CarrLe00,pass_att,0,,,,,
player,201811110gnb,mia,CarrLe00,pass_yds,0,,,,,
player,201811110gnb,mia,CarrLe00,pass_td,0,,,,,
player,201811110gnb,mia,CarrLe00,pass_int,0,,,,,
player,201811110gnb,mia,CarrLe00,pass_sacked,0,,,,,
player,201811110gnb,mia,CarrLe00,pass_sacked_yds,0,,,,,
player,201811110gnb,mia,CarrLe00,pass_long,0,,,,,
player,201811110gnb,mia,CarrLe00,pass_rating,,,,,,
player,201811110gnb,mia,CarrLe00,rush_att,1,,,,,
player,201811110gnb,mia,CarrLe00,rush_yds,14,,,,,
player,201811110gnb,mia,CarrLe00,rush_td,0,,,,,
player,201811110gnb,mia,CarrLe00,rush_long,14,,,,,
player,201811110gnb,mia,CarrLe00,targets,1,,,,,
player,201811110gnb,mia,CarrLe00,rec,1,,,,,
player,201811110gnb,mia,CarrLe00,rec_yds,20,,,,,
player,201811110gnb,mia,CarrLe00,rec_td,0,,,,,
player,201811110gnb,mia,CarrLe00,rec_long,20,,,,,
player,201811110gnb,mia,CarrLe00,fumbles,0,,,,,
player,201811110gnb,mia,CarrLe00,fumbles_lost,0,,,,,
player,201811110gnb,mia,AmenDa00,pass_cmp,0,,,,,
player,201811110gnb,mia,AmenDa00,pass_att,0,,,,,
player,201811110gnb,mia,AmenDa00,pass_yds,0,,,,,
player,201811110gnb,mia,AmenDa00,pass_td,0,,,,,
player,201811110gnb,mia,AmenDa00,pass_int,0,,,,,
player,201811110gnb,mia,AmenDa00,pass_sacked,0,,,,,
player,201811110gnb,mia,AmenDa00,pass_sacked_yds,0,,,,,
player,201811110gnb,mia,AmenDa00,pass_long,0,,,,,
player,201811110gnb,mia,AmenDa00,pass_rating,,,,,,
player,201811110gnb,mia,AmenDa00,rush_att,0,,,,,
player,201811110gnb,mia,AmenDa00,rush_yds,0,,,,,
player,201811110gnb,mia,AmenDa00,rush_td,0,,,,,
player,201811110gnb,mia,AmenDa00,rush_long,0,,,,,
player,201811110gnb,mia,AmenDa00,targets,10,,,,,
player,201811110gnb,mia,AmenDa00,rec,7,,,,,
player,201811110gnb,mia,AmenDa00,rec_yds,72,,,,,
player,201811110gnb,mia,AmenDa00,rec_td,0,,,,,
player,201811110gnb,mia,AmenDa00,rec_long,39,,,,,
player,201811110gnb,mia,AmenDa00,fumbles,0,,,,,
player,201811110gnb,mia,AmenDa00,fumbles_lost,0,,,,,
player,201811110gnb,mia,ParkDe01,pass_cmp,0,,,,,
player,201811110gnb,mia,ParkDe01,pass_att,0,,,,,
player,201811110gnb,mia,ParkDe01,pass_yds,0,,,,,
player,201811110gnb,mia,ParkDe01,pass_td,0,,,,,
player,201811110gnb,mia,ParkDe01,pass_int,0,,,,,
player,201811110gnb,mia,ParkDe01,pass_sacked,0,,,,,
player,201811110gnb,mia,ParkDe01,pass_sacked_yds,0,,,,,
player,201811110gnb,mia,ParkDe01,pass_long,0,,,,,
player,201811110gnb,mia,ParkDe01,pass_rating,,,,,,
player,201811110gnb,mia,ParkDe01,rush_att,0,,,,,
player,201811110gnb,mia,ParkDe01,rush_yds,0,,,,,
player,201811110gnb,mia,ParkDe01,rush_td,0,,,,,
player,201811110gnb,mia,ParkDe01,rush_long,0,,,,,
player,201811110gnb,mia,ParkDe01,targets,11,,,,,
player,201811110gnb,mia,ParkDe01,rec,5,,,,,
player,201811110gnb,mia,ParkDe01,rec_yds,43,,,,,
player,201811110gnb,mia,ParkDe01,rec_td,0,,,,,
player,201811110gnb,mia,ParkDe01,rec_long,14,,,,,
player,201811110gnb,mia,ParkDe01,fumbles,0,,,,,
player,201811110gnb,mia,ParkDe01,fumbles_lost,0,,,,,
player,201811110gnb,mia,StilKe00,pass_cmp,0,,,,,
player,201811110gnb,mia,StilKe00,pass_att,0,,,,,
player,201811110gnb,mia,StilKe00,pass_yds,0,,,,,
player,201811110gnb,mia,StilKe00,pass_td,0,,,,,
player,201811110gnb,mia,StilKe00,pass_int,0,,,,,
player,201811110gnb,mia,StilKe00,pass_sacked,0,,,,,
player,201811110gnb,mia,StilKe00,pass_sacked_yds,0,,,,,
player,201811110gnb,mia,StilKe00,pass_long,0,,,,,
player,201811110gnb,mia,StilKe00,pass_rating,,,,,,
player,201811110gnb,mia,StilKe00,rush_att,0,,,,,
player,201811110gnb,mia,StilKe00,rush_yds,0,,,,,
player,201811110gnb,mia,StilKe00,rush_td,0,,,,,
player,201811110gnb,mia,StilKe00,rush_long,0,,,,,
player,201811110gnb,mia,StilKe00,targets,3,,,,,
player,201811110gnb,mia,StilKe00,rec,2,,,,,
player,201811110gnb,mia,StilKe00,rec_yds,26,,,,,
player,201811110gnb,mia,StilKe00,rec_td,0,,,,,
player,201811110gnb,mia,StilKe00,rec_long,18,,,,,
player,201811110gnb,mia,StilKe00,fumbles,0,,,,,
player,201811110gnb,mia,StilKe00,fumbles_lost,0,,,,,
player,201811110gnb,mia,DerbA.00,pass_cmp,0,,,,,
player,201811110gnb,mia,DerbA.00,pass_att,0,,,,,
player,201811110gnb,mia,DerbA.00,pass_yds,0,,,,,
player,201811110gnb,mia,DerbA.00,pass_td,0,,,,,
player,201811110gnb,mia,DerbA.00,pass_int,0,,,,,
player,201811110gnb,mia,DerbA.00,pass_sacked,0,,,,,
player,201811110gnb,mia,DerbA.00,pass_sacked_yds,0,,,,,
player,201811110gnb,mia,DerbA.00,pass_long,0,,,,,
player,201811110gnb,mia,DerbA.00,pass_rating,,,,,,
player,201811110gnb,mia,DerbA.00,rush_att,0,,,,,
player,201811110gnb,mia,DerbA.00,rush_yds,0,,,,,
player,201811110gnb,mia,DerbA.00,rush_td,0,,,,,
player,201811110gnb,mia,DerbA.00,rush_long,0,,,,,
player,201811110gnb,mia,DerbA.00,targets,2,,,,,
player,201811110gnb,mia,DerbA.00,rec,1,,,,,
player,201811110gnb,mia,DerbA.00,rec_yds,13,,,,,
player,201811110gnb,mia,DerbA.00,rec_td,0,,,,,
player,201811110gnb,mia,DerbA.00,rec_long,13,,,,,
player,201811110gnb,mia,DerbA.00,fumbles,0,,,,,
player,201811110gnb,mia,DerbA.00,fumbles_lost,0,,,,,
player,201811110gnb,mia,BallKa00,pass_cmp,0,,,,,
player,201811110gnb,mia,BallKa00,pass_att,0,,,,,
player,201811110gnb,mia,BallKa00,pass_yds,0,,,,,
player,201811110gnb,mia,BallKa00,pass_td,0,,,,,
player,201811110gnb,mia,BallKa00,pass_int,0,,,,,
player,201811110gnb,mia,BallKa00,pass_sacked,0,,,,,
player,201811110gnb,mia,BallKa00,pass_sacked_yds,0,,,,,
player,201811110gnb,mia,BallKa00,pass_long,0,,,,,
player,201811110gnb,mia,BallKa00,pass_rating,,,,,,
player,201811110gnb,mia,BallKa00,rush_att,0,,,,,
player,201811110gnb,mia,BallKa00,rush_yds,0,,,,,
player,201811110gnb,mia,BallKa00,rush_td,0,,,,,
player,201811110gnb,mia,BallKa00,rush_long,0,,,,,
player,201811110gnb,mia,BallKa00,targets,1,,,,,
player,201811110gnb,mia,BallKa00,rec,1,,,,,
player,201811110gnb,mia,BallKa00,rec_yds,6,,,,,
player,201811110gnb,mia,BallKa00,rec_td,0,,,,,
player,201811110gnb,mia,BallKa00,rec_long,6,,,,,
player,201811110gnb,mia,BallKa00,fumbles,0,,,,,
player,201811110gnb,mia,BallKa00,fumbles_lost,0,,,,,
player,201811110gnb,mia,OLeaNi00,pass_cmp,0,,,,,
player,201811110gnb,mia,OLeaNi00,pass_att,0,,,,,
player,201811110gnb,mia,OLeaNi00,pass_yds,0,,,,,
player,201811110gnb,mia,OLeaNi00,pass_td,0,,,,,
player,201811110gnb,mia,OLeaNi00,pass_int,0,,,,,
player,201811110gnb,mia,OLeaNi00,pass_sacked,0,,,,,
player,201811110gnb,mia,OLeaNi00,pass_sacked_yds,0,,,,,
player,201811110gnb,mia,OLeaNi00,pass_long,0,,,,,
player,201811110gnb,mia,OLeaNi00,pass_rating,,,,,,
player,201811110gnb,mia,OLeaNi00,rush_att,0,,,,,
player,201811110gnb,mia,OLeaNi00,rush_yds,0,,,,,
player,201811110gnb,mia,OLeaNi00,rush_td,0,,,,,
player,201811110gnb,mia,OLeaNi00,rush_long,0,,,,,
player,201811110gnb,mia,OLeaNi00,targets,1,,,,,
player,201811110gnb,mia,OLeaNi00,rec,1,,,,,
player,201811110gnb,mia,OLeaNi00,rec_yds,5,,,,,
player,201811110gnb,mia,OLeaNi00,rec_td,0,,,,,
player,201811110gnb,mia,OLeaNi00,rec_long,5,,,,,
player,201811110gnb,mia,OLeaNi00,fumbles,0,,,,,
player,201811110gnb,mia,OLeaNi00,fumbles_lost,0,,,,,
player,201811110gnb,mia,GesiMi00,pass_cmp,0,,,,,
player,201811110gnb,mia,GesiMi00,pass_att,0,,,,,
player,201811110gnb,mia,GesiMi00,pass_yds,0,,,,,
player,201811110gnb,mia,GesiMi00,pass_td,0,,,,,
player,201811110gnb,mia,GesiMi00,pass_int,0,,,,,
player,201811110gnb,mia,GesiMi00,pass_sacked,0,,,,,
player,201811110gnb,mia,GesiMi00,pass_sacked_yds,0,,,,,
player,201811110gnb,mia,GesiMi00,pass_long,0,,,,,
player,201811110gnb,mia,GesiMi00,pass_rating,,,,,,
player,201811110gnb,mia,GesiMi00,rush_att,0,,,,,
