game,2018,12,20181125,201811250tam,sfo,"San Francisco 49ers",9,tam,"Tampa Bay Buccaneers",27
team,201811250tam,sfo,First Downs,23,,,,,,
team,201811250tam,tam,First Downs,25,,,,,,
team,201811250tam,sfo,Rush-Yds-TDs,24-148-0,,,,,,
team,201811250tam,tam,Rush-Yds-TDs,31-108-1,,,,,,
team,201811250tam,sfo,Cmp-Att-Yd-TD-INT,18-32-221-1-2,,,,,,
team,201811250tam,tam,Cmp-Att-Yd-TD-INT,29-38-312-2-0,,,,,,
team,201811250tam,sfo,Sacked-Yards,4-27,,,,,,
team,201811250tam,tam,Sacked-Yards,1-8,,,,,,
team,201811250tam,sfo,Net Pass Yards,194,,,,,,
team,201811250tam,tam,Net Pass Yards,304,,,,,,
team,201811250tam,sfo,Total Yards,342,,,,,,
team,201811250tam,tam,Total Yards,412,,,,,,
team,201811250tam,sfo,Fumbles-Lost,1-0,,,,,,
team,201811250tam,tam,Fumbles-Lost,0-0,,,,,,
team,201811250tam,sfo,Turnovers,2,,,,,,
team,201811250tam,tam,Turnovers,0,,,,,,
team,201811250tam,sfo,Penalties-Yards,8-68,,,,,,
team,201811250tam,tam,Penalties-Yards,9-70,,,,,,
team,201811250tam,sfo,Third Down Conv.,1-8,,,,,,
team,201811250tam,tam,Third Down Conv.,7-13,,,,,,
team,201811250tam,sfo,Fourth Down Conv.,0-0,,,,,,
team,201811250tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201811250tam,sfo,Time of Possession,25:51,,,,,,
team,201811250tam,tam,Time of Possession,34:09,,,,,,
player,201811250tam,sfo,MullNi00,pass_cmp,18,,,,,
player,201811250tam,sfo,MullNi00,pass_att,32,,,,,
player,201811250tam,sfo,MullNi00,pass_yds,221,,,,,
player,201811250tam,sfo,MullNi00,pass_td,1,,,,,
player,201811250tam,sfo,MullNi00,pass_int,2,,,,,
player,201811250tam,sfo,MullNi00,pass_sacked,4,,,,,
player,201811250tam,sfo,MullNi00,pass_sacked_yds,27,,,,,
player,201811250tam,sfo,MullNi00,pass_long,25,,,,,
player,201811250tam,sfo,MullNi00,pass_rating,62.1,,,,,
player,201811250tam,sfo,MullNi00,rush_att,2,,,,,
player,201811250tam,sfo,MullNi00,rush_yds,-1,,,,,
player,201811250tam,sfo,MullNi00,rush_td,0,,,,,
player,201811250tam,sfo,MullNi00,rush_long,0,,,,,
player,201811250tam,sfo,MullNi00,targets,0,,,,,
player,201811250tam,sfo,MullNi00,rec,0,,,,,
player,201811250tam,sfo,MullNi00,rec_yds,0,,,,,
player,201811250tam,sfo,MullNi00,rec_td,0,,,,,
player,201811250tam,sfo,MullNi00,rec_long,0,,,,,
player,201811250tam,sfo,MullNi00,fumbles,1,,,,,
player,201811250tam,sfo,MullNi00,fumbles_lost,0,,,,,
player,201811250tam,sfo,BreiMa00,pass_cmp,0,,,,,
player,201811250tam,sfo,BreiMa00,pass_att,0,,,,,
player,201811250tam,sfo,BreiMa00,pass_yds,0,,,,,
player,201811250tam,sfo,BreiMa00,pass_td,0,,,,,
player,201811250tam,sfo,BreiMa00,pass_int,0,,,,,
player,201811250tam,sfo,BreiMa00,pass_sacked,0,,,,,
player,201811250tam,sfo,BreiMa00,pass_sacked_yds,0,,,,,
player,201811250tam,sfo,BreiMa00,pass_long,0,,,,,
player,201811250tam,sfo,BreiMa00,pass_rating,,,,,,
player,201811250tam,sfo,BreiMa00,rush_att,14,,,,,
player,201811250tam,sfo,BreiMa00,rush_yds,106,,,,,
player,201811250tam,sfo,BreiMa00,rush_td,0,,,,,
player,201811250tam,sfo,BreiMa00,rush_long,33,,,,,
player,201811250tam,sfo,BreiMa00,targets,4,,,,,
player,201811250tam,sfo,BreiMa00,rec,3,,,,,
player,201811250tam,sfo,BreiMa00,rec_yds,34,,,,,
player,201811250tam,sfo,BreiMa00,rec_td,0,,,,,
player,201811250tam,sfo,BreiMa00,rec_long,24,,,,,
player,201811250tam,sfo,BreiMa00,fumbles,0,,,,,
player,201811250tam,sfo,BreiMa00,fumbles_lost,0,,,,,
player,201811250tam,sfo,WilsJe01,pass_cmp,0,,,,,
player,201811250tam,sfo,WilsJe01,pass_att,0,,,,,
player,201811250tam,sfo,WilsJe01,pass_yds,0,,,,,
player,201811250tam,sfo,WilsJe01,pass_td,0,,,,,
player,201811250tam,sfo,WilsJe01,pass_int,0,,,,,
player,201811250tam,sfo,WilsJe01,pass_sacked,0,,,,,
player,201811250tam,sfo,WilsJe01,pass_sacked_yds,0,,,,,
player,201811250tam,sfo,WilsJe01,pass_long,0,,,,,
player,201811250tam,sfo,WilsJe01,pass_rating,,,,,,
player,201811250tam,sfo,WilsJe01,rush_att,7,,,,,
player,201811250tam,sfo,WilsJe01,rush_yds,33,,,,,
player,201811250tam,sfo,WilsJe01,rush_td,0,,,,,
player,201811250tam,sfo,WilsJe01,rush_long,18,,,,,
player,201811250tam,sfo,WilsJe01,targets,1,,,,,
player,201811250tam,sfo,WilsJe01,rec,1,,,,,
player,201811250tam,sfo,WilsJe01,rec_yds,8,,,,,
player,201811250tam,sfo,WilsJe01,rec_td,0,,,,,
player,201811250tam,sfo,WilsJe01,rec_long,8,,,,,
player,201811250tam,sfo,WilsJe01,fumbles,0,,,,,
player,201811250tam,sfo,WilsJe01,fumbles_lost,0,,,,,
player,201811250tam,sfo,KittGe00,pass_cmp,0,,,,,
player,201811250tam,sfo,KittGe00,pass_att,0,,,,,
player,201811250tam,sfo,KittGe00,pass_yds,0,,,,,
player,201811250tam,sfo,KittGe00,pass_td,0,,,,,
player,201811250tam,sfo,KittGe00,pass_int,0,,,,,
player,201811250tam,sfo,KittGe00,pass_sacked,0,,,,,
player,201811250tam,sfo,KittGe00,pass_sacked_yds,0,,,,,
player,201811250tam,sfo,KittGe00,pass_long,0,,,,,
player,201811250tam,sfo,KittGe00,pass_rating,,,,,,
player,201811250tam,sfo,KittGe00,rush_att,1,,,,,
player,201811250tam,sfo,KittGe00,rush_yds,10,,,,,
player,201811250tam,sfo,KittGe00,rush_td,0,,,,,
player,201811250tam,sfo,KittGe00,rush_long,10,,,,,
player,201811250tam,sfo,KittGe00,targets,13,,,,,
player,201811250tam,sfo,KittGe00,rec,6,,,,,
player,201811250tam,sfo,KittGe00,rec_yds,48,,,,,
player,201811250tam,sfo,KittGe00,rec_td,0,,,,,
