game,2018,8,20181028,201810280det,sea,"Seattle Seahawks",28,det,"Detroit Lions",14
team,201810280det,sea,First Downs,20,,,,,,
team,201810280det,det,First Downs,21,,,,,,
team,201810280det,sea,Rush-Yds-TDs,42-176-1,,,,,,
team,201810280det,det,Rush-Yds-TDs,13-34-0,,,,,,
team,201810280det,sea,Cmp-Att-Yd-TD-INT,14-17-248-3-0,,,,,,
team,201810280det,det,Cmp-Att-Yd-TD-INT,27-40-310-2-1,,,,,,
team,201810280det,sea,Sacked-Yards,2-11,,,,,,
team,201810280det,det,Sacked-Yards,3-13,,,,,,
team,201810280det,sea,Net Pass Yards,237,,,,,,
team,201810280det,det,Net Pass Yards,297,,,,,,
team,201810280det,sea,Total Yards,413,,,,,,
team,201810280det,det,Total Yards,331,,,,,,
team,201810280det,sea,Fumbles-Lost,0-0,,,,,,
team,201810280det,det,Fumbles-Lost,2-2,,,,,,
team,201810280det,sea,Turnovers,0,,,,,,
team,201810280det,det,Turnovers,3,,,,,,
team,201810280det,sea,Penalties-Yards,7-111,,,,,,
team,201810280det,det,Penalties-Yards,4-32,,,,,,
team,201810280det,sea,Third Down Conv.,6-12,,,,,,
team,201810280det,det,Third Down Conv.,6-10,,,,,,
team,201810280det,sea,Fourth Down Conv.,1-2,,,,,,
team,201810280det,det,Fourth Down Conv.,0-0,,,,,,
team,201810280det,sea,Time of Possession,34:55,,,,,,
team,201810280det,det,Time of Possession,25:05,,,,,,
player,201810280det,sea,WilsRu00,pass_cmp,14,,,,,
player,201810280det,sea,WilsRu00,pass_att,17,,,,,
player,201810280det,sea,WilsRu00,pass_yds,248,,,,,
player,201810280det,sea,WilsRu00,pass_td,3,,,,,
player,201810280det,sea,WilsRu00,pass_int,0,,,,,
player,201810280det,sea,WilsRu00,pass_sacked,2,,,,,
player,201810280det,sea,WilsRu00,pass_sacked_yds,11,,,,,
player,201810280det,sea,WilsRu00,pass_long,45,,,,,
player,201810280det,sea,WilsRu00,pass_rating,158.3,,,,,
player,201810280det,sea,WilsRu00,rush_att,2,,,,,
player,201810280det,sea,WilsRu00,rush_yds,15,,,,,
player,201810280det,sea,WilsRu00,rush_td,0,,,,,
player,201810280det,sea,WilsRu00,rush_long,11,,,,,
player,201810280det,sea,WilsRu00,targets,0,,,,,
player,201810280det,sea,WilsRu00,rec,0,,,,,
player,201810280det,sea,WilsRu00,rec_yds,0,,,,,
player,201810280det,sea,WilsRu00,rec_td,0,,,,,
player,201810280det,sea,WilsRu00,rec_long,0,,,,,
player,201810280det,sea,WilsRu00,fumbles,0,,,,,
player,201810280det,sea,WilsRu00,fumbles_lost,0,,,,,
player,201810280det,sea,CarsCh00,pass_cmp,0,,,,,
player,201810280det,sea,CarsCh00,pass_att,0,,,,,
player,201810280det,sea,CarsCh00,pass_yds,0,,,,,
player,201810280det,sea,CarsCh00,pass_td,0,,,,,
player,201810280det,sea,CarsCh00,pass_int,0,,,,,
player,201810280det,sea,CarsCh00,pass_sacked,0,,,,,
player,201810280det,sea,CarsCh00,pass_sacked_yds,0,,,,,
player,201810280det,sea,CarsCh00,pass_long,0,,,,,
player,201810280det,sea,CarsCh00,pass_rating,,,,,,
player,201810280det,sea,CarsCh00,rush_att,25,,,,,
player,201810280det,sea,CarsCh00,rush_yds,105,,,,,
player,201810280det,sea,CarsCh00,rush_td,1,,,,,
player,201810280det,sea,CarsCh00,rush_long,12,,,,,
player,201810280det,sea,CarsCh00,targets,2,,,,,
player,201810280det,sea,CarsCh00,rec,2,,,,,
player,201810280det,sea,CarsCh00,rec_yds,19,,,,,
player,201810280det,sea,CarsCh00,rec_td,0,,,,,
player,201810280det,sea,CarsCh00,rec_long,17,,,,,
player,201810280det,sea,CarsCh00,fumbles,0,,,,,
player,201810280det,sea,CarsCh00,fumbles_lost,0,,,,,
player,201810280det,sea,DaviMi01,pass_cmp,0,,,,,
player,201810280det,sea,DaviMi01,pass_att,0,,,,,
player,201810280det,sea,DaviMi01,pass_yds,0,,,,,
player,201810280det,sea,DaviMi01,pass_td,0,,,,,
player,201810280det,sea,DaviMi01,pass_int,0,,,,,
player,201810280det,sea,DaviMi01,pass_sacked,0,,,,,
player,201810280det,sea,DaviMi01,pass_sacked_yds,0,,,,,
player,201810280det,sea,DaviMi01,pass_long,0,,,,,
player,201810280det,sea,DaviMi01,pass_rating,,,,,,
player,201810280det,sea,DaviMi01,rush_att,10,,,,,
player,201810280det,sea,DaviMi01,rush_yds,33,,,,,
player,201810280det,sea,DaviMi01,rush_td,0,,,,,
player,201810280det,sea,DaviMi01,rush_long,6,,,,,
player,201810280det,sea,DaviMi01,targets,1,,,,,
player,201810280det,sea,DaviMi01,rec,1,,,,,
player,201810280det,sea,DaviMi01,rec_yds,2,,,,,
player,201810280det,sea,DaviMi01,rec_td,0,,,,,
player,201810280det,sea,DaviMi01,rec_long,2,,,,,
player,201810280det,sea,DaviMi01,fumbles,0,,,,,
player,201810280det,sea,DaviMi01,fumbles_lost,0,,,,,
player,201810280det,sea,LockTy00,pass_cmp,0,,,,,
player,201810280det,sea,LockTy00,pass_att,0,,,,,
player,201810280det,sea,LockTy00,pass_yds,0,,,,,
player,201810280det,sea,LockTy00,pass_td,0,,,,,
player,201810280det,sea,LockTy00,pass_int,0,,,,,
player,201810280det,sea,LockTy00,pass_sacked,0,,,,,
player,201810280det,sea,LockTy00,pass_sacked_yds,0,,,,,
player,201810280det,sea,LockTy00,pass_long,0,,,,,
player,201810280det,sea,LockTy00,pass_rating,,,,,,
player,201810280det,sea,LockTy00,rush_att,2,,,,,
player,201810280det,sea,LockTy00,rush_yds,13,,,,,
player,201810280det,sea,LockTy00,rush_td,0,,,,,
player,201810280det,sea,LockTy00,rush_long,10,,,,,
player,201810280det,sea,LockTy00,targets,2,,,,,
player,201810280det,sea,LockTy00,rec,2,,,,,
player,201810280det,sea,LockTy00,rec_yds,34,,,,,
player,201810280det,sea,LockTy00,rec_td,1,,,,,
player,201810280det,sea,LockTy00,rec_long,24,,,,,
player,201810280det,sea,LockTy00,fumbles,0,,,,,
player,201810280det,sea,LockTy00,fumbles_lost,0,,,,,
player,201810280det,sea,DickMi00,pass_cmp,0,,,,,
player,201810280det,sea,DickMi00,pass_att,0,,,,,
player,201810280det,sea,DickMi00,pass_yds,0,,,,,
player,201810280det,sea,DickMi00,pass_td,0,,,,,
player,201810280det,sea,DickMi00,pass_int,0,,,,,
player,201810280det,sea,DickMi00,pass_sacked,0,,,,,
player,201810280det,sea,DickMi00,pass_sacked_yds,0,,,,,
player,201810280det,sea,DickMi00,pass_long,0,,,,,
player,201810280det,sea,DickMi00,pass_rating,,,,,,
player,201810280det,sea,DickMi00,rush_att,1,,,,,
player,201810280det,sea,DickMi00,rush_yds,9,,,,,
player,201810280det,sea,DickMi00,rush_td,0,,,,,
player,201810280det,sea,DickMi00,rush_long,9,,,,,
player,201810280det,sea,DickMi00,targets,0,,,,,
player,201810280det,sea,DickMi00,rec,0,,,,,
player,201810280det,sea,DickMi00,rec_yds,0,,,,,
player,201810280det,sea,DickMi00,rec_td,0,,,,,
player,201810280det,sea,DickMi00,rec_long,0,,,,,
player,201810280det,sea,DickMi00,fumbles,0,,,,,
player,201810280det,sea,DickMi00,fumbles_lost,0,,,,,
player,201810280det,sea,MaddTr01,pass_cmp,0,,,,,
