game,2018,5,20181004,201810040nwe,clt,"Indianapolis Colts",24,nwe,"New England Patriots",38
team,201810040nwe,clt,First Downs,26,,,,,,
team,201810040nwe,nwe,First Downs,26,,,,,,
team,201810040nwe,clt,Rush-Yds-TDs,21-84-0,,,,,,
team,201810040nwe,nwe,Rush-Yds-TDs,23-97-2,,,,,,
team,201810040nwe,clt,Cmp-Att-Yd-TD-INT,38-59-365-3-2,,,,,,
team,201810040nwe,nwe,Cmp-Att-Yd-TD-INT,34-44-341-3-2,,,,,,
team,201810040nwe,clt,Sacked-Yards,1-10,,,,,,
team,201810040nwe,nwe,Sacked-Yards,0-0,,,,,,
team,201810040nwe,clt,Net Pass Yards,355,,,,,,
team,201810040nwe,nwe,Net Pass Yards,341,,,,,,
team,201810040nwe,clt,Total Yards,439,,,,,,
team,201810040nwe,nwe,Total Yards,438,,,,,,
team,201810040nwe,clt,Fumbles-Lost,1-1,,,,,,
team,201810040nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201810040nwe,clt,Turnovers,3,,,,,,
team,201810040nwe,nwe,Turnovers,2,,,,,,
team,201810040nwe,clt,Penalties-Yards,4-35,,,,,,
team,201810040nwe,nwe,Penalties-Yards,7-50,,,,,,
team,201810040nwe,clt,Third Down Conv.,7-15,,,,,,
team,201810040nwe,nwe,Third Down Conv.,5-10,,,,,,
team,201810040nwe,clt,Fourth Down Conv.,2-3,,,,,,
team,201810040nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201810040nwe,clt,Time of Possession,32:26,,,,,,
team,201810040nwe,nwe,Time of Possession,27:34,,,,,,
player,201810040nwe,clt,LuckAn00,pass_cmp,38,,,,,
player,201810040nwe,clt,LuckAn00,pass_att,59,,,,,
player,201810040nwe,clt,LuckAn00,pass_yds,365,,,,,
player,201810040nwe,clt,LuckAn00,pass_td,3,,,,,
player,201810040nwe,clt,LuckAn00,pass_int,2,,,,,
player,201810040nwe,clt,LuckAn00,pass_sacked,1,,,,,
player,201810040nwe,clt,LuckAn00,pass_sacked_yds,10,,,,,
player,201810040nwe,clt,LuckAn00,pass_long,28,,,,,
player,201810040nwe,clt,LuckAn00,pass_rating,84.4,,,,,
player,201810040nwe,clt,LuckAn00,rush_att,0,,,,,
player,201810040nwe,clt,LuckAn00,rush_yds,0,,,,,
player,201810040nwe,clt,LuckAn00,rush_td,0,,,,,
player,201810040nwe,clt,LuckAn00,rush_long,0,,,,,
player,201810040nwe,clt,LuckAn00,targets,0,,,,,
player,201810040nwe,clt,LuckAn00,rec,0,,,,,
player,201810040nwe,clt,LuckAn00,rec_yds,0,,,,,
player,201810040nwe,clt,LuckAn00,rec_td,0,,,,,
player,201810040nwe,clt,LuckAn00,rec_long,0,,,,,
