game,2018,5,20181007,201810070sdg,rai,"Oakland Raiders",10,sdg,"Los Angeles Chargers",26
team,201810070sdg,rai,First Downs,14,,,,,,
team,201810070sdg,sdg,First Downs,19,,,,,,
team,201810070sdg,rai,Rush-Yds-TDs,13-41-0,,,,,,
team,201810070sdg,sdg,Rush-Yds-TDs,31-79-1,,,,,,
team,201810070sdg,rai,Cmp-Att-Yd-TD-INT,24-33-268-1-1,,,,,,
team,201810070sdg,sdg,Cmp-Att-Yd-TD-INT,22-27-339-2-0,,,,,,
team,201810070sdg,rai,Sacked-Yards,3-20,,,,,,
team,201810070sdg,sdg,Sacked-Yards,1-6,,,,,,
team,201810070sdg,rai,Net Pass Yards,248,,,,,,
team,201810070sdg,sdg,Net Pass Yards,333,,,,,,
team,201810070sdg,rai,Total Yards,289,,,,,,
team,201810070sdg,sdg,Total Yards,412,,,,,,
team,201810070sdg,rai,Fumbles-Lost,1-1,,,,,,
team,201810070sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201810070sdg,rai,Turnovers,2,,,,,,
team,201810070sdg,sdg,Turnovers,0,,,,,,
team,201810070sdg,rai,Penalties-Yards,7-55,,,,,,
team,201810070sdg,sdg,Penalties-Yards,9-82,,,,,,
team,201810070sdg,rai,Third Down Conv.,4-11,,,,,,
team,201810070sdg,sdg,Third Down Conv.,7-13,,,,,,
team,201810070sdg,rai,Fourth Down Conv.,1-1,,,,,,
team,201810070sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201810070sdg,rai,Time of Possession,25:20,,,,,,
team,201810070sdg,sdg,Time of Possession,34:40,,,,,,
player,201810070sdg,rai,CarrDe02,pass_cmp,24,,,,,
player,201810070sdg,rai,CarrDe02,pass_att,33,,,,,
player,201810070sdg,rai,CarrDe02,pass_yds,268,,,,,
player,201810070sdg,rai,CarrDe02,pass_td,1,,,,,
player,201810070sdg,rai,CarrDe02,pass_int,1,,,,,
player,201810070sdg,rai,CarrDe02,pass_sacked,3,,,,,
player,201810070sdg,rai,CarrDe02,pass_sacked_yds,20,,,,,
player,201810070sdg,rai,CarrDe02,pass_long,47,,,,,
player,201810070sdg,rai,CarrDe02,pass_rating,94.0,,,,,
player,201810070sdg,rai,CarrDe02,rush_att,1,,,,,
player,201810070sdg,rai,CarrDe02,rush_yds,5,,,,,
player,201810070sdg,rai,CarrDe02,rush_td,0,,,,,
player,201810070sdg,rai,CarrDe02,rush_long,5,,,,,
player,201810070sdg,rai,CarrDe02,targets,0,,,,,
