game,2018,13,20181202,201812020atl,rav,"Baltimore Ravens",26,atl,"Atlanta Falcons",16
team,201812020atl,rav,First Downs,25,,,,,,
team,201812020atl,atl,First Downs,16,,,,,,
team,201812020atl,rav,Rush-Yds-TDs,49-207-1,,,,,,
team,201812020atl,atl,Rush-Yds-TDs,15-34-0,,,,,,
team,201812020atl,rav,Cmp-Att-Yd-TD-INT,15-26-167-0-0,,,,,,
team,201812020atl,atl,Cmp-Att-Yd-TD-INT,16-27-131-1-0,,,,,,
team,201812020atl,rav,Sacked-Yards,2-8,,,,,,
team,201812020atl,atl,Sacked-Yards,3-34,,,,,,
team,201812020atl,rav,Net Pass Yards,159,,,,,,
team,201812020atl,atl,Net Pass Yards,97,,,,,,
team,201812020atl,rav,Total Yards,366,,,,,,
team,201812020atl,atl,Total Yards,131,,,,,,
team,201812020atl,rav,Fumbles-Lost,4-1,,,,,,
team,201812020atl,atl,Fumbles-Lost,2-1,,,,,,
team,201812020atl,rav,Turnovers,1,,,,,,
team,201812020atl,atl,Turnovers,1,,,,,,
team,201812020atl,rav,Penalties-Yards,9-88,,,,,,
team,201812020atl,atl,Penalties-Yards,8-82,,,,,,
team,201812020atl,rav,Third Down Conv.,7-15,,,,,,
team,201812020atl,atl,Third Down Conv.,2-9,,,,,,
team,201812020atl,rav,Fourth Down Conv.,2-2,,,,,,
team,201812020atl,atl,Fourth Down Conv.,0-1,,,,,,
team,201812020atl,rav,Time of Possession,39:39,,,,,,
team,201812020atl,atl,Time of Possession,20:21,,,,,,
player,201812020atl,rav,JackLa00,pass_cmp,12,,,,,
player,201812020atl,rav,JackLa00,pass_att,21,,,,,
player,201812020atl,rav,JackLa00,pass_yds,125,,,,,
player,201812020atl,rav,JackLa00,pass_td,0,,,,,
player,201812020atl,rav,JackLa00,pass_int,0,,,,,
player,201812020atl,rav,JackLa00,pass_sacked,2,,,,,
player,201812020atl,rav,JackLa00,pass_sacked_yds,8,,,,,
player,201812020atl,rav,JackLa00,pass_long,21,,,,,
player,201812020atl,rav,JackLa00,pass_rating,74.5,,,,,
player,201812020atl,rav,JackLa00,rush_att,17,,,,,
