game,2018,1,20180910,201809100rai,ram,"Los Angeles Rams",33,rai,"Oakland Raiders",13
team,201809100rai,ram,First Downs,23,,,,,,
team,201809100rai,rai,First Downs,20,,,,,,
team,201809100rai,ram,Rush-Yds-TDs,26-140-0,,,,,,
team,201809100rai,rai,Rush-Yds-TDs,23-95-1,,,,,,
team,201809100rai,ram,Cmp-Att-Yd-TD-INT,18-33-233-2-0,,,,,,
team,201809100rai,rai,Cmp-Att-Yd-TD-INT,29-40-303-0-3,,,,,,
team,201809100rai,ram,Sacked-Yards,1-8,,,,,,
team,201809100rai,rai,Sacked-Yards,1-3,,,,,,
team,201809100rai,ram,Net Pass Yards,225,,,,,,
team,201809100rai,rai,Net Pass Yards,300,,,,,,
team,201809100rai,ram,Total Yards,365,,,,,,
team,201809100rai,rai,Total Yards,395,,,,,,
team,201809100rai,ram,Fumbles-Lost,1-0,,,,,,
team,201809100rai,rai,Fumbles-Lost,0-0,,,,,,
team,201809100rai,ram,Turnovers,0,,,,,,
team,201809100rai,rai,Turnovers,3,,,,,,
team,201809100rai,ram,Penalties-Yards,8-70,,,,,,
team,201809100rai,rai,Penalties-Yards,11-155,,,,,,
team,201809100rai,ram,Third Down Conv.,4-11,,,,,,
team,201809100rai,rai,Third Down Conv.,5-11,,,,,,
team,201809100rai,ram,Fourth Down Conv.,0-0,,,,,,
team,201809100rai,rai,Fourth Down Conv.,0-0,,,,,,
team,201809100rai,ram,Time of Possession,28:29,,,,,,
team,201809100rai,rai,Time of Possession,31:31,,,,,,
player,201809100rai,ram,GoffJa00,pass_cmp,18,,,,,
player,201809100rai,ram,GoffJa00,pass_att,33,,,,,
player,201809100rai,ram,GoffJa00,pass_yds,233,,,,,
player,201809100rai,ram,GoffJa00,pass_td,2,,,,,
player,201809100rai,ram,GoffJa00,pass_int,0,,,,,
player,201809100rai,ram,GoffJa00,pass_sacked,1,,,,,
player,201809100rai,ram,GoffJa00,pass_sacked_yds,8,,,,,
player,201809100rai,ram,GoffJa00,pass_long,30,,,,,
player,201809100rai,ram,GoffJa00,pass_rating,97.2,,,,,
player,201809100rai,ram,GoffJa00,rush_att,1,,,,,
player,201809100rai,ram,GoffJa00,rush_yds,-1,,,,,
player,201809100rai,ram,GoffJa00,rush_td,0,,,,,
player,201809100rai,ram,GoffJa00,rush_long,-1,,,,,
player,201809100rai,ram,GoffJa00,targets,0,,,,,
player,201809100rai,ram,GoffJa00,rec,0,,,,,
player,201809100rai,ram,GoffJa00,rec_yds,0,,,,,
player,201809100rai,ram,GoffJa00,rec_td,0,,,,,
player,201809100rai,ram,GoffJa00,rec_long,0,,,,,
player,201809100rai,ram,GoffJa00,fumbles,1,,,,,
player,201809100rai,ram,GoffJa00,fumbles_lost,0,,,,,
player,201809100rai,ram,GurlTo01,pass_cmp,0,,,,,
player,201809100rai,ram,GurlTo01,pass_att,0,,,,,
player,201809100rai,ram,GurlTo01,pass_yds,0,,,,,
player,201809100rai,ram,GurlTo01,pass_td,0,,,,,
player,201809100rai,ram,GurlTo01,pass_int,0,,,,,
player,201809100rai,ram,GurlTo01,pass_sacked,0,,,,,
player,201809100rai,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201809100rai,ram,GurlTo01,pass_long,0,,,,,
player,201809100rai,ram,GurlTo01,pass_rating,,,,,,
player,201809100rai,ram,GurlTo01,rush_att,20,,,,,
player,201809100rai,ram,GurlTo01,rush_yds,108,,,,,
player,201809100rai,ram,GurlTo01,rush_td,0,,,,,
player,201809100rai,ram,GurlTo01,rush_long,23,,,,,
player,201809100rai,ram,GurlTo01,targets,5,,,,,
player,201809100rai,ram,GurlTo01,rec,3,,,,,
player,201809100rai,ram,GurlTo01,rec_yds,39,,,,,
player,201809100rai,ram,GurlTo01,rec_td,1,,,,,
player,201809100rai,ram,GurlTo01,rec_long,19,,,,,
player,201809100rai,ram,GurlTo01,fumbles,0,,,,,
player,201809100rai,ram,GurlTo01,fumbles_lost,0,,,,,
player,201809100rai,ram,KuppCo00,pass_cmp,0,,,,,
player,201809100rai,ram,KuppCo00,pass_att,0,,,,,
player,201809100rai,ram,KuppCo00,pass_yds,0,,,,,
player,201809100rai,ram,KuppCo00,pass_td,0,,,,,
player,201809100rai,ram,KuppCo00,pass_int,0,,,,,
player,201809100rai,ram,KuppCo00,pass_sacked,0,,,,,
player,201809100rai,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201809100rai,ram,KuppCo00,pass_long,0,,,,,
player,201809100rai,ram,KuppCo00,pass_rating,,,,,,
player,201809100rai,ram,KuppCo00,rush_att,2,,,,,
player,201809100rai,ram,KuppCo00,rush_yds,16,,,,,
player,201809100rai,ram,KuppCo00,rush_td,0,,,,,
player,201809100rai,ram,KuppCo00,rush_long,12,,,,,
player,201809100rai,ram,KuppCo00,targets,9,,,,,
player,201809100rai,ram,KuppCo00,rec,5,,,,,
player,201809100rai,ram,KuppCo00,rec_yds,52,,,,,
player,201809100rai,ram,KuppCo00,rec_td,1,,,,,
player,201809100rai,ram,KuppCo00,rec_long,12,,,,,
player,201809100rai,ram,KuppCo00,fumbles,0,,,,,
player,201809100rai,ram,KuppCo00,fumbles_lost,0,,,,,
player,201809100rai,ram,CookBr00,pass_cmp,0,,,,,
player,201809100rai,ram,CookBr00,pass_att,0,,,,,
player,201809100rai,ram,CookBr00,pass_yds,0,,,,,
player,201809100rai,ram,CookBr00,pass_td,0,,,,,
player,201809100rai,ram,CookBr00,pass_int,0,,,,,
player,201809100rai,ram,CookBr00,pass_sacked,0,,,,,
player,201809100rai,ram,CookBr00,pass_sacked_yds,0,,,,,
player,201809100rai,ram,CookBr00,pass_long,0,,,,,
player,201809100rai,ram,CookBr00,pass_rating,,,,,,
player,201809100rai,ram,CookBr00,rush_att,1,,,,,
player,201809100rai,ram,CookBr00,rush_yds,6,,,,,
player,201809100rai,ram,CookBr00,rush_td,0,,,,,
player,201809100rai,ram,CookBr00,rush_long,6,,,,,
player,201809100rai,ram,CookBr00,targets,8,,,,,
player,201809100rai,ram,CookBr00,rec,5,,,,,
player,201809100rai,ram,CookBr00,rec_yds,87,,,,,
player,201809100rai,ram,CookBr00,rec_td,0,,,,,
player,201809100rai,ram,CookBr00,rec_long,30,,,,,
player,201809100rai,ram,CookBr00,fumbles,0,,,,,
player,201809100rai,ram,CookBr00,fumbles_lost,0,,,,,
player,201809100rai,ram,WoodRo02,pass_cmp,0,,,,,
player,201809100rai,ram,WoodRo02,pass_att,0,,,,,
player,201809100rai,ram,WoodRo02,pass_yds,0,,,,,
player,201809100rai,ram,WoodRo02,pass_td,0,,,,,
player,201809100rai,ram,WoodRo02,pass_int,0,,,,,
player,201809100rai,ram,WoodRo02,pass_sacked,0,,,,,
player,201809100rai,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201809100rai,ram,WoodRo02,pass_long,0,,,,,
player,201809100rai,ram,WoodRo02,pass_rating,,,,,,
player,201809100rai,ram,WoodRo02,rush_att,1,,,,,
player,201809100rai,ram,WoodRo02,rush_yds,6,,,,,
player,201809100rai,ram,WoodRo02,rush_td,0,,,,,
player,201809100rai,ram,WoodRo02,rush_long,6,,,,,
player,201809100rai,ram,WoodRo02,targets,9,,,,,
player,201809100rai,ram,WoodRo02,rec,3,,,,,
player,201809100rai,ram,WoodRo02,rec_yds,37,,,,,
player,201809100rai,ram,WoodRo02,rec_td,0,,,,,
player,201809100rai,ram,WoodRo02,rec_long,20,,,,,
player,201809100rai,ram,WoodRo02,fumbles,0,,,,,
player,201809100rai,ram,WoodRo02,fumbles_lost,0,,,,,
player,201809100rai,ram,BrowMa03,pass_cmp,0,,,,,
player,201809100rai,ram,BrowMa03,pass_att,0,,,,,
player,201809100rai,ram,BrowMa03,pass_yds,0,,,,,
player,201809100rai,ram,BrowMa03,pass_td,0,,,,,
player,201809100rai,ram,BrowMa03,pass_int,0,,,,,
player,201809100rai,ram,BrowMa03,pass_sacked,0,,,,,
player,201809100rai,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201809100rai,ram,BrowMa03,pass_long,0,,,,,
player,201809100rai,ram,BrowMa03,pass_rating,,,,,,
player,201809100rai,ram,BrowMa03,rush_att,1,,,,,
player,201809100rai,ram,BrowMa03,rush_yds,5,,,,,
player,201809100rai,ram,BrowMa03,rush_td,0,,,,,
player,201809100rai,ram,BrowMa03,rush_long,5,,,,,
player,201809100rai,ram,BrowMa03,targets,2,,,,,
player,201809100rai,ram,BrowMa03,rec,2,,,,,
player,201809100rai,ram,BrowMa03,rec_yds,18,,,,,
player,201809100rai,ram,BrowMa03,rec_td,0,,,,,
player,201809100rai,ram,BrowMa03,rec_long,9,,,,,
player,201809100rai,ram,BrowMa03,fumbles,0,,,,,
player,201809100rai,ram,BrowMa03,fumbles_lost,0,,,,,
player,201809100rai,rai,CarrDe02,pass_cmp,29,,,,,
player,201809100rai,rai,CarrDe02,pass_att,40,,,,,
player,201809100rai,rai,CarrDe02,pass_yds,303,,,,,
player,201809100rai,rai,CarrDe02,pass_td,0,,,,,
player,201809100rai,rai,CarrDe02,pass_int,3,,,,,
player,201809100rai,rai,CarrDe02,pass_sacked,1,,,,,
player,201809100rai,rai,CarrDe02,pass_sacked_yds,3,,,,,
player,201809100rai,rai,CarrDe02,pass_long,45,,,,,
player,201809100rai,rai,CarrDe02,pass_rating,62.8,,,,,
player,201809100rai,rai,CarrDe02,rush_att,2,,,,,
player,201809100rai,rai,CarrDe02,rush_yds,1,,,,,
player,201809100rai,rai,CarrDe02,rush_td,0,,,,,
player,201809100rai,rai,CarrDe02,rush_long,6,,,,,
player,201809100rai,rai,CarrDe02,targets,0,,,,,
player,201809100rai,rai,CarrDe02,rec,0,,,,,
player,201809100rai,rai,CarrDe02,rec_yds,0,,,,,
player,201809100rai,rai,CarrDe02,rec_td,0,,,,,
player,201809100rai,rai,CarrDe02,rec_long,0,,,,,
player,201809100rai,rai,CarrDe02,fumbles,0,,,,,
player,201809100rai,rai,CarrDe02,fumbles_lost,0,,,,,
player,201809100rai,rai,LyncMa00,pass_cmp,0,,,,,
player,201809100rai,rai,LyncMa00,pass_att,0,,,,,
player,201809100rai,rai,LyncMa00,pass_yds,0,,,,,
player,201809100rai,rai,LyncMa00,pass_td,0,,,,,
player,201809100rai,rai,LyncMa00,pass_int,0,,,,,
player,201809100rai,rai,LyncMa00,pass_sacked,0,,,,,
player,201809100rai,rai,LyncMa00,pass_sacked_yds,0,,,,,
