game,2018,1,20180909,201809090min,sfo,"San Francisco 49ers",16,min,"Minnesota Vikings",24
team,201809090min,sfo,First Downs,20,,,,,,
team,201809090min,min,First Downs,19,,,,,,
team,201809090min,sfo,Rush-Yds-TDs,25-90-0,,,,,,
team,201809090min,min,Rush-Yds-TDs,32-116-0,,,,,,
team,201809090min,sfo,Cmp-Att-Yd-TD-INT,15-33-261-1-3,,,,,,
team,201809090min,min,Cmp-Att-Yd-TD-INT,20-36-244-2-0,,,,,,
team,201809090min,sfo,Sacked-Yards,3-24,,,,,,
team,201809090min,min,Sacked-Yards,3-17,,,,,,
team,201809090min,sfo,Net Pass Yards,237,,,,,,
team,201809090min,min,Net Pass Yards,227,,,,,,
team,201809090min,sfo,Total Yards,327,,,,,,
team,201809090min,min,Total Yards,343,,,,,,
team,201809090min,sfo,Fumbles-Lost,3-1,,,,,,
team,201809090min,min,Fumbles-Lost,1-1,,,,,,
team,201809090min,sfo,Turnovers,4,,,,,,
team,201809090min,min,Turnovers,1,,,,,,
team,201809090min,sfo,Penalties-Yards,3-21,,,,,,
team,201809090min,min,Penalties-Yards,7-52,,,,,,
team,201809090min,sfo,Third Down Conv.,5-13,,,,,,
team,201809090min,min,Third Down Conv.,7-17,,,,,,
team,201809090min,sfo,Fourth Down Conv.,0-0,,,,,,
team,201809090min,min,Fourth Down Conv.,0-1,,,,,,
team,201809090min,sfo,Time of Possession,28:51,,,,,,
team,201809090min,min,Time of Possession,31:09,,,,,,
player,201809090min,sfo,GaroJi00,pass_cmp,15,,,,,
player,201809090min,sfo,GaroJi00,pass_att,33,,,,,
player,201809090min,sfo,GaroJi00,pass_yds,261,,,,,
player,201809090min,sfo,GaroJi00,pass_td,1,,,,,
player,201809090min,sfo,GaroJi00,pass_int,3,,,,,
player,201809090min,sfo,GaroJi00,pass_sacked,3,,,,,
player,201809090min,sfo,GaroJi00,pass_sacked_yds,24,,,,,
player,201809090min,sfo,GaroJi00,pass_long,56,,,,,
player,201809090min,sfo,GaroJi00,pass_rating,45.1,,,,,
player,201809090min,sfo,GaroJi00,rush_att,2,,,,,
player,201809090min,sfo,GaroJi00,rush_yds,6,,,,,
player,201809090min,sfo,GaroJi00,rush_td,0,,,,,
player,201809090min,sfo,GaroJi00,rush_long,4,,,,,
player,201809090min,sfo,GaroJi00,targets,0,,,,,
player,201809090min,sfo,GaroJi00,rec,0,,,,,
player,201809090min,sfo,GaroJi00,rec_yds,0,,,,,
player,201809090min,sfo,GaroJi00,rec_td,0,,,,,
player,201809090min,sfo,GaroJi00,rec_long,0,,,,,
player,201809090min,sfo,GaroJi00,fumbles,0,,,,,
player,201809090min,sfo,GaroJi00,fumbles_lost,0,,,,,
player,201809090min,sfo,BreiMa00,pass_cmp,0,,,,,
player,201809090min,sfo,BreiMa00,pass_att,0,,,,,
player,201809090min,sfo,BreiMa00,pass_yds,0,,,,,
player,201809090min,sfo,BreiMa00,pass_td,0,,,,,
player,201809090min,sfo,BreiMa00,pass_int,0,,,,,
player,201809090min,sfo,BreiMa00,pass_sacked,0,,,,,
player,201809090min,sfo,BreiMa00,pass_sacked_yds,0,,,,,
player,201809090min,sfo,BreiMa00,pass_long,0,,,,,
player,201809090min,sfo,BreiMa00,pass_rating,,,,,,
player,201809090min,sfo,BreiMa00,rush_att,11,,,,,
player,201809090min,sfo,BreiMa00,rush_yds,46,,,,,
player,201809090min,sfo,BreiMa00,rush_td,0,,,,,
player,201809090min,sfo,BreiMa00,rush_long,11,,,,,
player,201809090min,sfo,BreiMa00,targets,2,,,,,
player,201809090min,sfo,BreiMa00,rec,1,,,,,
player,201809090min,sfo,BreiMa00,rec_yds,5,,,,,
player,201809090min,sfo,BreiMa00,rec_td,0,,,,,
player,201809090min,sfo,BreiMa00,rec_long,5,,,,,
player,201809090min,sfo,BreiMa00,fumbles,0,,,,,
player,201809090min,sfo,BreiMa00,fumbles_lost,0,,,,,
player,201809090min,sfo,MorrAl00,pass_cmp,0,,,,,
player,201809090min,sfo,MorrAl00,pass_att,0,,,,,
player,201809090min,sfo,MorrAl00,pass_yds,0,,,,,
player,201809090min,sfo,MorrAl00,pass_td,0,,,,,
player,201809090min,sfo,MorrAl00,pass_int,0,,,,,
player,201809090min,sfo,MorrAl00,pass_sacked,0,,,,,
player,201809090min,sfo,MorrAl00,pass_sacked_yds,0,,,,,
player,201809090min,sfo,MorrAl00,pass_long,0,,,,,
player,201809090min,sfo,MorrAl00,pass_rating,,,,,,
player,201809090min,sfo,MorrAl00,rush_att,12,,,,,
player,201809090min,sfo,MorrAl00,rush_yds,38,,,,,
player,201809090min,sfo,MorrAl00,rush_td,0,,,,,
player,201809090min,sfo,MorrAl00,rush_long,14,,,,,
player,201809090min,sfo,MorrAl00,targets,0,,,,,
player,201809090min,sfo,MorrAl00,rec,0,,,,,
player,201809090min,sfo,MorrAl00,rec_yds,0,,,,,
player,201809090min,sfo,MorrAl00,rec_td,0,,,,,
player,201809090min,sfo,MorrAl00,rec_long,0,,,,,
player,201809090min,sfo,MorrAl00,fumbles,2,,,,,
player,201809090min,sfo,MorrAl00,fumbles_lost,1,,,,,
player,201809090min,sfo,KittGe00,pass_cmp,0,,,,,
player,201809090min,sfo,KittGe00,pass_att,0,,,,,
player,201809090min,sfo,KittGe00,pass_yds,0,,,,,
player,201809090min,sfo,KittGe00,pass_td,0,,,,,
player,201809090min,sfo,KittGe00,pass_int,0,,,,,
player,201809090min,sfo,KittGe00,pass_sacked,0,,,,,
player,201809090min,sfo,KittGe00,pass_sacked_yds,0,,,,,
player,201809090min,sfo,KittGe00,pass_long,0,,,,,
player,201809090min,sfo,KittGe00,pass_rating,,,,,,
player,201809090min,sfo,KittGe00,rush_att,0,,,,,
player,201809090min,sfo,KittGe00,rush_yds,0,,,,,
player,201809090min,sfo,KittGe00,rush_td,0,,,,,
player,201809090min,sfo,KittGe00,rush_long,0,,,,,
player,201809090min,sfo,KittGe00,targets,9,,,,,
player,201809090min,sfo,KittGe00,rec,5,,,,,
player,201809090min,sfo,KittGe00,rec_yds,90,,,,,
player,201809090min,sfo,KittGe00,rec_td,0,,,,,
player,201809090min,sfo,KittGe00,rec_long,36,,,,,
