game,2018,1,20180909,201809090car,dal,"Dallas Cowboys",8,car,"Carolina Panthers",16
player,201809090car,dal,BeasCo00,pass_int,0,,,,,
player,201809090car,dal,BeasCo00,pass_sacked,0,,,,,
player,201809090car,dal,BeasCo00,pass_sacked_yds,0,,,,,
player,201809090car,dal,BeasCo00,pass_long,0,,,,,
player,201809090car,dal,BeasCo00,pass_rating,,,,,,
player,201809090car,dal,BeasCo00,rush_att,0,,,,,
player,201809090car,dal,BeasCo00,rush_yds,0,,,,,
player,201809090car,dal,BeasCo00,rush_td,0,,,,,
player,201809090car,dal,BeasCo00,rush_long,0,,,,,
player,201809090car,dal,BeasCo00,targets,8,,,,,
player,201809090car,dal,BeasCo00,rec,7,,,,,
player,201809090car,dal,BeasCo00,rec_yds,73,,,,,
player,201809090car,dal,BeasCo00,rec_td,0,,,,,
player,201809090car,dal,BeasCo00,rec_long,17,,,,,
player,201809090car,dal,BeasCo00,fumbles,0,,,,,
player,201809090car,dal,BeasCo00,fumbles_lost,0,,,,,
player,201809090car,dal,ThomDe04,pass_cmp,0,,,,,
player,201809090car,dal,ThomDe04,pass_att,0,,,,,
player,201809090car,dal,ThomDe04,pass_yds,0,,,,,
player,201809090car,dal,ThomDe04,pass_td,0,,,,,
player,201809090car,dal,ThomDe04,pass_int,0,,,,,
player,201809090car,dal,ThomDe04,pass_sacked,0,,,,,
player,201809090car,dal,ThomDe04,pass_sacked_yds,0,,,,,
player,201809090car,dal,ThomDe04,pass_long,0,,,,,
player,201809090car,dal,ThomDe04,pass_rating,,,,,,
player,201809090car,dal,ThomDe04,rush_att,0,,,,,
player,201809090car,dal,ThomDe04,rush_yds,0,,,,,
player,201809090car,dal,ThomDe04,rush_td,0,,,,,
player,201809090car,dal,ThomDe04,rush_long,0,,,,,
player,201809090car,dal,ThomDe04,targets,5,,,,,
player,201809090car,dal,ThomDe04,rec,3,,,,,
player,201809090car,dal,ThomDe04,rec_yds,27,,,,,
player,201809090car,dal,ThomDe04,rec_td,0,,,,,
player,201809090car,dal,ThomDe04,rec_long,13,,,,,
player,201809090car,dal,ThomDe04,fumbles,0,,,,,
player,201809090car,dal,ThomDe04,fumbles_lost,0,,,,,
player,201809090car,dal,HurnAl01,pass_cmp,0,,,,,
player,201809090car,dal,HurnAl01,pass_att,0,,,,,
player,201809090car,dal,HurnAl01,pass_yds,0,,,,,
player,201809090car,dal,HurnAl01,pass_td,0,,,,,
player,201809090car,dal,HurnAl01,pass_int,0,,,,,
player,201809090car,dal,HurnAl01,pass_sacked,0,,,,,
player,201809090car,dal,HurnAl01,pass_sacked_yds,0,,,,,
player,201809090car,dal,HurnAl01,pass_long,0,,,,,
player,201809090car,dal,HurnAl01,pass_rating,,,,,,
player,201809090car,dal,HurnAl01,rush_att,0,,,,,
player,201809090car,dal,HurnAl01,rush_yds,0,,,,,
player,201809090car,dal,HurnAl01,rush_td,0,,,,,
player,201809090car,dal,HurnAl01,rush_long,0,,,,,
player,201809090car,dal,HurnAl01,targets,3,,,,,
player,201809090car,dal,HurnAl01,rec,1,,,,,
player,201809090car,dal,HurnAl01,rec_yds,20,,,,,
player,201809090car,dal,HurnAl01,rec_td,0,,,,,
player,201809090car,dal,HurnAl01,rec_long,20,,,,,
player,201809090car,dal,HurnAl01,fumbles,0,,,,,
player,201809090car,dal,HurnAl01,fumbles_lost,0,,,,,
player,201809090car,dal,SwaiGe00,pass_cmp,0,,,,,
player,201809090car,dal,SwaiGe00,pass_att,0,,,,,
player,201809090car,dal,SwaiGe00,pass_yds,0,,,,,
player,201809090car,dal,SwaiGe00,pass_td,0,,,,,
player,201809090car,dal,SwaiGe00,pass_int,0,,,,,
player,201809090car,dal,SwaiGe00,pass_sacked,0,,,,,
