game,2018,6,20181014,201810140mia,chi,"Chicago Bears",28,mia,"Miami Dolphins",31
team,201810140mia,chi,First Downs,23,,,,,,
team,201810140mia,mia,First Downs,23,,,,,,
team,201810140mia,chi,Rush-Yds-TDs,31-164-1,,,,,,
team,201810140mia,mia,Rush-Yds-TDs,31-161-0,,,,,,
team,201810140mia,chi,Cmp-Att-Yd-TD-INT,22-31-316-3-1,,,,,,
team,201810140mia,mia,Cmp-Att-Yd-TD-INT,28-44-380-3-2,,,,,,
team,201810140mia,chi,Sacked-Yards,2-13,,,,,,
team,201810140mia,mia,Sacked-Yards,0-0,,,,,,
team,201810140mia,chi,Net Pass Yards,303,,,,,,
team,201810140mia,mia,Net Pass Yards,380,,,,,,
team,201810140mia,chi,Total Yards,467,,,,,,
team,201810140mia,mia,Total Yards,541,,,,,,
team,201810140mia,chi,Fumbles-Lost,2-2,,,,,,
team,201810140mia,mia,Fumbles-Lost,1-1,,,,,,
team,201810140mia,chi,Turnovers,3,,,,,,
team,201810140mia,mia,Turnovers,3,,,,,,
team,201810140mia,chi,Penalties-Yards,6-58,,,,,,
team,201810140mia,mia,Penalties-Yards,7-67,,,,,,
team,201810140mia,chi,Third Down Conv.,8-12,,,,,,
team,201810140mia,mia,Third Down Conv.,8-17,,,,,,
team,201810140mia,chi,Fourth Down Conv.,0-1,,,,,,
team,201810140mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201810140mia,chi,Time of Possession,33:25,,,,,,
team,201810140mia,mia,Time of Possession,36:35,,,,,,
player,201810140mia,chi,TrubMi00,pass_cmp,22,,,,,
player,201810140mia,chi,TrubMi00,pass_att,31,,,,,
player,201810140mia,chi,TrubMi00,pass_yds,316,,,,,
player,201810140mia,chi,TrubMi00,pass_td,3,,,,,
player,201810140mia,chi,TrubMi00,pass_int,1,,,,,
player,201810140mia,chi,TrubMi00,pass_sacked,2,,,,,
player,201810140mia,chi,TrubMi00,pass_sacked_yds,13,,,,,
player,201810140mia,chi,TrubMi00,pass_long,54,,,,,
player,201810140mia,chi,TrubMi00,pass_rating,122.5,,,,,
player,201810140mia,chi,TrubMi00,rush_att,8,,,,,
player,201810140mia,chi,TrubMi00,rush_yds,47,,,,,
player,201810140mia,chi,TrubMi00,rush_td,0,,,,,
player,201810140mia,chi,TrubMi00,rush_long,28,,,,,
player,201810140mia,chi,TrubMi00,targets,0,,,,,
player,201810140mia,chi,TrubMi00,rec,0,,,,,
player,201810140mia,chi,TrubMi00,rec_yds,0,,,,,
player,201810140mia,chi,TrubMi00,rec_td,0,,,,,
player,201810140mia,chi,TrubMi00,rec_long,0,,,,,
player,201810140mia,chi,TrubMi00,fumbles,0,,,,,
player,201810140mia,chi,TrubMi00,fumbles_lost,0,,,,,
player,201810140mia,chi,HowaJo00,pass_cmp,0,,,,,
player,201810140mia,chi,HowaJo00,pass_att,0,,,,,
player,201810140mia,chi,HowaJo00,pass_yds,0,,,,,
