game,2018,13,20181202,201812020tam,car,"Carolina Panthers",17,tam,"Tampa Bay Buccaneers",24
team,201812020tam,car,First Downs,27,,,,,,
team,201812020tam,tam,First Downs,18,,,,,,
team,201812020tam,car,Rush-Yds-TDs,19-168-0,,,,,,
team,201812020tam,tam,Rush-Yds-TDs,25-95-1,,,,,,
team,201812020tam,car,Cmp-Att-Yd-TD-INT,28-42-300-2-4,,,,,,
team,201812020tam,tam,Cmp-Att-Yd-TD-INT,20-30-249-2-0,,,,,,
team,201812020tam,car,Sacked-Yards,4-24,,,,,,
team,201812020tam,tam,Sacked-Yards,4-29,,,,,,
team,201812020tam,car,Net Pass Yards,276,,,,,,
team,201812020tam,tam,Net Pass Yards,220,,,,,,
team,201812020tam,car,Total Yards,444,,,,,,
team,201812020tam,tam,Total Yards,315,,,,,,
team,201812020tam,car,Fumbles-Lost,1-0,,,,,,
team,201812020tam,tam,Fumbles-Lost,2-1,,,,,,
team,201812020tam,car,Turnovers,4,,,,,,
team,201812020tam,tam,Turnovers,1,,,,,,
team,201812020tam,car,Penalties-Yards,7-104,,,,,,
team,201812020tam,tam,Penalties-Yards,9-69,,,,,,
team,201812020tam,car,Third Down Conv.,3-8,,,,,,
team,201812020tam,tam,Third Down Conv.,6-13,,,,,,
team,201812020tam,car,Fourth Down Conv.,0-1,,,,,,
team,201812020tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201812020tam,car,Time of Possession,30:06,,,,,,
team,201812020tam,tam,Time of Possession,29:54,,,,,,
player,201812020tam,car,NewtCa00,pass_cmp,28,,,,,
player,201812020tam,car,NewtCa00,pass_att,41,,,,,
player,201812020tam,car,NewtCa00,pass_yds,300,,,,,
player,201812020tam,car,NewtCa00,pass_td,2,,,,,
player,201812020tam,car,NewtCa00,pass_int,4,,,,,
player,201812020tam,car,NewtCa00,pass_sacked,4,,,,,
player,201812020tam,car,NewtCa00,pass_sacked_yds,24,,,,,
player,201812020tam,car,NewtCa00,pass_long,33,,,,,
player,201812020tam,car,NewtCa00,pass_rating,66.2,,,,,
player,201812020tam,car,NewtCa00,rush_att,6,,,,,
player,201812020tam,car,NewtCa00,rush_yds,33,,,,,
player,201812020tam,car,NewtCa00,rush_td,0,,,,,
player,201812020tam,car,NewtCa00,rush_long,15,,,,,
player,201812020tam,car,NewtCa00,targets,0,,,,,
player,201812020tam,car,NewtCa00,rec,0,,,,,
player,201812020tam,car,NewtCa00,rec_yds,0,,,,,
player,201812020tam,car,NewtCa00,rec_td,0,,,,,
player,201812020tam,car,NewtCa00,rec_long,0,,,,,
player,201812020tam,car,NewtCa00,fumbles,0,,,,,
player,201812020tam,car,NewtCa00,fumbles_lost,0,,,,,
player,201812020tam,car,HeinTa00,pass_cmp,0,,,,,
player,201812020tam,car,HeinTa00,pass_att,1,,,,,
player,201812020tam,car,HeinTa00,pass_yds,0,,,,,
player,201812020tam,car,HeinTa00,pass_td,0,,,,,
player,201812020tam,car,HeinTa00,pass_int,0,,,,,
player,201812020tam,car,HeinTa00,pass_sacked,0,,,,,
player,201812020tam,car,HeinTa00,pass_sacked_yds,0,,,,,
player,201812020tam,car,HeinTa00,pass_long,0,,,,,
player,201812020tam,car,HeinTa00,pass_rating,39.6,,,,,
player,201812020tam,car,HeinTa00,rush_att,0,,,,,
player,201812020tam,car,HeinTa00,rush_yds,0,,,,,
player,201812020tam,car,HeinTa00,rush_td,0,,,,,
player,201812020tam,car,HeinTa00,rush_long,0,,,,,
player,201812020tam,car,HeinTa00,targets,0,,,,,
player,201812020tam,car,HeinTa00,rec,0,,,,,
player,201812020tam,car,HeinTa00,rec_yds,0,,,,,
player,201812020tam,car,HeinTa00,rec_td,0,,,,,
player,201812020tam,car,HeinTa00,rec_long,0,,,,,
player,201812020tam,car,HeinTa00,fumbles,0,,,,,
player,201812020tam,car,HeinTa00,fumbles_lost,0,,,,,
player,201812020tam,car,McCaCh01,pass_cmp,0,,,,,
player,201812020tam,car,McCaCh01,pass_att,0,,,,,
player,201812020tam,car,McCaCh01,pass_yds,0,,,,,
player,201812020tam,car,McCaCh01,pass_td,0,,,,,
player,201812020tam,car,McCaCh01,pass_int,0,,,,,
player,201812020tam,car,McCaCh01,pass_sacked,0,,,,,
player,201812020tam,car,McCaCh01,pass_sacked_yds,0,,,,,
player,201812020tam,car,McCaCh01,pass_long,0,,,,,
player,201812020tam,car,McCaCh01,pass_rating,,,,,,
player,201812020tam,car,McCaCh01,rush_att,10,,,,,
player,201812020tam,car,McCaCh01,rush_yds,106,,,,,
player,201812020tam,car,McCaCh01,rush_td,0,,,,,
player,201812020tam,car,McCaCh01,rush_long,53,,,,,
player,201812020tam,car,McCaCh01,targets,10,,,,,
player,201812020tam,car,McCaCh01,rec,9,,,,,
player,201812020tam,car,McCaCh01,rec_yds,55,,,,,
player,201812020tam,car,McCaCh01,rec_td,1,,,,,
player,201812020tam,car,McCaCh01,rec_long,15,,,,,
player,201812020tam,car,McCaCh01,fumbles,0,,,,,
player,201812020tam,car,McCaCh01,fumbles_lost,0,,,,,
player,201812020tam,car,MoorD.00,pass_cmp,0,,,,,
player,201812020tam,car,MoorD.00,pass_att,0,,,,,
player,201812020tam,car,MoorD.00,pass_yds,0,,,,,
player,201812020tam,car,MoorD.00,pass_td,0,,,,,
player,201812020tam,car,MoorD.00,pass_int,0,,,,,
player,201812020tam,car,MoorD.00,pass_sacked,0,,,,,
player,201812020tam,car,MoorD.00,pass_sacked_yds,0,,,,,
player,201812020tam,car,MoorD.00,pass_long,0,,,,,
player,201812020tam,car,MoorD.00,pass_rating,,,,,,
player,201812020tam,car,MoorD.00,rush_att,2,,,,,
player,201812020tam,car,MoorD.00,rush_yds,21,,,,,
player,201812020tam,car,MoorD.00,rush_td,0,,,,,
player,201812020tam,car,MoorD.00,rush_long,13,,,,,
player,201812020tam,car,MoorD.00,targets,8,,,,,
player,201812020tam,car,MoorD.00,rec,4,,,,,
player,201812020tam,car,MoorD.00,rec_yds,44,,,,,
player,201812020tam,car,MoorD.00,rec_td,0,,,,,
player,201812020tam,car,MoorD.00,rec_long,16,,,,,
player,201812020tam,car,MoorD.00,fumbles,0,,,,,
player,201812020tam,car,MoorD.00,fumbles_lost,0,,,,,
player,201812020tam,car,SamuCu00,pass_cmp,0,,,,,
player,201812020tam,car,SamuCu00,pass_att,0,,,,,
player,201812020tam,car,SamuCu00,pass_yds,0,,,,,
player,201812020tam,car,SamuCu00,pass_td,0,,,,,
player,201812020tam,car,SamuCu00,pass_int,0,,,,,
player,201812020tam,car,SamuCu00,pass_sacked,0,,,,,
player,201812020tam,car,SamuCu00,pass_sacked_yds,0,,,,,
player,201812020tam,car,SamuCu00,pass_long,0,,,,,
player,201812020tam,car,SamuCu00,pass_rating,,,,,,
player,201812020tam,car,SamuCu00,rush_att,1,,,,,
player,201812020tam,car,SamuCu00,rush_yds,8,,,,,
player,201812020tam,car,SamuCu00,rush_td,0,,,,,
player,201812020tam,car,SamuCu00,rush_long,8,,,,,
player,201812020tam,car,SamuCu00,targets,11,,,,,
player,201812020tam,car,SamuCu00,rec,6,,,,,
player,201812020tam,car,SamuCu00,rec_yds,88,,,,,
player,201812020tam,car,SamuCu00,rec_td,0,,,,,
player,201812020tam,car,SamuCu00,rec_long,31,,,,,
player,201812020tam,car,SamuCu00,fumbles,0,,,,,
player,201812020tam,car,SamuCu00,fumbles_lost,0,,,,,
player,201812020tam,car,ThomIa00,pass_cmp,0,,,,,
player,201812020tam,car,ThomIa00,pass_att,0,,,,,
player,201812020tam,car,ThomIa00,pass_yds,0,,,,,
player,201812020tam,car,ThomIa00,pass_td,0,,,,,
player,201812020tam,car,ThomIa00,pass_int,0,,,,,
player,201812020tam,car,ThomIa00,pass_sacked,0,,,,,
player,201812020tam,car,ThomIa00,pass_sacked_yds,0,,,,,
player,201812020tam,car,ThomIa00,pass_long,0,,,,,
player,201812020tam,car,ThomIa00,pass_rating,,,,,,
player,201812020tam,car,ThomIa00,rush_att,0,,,,,
player,201812020tam,car,ThomIa00,rush_yds,0,,,,,
player,201812020tam,car,ThomIa00,rush_td,0,,,,,
player,201812020tam,car,ThomIa00,rush_long,0,,,,,
player,201812020tam,car,ThomIa00,targets,5,,,,,
player,201812020tam,car,ThomIa00,rec,5,,,,,
player,201812020tam,car,ThomIa00,rec_yds,46,,,,,
player,201812020tam,car,ThomIa00,rec_td,0,,,,,
player,201812020tam,car,ThomIa00,rec_long,20,,,,,
player,201812020tam,car,ThomIa00,fumbles,0,,,,,
player,201812020tam,car,ThomIa00,fumbles_lost,0,,,,,
player,201812020tam,car,WrigJa02,pass_cmp,0,,,,,
player,201812020tam,car,WrigJa02,pass_att,0,,,,,
player,201812020tam,car,WrigJa02,pass_yds,0,,,,,
player,201812020tam,car,WrigJa02,pass_td,0,,,,,
player,201812020tam,car,WrigJa02,pass_int,0,,,,,
player,201812020tam,car,WrigJa02,pass_sacked,0,,,,,
player,201812020tam,car,WrigJa02,pass_sacked_yds,0,,,,,
player,201812020tam,car,WrigJa02,pass_long,0,,,,,
player,201812020tam,car,WrigJa02,pass_rating,,,,,,
player,201812020tam,car,WrigJa02,rush_att,0,,,,,
player,201812020tam,car,WrigJa02,rush_yds,0,,,,,
player,201812020tam,car,WrigJa02,rush_td,0,,,,,
player,201812020tam,car,WrigJa02,rush_long,0,,,,,
player,201812020tam,car,WrigJa02,targets,3,,,,,
player,201812020tam,car,WrigJa02,rec,2,,,,,
player,201812020tam,car,WrigJa02,rec_yds,44,,,,,
player,201812020tam,car,WrigJa02,rec_td,0,,,,,
player,201812020tam,car,WrigJa02,rec_long,33,,,,,
player,201812020tam,car,WrigJa02,fumbles,0,,,,,
player,201812020tam,car,WrigJa02,fumbles_lost,0,,,,,
player,201812020tam,car,OlseGr00,pass_cmp,0,,,,,
player,201812020tam,car,OlseGr00,pass_att,0,,,,,
player,201812020tam,car,OlseGr00,pass_yds,0,,,,,
player,201812020tam,car,OlseGr00,pass_td,0,,,,,
player,201812020tam,car,OlseGr00,pass_int,0,,,,,
player,201812020tam,car,OlseGr00,pass_sacked,0,,,,,
player,201812020tam,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201812020tam,car,OlseGr00,pass_long,0,,,,,
player,201812020tam,car,OlseGr00,pass_rating,,,,,,
player,201812020tam,car,OlseGr00,rush_att,0,,,,,
player,201812020tam,car,OlseGr00,rush_yds,0,,,,,
player,201812020tam,car,OlseGr00,rush_td,0,,,,,
player,201812020tam,car,OlseGr00,rush_long,0,,,,,
player,201812020tam,car,OlseGr00,targets,1,,,,,
player,201812020tam,car,OlseGr00,rec,1,,,,,
player,201812020tam,car,OlseGr00,rec_yds,13,,,,,
player,201812020tam,car,OlseGr00,rec_td,0,,,,,
player,201812020tam,car,OlseGr00,rec_long,13,,,,,
player,201812020tam,car,OlseGr00,fumbles,0,,,,,
player,201812020tam,car,OlseGr00,fumbles_lost,0,,,,,
player,201812020tam,car,FuncDe00,pass_cmp,0,,,,,
player,201812020tam,car,FuncDe00,pass_att,0,,,,,
player,201812020tam,car,FuncDe00,pass_yds,0,,,,,
player,201812020tam,car,FuncDe00,pass_td,0,,,,,
player,201812020tam,car,FuncDe00,pass_int,0,,,,,
player,201812020tam,car,FuncDe00,pass_sacked,0,,,,,
player,201812020tam,car,FuncDe00,pass_sacked_yds,0,,,,,
player,201812020tam,car,FuncDe00,pass_long,0,,,,,
player,201812020tam,car,FuncDe00,pass_rating,,,,,,
player,201812020tam,car,FuncDe00,rush_att,0,,,,,
player,201812020tam,car,FuncDe00,rush_yds,0,,,,,
player,201812020tam,car,FuncDe00,rush_td,0,,,,,
player,201812020tam,car,FuncDe00,rush_long,0,,,,,
player,201812020tam,car,FuncDe00,targets,3,,,,,
player,201812020tam,car,FuncDe00,rec,1,,,,,
player,201812020tam,car,FuncDe00,rec_yds,10,,,,,
player,201812020tam,car,FuncDe00,rec_td,1,,,,,
player,201812020tam,car,FuncDe00,rec_long,10,,,,,
player,201812020tam,car,FuncDe00,fumbles,0,,,,,
player,201812020tam,car,FuncDe00,fumbles_lost,0,,,,,
player,201812020tam,tam,WinsJa00,pass_cmp,20,,,,,
player,201812020tam,tam,WinsJa00,pass_att,30,,,,,
player,201812020tam,tam,WinsJa00,pass_yds,249,,,,,
player,201812020tam,tam,WinsJa00,pass_td,2,,,,,
player,201812020tam,tam,WinsJa00,pass_int,0,,,,,
player,201812020tam,tam,WinsJa00,pass_sacked,4,,,,,
player,201812020tam,tam,WinsJa00,pass_sacked_yds,29,,,,,
player,201812020tam,tam,WinsJa00,pass_long,48,,,,,
player,201812020tam,tam,WinsJa00,pass_rating,114.4,,,,,
player,201812020tam,tam,WinsJa00,rush_att,5,,,,,
player,201812020tam,tam,WinsJa00,rush_yds,48,,,,,
player,201812020tam,tam,WinsJa00,rush_td,0,,,,,
player,201812020tam,tam,WinsJa00,rush_long,18,,,,,
player,201812020tam,tam,WinsJa00,targets,0,,,,,
player,201812020tam,tam,WinsJa00,rec,0,,,,,
player,201812020tam,tam,WinsJa00,rec_yds,0,,,,,
player,201812020tam,tam,WinsJa00,rec_td,0,,,,,
player,201812020tam,tam,WinsJa00,rec_long,0,,,,,
player,201812020tam,tam,WinsJa00,fumbles,0,,,,,
player,201812020tam,tam,WinsJa00,fumbles_lost,0,,,,,
player,201812020tam,tam,BarbPe01,pass_cmp,0,,,,,
player,201812020tam,tam,BarbPe01,pass_att,0,,,,,
player,201812020tam,tam,BarbPe01,pass_yds,0,,,,,
player,201812020tam,tam,BarbPe01,pass_td,0,,,,,
player,201812020tam,tam,BarbPe01,pass_int,0,,,,,
player,201812020tam,tam,BarbPe01,pass_sacked,0,,,,,
player,201812020tam,tam,BarbPe01,pass_sacked_yds,0,,,,,
player,201812020tam,tam,BarbPe01,pass_long,0,,,,,
player,201812020tam,tam,BarbPe01,pass_rating,,,,,,
player,201812020tam,tam,BarbPe01,rush_att,16,,,,,
player,201812020tam,tam,BarbPe01,rush_yds,45,,,,,
player,201812020tam,tam,BarbPe01,rush_td,1,,,,,
player,201812020tam,tam,BarbPe01,rush_long,17,,,,,
player,201812020tam,tam,BarbPe01,targets,1,,,,,
player,201812020tam,tam,BarbPe01,rec,0,,,,,
player,201812020tam,tam,BarbPe01,rec_yds,0,,,,,
player,201812020tam,tam,BarbPe01,rec_td,0,,,,,
player,201812020tam,tam,BarbPe01,rec_long,0,,,,,
player,201812020tam,tam,BarbPe01,fumbles,1,,,,,
player,201812020tam,tam,BarbPe01,fumbles_lost,1,,,,,
player,201812020tam,tam,JoneRo01,pass_cmp,0,,,,,
player,201812020tam,tam,JoneRo01,pass_att,0,,,,,
player,201812020tam,tam,JoneRo01,pass_yds,0,,,,,
player,201812020tam,tam,JoneRo01,pass_td,0,,,,,
player,201812020tam,tam,JoneRo01,pass_int,0,,,,,
player,201812020tam,tam,JoneRo01,pass_sacked,0,,,,,
player,201812020tam,tam,JoneRo01,pass_sacked_yds,0,,,,,
player,201812020tam,tam,JoneRo01,pass_long,0,,,,,
player,201812020tam,tam,JoneRo01,pass_rating,,,,,,
player,201812020tam,tam,JoneRo01,rush_att,4,,,,,
player,201812020tam,tam,JoneRo01,rush_yds,2,,,,,
player,201812020tam,tam,JoneRo01,rush_td,0,,,,,
player,201812020tam,tam,JoneRo01,rush_long,3,,,,,
player,201812020tam,tam,JoneRo01,targets,0,,,,,
player,201812020tam,tam,JoneRo01,rec,0,,,,,
