game,2018,9,20181104,201811040sea,sdg,"Los Angeles Chargers",25,sea,"Seattle Seahawks",17
team,201811040sea,sdg,First Downs,18,,,,,,
team,201811040sea,sea,First Downs,25,,,,,,
team,201811040sea,sdg,Rush-Yds-TDs,22-160-1,,,,,,
team,201811040sea,sea,Rush-Yds-TDs,32-154-0,,,,,,
team,201811040sea,sdg,Cmp-Att-Yd-TD-INT,13-26-228-2-0,,,,,,
team,201811040sea,sea,Cmp-Att-Yd-TD-INT,26-39-235-2-1,,,,,,
team,201811040sea,sdg,Sacked-Yards,2-13,,,,,,
team,201811040sea,sea,Sacked-Yards,4-33,,,,,,
team,201811040sea,sdg,Net Pass Yards,215,,,,,,
team,201811040sea,sea,Net Pass Yards,202,,,,,,
team,201811040sea,sdg,Total Yards,375,,,,,,
team,201811040sea,sea,Total Yards,356,,,,,,
team,201811040sea,sdg,Fumbles-Lost,0-0,,,,,,
team,201811040sea,sea,Fumbles-Lost,1-0,,,,,,
team,201811040sea,sdg,Turnovers,0,,,,,,
team,201811040sea,sea,Turnovers,1,,,,,,
team,201811040sea,sdg,Penalties-Yards,12-105,,,,,,
team,201811040sea,sea,Penalties-Yards,10-83,,,,,,
team,201811040sea,sdg,Third Down Conv.,2-9,,,,,,
team,201811040sea,sea,Third Down Conv.,4-15,,,,,,
team,201811040sea,sdg,Fourth Down Conv.,0-0,,,,,,
team,201811040sea,sea,Fourth Down Conv.,3-3,,,,,,
team,201811040sea,sdg,Time of Possession,24:19,,,,,,
team,201811040sea,sea,Time of Possession,35:41,,,,,,
player,201811040sea,sdg,RivePh00,pass_cmp,13,,,,,
player,201811040sea,sdg,RivePh00,pass_att,26,,,,,
player,201811040sea,sdg,RivePh00,pass_yds,228,,,,,
player,201811040sea,sdg,RivePh00,pass_td,2,,,,,
player,201811040sea,sdg,RivePh00,pass_int,0,,,,,
player,201811040sea,sdg,RivePh00,pass_sacked,2,,,,,
player,201811040sea,sdg,RivePh00,pass_sacked_yds,13,,,,,
player,201811040sea,sdg,RivePh00,pass_long,54,,,,,
player,201811040sea,sdg,RivePh00,pass_rating,105.9,,,,,
player,201811040sea,sdg,RivePh00,rush_att,0,,,,,
player,201811040sea,sdg,RivePh00,rush_yds,0,,,,,
player,201811040sea,sdg,RivePh00,rush_td,0,,,,,
player,201811040sea,sdg,RivePh00,rush_long,0,,,,,
player,201811040sea,sdg,RivePh00,targets,0,,,,,
player,201811040sea,sdg,RivePh00,rec,0,,,,,
player,201811040sea,sdg,RivePh00,rec_yds,0,,,,,
player,201811040sea,sdg,RivePh00,rec_td,0,,,,,
player,201811040sea,sdg,RivePh00,rec_long,0,,,,,
player,201811040sea,sdg,RivePh00,fumbles,0,,,,,
player,201811040sea,sdg,RivePh00,fumbles_lost,0,,,,,
player,201811040sea,sdg,GordMe00,pass_cmp,0,,,,,
player,201811040sea,sdg,GordMe00,pass_att,0,,,,,
player,201811040sea,sdg,GordMe00,pass_yds,0,,,,,
player,201811040sea,sdg,GordMe00,pass_td,0,,,,,
player,201811040sea,sdg,GordMe00,pass_int,0,,,,,
player,201811040sea,sdg,GordMe00,pass_sacked,0,,,,,
player,201811040sea,sdg,GordMe00,pass_sacked_yds,0,,,,,
