game,2018,8,20181028,201810280crd,sfo,"San Francisco 49ers",15,crd,"Arizona Cardinals",18
team,201810280crd,sfo,First Downs,16,,,,,,
team,201810280crd,crd,First Downs,20,,,,,,
team,201810280crd,sfo,Rush-Yds-TDs,31-107-0,,,,,,
team,201810280crd,crd,Rush-Yds-TDs,21-88-0,,,,,,
team,201810280crd,sfo,Cmp-Att-Yd-TD-INT,14-28-190-1-0,,,,,,
team,201810280crd,crd,Cmp-Att-Yd-TD-INT,23-40-252-2-1,,,,,,
team,201810280crd,sfo,Sacked-Yards,4-30,,,,,,
team,201810280crd,crd,Sacked-Yards,3-19,,,,,,
team,201810280crd,sfo,Net Pass Yards,160,,,,,,
team,201810280crd,crd,Net Pass Yards,233,,,,,,
team,201810280crd,sfo,Total Yards,267,,,,,,
team,201810280crd,crd,Total Yards,321,,,,,,
team,201810280crd,sfo,Fumbles-Lost,2-0,,,,,,
team,201810280crd,crd,Fumbles-Lost,1-1,,,,,,
team,201810280crd,sfo,Turnovers,0,,,,,,
team,201810280crd,crd,Turnovers,2,,,,,,
team,201810280crd,sfo,Penalties-Yards,5-59,,,,,,
team,201810280crd,crd,Penalties-Yards,9-62,,,,,,
team,201810280crd,sfo,Third Down Conv.,5-14,,,,,,
team,201810280crd,crd,Third Down Conv.,6-14,,,,,,
team,201810280crd,sfo,Fourth Down Conv.,0-0,,,,,,
team,201810280crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201810280crd,sfo,Time of Possession,32:19,,,,,,
team,201810280crd,crd,Time of Possession,27:41,,,,,,
player,201810280crd,sfo,BeatC.00,pass_cmp,14,,,,,
player,201810280crd,sfo,BeatC.00,pass_att,28,,,,,
player,201810280crd,sfo,BeatC.00,pass_yds,190,,,,,
player,201810280crd,sfo,BeatC.00,pass_td,1,,,,,
player,201810280crd,sfo,BeatC.00,pass_int,0,,,,,
player,201810280crd,sfo,BeatC.00,pass_sacked,4,,,,,
player,201810280crd,sfo,BeatC.00,pass_sacked_yds,30,,,,,
player,201810280crd,sfo,BeatC.00,pass_long,55,,,,,
player,201810280crd,sfo,BeatC.00,pass_rating,83.9,,,,,
player,201810280crd,sfo,BeatC.00,rush_att,5,,,,,
player,201810280crd,sfo,BeatC.00,rush_yds,9,,,,,
player,201810280crd,sfo,BeatC.00,rush_td,0,,,,,
player,201810280crd,sfo,BeatC.00,rush_long,4,,,,,
player,201810280crd,sfo,BeatC.00,targets,0,,,,,
player,201810280crd,sfo,BeatC.00,rec,0,,,,,
player,201810280crd,sfo,BeatC.00,rec_yds,0,,,,,
player,201810280crd,sfo,BeatC.00,rec_td,0,,,,,
player,201810280crd,sfo,BeatC.00,rec_long,0,,,,,
player,201810280crd,sfo,BeatC.00,fumbles,0,,,,,
player,201810280crd,sfo,BeatC.00,fumbles_lost,0,,,,,
player,201810280crd,sfo,BreiMa00,pass_cmp,0,,,,,
player,201810280crd,sfo,BreiMa00,pass_att,0,,,,,
player,201810280crd,sfo,BreiMa00,pass_yds,0,,,,,
player,201810280crd,sfo,BreiMa00,pass_td,0,,,,,
player,201810280crd,sfo,BreiMa00,pass_int,0,,,,,
player,201810280crd,sfo,BreiMa00,pass_sacked,0,,,,,
player,201810280crd,sfo,BreiMa00,pass_sacked_yds,0,,,,,
player,201810280crd,sfo,BreiMa00,pass_long,0,,,,,
player,201810280crd,sfo,BreiMa00,pass_rating,,,,,,
player,201810280crd,sfo,BreiMa00,rush_att,16,,,,,
player,201810280crd,sfo,BreiMa00,rush_yds,42,,,,,
player,201810280crd,sfo,BreiMa00,rush_td,0,,,,,
player,201810280crd,sfo,BreiMa00,rush_long,10,,,,,
player,201810280crd,sfo,BreiMa00,targets,0,,,,,
player,201810280crd,sfo,BreiMa00,rec,0,,,,,
player,201810280crd,sfo,BreiMa00,rec_yds,0,,,,,
player,201810280crd,sfo,BreiMa00,rec_td,0,,,,,
player,201810280crd,sfo,BreiMa00,rec_long,0,,,,,
player,201810280crd,sfo,BreiMa00,fumbles,0,,,,,
player,201810280crd,sfo,BreiMa00,fumbles_lost,0,,,,,
player,201810280crd,sfo,MorrAl00,pass_cmp,0,,,,,
player,201810280crd,sfo,MorrAl00,pass_att,0,,,,,
player,201810280crd,sfo,MorrAl00,pass_yds,0,,,,,
player,201810280crd,sfo,MorrAl00,pass_td,0,,,,,
player,201810280crd,sfo,MorrAl00,pass_int,0,,,,,
player,201810280crd,sfo,MorrAl00,pass_sacked,0,,,,,
