game,2018,17,20181230,201812300gnb,det,"Detroit Lions",31,gnb,"Green Bay Packers",0
team,201812300gnb,det,First Downs,25,,,,,,
team,201812300gnb,gnb,First Downs,9,,,,,,
team,201812300gnb,det,Rush-Yds-TDs,38-130-1,,,,,,
team,201812300gnb,gnb,Rush-Yds-TDs,13-46-0,,,,,,
team,201812300gnb,det,Cmp-Att-Yd-TD-INT,21-33-274-3-0,,,,,,
team,201812300gnb,gnb,Cmp-Att-Yd-TD-INT,19-40-158-0-1,,,,,,
team,201812300gnb,det,Sacked-Yards,1-2,,,,,,
team,201812300gnb,gnb,Sacked-Yards,3-29,,,,,,
team,201812300gnb,det,Net Pass Yards,272,,,,,,
team,201812300gnb,gnb,Net Pass Yards,129,,,,,,
team,201812300gnb,det,Total Yards,402,,,,,,
team,201812300gnb,gnb,Total Yards,175,,,,,,
team,201812300gnb,det,Fumbles-Lost,0-0,,,,,,
team,201812300gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201812300gnb,det,Turnovers,0,,,,,,
team,201812300gnb,gnb,Turnovers,1,,,,,,
team,201812300gnb,det,Penalties-Yards,3-34,,,,,,
team,201812300gnb,gnb,Penalties-Yards,5-38,,,,,,
team,201812300gnb,det,Third Down Conv.,7-14,,,,,,
team,201812300gnb,gnb,Third Down Conv.,5-16,,,,,,
team,201812300gnb,det,Fourth Down Conv.,1-1,,,,,,
team,201812300gnb,gnb,Fourth Down Conv.,1-3,,,,,,
team,201812300gnb,det,Time of Possession,36:54,,,,,,
team,201812300gnb,gnb,Time of Possession,23:06,,,,,,
player,201812300gnb,det,StafMa00,pass_cmp,20,,,,,
player,201812300gnb,det,StafMa00,pass_att,32,,,,,
player,201812300gnb,det,StafMa00,pass_yds,266,,,,,
player,201812300gnb,det,StafMa00,pass_td,2,,,,,
player,201812300gnb,det,StafMa00,pass_int,0,,,,,
player,201812300gnb,det,StafMa00,pass_sacked,1,,,,,
player,201812300gnb,det,StafMa00,pass_sacked_yds,2,,,,,
player,201812300gnb,det,StafMa00,pass_long,41,,,,,
player,201812300gnb,det,StafMa00,pass_rating,109.6,,,,,
player,201812300gnb,det,StafMa00,rush_att,2,,,,,
player,201812300gnb,det,StafMa00,rush_yds,-2,,,,,
player,201812300gnb,det,StafMa00,rush_td,0,,,,,
player,201812300gnb,det,StafMa00,rush_long,-1,,,,,
player,201812300gnb,det,StafMa00,targets,0,,,,,
