game,2018,5,20181007,201810070cle,rav,"Baltimore Ravens",9,cle,"Cleveland Browns",12
team,201810070cle,rav,First Downs,25,,,,,,
team,201810070cle,cle,First Downs,20,,,,,,
team,201810070cle,rav,Rush-Yds-TDs,25-116-0,,,,,,
team,201810070cle,cle,Rush-Yds-TDs,28-112-0,,,,,,
team,201810070cle,rav,Cmp-Att-Yd-TD-INT,29-57-298-0-1,,,,,,
team,201810070cle,cle,Cmp-Att-Yd-TD-INT,25-43-342-1-1,,,,,,
team,201810070cle,rav,Sacked-Yards,2-4,,,,,,
team,201810070cle,cle,Sacked-Yards,5-38,,,,,,
team,201810070cle,rav,Net Pass Yards,294,,,,,,
team,201810070cle,cle,Net Pass Yards,304,,,,,,
team,201810070cle,rav,Total Yards,410,,,,,,
team,201810070cle,cle,Total Yards,416,,,,,,
team,201810070cle,rav,Fumbles-Lost,2-1,,,,,,
team,201810070cle,cle,Fumbles-Lost,1-0,,,,,,
team,201810070cle,rav,Turnovers,2,,,,,,
team,201810070cle,cle,Turnovers,1,,,,,,
team,201810070cle,rav,Penalties-Yards,4-41,,,,,,
team,201810070cle,cle,Penalties-Yards,10-66,,,,,,
team,201810070cle,rav,Third Down Conv.,4-16,,,,,,
team,201810070cle,cle,Third Down Conv.,6-19,,,,,,
team,201810070cle,rav,Fourth Down Conv.,1-1,,,,,,
team,201810070cle,cle,Fourth Down Conv.,0-1,,,,,,
team,201810070cle,rav,Time of Possession,33:42,,,,,,
team,201810070cle,cle,Time of Possession,36:16,,,,,,
player,201810070cle,rav,FlacJo00,pass_cmp,29,,,,,
player,201810070cle,rav,FlacJo00,pass_att,56,,,,,
player,201810070cle,rav,FlacJo00,pass_yds,298,,,,,
player,201810070cle,rav,FlacJo00,pass_td,0,,,,,
player,201810070cle,rav,FlacJo00,pass_int,1,,,,,
player,201810070cle,rav,FlacJo00,pass_sacked,2,,,,,
player,201810070cle,rav,FlacJo00,pass_sacked_yds,4,,,,,
player,201810070cle,rav,FlacJo00,pass_long,28,,,,,
player,201810070cle,rav,FlacJo00,pass_rating,60.0,,,,,
player,201810070cle,rav,FlacJo00,rush_att,2,,,,,
player,201810070cle,rav,FlacJo00,rush_yds,13,,,,,
player,201810070cle,rav,FlacJo00,rush_td,0,,,,,
player,201810070cle,rav,FlacJo00,rush_long,11,,,,,
player,201810070cle,rav,FlacJo00,targets,0,,,,,
player,201810070cle,rav,FlacJo00,rec,0,,,,,
player,201810070cle,rav,FlacJo00,rec_yds,0,,,,,
player,201810070cle,rav,FlacJo00,rec_td,0,,,,,
player,201810070cle,rav,FlacJo00,rec_long,0,,,,,
player,201810070cle,rav,FlacJo00,fumbles,0,,,,,
player,201810070cle,rav,FlacJo00,fumbles_lost,0,,,,,
player,201810070cle,rav,JackLa00,pass_cmp,0,,,,,
player,201810070cle,rav,JackLa00,pass_att,1,,,,,
player,201810070cle,rav,JackLa00,pass_yds,0,,,,,
player,201810070cle,rav,JackLa00,pass_td,0,,,,,
player,201810070cle,rav,JackLa00,pass_int,0,,,,,
player,201810070cle,rav,JackLa00,pass_sacked,0,,,,,
player,201810070cle,rav,JackLa00,pass_sacked_yds,0,,,,,
player,201810070cle,rav,JackLa00,pass_long,0,,,,,
player,201810070cle,rav,JackLa00,pass_rating,39.6,,,,,
player,201810070cle,rav,JackLa00,rush_att,3,,,,,
player,201810070cle,rav,JackLa00,rush_yds,10,,,,,
player,201810070cle,rav,JackLa00,rush_td,0,,,,,
player,201810070cle,rav,JackLa00,rush_long,4,,,,,
player,201810070cle,rav,JackLa00,targets,0,,,,,
player,201810070cle,rav,JackLa00,rec,0,,,,,
player,201810070cle,rav,JackLa00,rec_yds,0,,,,,
player,201810070cle,rav,JackLa00,rec_td,0,,,,,
player,201810070cle,rav,JackLa00,rec_long,0,,,,,
player,201810070cle,rav,JackLa00,fumbles,0,,,,,
player,201810070cle,rav,JackLa00,fumbles_lost,0,,,,,
player,201810070cle,rav,CollAl00,pass_cmp,0,,,,,
player,201810070cle,rav,CollAl00,pass_att,0,,,,,
player,201810070cle,rav,CollAl00,pass_yds,0,,,,,
player,201810070cle,rav,CollAl00,pass_td,0,,,,,
player,201810070cle,rav,CollAl00,pass_int,0,,,,,
player,201810070cle,rav,CollAl00,pass_sacked,0,,,,,
player,201810070cle,rav,CollAl00,pass_sacked_yds,0,,,,,
player,201810070cle,rav,CollAl00,pass_long,0,,,,,
player,201810070cle,rav,CollAl00,pass_rating,,,,,,
player,201810070cle,rav,CollAl00,rush_att,12,,,,,
player,201810070cle,rav,CollAl00,rush_yds,59,,,,,
player,201810070cle,rav,CollAl00,rush_td,0,,,,,
player,201810070cle,rav,CollAl00,rush_long,19,,,,,
player,201810070cle,rav,CollAl00,targets,4,,,,,
player,201810070cle,rav,CollAl00,rec,1,,,,,
player,201810070cle,rav,CollAl00,rec_yds,7,,,,,
player,201810070cle,rav,CollAl00,rec_td,0,,,,,
player,201810070cle,rav,CollAl00,rec_long,7,,,,,
player,201810070cle,rav,CollAl00,fumbles,0,,,,,
player,201810070cle,rav,CollAl00,fumbles_lost,0,,,,,
player,201810070cle,rav,AlleJa01,pass_cmp,0,,,,,
player,201810070cle,rav,AlleJa01,pass_att,0,,,,,
player,201810070cle,rav,AlleJa01,pass_yds,0,,,,,
player,201810070cle,rav,AlleJa01,pass_td,0,,,,,
player,201810070cle,rav,AlleJa01,pass_int,0,,,,,
player,201810070cle,rav,AlleJa01,pass_sacked,0,,,,,
player,201810070cle,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201810070cle,rav,AlleJa01,pass_long,0,,,,,
player,201810070cle,rav,AlleJa01,pass_rating,,,,,,
player,201810070cle,rav,AlleJa01,rush_att,8,,,,,
player,201810070cle,rav,AlleJa01,rush_yds,34,,,,,
player,201810070cle,rav,AlleJa01,rush_td,0,,,,,
player,201810070cle,rav,AlleJa01,rush_long,17,,,,,
player,201810070cle,rav,AlleJa01,targets,8,,,,,
player,201810070cle,rav,AlleJa01,rec,6,,,,,
player,201810070cle,rav,AlleJa01,rec_yds,44,,,,,
player,201810070cle,rav,AlleJa01,rec_td,0,,,,,
player,201810070cle,rav,AlleJa01,rec_long,16,,,,,
player,201810070cle,rav,AlleJa01,fumbles,1,,,,,
player,201810070cle,rav,AlleJa01,fumbles_lost,1,,,,,
player,201810070cle,rav,CrabMi00,pass_cmp,0,,,,,
player,201810070cle,rav,CrabMi00,pass_att,0,,,,,
player,201810070cle,rav,CrabMi00,pass_yds,0,,,,,
player,201810070cle,rav,CrabMi00,pass_td,0,,,,,
player,201810070cle,rav,CrabMi00,pass_int,0,,,,,
player,201810070cle,rav,CrabMi00,pass_sacked,0,,,,,
player,201810070cle,rav,CrabMi00,pass_sacked_yds,0,,,,,
player,201810070cle,rav,CrabMi00,pass_long,0,,,,,
player,201810070cle,rav,CrabMi00,pass_rating,,,,,,
player,201810070cle,rav,CrabMi00,rush_att,0,,,,,
player,201810070cle,rav,CrabMi00,rush_yds,0,,,,,
player,201810070cle,rav,CrabMi00,rush_td,0,,,,,
player,201810070cle,rav,CrabMi00,rush_long,0,,,,,
player,201810070cle,rav,CrabMi00,targets,12,,,,,
player,201810070cle,rav,CrabMi00,rec,6,,,,,
player,201810070cle,rav,CrabMi00,rec_yds,66,,,,,
player,201810070cle,rav,CrabMi00,rec_td,0,,,,,
player,201810070cle,rav,CrabMi00,rec_long,20,,,,,
player,201810070cle,rav,CrabMi00,fumbles,0,,,,,
player,201810070cle,rav,CrabMi00,fumbles_lost,0,,,,,
