game,2018,8,20181028,201810280rai,clt,"Indianapolis Colts",42,rai,"Oakland Raiders",28
team,201810280rai,clt,First Downs,28,,,,,,
team,201810280rai,rai,First Downs,19,,,,,,
team,201810280rai,clt,Rush-Yds-TDs,40-222-2,,,,,,
team,201810280rai,rai,Rush-Yds-TDs,19-103-1,,,,,,
team,201810280rai,clt,Cmp-Att-Yd-TD-INT,22-31-239-3-0,,,,,,
team,201810280rai,rai,Cmp-Att-Yd-TD-INT,21-28-244-3-0,,,,,,
team,201810280rai,clt,Sacked-Yards,0-0,,,,,,
team,201810280rai,rai,Sacked-Yards,0-0,,,,,,
team,201810280rai,clt,Net Pass Yards,239,,,,,,
team,201810280rai,rai,Net Pass Yards,244,,,,,,
team,201810280rai,clt,Total Yards,461,,,,,,
team,201810280rai,rai,Total Yards,347,,,,,,
team,201810280rai,clt,Fumbles-Lost,0-0,,,,,,
team,201810280rai,rai,Fumbles-Lost,1-1,,,,,,
team,201810280rai,clt,Turnovers,0,,,,,,
team,201810280rai,rai,Turnovers,1,,,,,,
team,201810280rai,clt,Penalties-Yards,10-77,,,,,,
team,201810280rai,rai,Penalties-Yards,10-79,,,,,,
team,201810280rai,clt,Third Down Conv.,9-13,,,,,,
team,201810280rai,rai,Third Down Conv.,4-8,,,,,,
team,201810280rai,clt,Fourth Down Conv.,0-0,,,,,,
team,201810280rai,rai,Fourth Down Conv.,1-2,,,,,,
team,201810280rai,clt,Time of Possession,36:30,,,,,,
team,201810280rai,rai,Time of Possession,23:30,,,,,,
player,201810280rai,clt,LuckAn00,pass_cmp,22,,,,,
player,201810280rai,clt,LuckAn00,pass_att,31,,,,,
player,201810280rai,clt,LuckAn00,pass_yds,239,,,,,
player,201810280rai,clt,LuckAn00,pass_td,3,,,,,
player,201810280rai,clt,LuckAn00,pass_int,0,,,,,
player,201810280rai,clt,LuckAn00,pass_sacked,0,,,,,
player,201810280rai,clt,LuckAn00,pass_sacked_yds,0,,,,,
player,201810280rai,clt,LuckAn00,pass_long,34,,,,,
player,201810280rai,clt,LuckAn00,pass_rating,125.6,,,,,
player,201810280rai,clt,LuckAn00,rush_att,2,,,,,
player,201810280rai,clt,LuckAn00,rush_yds,-2,,,,,
player,201810280rai,clt,LuckAn00,rush_td,0,,,,,
player,201810280rai,clt,LuckAn00,rush_long,-1,,,,,
player,201810280rai,clt,LuckAn00,targets,0,,,,,
player,201810280rai,clt,LuckAn00,rec,0,,,,,
player,201810280rai,clt,LuckAn00,rec_yds,0,,,,,
player,201810280rai,clt,LuckAn00,rec_td,0,,,,,
player,201810280rai,clt,LuckAn00,rec_long,0,,,,,
player,201810280rai,clt,LuckAn00,fumbles,0,,,,,
