game,2018,8,20181025,201810250htx,mia,"Miami Dolphins",23,htx,"Houston Texans",42
player,201810250htx,mia,OsweBr00,rush_att,0,,,,,
player,201810250htx,mia,OsweBr00,rush_yds,0,,,,,
player,201810250htx,mia,OsweBr00,rush_td,0,,,,,
player,201810250htx,mia,OsweBr00,rush_long,0,,,,,
player,201810250htx,mia,OsweBr00,targets,0,,,,,
player,201810250htx,mia,OsweBr00,rec,0,,,,,
player,201810250htx,mia,OsweBr00,rec_yds,0,,,,,
player,201810250htx,mia,OsweBr00,rec_td,0,,,,,
player,201810250htx,mia,OsweBr00,rec_long,0,,,,,
player,201810250htx,mia,OsweBr00,fumbles,0,,,,,
player,201810250htx,mia,OsweBr00,fumbles_lost,0,,,,,
player,201810250htx,mia,AmenDa00,pass_cmp,1,,,,,
player,201810250htx,mia,AmenDa00,pass_att,1,,,,,
player,201810250htx,mia,AmenDa00,pass_yds,28,,,,,
player,201810250htx,mia,AmenDa00,pass_td,1,,,,,
player,201810250htx,mia,AmenDa00,pass_int,0,,,,,
player,201810250htx,mia,AmenDa00,pass_sacked,0,,,,,
player,201810250htx,mia,AmenDa00,pass_sacked_yds,0,,,,,
player,201810250htx,mia,AmenDa00,pass_long,28,,,,,
player,201810250htx,mia,AmenDa00,pass_rating,158.3,,,,,
player,201810250htx,mia,AmenDa00,rush_att,0,,,,,
player,201810250htx,mia,AmenDa00,rush_yds,0,,,,,
player,201810250htx,mia,AmenDa00,rush_td,0,,,,,
player,201810250htx,mia,AmenDa00,rush_long,0,,,,,
player,201810250htx,mia,AmenDa00,targets,6,,,,,
player,201810250htx,mia,AmenDa00,rec,5,,,,,
player,201810250htx,mia,AmenDa00,rec_yds,43,,,,,
player,201810250htx,mia,AmenDa00,rec_td,0,,,,,
player,201810250htx,mia,AmenDa00,rec_long,13,,,,,
player,201810250htx,mia,AmenDa00,fumbles,0,,,,,
player,201810250htx,mia,AmenDa00,fumbles_lost,0,,,,,
player,201810250htx,mia,DrakKe00,pass_cmp,0,,,,,
player,201810250htx,mia,DrakKe00,pass_att,0,,,,,
player,201810250htx,mia,DrakKe00,pass_yds,0,,,,,
player,201810250htx,mia,DrakKe00,pass_td,0,,,,,
player,201810250htx,mia,DrakKe00,pass_int,0,,,,,
player,201810250htx,mia,DrakKe00,pass_sacked,0,,,,,
player,201810250htx,mia,DrakKe00,pass_sacked_yds,0,,,,,
player,201810250htx,mia,DrakKe00,pass_long,0,,,,,
player,201810250htx,mia,DrakKe00,pass_rating,,,,,,
player,201810250htx,mia,DrakKe00,rush_att,12,,,,,
player,201810250htx,mia,DrakKe00,rush_yds,58,,,,,
player,201810250htx,mia,DrakKe00,rush_td,1,,,,,
player,201810250htx,mia,DrakKe00,rush_long,12,,,,,
player,201810250htx,mia,DrakKe00,targets,2,,,,,
player,201810250htx,mia,DrakKe00,rec,2,,,,,
player,201810250htx,mia,DrakKe00,rec_yds,37,,,,,
player,201810250htx,mia,DrakKe00,rec_td,1,,,,,
player,201810250htx,mia,DrakKe00,rec_long,28,,,,,
player,201810250htx,mia,DrakKe00,fumbles,0,,,,,
player,201810250htx,mia,DrakKe00,fumbles_lost,0,,,,,
player,201810250htx,mia,GoreFr00,pass_cmp,0,,,,,
player,201810250htx,mia,GoreFr00,pass_att,0,,,,,
player,201810250htx,mia,GoreFr00,pass_yds,0,,,,,
player,201810250htx,mia,GoreFr00,pass_td,0,,,,,
player,201810250htx,mia,GoreFr00,pass_int,0,,,,,
player,201810250htx,mia,GoreFr00,pass_sacked,0,,,,,
player,201810250htx,mia,GoreFr00,pass_sacked_yds,0,,,,,
player,201810250htx,mia,GoreFr00,pass_long,0,,,,,
player,201810250htx,mia,GoreFr00,pass_rating,,,,,,
player,201810250htx,mia,GoreFr00,rush_att,12,,,,,
player,201810250htx,mia,GoreFr00,rush_yds,53,,,,,
player,201810250htx,mia,GoreFr00,rush_td,0,,,,,
player,201810250htx,mia,GoreFr00,rush_long,9,,,,,
player,201810250htx,mia,GoreFr00,targets,2,,,,,
player,201810250htx,mia,GoreFr00,rec,1,,,,,
player,201810250htx,mia,GoreFr00,rec_yds,5,,,,,
player,201810250htx,mia,GoreFr00,rec_td,0,,,,,
player,201810250htx,mia,GoreFr00,rec_long,5,,,,,
player,201810250htx,mia,GoreFr00,fumbles,0,,,,,
player,201810250htx,mia,GoreFr00,fumbles_lost,0,,,,,
player,201810250htx,mia,BallKa00,pass_cmp,0,,,,,
player,201810250htx,mia,BallKa00,pass_att,0,,,,,
player,201810250htx,mia,BallKa00,pass_yds,0,,,,,
player,201810250htx,mia,BallKa00,pass_td,0,,,,,
player,201810250htx,mia,BallKa00,pass_int,0,,,,,
player,201810250htx,mia,BallKa00,pass_sacked,0,,,,,
player,201810250htx,mia,BallKa00,pass_sacked_yds,0,,,,,
player,201810250htx,mia,BallKa00,pass_long,0,,,,,
player,201810250htx,mia,BallKa00,pass_rating,,,,,,
player,201810250htx,mia,BallKa00,rush_att,1,,,,,
player,201810250htx,mia,BallKa00,rush_yds,5,,,,,
player,201810250htx,mia,BallKa00,rush_td,0,,,,,
player,201810250htx,mia,BallKa00,rush_long,5,,,,,
player,201810250htx,mia,BallKa00,targets,0,,,,,
player,201810250htx,mia,BallKa00,rec,0,,,,,
player,201810250htx,mia,BallKa00,rec_yds,0,,,,,
player,201810250htx,mia,BallKa00,rec_td,0,,,,,
player,201810250htx,mia,BallKa00,rec_long,0,,,,,
player,201810250htx,mia,BallKa00,fumbles,0,,,,,
player,201810250htx,mia,BallKa00,fumbles_lost,0,,,,,
player,201810250htx,mia,ParkDe01,pass_cmp,0,,,,,
player,201810250htx,mia,ParkDe01,pass_att,0,,,,,
player,201810250htx,mia,ParkDe01,pass_yds,0,,,,,
player,201810250htx,mia,ParkDe01,pass_td,0,,,,,
player,201810250htx,mia,ParkDe01,pass_int,0,,,,,
player,201810250htx,mia,ParkDe01,pass_sacked,0,,,,,
player,201810250htx,mia,ParkDe01,pass_sacked_yds,0,,,,,
player,201810250htx,mia,ParkDe01,pass_long,0,,,,,
player,201810250htx,mia,ParkDe01,pass_rating,,,,,,
player,201810250htx,mia,ParkDe01,rush_att,0,,,,,
player,201810250htx,mia,ParkDe01,rush_yds,0,,,,,
player,201810250htx,mia,ParkDe01,rush_td,0,,,,,
player,201810250htx,mia,ParkDe01,rush_long,0,,,,,
player,201810250htx,mia,ParkDe01,targets,9,,,,,
player,201810250htx,mia,ParkDe01,rec,6,,,,,
player,201810250htx,mia,ParkDe01,rec_yds,134,,,,,
player,201810250htx,mia,ParkDe01,rec_td,0,,,,,
player,201810250htx,mia,ParkDe01,rec_long,46,,,,,
player,201810250htx,mia,ParkDe01,fumbles,0,,,,,
player,201810250htx,mia,ParkDe01,fumbles_lost,0,,,,,
player,201810250htx,mia,GranJa00,pass_cmp,0,,,,,
player,201810250htx,mia,GranJa00,pass_att,0,,,,,
player,201810250htx,mia,GranJa00,pass_yds,0,,,,,
player,201810250htx,mia,GranJa00,pass_td,0,,,,,
player,201810250htx,mia,GranJa00,pass_int,0,,,,,
player,201810250htx,mia,GranJa00,pass_sacked,0,,,,,
player,201810250htx,mia,GranJa00,pass_sacked_yds,0,,,,,
player,201810250htx,mia,GranJa00,pass_long,0,,,,,
player,201810250htx,mia,GranJa00,pass_rating,,,,,,
player,201810250htx,mia,GranJa00,rush_att,0,,,,,
player,201810250htx,mia,GranJa00,rush_yds,0,,,,,
player,201810250htx,mia,GranJa00,rush_td,0,,,,,
player,201810250htx,mia,GranJa00,rush_long,0,,,,,
player,201810250htx,mia,GranJa00,targets,8,,,,,
player,201810250htx,mia,GranJa00,rec,4,,,,,
player,201810250htx,mia,GranJa00,rec_yds,36,,,,,
player,201810250htx,mia,GranJa00,rec_td,0,,,,,
player,201810250htx,mia,GranJa00,rec_long,16,,,,,
player,201810250htx,mia,GranJa00,fumbles,0,,,,,
player,201810250htx,mia,GranJa00,fumbles_lost,0,,,,,
player,201810250htx,mia,GesiMi00,pass_cmp,0,,,,,
player,201810250htx,mia,GesiMi00,pass_att,0,,,,,
player,201810250htx,mia,GesiMi00,pass_yds,0,,,,,
player,201810250htx,mia,GesiMi00,pass_td,0,,,,,
player,201810250htx,mia,GesiMi00,pass_int,0,,,,,
player,201810250htx,mia,GesiMi00,pass_sacked,0,,,,,
player,201810250htx,mia,GesiMi00,pass_sacked_yds,0,,,,,
player,201810250htx,mia,GesiMi00,pass_long,0,,,,,
player,201810250htx,mia,GesiMi00,pass_rating,,,,,,
player,201810250htx,mia,GesiMi00,rush_att,0,,,,,
player,201810250htx,mia,GesiMi00,rush_yds,0,,,,,
player,201810250htx,mia,GesiMi00,rush_td,0,,,,,
player,201810250htx,mia,GesiMi00,rush_long,0,,,,,
player,201810250htx,mia,GesiMi00,targets,5,,,,,
player,201810250htx,mia,GesiMi00,rec,4,,,,,
player,201810250htx,mia,GesiMi00,rec_yds,14,,,,,
player,201810250htx,mia,GesiMi00,rec_td,0,,,,,
player,201810250htx,mia,GesiMi00,rec_long,10,,,,,
player,201810250htx,mia,GesiMi00,fumbles,0,,,,,
player,201810250htx,mia,GesiMi00,fumbles_lost,0,,,,,
player,201810250htx,mia,SmytDu00,pass_cmp,0,,,,,
player,201810250htx,mia,SmytDu00,pass_att,0,,,,,
player,201810250htx,mia,SmytDu00,pass_yds,0,,,,,
player,201810250htx,mia,SmytDu00,pass_td,0,,,,,
player,201810250htx,mia,SmytDu00,pass_int,0,,,,,
player,201810250htx,mia,SmytDu00,pass_sacked,0,,,,,
player,201810250htx,mia,SmytDu00,pass_sacked_yds,0,,,,,
player,201810250htx,mia,SmytDu00,pass_long,0,,,,,
player,201810250htx,mia,SmytDu00,pass_rating,,,,,,
player,201810250htx,mia,SmytDu00,rush_att,0,,,,,
player,201810250htx,mia,SmytDu00,rush_yds,0,,,,,
player,201810250htx,mia,SmytDu00,rush_td,0,,,,,
player,201810250htx,mia,SmytDu00,rush_long,0,,,,,
player,201810250htx,mia,SmytDu00,targets,1,,,,,
player,201810250htx,mia,SmytDu00,rec,0,,,,,
player,201810250htx,mia,SmytDu00,rec_yds,0,,,,,
player,201810250htx,mia,SmytDu00,rec_td,0,,,,,
player,201810250htx,mia,SmytDu00,rec_long,0,,,,,
player,201810250htx,mia,SmytDu00,fumbles,0,,,,,
player,201810250htx,mia,SmytDu00,fumbles_lost,0,,,,,
player,201810250htx,htx,WatsDe00,pass_cmp,16,,,,,
player,201810250htx,htx,WatsDe00,pass_att,20,,,,,
player,201810250htx,htx,WatsDe00,pass_yds,239,,,,,
player,201810250htx,htx,WatsDe00,pass_td,5,,,,,
player,201810250htx,htx,WatsDe00,pass_int,0,,,,,
player,201810250htx,htx,WatsDe00,pass_sacked,0,,,,,
player,201810250htx,htx,WatsDe00,pass_sacked_yds,0,,,,,
player,201810250htx,htx,WatsDe00,pass_long,73,,,,,
player,201810250htx,htx,WatsDe00,pass_rating,156.0,,,,,
player,201810250htx,htx,WatsDe00,rush_att,1,,,,,
player,201810250htx,htx,WatsDe00,rush_yds,14,,,,,
player,201810250htx,htx,WatsDe00,rush_td,0,,,,,
player,201810250htx,htx,WatsDe00,rush_long,14,,,,,
player,201810250htx,htx,WatsDe00,targets,0,,,,,
player,201810250htx,htx,WatsDe00,rec,0,,,,,
player,201810250htx,htx,WatsDe00,rec_yds,0,,,,,
player,201810250htx,htx,WatsDe00,rec_td,0,,,,,
player,201810250htx,htx,WatsDe00,rec_long,0,,,,,
player,201810250htx,htx,WatsDe00,fumbles,0,,,,,
player,201810250htx,htx,WatsDe00,fumbles_lost,0,,,,,
player,201810250htx,htx,MillLa01,pass_cmp,0,,,,,
player,201810250htx,htx,MillLa01,pass_att,0,,,,,
player,201810250htx,htx,MillLa01,pass_yds,0,,,,,
player,201810250htx,htx,MillLa01,pass_td,0,,,,,
player,201810250htx,htx,MillLa01,pass_int,0,,,,,
player,201810250htx,htx,MillLa01,pass_sacked,0,,,,,
player,201810250htx,htx,MillLa01,pass_sacked_yds,0,,,,,
player,201810250htx,htx,MillLa01,pass_long,0,,,,,
player,201810250htx,htx,MillLa01,pass_rating,,,,,,
player,201810250htx,htx,MillLa01,rush_att,18,,,,,
player,201810250htx,htx,MillLa01,rush_yds,133,,,,,
player,201810250htx,htx,MillLa01,rush_td,1,,,,,
player,201810250htx,htx,MillLa01,rush_long,58,,,,,
player,201810250htx,htx,MillLa01,targets,2,,,,,
player,201810250htx,htx,MillLa01,rec,0,,,,,
