game,2018,5,20181007,201810070sfo,crd,"Arizona Cardinals",28,sfo,"San Francisco 49ers",18
team,201810070sfo,crd,First Downs,10,,,,,,
team,201810070sfo,sfo,First Downs,33,,,,,,
team,201810070sfo,crd,Rush-Yds-TDs,23-56-2,,,,,,
team,201810070sfo,sfo,Rush-Yds-TDs,34-147-1,,,,,,
team,201810070sfo,crd,Cmp-Att-Yd-TD-INT,10-25-170-1-0,,,,,,
team,201810070sfo,sfo,Cmp-Att-Yd-TD-INT,34-54-349-2-2,,,,,,
team,201810070sfo,crd,Sacked-Yards,1-6,,,,,,
team,201810070sfo,sfo,Sacked-Yards,4-49,,,,,,
team,201810070sfo,crd,Net Pass Yards,164,,,,,,
team,201810070sfo,sfo,Net Pass Yards,300,,,,,,
team,201810070sfo,crd,Total Yards,220,,,,,,
team,201810070sfo,sfo,Total Yards,447,,,,,,
team,201810070sfo,crd,Fumbles-Lost,1-0,,,,,,
team,201810070sfo,sfo,Fumbles-Lost,4-3,,,,,,
team,201810070sfo,crd,Turnovers,0,,,,,,
team,201810070sfo,sfo,Turnovers,5,,,,,,
team,201810070sfo,crd,Penalties-Yards,5-46,,,,,,
team,201810070sfo,sfo,Penalties-Yards,9-65,,,,,,
team,201810070sfo,crd,Third Down Conv.,2-12,,,,,,
team,201810070sfo,sfo,Third Down Conv.,10-17,,,,,,
team,201810070sfo,crd,Fourth Down Conv.,0-0,,,,,,
team,201810070sfo,sfo,Fourth Down Conv.,1-2,,,,,,
team,201810070sfo,crd,Time of Possession,19:48,,,,,,
team,201810070sfo,sfo,Time of Possession,40:12,,,,,,
player,201810070sfo,crd,RoseJo01,pass_cmp,10,,,,,
player,201810070sfo,crd,RoseJo01,pass_att,25,,,,,
player,201810070sfo,crd,RoseJo01,pass_yds,170,,,,,
player,201810070sfo,crd,RoseJo01,pass_td,1,,,,,
player,201810070sfo,crd,RoseJo01,pass_int,0,,,,,
player,201810070sfo,crd,RoseJo01,pass_sacked,1,,,,,
player,201810070sfo,crd,RoseJo01,pass_sacked_yds,6,,,,,
player,201810070sfo,crd,RoseJo01,pass_long,75,,,,,
player,201810070sfo,crd,RoseJo01,pass_rating,77.1,,,,,
player,201810070sfo,crd,RoseJo01,rush_att,3,,,,,
player,201810070sfo,crd,RoseJo01,rush_yds,-3,,,,,
player,201810070sfo,crd,RoseJo01,rush_td,0,,,,,
player,201810070sfo,crd,RoseJo01,rush_long,-1,,,,,
player,201810070sfo,crd,RoseJo01,targets,0,,,,,
player,201810070sfo,crd,RoseJo01,rec,0,,,,,
player,201810070sfo,crd,RoseJo01,rec_yds,0,,,,,
player,201810070sfo,crd,RoseJo01,rec_td,0,,,,,
player,201810070sfo,crd,RoseJo01,rec_long,0,,,,,
player,201810070sfo,crd,RoseJo01,fumbles,0,,,,,
player,201810070sfo,crd,RoseJo01,fumbles_lost,0,,,,,
player,201810070sfo,crd,JohnDa08,pass_cmp,0,,,,,
player,201810070sfo,crd,JohnDa08,pass_att,0,,,,,
player,201810070sfo,crd,JohnDa08,pass_yds,0,,,,,
player,201810070sfo,crd,JohnDa08,pass_td,0,,,,,
player,201810070sfo,crd,JohnDa08,pass_int,0,,,,,
player,201810070sfo,crd,JohnDa08,pass_sacked,0,,,,,
player,201810070sfo,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201810070sfo,crd,JohnDa08,pass_long,0,,,,,
player,201810070sfo,crd,JohnDa08,pass_rating,,,,,,
player,201810070sfo,crd,JohnDa08,rush_att,18,,,,,
player,201810070sfo,crd,JohnDa08,rush_yds,55,,,,,
player,201810070sfo,crd,JohnDa08,rush_td,2,,,,,
player,201810070sfo,crd,JohnDa08,rush_long,10,,,,,
player,201810070sfo,crd,JohnDa08,targets,3,,,,,
player,201810070sfo,crd,JohnDa08,rec,2,,,,,
player,201810070sfo,crd,JohnDa08,rec_yds,16,,,,,
player,201810070sfo,crd,JohnDa08,rec_td,0,,,,,
player,201810070sfo,crd,JohnDa08,rec_long,11,,,,,
player,201810070sfo,crd,JohnDa08,fumbles,0,,,,,
player,201810070sfo,crd,JohnDa08,fumbles_lost,0,,,,,
player,201810070sfo,crd,KirkCh01,pass_cmp,0,,,,,
player,201810070sfo,crd,KirkCh01,pass_att,0,,,,,
player,201810070sfo,crd,KirkCh01,pass_yds,0,,,,,
player,201810070sfo,crd,KirkCh01,pass_td,0,,,,,
player,201810070sfo,crd,KirkCh01,pass_int,0,,,,,
player,201810070sfo,crd,KirkCh01,pass_sacked,0,,,,,
player,201810070sfo,crd,KirkCh01,pass_sacked_yds,0,,,,,
player,201810070sfo,crd,KirkCh01,pass_long,0,,,,,
player,201810070sfo,crd,KirkCh01,pass_rating,,,,,,
player,201810070sfo,crd,KirkCh01,rush_att,1,,,,,
player,201810070sfo,crd,KirkCh01,rush_yds,5,,,,,
player,201810070sfo,crd,KirkCh01,rush_td,0,,,,,
player,201810070sfo,crd,KirkCh01,rush_long,5,,,,,
player,201810070sfo,crd,KirkCh01,targets,4,,,,,
player,201810070sfo,crd,KirkCh01,rec,3,,,,,
player,201810070sfo,crd,KirkCh01,rec_yds,85,,,,,
player,201810070sfo,crd,KirkCh01,rec_td,1,,,,,
