game,2018,6,20181014,201810140den,ram,"Los Angeles Rams",23,den,"Denver Broncos",20
team,201810140den,ram,First Downs,24,,,,,,
team,201810140den,den,First Downs,23,,,,,,
team,201810140den,ram,Rush-Yds-TDs,39-270-2,,,,,,
team,201810140den,den,Rush-Yds-TDs,17-60-0,,,,,,
team,201810140den,ram,Cmp-Att-Yd-TD-INT,14-28-201-0-1,,,,,,
team,201810140den,den,Cmp-Att-Yd-TD-INT,25-41-322-2-1,,,,,,
team,201810140den,ram,Sacked-Yards,5-27,,,,,,
team,201810140den,den,Sacked-Yards,2-25,,,,,,
team,201810140den,ram,Net Pass Yards,174,,,,,,
team,201810140den,den,Net Pass Yards,297,,,,,,
team,201810140den,ram,Total Yards,444,,,,,,
team,201810140den,den,Total Yards,357,,,,,,
team,201810140den,ram,Fumbles-Lost,0-0,,,,,,
team,201810140den,den,Fumbles-Lost,1-0,,,,,,
team,201810140den,ram,Turnovers,1,,,,,,
team,201810140den,den,Turnovers,1,,,,,,
team,201810140den,ram,Penalties-Yards,10-81,,,,,,
team,201810140den,den,Penalties-Yards,6-61,,,,,,
team,201810140den,ram,Third Down Conv.,8-17,,,,,,
team,201810140den,den,Third Down Conv.,3-10,,,,,,
team,201810140den,ram,Fourth Down Conv.,1-1,,,,,,
team,201810140den,den,Fourth Down Conv.,0-1,,,,,,
team,201810140den,ram,Time of Possession,35:10,,,,,,
team,201810140den,den,Time of Possession,24:50,,,,,,
player,201810140den,ram,GoffJa00,pass_cmp,14,,,,,
player,201810140den,ram,GoffJa00,pass_att,28,,,,,
player,201810140den,ram,GoffJa00,pass_yds,201,,,,,
player,201810140den,ram,GoffJa00,pass_td,0,,,,,
player,201810140den,ram,GoffJa00,pass_int,1,,,,,
player,201810140den,ram,GoffJa00,pass_sacked,5,,,,,
player,201810140den,ram,GoffJa00,pass_sacked_yds,27,,,,,
player,201810140den,ram,GoffJa00,pass_long,44,,,,,
player,201810140den,ram,GoffJa00,pass_rating,58.8,,,,,
player,201810140den,ram,GoffJa00,rush_att,4,,,,,
player,201810140den,ram,GoffJa00,rush_yds,14,,,,,
player,201810140den,ram,GoffJa00,rush_td,0,,,,,
player,201810140den,ram,GoffJa00,rush_long,13,,,,,
player,201810140den,ram,GoffJa00,targets,0,,,,,
player,201810140den,ram,GoffJa00,rec,0,,,,,
player,201810140den,ram,GoffJa00,rec_yds,0,,,,,
player,201810140den,ram,GoffJa00,rec_td,0,,,,,
player,201810140den,ram,GoffJa00,rec_long,0,,,,,
player,201810140den,ram,GoffJa00,fumbles,0,,,,,
player,201810140den,ram,GoffJa00,fumbles_lost,0,,,,,
player,201810140den,ram,GurlTo01,pass_cmp,0,,,,,
player,201810140den,ram,GurlTo01,pass_att,0,,,,,
player,201810140den,ram,GurlTo01,pass_yds,0,,,,,
player,201810140den,ram,GurlTo01,pass_td,0,,,,,
player,201810140den,ram,GurlTo01,pass_int,0,,,,,
player,201810140den,ram,GurlTo01,pass_sacked,0,,,,,
player,201810140den,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201810140den,ram,GurlTo01,pass_long,0,,,,,
player,201810140den,ram,GurlTo01,pass_rating,,,,,,
player,201810140den,ram,GurlTo01,rush_att,28,,,,,
player,201810140den,ram,GurlTo01,rush_yds,208,,,,,
player,201810140den,ram,GurlTo01,rush_td,2,,,,,
player,201810140den,ram,GurlTo01,rush_long,29,,,,,
player,201810140den,ram,GurlTo01,targets,5,,,,,
player,201810140den,ram,GurlTo01,rec,2,,,,,
player,201810140den,ram,GurlTo01,rec_yds,17,,,,,
player,201810140den,ram,GurlTo01,rec_td,0,,,,,
player,201810140den,ram,GurlTo01,rec_long,13,,,,,
player,201810140den,ram,GurlTo01,fumbles,0,,,,,
player,201810140den,ram,GurlTo01,fumbles_lost,0,,,,,
player,201810140den,ram,BrowMa03,pass_cmp,0,,,,,
player,201810140den,ram,BrowMa03,pass_att,0,,,,,
player,201810140den,ram,BrowMa03,pass_yds,0,,,,,
player,201810140den,ram,BrowMa03,pass_td,0,,,,,
player,201810140den,ram,BrowMa03,pass_int,0,,,,,
player,201810140den,ram,BrowMa03,pass_sacked,0,,,,,
player,201810140den,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201810140den,ram,BrowMa03,pass_long,0,,,,,
player,201810140den,ram,BrowMa03,pass_rating,,,,,,
player,201810140den,ram,BrowMa03,rush_att,5,,,,,
player,201810140den,ram,BrowMa03,rush_yds,24,,,,,
player,201810140den,ram,BrowMa03,rush_td,0,,,,,
player,201810140den,ram,BrowMa03,rush_long,9,,,,,
player,201810140den,ram,BrowMa03,targets,0,,,,,
player,201810140den,ram,BrowMa03,rec,0,,,,,
player,201810140den,ram,BrowMa03,rec_yds,0,,,,,
player,201810140den,ram,BrowMa03,rec_td,0,,,,,
player,201810140den,ram,BrowMa03,rec_long,0,,,,,
player,201810140den,ram,BrowMa03,fumbles,0,,,,,
player,201810140den,ram,BrowMa03,fumbles_lost,0,,,,,
player,201810140den,ram,WoodRo02,pass_cmp,0,,,,,
player,201810140den,ram,WoodRo02,pass_att,0,,,,,
player,201810140den,ram,WoodRo02,pass_yds,0,,,,,
player,201810140den,ram,WoodRo02,pass_td,0,,,,,
player,201810140den,ram,WoodRo02,pass_int,0,,,,,
player,201810140den,ram,WoodRo02,pass_sacked,0,,,,,
player,201810140den,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201810140den,ram,WoodRo02,pass_long,0,,,,,
player,201810140den,ram,WoodRo02,pass_rating,,,,,,
player,201810140den,ram,WoodRo02,rush_att,1,,,,,
player,201810140den,ram,WoodRo02,rush_yds,12,,,,,
player,201810140den,ram,WoodRo02,rush_td,0,,,,,
player,201810140den,ram,WoodRo02,rush_long,12,,,,,
player,201810140den,ram,WoodRo02,targets,10,,,,,
player,201810140den,ram,WoodRo02,rec,7,,,,,
player,201810140den,ram,WoodRo02,rec_yds,109,,,,,
player,201810140den,ram,WoodRo02,rec_td,0,,,,,
player,201810140den,ram,WoodRo02,rec_long,28,,,,,
player,201810140den,ram,WoodRo02,fumbles,0,,,,,
player,201810140den,ram,WoodRo02,fumbles_lost,0,,,,,
player,201810140den,ram,KuppCo00,pass_cmp,0,,,,,
player,201810140den,ram,KuppCo00,pass_att,0,,,,,
player,201810140den,ram,KuppCo00,pass_yds,0,,,,,
player,201810140den,ram,KuppCo00,pass_td,0,,,,,
player,201810140den,ram,KuppCo00,pass_int,0,,,,,
player,201810140den,ram,KuppCo00,pass_sacked,0,,,,,
player,201810140den,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201810140den,ram,KuppCo00,pass_long,0,,,,,
player,201810140den,ram,KuppCo00,pass_rating,,,,,,
player,201810140den,ram,KuppCo00,rush_att,1,,,,,
player,201810140den,ram,KuppCo00,rush_yds,12,,,,,
player,201810140den,ram,KuppCo00,rush_td,0,,,,,
player,201810140den,ram,KuppCo00,rush_long,12,,,,,
player,201810140den,ram,KuppCo00,targets,1,,,,,
player,201810140den,ram,KuppCo00,rec,0,,,,,
player,201810140den,ram,KuppCo00,rec_yds,0,,,,,
player,201810140den,ram,KuppCo00,rec_td,0,,,,,
player,201810140den,ram,KuppCo00,rec_long,0,,,,,
player,201810140den,ram,KuppCo00,fumbles,0,,,,,
player,201810140den,ram,KuppCo00,fumbles_lost,0,,,,,
player,201810140den,ram,CookBr00,pass_cmp,0,,,,,
player,201810140den,ram,CookBr00,pass_att,0,,,,,
player,201810140den,ram,CookBr00,pass_yds,0,,,,,
player,201810140den,ram,CookBr00,pass_td,0,,,,,
player,201810140den,ram,CookBr00,pass_int,0,,,,,
player,201810140den,ram,CookBr00,pass_sacked,0,,,,,
player,201810140den,ram,CookBr00,pass_sacked_yds,0,,,,,
player,201810140den,ram,CookBr00,pass_long,0,,,,,
player,201810140den,ram,CookBr00,pass_rating,,,,,,
player,201810140den,ram,CookBr00,rush_att,0,,,,,
player,201810140den,ram,CookBr00,rush_yds,0,,,,,
player,201810140den,ram,CookBr00,rush_td,0,,,,,
player,201810140den,ram,CookBr00,rush_long,0,,,,,
player,201810140den,ram,CookBr00,targets,6,,,,,
