game,2018,16,20181223,201812230sfo,chi,"Chicago Bears",14,sfo,"San Francisco 49ers",9
team,201812230sfo,chi,First Downs,20,,,,,,
team,201812230sfo,sfo,First Downs,15,,,,,,
team,201812230sfo,chi,Rush-Yds-TDs,28-90-1,,,,,,
team,201812230sfo,sfo,Rush-Yds-TDs,15-47-0,,,,,,
team,201812230sfo,chi,Cmp-Att-Yd-TD-INT,25-29-246-1-0,,,,,,
team,201812230sfo,sfo,Cmp-Att-Yd-TD-INT,22-38-241-0-1,,,,,,
team,201812230sfo,chi,Sacked-Yards,3-11,,,,,,
team,201812230sfo,sfo,Sacked-Yards,1-9,,,,,,
team,201812230sfo,chi,Net Pass Yards,235,,,,,,
team,201812230sfo,sfo,Net Pass Yards,232,,,,,,
team,201812230sfo,chi,Total Yards,325,,,,,,
team,201812230sfo,sfo,Total Yards,279,,,,,,
team,201812230sfo,chi,Fumbles-Lost,2-2,,,,,,
team,201812230sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201812230sfo,chi,Turnovers,2,,,,,,
team,201812230sfo,sfo,Turnovers,1,,,,,,
team,201812230sfo,chi,Penalties-Yards,4-30,,,,,,
team,201812230sfo,sfo,Penalties-Yards,6-45,,,,,,
team,201812230sfo,chi,Third Down Conv.,5-11,,,,,,
team,201812230sfo,sfo,Third Down Conv.,7-14,,,,,,
team,201812230sfo,chi,Fourth Down Conv.,1-1,,,,,,
team,201812230sfo,sfo,Fourth Down Conv.,0-1,,,,,,
team,201812230sfo,chi,Time of Possession,35:30,,,,,,
team,201812230sfo,sfo,Time of Possession,24:30,,,,,,
player,201812230sfo,chi,TrubMi00,pass_cmp,25,,,,,
player,201812230sfo,chi,TrubMi00,pass_att,29,,,,,
player,201812230sfo,chi,TrubMi00,pass_yds,246,,,,,
player,201812230sfo,chi,TrubMi00,pass_td,1,,,,,
player,201812230sfo,chi,TrubMi00,pass_int,0,,,,,
player,201812230sfo,chi,TrubMi00,pass_sacked,3,,,,,
