game,2018,17,20181230,201812300den,sdg,"Los Angeles Chargers",23,den,"Denver Broncos",9
team,201812300den,sdg,First Downs,17,,,,,,
team,201812300den,den,First Downs,19,,,,,,
team,201812300den,sdg,Rush-Yds-TDs,30-116-1,,,,,,
team,201812300den,den,Rush-Yds-TDs,25-82-0,,,,,,
team,201812300den,sdg,Cmp-Att-Yd-TD-INT,14-24-176-1-2,,,,,,
team,201812300den,den,Cmp-Att-Yd-TD-INT,31-48-292-1-1,,,,,,
team,201812300den,sdg,Sacked-Yards,1-16,,,,,,
team,201812300den,den,Sacked-Yards,1-4,,,,,,
team,201812300den,sdg,Net Pass Yards,160,,,,,,
team,201812300den,den,Net Pass Yards,288,,,,,,
team,201812300den,sdg,Total Yards,276,,,,,,
team,201812300den,den,Total Yards,370,,,,,,
team,201812300den,sdg,Fumbles-Lost,3-2,,,,,,
team,201812300den,den,Fumbles-Lost,4-3,,,,,,
team,201812300den,sdg,Turnovers,4,,,,,,
team,201812300den,den,Turnovers,4,,,,,,
team,201812300den,sdg,Penalties-Yards,6-51,,,,,,
team,201812300den,den,Penalties-Yards,11-99,,,,,,
team,201812300den,sdg,Third Down Conv.,4-11,,,,,,
team,201812300den,den,Third Down Conv.,4-14,,,,,,
team,201812300den,sdg,Fourth Down Conv.,0-0,,,,,,
team,201812300den,den,Fourth Down Conv.,1-2,,,,,,
team,201812300den,sdg,Time of Possession,28:12,,,,,,
team,201812300den,den,Time of Possession,31:48,,,,,,
player,201812300den,sdg,RivePh00,pass_cmp,14,,,,,
player,201812300den,sdg,RivePh00,pass_att,24,,,,,
player,201812300den,sdg,RivePh00,pass_yds,176,,,,,
player,201812300den,sdg,RivePh00,pass_td,1,,,,,
player,201812300den,sdg,RivePh00,pass_int,2,,,,,
player,201812300den,sdg,RivePh00,pass_sacked,0,,,,,
player,201812300den,sdg,RivePh00,pass_sacked_yds,0,,,,,
player,201812300den,sdg,RivePh00,pass_long,21,,,,,
player,201812300den,sdg,RivePh00,pass_rating,60.4,,,,,
player,201812300den,sdg,RivePh00,rush_att,1,,,,,
player,201812300den,sdg,RivePh00,rush_yds,0,,,,,
player,201812300den,sdg,RivePh00,rush_td,0,,,,,
player,201812300den,sdg,RivePh00,rush_long,0,,,,,
player,201812300den,sdg,RivePh00,targets,0,,,,,
player,201812300den,sdg,RivePh00,rec,0,,,,,
player,201812300den,sdg,RivePh00,rec_yds,0,,,,,
player,201812300den,sdg,RivePh00,rec_td,0,,,,,
player,201812300den,sdg,RivePh00,rec_long,0,,,,,
player,201812300den,sdg,RivePh00,fumbles,0,,,,,
player,201812300den,sdg,RivePh00,fumbles_lost,0,,,,,
player,201812300den,sdg,EkelAu00,pass_cmp,0,,,,,
player,201812300den,sdg,EkelAu00,pass_att,0,,,,,
player,201812300den,sdg,EkelAu00,pass_yds,0,,,,,
player,201812300den,sdg,EkelAu00,pass_td,0,,,,,
player,201812300den,sdg,EkelAu00,pass_int,0,,,,,
player,201812300den,sdg,EkelAu00,pass_sacked,0,,,,,
player,201812300den,sdg,EkelAu00,pass_sacked_yds,0,,,,,
player,201812300den,sdg,EkelAu00,pass_long,0,,,,,
player,201812300den,sdg,EkelAu00,pass_rating,,,,,,
player,201812300den,sdg,EkelAu00,rush_att,8,,,,,
player,201812300den,sdg,EkelAu00,rush_yds,58,,,,,
player,201812300den,sdg,EkelAu00,rush_td,1,,,,,
player,201812300den,sdg,EkelAu00,rush_long,41,,,,,
player,201812300den,sdg,EkelAu00,targets,1,,,,,
player,201812300den,sdg,EkelAu00,rec,0,,,,,
player,201812300den,sdg,EkelAu00,rec_yds,0,,,,,
player,201812300den,sdg,EkelAu00,rec_td,0,,,,,
player,201812300den,sdg,EkelAu00,rec_long,0,,,,,
player,201812300den,sdg,EkelAu00,fumbles,0,,,,,
player,201812300den,sdg,EkelAu00,fumbles_lost,0,,,,,
player,201812300den,sdg,GordMe00,pass_cmp,0,,,,,
player,201812300den,sdg,GordMe00,pass_att,0,,,,,
player,201812300den,sdg,GordMe00,pass_yds,0,,,,,
player,201812300den,sdg,GordMe00,pass_td,0,,,,,
player,201812300den,sdg,GordMe00,pass_int,0,,,,,
player,201812300den,sdg,GordMe00,pass_sacked,0,,,,,
player,201812300den,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201812300den,sdg,GordMe00,pass_long,0,,,,,
player,201812300den,sdg,GordMe00,pass_rating,,,,,,
player,201812300den,sdg,GordMe00,rush_att,10,,,,,
player,201812300den,sdg,GordMe00,rush_yds,42,,,,,
player,201812300den,sdg,GordMe00,rush_td,0,,,,,
player,201812300den,sdg,GordMe00,rush_long,9,,,,,
player,201812300den,sdg,GordMe00,targets,3,,,,,
player,201812300den,sdg,GordMe00,rec,3,,,,,
player,201812300den,sdg,GordMe00,rec_yds,24,,,,,
player,201812300den,sdg,GordMe00,rec_td,0,,,,,
player,201812300den,sdg,GordMe00,rec_long,13,,,,,
player,201812300den,sdg,GordMe00,fumbles,0,,,,,
player,201812300den,sdg,GordMe00,fumbles_lost,0,,,,,
player,201812300den,sdg,BenjTr00,pass_cmp,0,,,,,
player,201812300den,sdg,BenjTr00,pass_att,0,,,,,
player,201812300den,sdg,BenjTr00,pass_yds,0,,,,,
player,201812300den,sdg,BenjTr00,pass_td,0,,,,,
player,201812300den,sdg,BenjTr00,pass_int,0,,,,,
player,201812300den,sdg,BenjTr00,pass_sacked,0,,,,,
player,201812300den,sdg,BenjTr00,pass_sacked_yds,0,,,,,
player,201812300den,sdg,BenjTr00,pass_long,0,,,,,
player,201812300den,sdg,BenjTr00,pass_rating,,,,,,
player,201812300den,sdg,BenjTr00,rush_att,1,,,,,
player,201812300den,sdg,BenjTr00,rush_yds,11,,,,,
player,201812300den,sdg,BenjTr00,rush_td,0,,,,,
player,201812300den,sdg,BenjTr00,rush_long,11,,,,,
player,201812300den,sdg,BenjTr00,targets,1,,,,,
player,201812300den,sdg,BenjTr00,rec,0,,,,,
player,201812300den,sdg,BenjTr00,rec_yds,0,,,,,
player,201812300den,sdg,BenjTr00,rec_td,0,,,,,
player,201812300den,sdg,BenjTr00,rec_long,0,,,,,
player,201812300den,sdg,BenjTr00,fumbles,0,,,,,
player,201812300den,sdg,BenjTr00,fumbles_lost,0,,,,,
player,201812300den,sdg,JackJu01,pass_cmp,0,,,,,
player,201812300den,sdg,JackJu01,pass_att,0,,,,,
player,201812300den,sdg,JackJu01,pass_yds,0,,,,,
player,201812300den,sdg,JackJu01,pass_td,0,,,,,
player,201812300den,sdg,JackJu01,pass_int,0,,,,,
player,201812300den,sdg,JackJu01,pass_sacked,0,,,,,
player,201812300den,sdg,JackJu01,pass_sacked_yds,0,,,,,
player,201812300den,sdg,JackJu01,pass_long,0,,,,,
player,201812300den,sdg,JackJu01,pass_rating,,,,,,
player,201812300den,sdg,JackJu01,rush_att,6,,,,,
player,201812300den,sdg,JackJu01,rush_yds,10,,,,,
player,201812300den,sdg,JackJu01,rush_td,0,,,,,
player,201812300den,sdg,JackJu01,rush_long,5,,,,,
player,201812300den,sdg,JackJu01,targets,0,,,,,
player,201812300den,sdg,JackJu01,rec,0,,,,,
