game,2018,3,20180923,201809230crd,chi,"Chicago Bears",16,crd,"Arizona Cardinals",14
team,201809230crd,chi,First Downs,21,,,,,,
team,201809230crd,crd,First Downs,13,,,,,,
team,201809230crd,chi,Rush-Yds-TDs,31-122-1,,,,,,
team,201809230crd,crd,Rush-Yds-TDs,18-53-0,,,,,,
team,201809230crd,chi,Cmp-Att-Yd-TD-INT,24-35-220-0-1,,,,,,
team,201809230crd,crd,Cmp-Att-Yd-TD-INT,17-26-193-2-3,,,,,,
team,201809230crd,chi,Sacked-Yards,3-26,,,,,,
team,201809230crd,crd,Sacked-Yards,4-25,,,,,,
team,201809230crd,chi,Net Pass Yards,194,,,,,,
team,201809230crd,crd,Net Pass Yards,168,,,,,,
team,201809230crd,chi,Total Yards,316,,,,,,
team,201809230crd,crd,Total Yards,221,,,,,,
team,201809230crd,chi,Fumbles-Lost,1-1,,,,,,
team,201809230crd,crd,Fumbles-Lost,2-1,,,,,,
team,201809230crd,chi,Turnovers,2,,,,,,
team,201809230crd,crd,Turnovers,4,,,,,,
team,201809230crd,chi,Penalties-Yards,7-45,,,,,,
team,201809230crd,crd,Penalties-Yards,6-43,,,,,,
team,201809230crd,chi,Third Down Conv.,5-14,,,,,,
team,201809230crd,crd,Third Down Conv.,3-10,,,,,,
team,201809230crd,chi,Fourth Down Conv.,1-1,,,,,,
team,201809230crd,crd,Fourth Down Conv.,0-1,,,,,,
team,201809230crd,chi,Time of Possession,36:21,,,,,,
team,201809230crd,crd,Time of Possession,23:39,,,,,,
player,201809230crd,chi,TrubMi00,pass_cmp,24,,,,,
player,201809230crd,chi,TrubMi00,pass_att,35,,,,,
player,201809230crd,chi,TrubMi00,pass_yds,220,,,,,
player,201809230crd,chi,TrubMi00,pass_td,0,,,,,
player,201809230crd,chi,TrubMi00,pass_int,1,,,,,
player,201809230crd,chi,TrubMi00,pass_sacked,3,,,,,
player,201809230crd,chi,TrubMi00,pass_sacked_yds,26,,,,,
player,201809230crd,chi,TrubMi00,pass_long,39,,,,,
player,201809230crd,chi,TrubMi00,pass_rating,73.5,,,,,
player,201809230crd,chi,TrubMi00,rush_att,2,,,,,
player,201809230crd,chi,TrubMi00,rush_yds,8,,,,,
player,201809230crd,chi,TrubMi00,rush_td,0,,,,,
player,201809230crd,chi,TrubMi00,rush_long,7,,,,,
player,201809230crd,chi,TrubMi00,targets,0,,,,,
player,201809230crd,chi,TrubMi00,rec,0,,,,,
player,201809230crd,chi,TrubMi00,rec_yds,0,,,,,
player,201809230crd,chi,TrubMi00,rec_td,0,,,,,
player,201809230crd,chi,TrubMi00,rec_long,0,,,,,
player,201809230crd,chi,TrubMi00,fumbles,1,,,,,
player,201809230crd,chi,TrubMi00,fumbles_lost,1,,,,,
player,201809230crd,chi,HowaJo00,pass_cmp,0,,,,,
player,201809230crd,chi,HowaJo00,pass_att,0,,,,,
player,201809230crd,chi,HowaJo00,pass_yds,0,,,,,
player,201809230crd,chi,HowaJo00,pass_td,0,,,,,
player,201809230crd,chi,HowaJo00,pass_int,0,,,,,
player,201809230crd,chi,HowaJo00,pass_sacked,0,,,,,
player,201809230crd,chi,HowaJo00,pass_sacked_yds,0,,,,,
player,201809230crd,chi,HowaJo00,pass_long,0,,,,,
player,201809230crd,chi,HowaJo00,pass_rating,,,,,,
player,201809230crd,chi,HowaJo00,rush_att,24,,,,,
player,201809230crd,chi,HowaJo00,rush_yds,61,,,,,
player,201809230crd,chi,HowaJo00,rush_td,1,,,,,
player,201809230crd,chi,HowaJo00,rush_long,17,,,,,
player,201809230crd,chi,HowaJo00,targets,2,,,,,
player,201809230crd,chi,HowaJo00,rec,2,,,,,
player,201809230crd,chi,HowaJo00,rec_yds,20,,,,,
player,201809230crd,chi,HowaJo00,rec_td,0,,,,,
player,201809230crd,chi,HowaJo00,rec_long,13,,,,,
player,201809230crd,chi,HowaJo00,fumbles,0,,,,,
player,201809230crd,chi,HowaJo00,fumbles_lost,0,,,,,
player,201809230crd,chi,CoheTa00,pass_cmp,0,,,,,
player,201809230crd,chi,CoheTa00,pass_att,0,,,,,
player,201809230crd,chi,CoheTa00,pass_yds,0,,,,,
player,201809230crd,chi,CoheTa00,pass_td,0,,,,,
player,201809230crd,chi,CoheTa00,pass_int,0,,,,,
player,201809230crd,chi,CoheTa00,pass_sacked,0,,,,,
player,201809230crd,chi,CoheTa00,pass_sacked_yds,0,,,,,
player,201809230crd,chi,CoheTa00,pass_long,0,,,,,
player,201809230crd,chi,CoheTa00,pass_rating,,,,,,
player,201809230crd,chi,CoheTa00,rush_att,5,,,,,
player,201809230crd,chi,CoheTa00,rush_yds,53,,,,,
player,201809230crd,chi,CoheTa00,rush_td,0,,,,,
player,201809230crd,chi,CoheTa00,rush_long,21,,,,,
player,201809230crd,chi,CoheTa00,targets,3,,,,,
player,201809230crd,chi,CoheTa00,rec,3,,,,,
player,201809230crd,chi,CoheTa00,rec_yds,15,,,,,
player,201809230crd,chi,CoheTa00,rec_td,0,,,,,
player,201809230crd,chi,CoheTa00,rec_long,6,,,,,
player,201809230crd,chi,CoheTa00,fumbles,0,,,,,
player,201809230crd,chi,CoheTa00,fumbles_lost,0,,,,,
player,201809230crd,chi,BurtTr01,pass_cmp,0,,,,,
player,201809230crd,chi,BurtTr01,pass_att,0,,,,,
player,201809230crd,chi,BurtTr01,pass_yds,0,,,,,
player,201809230crd,chi,BurtTr01,pass_td,0,,,,,
player,201809230crd,chi,BurtTr01,pass_int,0,,,,,
player,201809230crd,chi,BurtTr01,pass_sacked,0,,,,,
player,201809230crd,chi,BurtTr01,pass_sacked_yds,0,,,,,
player,201809230crd,chi,BurtTr01,pass_long,0,,,,,
player,201809230crd,chi,BurtTr01,pass_rating,,,,,,
