game,2018,2,20180916,201809160was,clt,"Indianapolis Colts",21,was,"Washington Redskins",9
team,201809160was,clt,First Downs,17,,,,,,
team,201809160was,was,First Downs,20,,,,,,
team,201809160was,clt,Rush-Yds-TDs,28-104-1,,,,,,
team,201809160was,was,Rush-Yds-TDs,22-65-0,,,,,,
team,201809160was,clt,Cmp-Att-Yd-TD-INT,21-31-179-2-2,,,,,,
team,201809160was,was,Cmp-Att-Yd-TD-INT,33-46-292-0-0,,,,,,
team,201809160was,clt,Sacked-Yards,1-2,,,,,,
team,201809160was,was,Sacked-Yards,3-23,,,,,,
team,201809160was,clt,Net Pass Yards,177,,,,,,
team,201809160was,was,Net Pass Yards,269,,,,,,
team,201809160was,clt,Total Yards,281,,,,,,
team,201809160was,was,Total Yards,334,,,,,,
team,201809160was,clt,Fumbles-Lost,1-0,,,,,,
team,201809160was,was,Fumbles-Lost,2-1,,,,,,
team,201809160was,clt,Turnovers,2,,,,,,
team,201809160was,was,Turnovers,1,,,,,,
team,201809160was,clt,Penalties-Yards,6-26,,,,,,
team,201809160was,was,Penalties-Yards,7-90,,,,,,
team,201809160was,clt,Third Down Conv.,9-16,,,,,,
team,201809160was,was,Third Down Conv.,5-15,,,,,,
team,201809160was,clt,Fourth Down Conv.,0-0,,,,,,
team,201809160was,was,Fourth Down Conv.,1-2,,,,,,
team,201809160was,clt,Time of Possession,26:40,,,,,,
team,201809160was,was,Time of Possession,33:20,,,,,,
player,201809160was,clt,LuckAn00,pass_cmp,21,,,,,
player,201809160was,clt,LuckAn00,pass_att,31,,,,,
player,201809160was,clt,LuckAn00,pass_yds,179,,,,,
player,201809160was,clt,LuckAn00,pass_td,2,,,,,
player,201809160was,clt,LuckAn00,pass_int,2,,,,,
player,201809160was,clt,LuckAn00,pass_sacked,1,,,,,
player,201809160was,clt,LuckAn00,pass_sacked_yds,2,,,,,
player,201809160was,clt,LuckAn00,pass_long,22,,,,,
player,201809160was,clt,LuckAn00,pass_rating,77.2,,,,,
player,201809160was,clt,LuckAn00,rush_att,4,,,,,
player,201809160was,clt,LuckAn00,rush_yds,2,,,,,
player,201809160was,clt,LuckAn00,rush_td,0,,,,,
player,201809160was,clt,LuckAn00,rush_long,2,,,,,
player,201809160was,clt,LuckAn00,targets,0,,,,,
player,201809160was,clt,LuckAn00,rec,0,,,,,
player,201809160was,clt,LuckAn00,rec_yds,0,,,,,
player,201809160was,clt,LuckAn00,rec_td,0,,,,,
player,201809160was,clt,LuckAn00,rec_long,0,,,,,
player,201809160was,clt,LuckAn00,fumbles,1,,,,,
player,201809160was,clt,LuckAn00,fumbles_lost,0,,,,,
player,201809160was,clt,WilkJo01,pass_cmp,0,,,,,
player,201809160was,clt,WilkJo01,pass_att,0,,,,,
player,201809160was,clt,WilkJo01,pass_yds,0,,,,,
player,201809160was,clt,WilkJo01,pass_td,0,,,,,
player,201809160was,clt,WilkJo01,pass_int,0,,,,,
player,201809160was,clt,WilkJo01,pass_sacked,0,,,,,
player,201809160was,clt,WilkJo01,pass_sacked_yds,0,,,,,
player,201809160was,clt,WilkJo01,pass_long,0,,,,,
player,201809160was,clt,WilkJo01,pass_rating,,,,,,
player,201809160was,clt,WilkJo01,rush_att,10,,,,,
player,201809160was,clt,WilkJo01,rush_yds,61,,,,,
player,201809160was,clt,WilkJo01,rush_td,0,,,,,
player,201809160was,clt,WilkJo01,rush_long,18,,,,,
player,201809160was,clt,WilkJo01,targets,2,,,,,
player,201809160was,clt,WilkJo01,rec,2,,,,,
player,201809160was,clt,WilkJo01,rec_yds,3,,,,,
player,201809160was,clt,WilkJo01,rec_td,0,,,,,
player,201809160was,clt,WilkJo01,rec_long,3,,,,,
player,201809160was,clt,WilkJo01,fumbles,0,,,,,
player,201809160was,clt,WilkJo01,fumbles_lost,0,,,,,
player,201809160was,clt,MackMa00,pass_cmp,0,,,,,
player,201809160was,clt,MackMa00,pass_att,0,,,,,
player,201809160was,clt,MackMa00,pass_yds,0,,,,,
player,201809160was,clt,MackMa00,pass_td,0,,,,,
player,201809160was,clt,MackMa00,pass_int,0,,,,,
player,201809160was,clt,MackMa00,pass_sacked,0,,,,,
player,201809160was,clt,MackMa00,pass_sacked_yds,0,,,,,
player,201809160was,clt,MackMa00,pass_long,0,,,,,
player,201809160was,clt,MackMa00,pass_rating,,,,,,
player,201809160was,clt,MackMa00,rush_att,10,,,,,
player,201809160was,clt,MackMa00,rush_yds,34,,,,,
player,201809160was,clt,MackMa00,rush_td,0,,,,,
player,201809160was,clt,MackMa00,rush_long,8,,,,,
player,201809160was,clt,MackMa00,targets,2,,,,,
player,201809160was,clt,MackMa00,rec,1,,,,,
player,201809160was,clt,MackMa00,rec_yds,2,,,,,
player,201809160was,clt,MackMa00,rec_td,0,,,,,
player,201809160was,clt,MackMa00,rec_long,2,,,,,
player,201809160was,clt,MackMa00,fumbles,0,,,,,
player,201809160was,clt,MackMa00,fumbles_lost,0,,,,,
player,201809160was,clt,HineNy00,pass_cmp,0,,,,,
player,201809160was,clt,HineNy00,pass_att,0,,,,,
player,201809160was,clt,HineNy00,pass_yds,0,,,,,
player,201809160was,clt,HineNy00,pass_td,0,,,,,
player,201809160was,clt,HineNy00,pass_int,0,,,,,
player,201809160was,clt,HineNy00,pass_sacked,0,,,,,
player,201809160was,clt,HineNy00,pass_sacked_yds,0,,,,,
player,201809160was,clt,HineNy00,pass_long,0,,,,,
player,201809160was,clt,HineNy00,pass_rating,,,,,,
player,201809160was,clt,HineNy00,rush_att,4,,,,,
player,201809160was,clt,HineNy00,rush_yds,7,,,,,
player,201809160was,clt,HineNy00,rush_td,1,,,,,
player,201809160was,clt,HineNy00,rush_long,8,,,,,
player,201809160was,clt,HineNy00,targets,1,,,,,
player,201809160was,clt,HineNy00,rec,1,,,,,
player,201809160was,clt,HineNy00,rec_yds,-2,,,,,
player,201809160was,clt,HineNy00,rec_td,0,,,,,
player,201809160was,clt,HineNy00,rec_long,-2,,,,,
player,201809160was,clt,HineNy00,fumbles,0,,,,,
player,201809160was,clt,HineNy00,fumbles_lost,0,,,,,
player,201809160was,clt,HiltT.00,pass_cmp,0,,,,,
player,201809160was,clt,HiltT.00,pass_att,0,,,,,
player,201809160was,clt,HiltT.00,pass_yds,0,,,,,
player,201809160was,clt,HiltT.00,pass_td,0,,,,,
player,201809160was,clt,HiltT.00,pass_int,0,,,,,
player,201809160was,clt,HiltT.00,pass_sacked,0,,,,,
player,201809160was,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201809160was,clt,HiltT.00,pass_long,0,,,,,
player,201809160was,clt,HiltT.00,pass_rating,,,,,,
player,201809160was,clt,HiltT.00,rush_att,0,,,,,
player,201809160was,clt,HiltT.00,rush_yds,0,,,,,
player,201809160was,clt,HiltT.00,rush_td,0,,,,,
player,201809160was,clt,HiltT.00,rush_long,0,,,,,
player,201809160was,clt,HiltT.00,targets,11,,,,,
player,201809160was,clt,HiltT.00,rec,7,,,,,
player,201809160was,clt,HiltT.00,rec_yds,83,,,,,
player,201809160was,clt,HiltT.00,rec_td,1,,,,,
player,201809160was,clt,HiltT.00,rec_long,22,,,,,
player,201809160was,clt,HiltT.00,fumbles,0,,,,,
