game,2018,5,20181008,201810080nor,was,"Washington Redskins",19,nor,"New Orleans Saints",43
team,201810080nor,was,First Downs,18,,,,,,
team,201810080nor,nor,First Downs,27,,,,,,
team,201810080nor,was,Rush-Yds-TDs,18-39-2,,,,,,
team,201810080nor,nor,Rush-Yds-TDs,32-98-3,,,,,,
team,201810080nor,was,Cmp-Att-Yd-TD-INT,23-39-275-0-1,,,,,,
team,201810080nor,nor,Cmp-Att-Yd-TD-INT,26-29-363-3-0,,,,,,
team,201810080nor,was,Sacked-Yards,3-31,,,,,,
team,201810080nor,nor,Sacked-Yards,2-14,,,,,,
team,201810080nor,was,Net Pass Yards,244,,,,,,
team,201810080nor,nor,Net Pass Yards,349,,,,,,
team,201810080nor,was,Total Yards,283,,,,,,
team,201810080nor,nor,Total Yards,447,,,,,,
team,201810080nor,was,Fumbles-Lost,1-1,,,,,,
team,201810080nor,nor,Fumbles-Lost,2-1,,,,,,
team,201810080nor,was,Turnovers,2,,,,,,
team,201810080nor,nor,Turnovers,1,,,,,,
team,201810080nor,was,Penalties-Yards,6-38,,,,,,
team,201810080nor,nor,Penalties-Yards,4-45,,,,,,
team,201810080nor,was,Third Down Conv.,4-13,,,,,,
team,201810080nor,nor,Third Down Conv.,5-9,,,,,,
team,201810080nor,was,Fourth Down Conv.,2-4,,,,,,
team,201810080nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201810080nor,was,Time of Possession,26:43,,,,,,
team,201810080nor,nor,Time of Possession,33:17,,,,,,
player,201810080nor,was,SmitAl03,pass_cmp,23,,,,,
player,201810080nor,was,SmitAl03,pass_att,39,,,,,
player,201810080nor,was,SmitAl03,pass_yds,275,,,,,
player,201810080nor,was,SmitAl03,pass_td,0,,,,,
player,201810080nor,was,SmitAl03,pass_int,1,,,,,
player,201810080nor,was,SmitAl03,pass_sacked,3,,,,,
player,201810080nor,was,SmitAl03,pass_sacked_yds,31,,,,,
player,201810080nor,was,SmitAl03,pass_long,42,,,,,
player,201810080nor,was,SmitAl03,pass_rating,69.9,,,,,
player,201810080nor,was,SmitAl03,rush_att,2,,,,,
player,201810080nor,was,SmitAl03,rush_yds,7,,,,,
player,201810080nor,was,SmitAl03,rush_td,1,,,,,
player,201810080nor,was,SmitAl03,rush_long,4,,,,,
player,201810080nor,was,SmitAl03,targets,0,,,,,
player,201810080nor,was,SmitAl03,rec,0,,,,,
player,201810080nor,was,SmitAl03,rec_yds,0,,,,,
player,201810080nor,was,SmitAl03,rec_td,0,,,,,
player,201810080nor,was,SmitAl03,rec_long,0,,,,,
player,201810080nor,was,SmitAl03,fumbles,1,,,,,
player,201810080nor,was,SmitAl03,fumbles_lost,1,,,,,
player,201810080nor,was,ThomCh03,pass_cmp,0,,,,,
player,201810080nor,was,ThomCh03,pass_att,0,,,,,
player,201810080nor,was,ThomCh03,pass_yds,0,,,,,
player,201810080nor,was,ThomCh03,pass_td,0,,,,,
player,201810080nor,was,ThomCh03,pass_int,0,,,,,
player,201810080nor,was,ThomCh03,pass_sacked,0,,,,,
player,201810080nor,was,ThomCh03,pass_sacked_yds,0,,,,,
player,201810080nor,was,ThomCh03,pass_long,0,,,,,
player,201810080nor,was,ThomCh03,pass_rating,,,,,,
player,201810080nor,was,ThomCh03,rush_att,8,,,,,
player,201810080nor,was,ThomCh03,rush_yds,17,,,,,
player,201810080nor,was,ThomCh03,rush_td,0,,,,,
player,201810080nor,was,ThomCh03,rush_long,11,,,,,
player,201810080nor,was,ThomCh03,targets,8,,,,,
player,201810080nor,was,ThomCh03,rec,6,,,,,
player,201810080nor,was,ThomCh03,rec_yds,45,,,,,
player,201810080nor,was,ThomCh03,rec_td,0,,,,,
player,201810080nor,was,ThomCh03,rec_long,17,,,,,
player,201810080nor,was,ThomCh03,fumbles,0,,,,,
player,201810080nor,was,ThomCh03,fumbles_lost,0,,,,,
player,201810080nor,was,BibbKa00,pass_cmp,0,,,,,
player,201810080nor,was,BibbKa00,pass_att,0,,,,,
player,201810080nor,was,BibbKa00,pass_yds,0,,,,,
player,201810080nor,was,BibbKa00,pass_td,0,,,,,
player,201810080nor,was,BibbKa00,pass_int,0,,,,,
player,201810080nor,was,BibbKa00,pass_sacked,0,,,,,
player,201810080nor,was,BibbKa00,pass_sacked_yds,0,,,,,
player,201810080nor,was,BibbKa00,pass_long,0,,,,,
player,201810080nor,was,BibbKa00,pass_rating,,,,,,
player,201810080nor,was,BibbKa00,rush_att,4,,,,,
player,201810080nor,was,BibbKa00,rush_yds,9,,,,,
player,201810080nor,was,BibbKa00,rush_td,1,,,,,
player,201810080nor,was,BibbKa00,rush_long,5,,,,,
player,201810080nor,was,BibbKa00,targets,0,,,,,
player,201810080nor,was,BibbKa00,rec,0,,,,,
player,201810080nor,was,BibbKa00,rec_yds,0,,,,,
player,201810080nor,was,BibbKa00,rec_td,0,,,,,
player,201810080nor,was,BibbKa00,rec_long,0,,,,,
player,201810080nor,was,BibbKa00,fumbles,0,,,,,
player,201810080nor,was,BibbKa00,fumbles_lost,0,,,,,
player,201810080nor,was,PeteAd01,pass_cmp,0,,,,,
player,201810080nor,was,PeteAd01,pass_att,0,,,,,
player,201810080nor,was,PeteAd01,pass_yds,0,,,,,
player,201810080nor,was,PeteAd01,pass_td,0,,,,,
player,201810080nor,was,PeteAd01,pass_int,0,,,,,
player,201810080nor,was,PeteAd01,pass_sacked,0,,,,,
player,201810080nor,was,PeteAd01,pass_sacked_yds,0,,,,,
player,201810080nor,was,PeteAd01,pass_long,0,,,,,
player,201810080nor,was,PeteAd01,pass_rating,,,,,,
player,201810080nor,was,PeteAd01,rush_att,4,,,,,
player,201810080nor,was,PeteAd01,rush_yds,6,,,,,
player,201810080nor,was,PeteAd01,rush_td,0,,,,,
player,201810080nor,was,PeteAd01,rush_long,4,,,,,
player,201810080nor,was,PeteAd01,targets,3,,,,,
player,201810080nor,was,PeteAd01,rec,2,,,,,
player,201810080nor,was,PeteAd01,rec_yds,36,,,,,
player,201810080nor,was,PeteAd01,rec_td,0,,,,,
player,201810080nor,was,PeteAd01,rec_long,24,,,,,
player,201810080nor,was,PeteAd01,fumbles,0,,,,,
player,201810080nor,was,PeteAd01,fumbles_lost,0,,,,,
player,201810080nor,was,CrowJa00,pass_cmp,0,,,,,
player,201810080nor,was,CrowJa00,pass_att,0,,,,,
player,201810080nor,was,CrowJa00,pass_yds,0,,,,,
player,201810080nor,was,CrowJa00,pass_td,0,,,,,
player,201810080nor,was,CrowJa00,pass_int,0,,,,,
player,201810080nor,was,CrowJa00,pass_sacked,0,,,,,
player,201810080nor,was,CrowJa00,pass_sacked_yds,0,,,,,
player,201810080nor,was,CrowJa00,pass_long,0,,,,,
player,201810080nor,was,CrowJa00,pass_rating,,,,,,
player,201810080nor,was,CrowJa00,rush_att,0,,,,,
player,201810080nor,was,CrowJa00,rush_yds,0,,,,,
player,201810080nor,was,CrowJa00,rush_td,0,,,,,
player,201810080nor,was,CrowJa00,rush_long,0,,,,,
player,201810080nor,was,CrowJa00,targets,8,,,,,
player,201810080nor,was,CrowJa00,rec,4,,,,,
player,201810080nor,was,CrowJa00,rec_yds,55,,,,,
player,201810080nor,was,CrowJa00,rec_td,0,,,,,
player,201810080nor,was,CrowJa00,rec_long,24,,,,,
player,201810080nor,was,CrowJa00,fumbles,0,,,,,
player,201810080nor,was,CrowJa00,fumbles_lost,0,,,,,
player,201810080nor,was,RichPa01,pass_cmp,0,,,,,
player,201810080nor,was,RichPa01,pass_att,0,,,,,
player,201810080nor,was,RichPa01,pass_yds,0,,,,,
player,201810080nor,was,RichPa01,pass_td,0,,,,,
player,201810080nor,was,RichPa01,pass_int,0,,,,,
player,201810080nor,was,RichPa01,pass_sacked,0,,,,,
player,201810080nor,was,RichPa01,pass_sacked_yds,0,,,,,
player,201810080nor,was,RichPa01,pass_long,0,,,,,
player,201810080nor,was,RichPa01,pass_rating,,,,,,
player,201810080nor,was,RichPa01,rush_att,0,,,,,
player,201810080nor,was,RichPa01,rush_yds,0,,,,,
player,201810080nor,was,RichPa01,rush_td,0,,,,,
player,201810080nor,was,RichPa01,rush_long,0,,,,,
player,201810080nor,was,RichPa01,targets,5,,,,,
player,201810080nor,was,RichPa01,rec,4,,,,,
player,201810080nor,was,RichPa01,rec_yds,50,,,,,
player,201810080nor,was,RichPa01,rec_td,0,,,,,
player,201810080nor,was,RichPa01,rec_long,23,,,,,
player,201810080nor,was,RichPa01,fumbles,0,,,,,
player,201810080nor,was,RichPa01,fumbles_lost,0,,,,,
player,201810080nor,was,HarrMa05,pass_cmp,0,,,,,
player,201810080nor,was,HarrMa05,pass_att,0,,,,,
player,201810080nor,was,HarrMa05,pass_yds,0,,,,,
player,201810080nor,was,HarrMa05,pass_td,0,,,,,
player,201810080nor,was,HarrMa05,pass_int,0,,,,,
player,201810080nor,was,HarrMa05,pass_sacked,0,,,,,
player,201810080nor,was,HarrMa05,pass_sacked_yds,0,,,,,
player,201810080nor,was,HarrMa05,pass_long,0,,,,,
player,201810080nor,was,HarrMa05,pass_rating,,,,,,
player,201810080nor,was,HarrMa05,rush_att,0,,,,,
player,201810080nor,was,HarrMa05,rush_yds,0,,,,,
player,201810080nor,was,HarrMa05,rush_td,0,,,,,
player,201810080nor,was,HarrMa05,rush_long,0,,,,,
player,201810080nor,was,HarrMa05,targets,8,,,,,
player,201810080nor,was,HarrMa05,rec,3,,,,,
player,201810080nor,was,HarrMa05,rec_yds,47,,,,,
player,201810080nor,was,HarrMa05,rec_td,0,,,,,
player,201810080nor,was,HarrMa05,rec_long,42,,,,,
player,201810080nor,was,HarrMa05,fumbles,0,,,,,
player,201810080nor,was,HarrMa05,fumbles_lost,0,,,,,
player,201810080nor,was,ReedJo02,pass_cmp,0,,,,,
player,201810080nor,was,ReedJo02,pass_att,0,,,,,
player,201810080nor,was,ReedJo02,pass_yds,0,,,,,
player,201810080nor,was,ReedJo02,pass_td,0,,,,,
player,201810080nor,was,ReedJo02,pass_int,0,,,,,
player,201810080nor,was,ReedJo02,pass_sacked,0,,,,,
player,201810080nor,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201810080nor,was,ReedJo02,pass_long,0,,,,,
player,201810080nor,was,ReedJo02,pass_rating,,,,,,
player,201810080nor,was,ReedJo02,rush_att,0,,,,,
player,201810080nor,was,ReedJo02,rush_yds,0,,,,,
player,201810080nor,was,ReedJo02,rush_td,0,,,,,
player,201810080nor,was,ReedJo02,rush_long,0,,,,,
player,201810080nor,was,ReedJo02,targets,2,,,,,
player,201810080nor,was,ReedJo02,rec,1,,,,,
player,201810080nor,was,ReedJo02,rec_yds,21,,,,,
player,201810080nor,was,ReedJo02,rec_td,0,,,,,
player,201810080nor,was,ReedJo02,rec_long,21,,,,,
player,201810080nor,was,ReedJo02,fumbles,0,,,,,
player,201810080nor,was,ReedJo02,fumbles_lost,0,,,,,
player,201810080nor,was,DaviVe00,pass_cmp,0,,,,,
player,201810080nor,was,DaviVe00,pass_att,0,,,,,
player,201810080nor,was,DaviVe00,pass_yds,0,,,,,
player,201810080nor,was,DaviVe00,pass_td,0,,,,,
