game,2018,10,20181111,201811110oti,nwe,"New England Patriots",10,oti,"Tennessee Titans",34
team,201811110oti,nwe,First Downs,16,,,,,,
team,201811110oti,oti,First Downs,23,,,,,,
team,201811110oti,nwe,Rush-Yds-TDs,19-40-1,,,,,,
team,201811110oti,oti,Rush-Yds-TDs,36-150-2,,,,,,
team,201811110oti,nwe,Cmp-Att-Yd-TD-INT,23-43-267-0-0,,,,,,
team,201811110oti,oti,Cmp-Att-Yd-TD-INT,17-25-249-2-0,,,,,,
team,201811110oti,nwe,Sacked-Yards,3-23,,,,,,
team,201811110oti,oti,Sacked-Yards,2-14,,,,,,
team,201811110oti,nwe,Net Pass Yards,244,,,,,,
team,201811110oti,oti,Net Pass Yards,235,,,,,,
team,201811110oti,nwe,Total Yards,284,,,,,,
team,201811110oti,oti,Total Yards,385,,,,,,
team,201811110oti,nwe,Fumbles-Lost,0-0,,,,,,
team,201811110oti,oti,Fumbles-Lost,3-0,,,,,,
team,201811110oti,nwe,Turnovers,0,,,,,,
team,201811110oti,oti,Turnovers,0,,,,,,
team,201811110oti,nwe,Penalties-Yards,4-31,,,,,,
team,201811110oti,oti,Penalties-Yards,4-35,,,,,,
team,201811110oti,nwe,Third Down Conv.,3-15,,,,,,
team,201811110oti,oti,Third Down Conv.,5-12,,,,,,
team,201811110oti,nwe,Fourth Down Conv.,2-3,,,,,,
team,201811110oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201811110oti,nwe,Time of Possession,27:03,,,,,,
team,201811110oti,oti,Time of Possession,32:57,,,,,,
player,201811110oti,nwe,BradTo00,pass_cmp,21,,,,,
player,201811110oti,nwe,BradTo00,pass_att,41,,,,,
player,201811110oti,nwe,BradTo00,pass_yds,254,,,,,
player,201811110oti,nwe,BradTo00,pass_td,0,,,,,
player,201811110oti,nwe,BradTo00,pass_int,0,,,,,
player,201811110oti,nwe,BradTo00,pass_sacked,3,,,,,
player,201811110oti,nwe,BradTo00,pass_sacked_yds,23,,,,,
player,201811110oti,nwe,BradTo00,pass_long,44,,,,,
player,201811110oti,nwe,BradTo00,pass_rating,70.6,,,,,
player,201811110oti,nwe,BradTo00,rush_att,1,,,,,
player,201811110oti,nwe,BradTo00,rush_yds,0,,,,,
player,201811110oti,nwe,BradTo00,rush_td,0,,,,,
player,201811110oti,nwe,BradTo00,rush_long,0,,,,,
player,201811110oti,nwe,BradTo00,targets,1,,,,,
player,201811110oti,nwe,BradTo00,rec,1,,,,,
player,201811110oti,nwe,BradTo00,rec_yds,6,,,,,
player,201811110oti,nwe,BradTo00,rec_td,0,,,,,
player,201811110oti,nwe,BradTo00,rec_long,6,,,,,
player,201811110oti,nwe,BradTo00,fumbles,0,,,,,
player,201811110oti,nwe,BradTo00,fumbles_lost,0,,,,,
player,201811110oti,nwe,HoyeBr00,pass_cmp,1,,,,,
player,201811110oti,nwe,HoyeBr00,pass_att,1,,,,,
player,201811110oti,nwe,HoyeBr00,pass_yds,7,,,,,
player,201811110oti,nwe,HoyeBr00,pass_td,0,,,,,
player,201811110oti,nwe,HoyeBr00,pass_int,0,,,,,
player,201811110oti,nwe,HoyeBr00,pass_sacked,0,,,,,
player,201811110oti,nwe,HoyeBr00,pass_sacked_yds,0,,,,,
player,201811110oti,nwe,HoyeBr00,pass_long,7,,,,,
player,201811110oti,nwe,HoyeBr00,pass_rating,95.8,,,,,
player,201811110oti,nwe,HoyeBr00,rush_att,1,,,,,
player,201811110oti,nwe,HoyeBr00,rush_yds,2,,,,,
player,201811110oti,nwe,HoyeBr00,rush_td,0,,,,,
player,201811110oti,nwe,HoyeBr00,rush_long,2,,,,,
player,201811110oti,nwe,HoyeBr00,targets,0,,,,,
player,201811110oti,nwe,HoyeBr00,rec,0,,,,,
player,201811110oti,nwe,HoyeBr00,rec_yds,0,,,,,
player,201811110oti,nwe,HoyeBr00,rec_td,0,,,,,
player,201811110oti,nwe,HoyeBr00,rec_long,0,,,,,
player,201811110oti,nwe,HoyeBr00,fumbles,0,,,,,
player,201811110oti,nwe,HoyeBr00,fumbles_lost,0,,,,,
player,201811110oti,nwe,EdelJu00,pass_cmp,1,,,,,
player,201811110oti,nwe,EdelJu00,pass_att,1,,,,,
player,201811110oti,nwe,EdelJu00,pass_yds,6,,,,,
player,201811110oti,nwe,EdelJu00,pass_td,0,,,,,
player,201811110oti,nwe,EdelJu00,pass_int,0,,,,,
player,201811110oti,nwe,EdelJu00,pass_sacked,0,,,,,
player,201811110oti,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201811110oti,nwe,EdelJu00,pass_long,6,,,,,
player,201811110oti,nwe,EdelJu00,pass_rating,91.7,,,,,
player,201811110oti,nwe,EdelJu00,rush_att,0,,,,,
player,201811110oti,nwe,EdelJu00,rush_yds,0,,,,,
player,201811110oti,nwe,EdelJu00,rush_td,0,,,,,
player,201811110oti,nwe,EdelJu00,rush_long,0,,,,,
player,201811110oti,nwe,EdelJu00,targets,12,,,,,
player,201811110oti,nwe,EdelJu00,rec,9,,,,,
player,201811110oti,nwe,EdelJu00,rec_yds,104,,,,,
player,201811110oti,nwe,EdelJu00,rec_td,0,,,,,
player,201811110oti,nwe,EdelJu00,rec_long,30,,,,,
player,201811110oti,nwe,EdelJu00,fumbles,0,,,,,
player,201811110oti,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201811110oti,nwe,MichSo00,pass_cmp,0,,,,,
player,201811110oti,nwe,MichSo00,pass_att,0,,,,,
player,201811110oti,nwe,MichSo00,pass_yds,0,,,,,
player,201811110oti,nwe,MichSo00,pass_td,0,,,,,
player,201811110oti,nwe,MichSo00,pass_int,0,,,,,
player,201811110oti,nwe,MichSo00,pass_sacked,0,,,,,
player,201811110oti,nwe,MichSo00,pass_sacked_yds,0,,,,,
player,201811110oti,nwe,MichSo00,pass_long,0,,,,,
player,201811110oti,nwe,MichSo00,pass_rating,,,,,,
player,201811110oti,nwe,MichSo00,rush_att,11,,,,,
player,201811110oti,nwe,MichSo00,rush_yds,31,,,,,
player,201811110oti,nwe,MichSo00,rush_td,0,,,,,
player,201811110oti,nwe,MichSo00,rush_long,7,,,,,
player,201811110oti,nwe,MichSo00,targets,0,,,,,
player,201811110oti,nwe,MichSo00,rec,0,,,,,
player,201811110oti,nwe,MichSo00,rec_yds,0,,,,,
player,201811110oti,nwe,MichSo00,rec_td,0,,,,,
player,201811110oti,nwe,MichSo00,rec_long,0,,,,,
player,201811110oti,nwe,MichSo00,fumbles,0,,,,,
player,201811110oti,nwe,MichSo00,fumbles_lost,0,,,,,
player,201811110oti,nwe,PattCo00,pass_cmp,0,,,,,
player,201811110oti,nwe,PattCo00,pass_att,0,,,,,
player,201811110oti,nwe,PattCo00,pass_yds,0,,,,,
player,201811110oti,nwe,PattCo00,pass_td,0,,,,,
player,201811110oti,nwe,PattCo00,pass_int,0,,,,,
player,201811110oti,nwe,PattCo00,pass_sacked,0,,,,,
player,201811110oti,nwe,PattCo00,pass_sacked_yds,0,,,,,
player,201811110oti,nwe,PattCo00,pass_long,0,,,,,
player,201811110oti,nwe,PattCo00,pass_rating,,,,,,
player,201811110oti,nwe,PattCo00,rush_att,4,,,,,
player,201811110oti,nwe,PattCo00,rush_yds,11,,,,,
player,201811110oti,nwe,PattCo00,rush_td,0,,,,,
player,201811110oti,nwe,PattCo00,rush_long,9,,,,,
player,201811110oti,nwe,PattCo00,targets,0,,,,,
player,201811110oti,nwe,PattCo00,rec,0,,,,,
player,201811110oti,nwe,PattCo00,rec_yds,0,,,,,
player,201811110oti,nwe,PattCo00,rec_td,0,,,,,
player,201811110oti,nwe,PattCo00,rec_long,0,,,,,
player,201811110oti,nwe,PattCo00,fumbles,0,,,,,
player,201811110oti,nwe,PattCo00,fumbles_lost,0,,,,,
player,201811110oti,nwe,DeveJa00,pass_cmp,0,,,,,
player,201811110oti,nwe,DeveJa00,pass_att,0,,,,,
player,201811110oti,nwe,DeveJa00,pass_yds,0,,,,,
player,201811110oti,nwe,DeveJa00,pass_td,0,,,,,
player,201811110oti,nwe,DeveJa00,pass_int,0,,,,,
player,201811110oti,nwe,DeveJa00,pass_sacked,0,,,,,
player,201811110oti,nwe,DeveJa00,pass_sacked_yds,0,,,,,
player,201811110oti,nwe,DeveJa00,pass_long,0,,,,,
player,201811110oti,nwe,DeveJa00,pass_rating,,,,,,
player,201811110oti,nwe,DeveJa00,rush_att,1,,,,,
player,201811110oti,nwe,DeveJa00,rush_yds,1,,,,,
player,201811110oti,nwe,DeveJa00,rush_td,1,,,,,
player,201811110oti,nwe,DeveJa00,rush_long,1,,,,,
player,201811110oti,nwe,DeveJa00,targets,0,,,,,
player,201811110oti,nwe,DeveJa00,rec,0,,,,,
player,201811110oti,nwe,DeveJa00,rec_yds,0,,,,,
