game,2018,7,20181021,201810210mia,det,"Detroit Lions",32,mia,"Miami Dolphins",21
team,201810210mia,det,First Downs,24,,,,,,
team,201810210mia,mia,First Downs,19,,,,,,
team,201810210mia,det,Rush-Yds-TDs,35-248-1,,,,,,
team,201810210mia,mia,Rush-Yds-TDs,19-107-1,,,,,,
team,201810210mia,det,Cmp-Att-Yd-TD-INT,18-22-217-2-0,,,,,,
team,201810210mia,mia,Cmp-Att-Yd-TD-INT,22-31-239-2-0,,,,,,
team,201810210mia,det,Sacked-Yards,1-8,,,,,,
team,201810210mia,mia,Sacked-Yards,4-24,,,,,,
team,201810210mia,det,Net Pass Yards,209,,,,,,
team,201810210mia,mia,Net Pass Yards,215,,,,,,
team,201810210mia,det,Total Yards,457,,,,,,
team,201810210mia,mia,Total Yards,322,,,,,,
team,201810210mia,det,Fumbles-Lost,2-0,,,,,,
team,201810210mia,mia,Fumbles-Lost,0-0,,,,,,
team,201810210mia,det,Turnovers,0,,,,,,
team,201810210mia,mia,Turnovers,0,,,,,,
team,201810210mia,det,Penalties-Yards,6-43,,,,,,
team,201810210mia,mia,Penalties-Yards,4-50,,,,,,
team,201810210mia,det,Third Down Conv.,2-8,,,,,,
team,201810210mia,mia,Third Down Conv.,6-11,,,,,,
team,201810210mia,det,Fourth Down Conv.,1-1,,,,,,
team,201810210mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201810210mia,det,Time of Possession,33:39,,,,,,
team,201810210mia,mia,Time of Possession,26:21,,,,,,
player,201810210mia,det,StafMa00,pass_cmp,18,,,,,
player,201810210mia,det,StafMa00,pass_att,22,,,,,
player,201810210mia,det,StafMa00,pass_yds,217,,,,,
player,201810210mia,det,StafMa00,pass_td,2,,,,,
player,201810210mia,det,StafMa00,pass_int,0,,,,,
player,201810210mia,det,StafMa00,pass_sacked,1,,,,,
player,201810210mia,det,StafMa00,pass_sacked_yds,8,,,,,
player,201810210mia,det,StafMa00,pass_long,29,,,,,
player,201810210mia,det,StafMa00,pass_rating,138.1,,,,,
player,201810210mia,det,StafMa00,rush_att,4,,,,,
player,201810210mia,det,StafMa00,rush_yds,9,,,,,
player,201810210mia,det,StafMa00,rush_td,0,,,,,
player,201810210mia,det,StafMa00,rush_long,9,,,,,
player,201810210mia,det,StafMa00,targets,0,,,,,
player,201810210mia,det,StafMa00,rec,0,,,,,
player,201810210mia,det,StafMa00,rec_yds,0,,,,,
player,201810210mia,det,StafMa00,rec_td,0,,,,,
player,201810210mia,det,StafMa00,rec_long,0,,,,,
player,201810210mia,det,StafMa00,fumbles,1,,,,,
player,201810210mia,det,StafMa00,fumbles_lost,0,,,,,
player,201810210mia,det,JohnKe06,pass_cmp,0,,,,,
player,201810210mia,det,JohnKe06,pass_att,0,,,,,
player,201810210mia,det,JohnKe06,pass_yds,0,,,,,
player,201810210mia,det,JohnKe06,pass_td,0,,,,,
player,201810210mia,det,JohnKe06,pass_int,0,,,,,
player,201810210mia,det,JohnKe06,pass_sacked,0,,,,,
player,201810210mia,det,JohnKe06,pass_sacked_yds,0,,,,,
player,201810210mia,det,JohnKe06,pass_long,0,,,,,
player,201810210mia,det,JohnKe06,pass_rating,,,,,,
player,201810210mia,det,JohnKe06,rush_att,19,,,,,
player,201810210mia,det,JohnKe06,rush_yds,158,,,,,
player,201810210mia,det,JohnKe06,rush_td,0,,,,,
player,201810210mia,det,JohnKe06,rush_long,71,,,,,
player,201810210mia,det,JohnKe06,targets,3,,,,,
player,201810210mia,det,JohnKe06,rec,2,,,,,
player,201810210mia,det,JohnKe06,rec_yds,21,,,,,
player,201810210mia,det,JohnKe06,rec_td,0,,,,,
player,201810210mia,det,JohnKe06,rec_long,15,,,,,
player,201810210mia,det,JohnKe06,fumbles,0,,,,,
player,201810210mia,det,JohnKe06,fumbles_lost,0,,,,,
player,201810210mia,det,BlouLe00,pass_cmp,0,,,,,
player,201810210mia,det,BlouLe00,pass_att,0,,,,,
player,201810210mia,det,BlouLe00,pass_yds,0,,,,,
player,201810210mia,det,BlouLe00,pass_td,0,,,,,
player,201810210mia,det,BlouLe00,pass_int,0,,,,,
player,201810210mia,det,BlouLe00,pass_sacked,0,,,,,
player,201810210mia,det,BlouLe00,pass_sacked_yds,0,,,,,
player,201810210mia,det,BlouLe00,pass_long,0,,,,,
player,201810210mia,det,BlouLe00,pass_rating,,,,,,
player,201810210mia,det,BlouLe00,rush_att,10,,,,,
player,201810210mia,det,BlouLe00,rush_yds,50,,,,,
player,201810210mia,det,BlouLe00,rush_td,1,,,,,
