game,2018,6,20181014,201810140min,crd,"Arizona Cardinals",17,min,"Minnesota Vikings",27
team,201810140min,crd,First Downs,16,,,,,,
team,201810140min,min,First Downs,20,,,,,,
team,201810140min,crd,Rush-Yds-TDs,20-60-1,,,,,,
team,201810140min,min,Rush-Yds-TDs,32-195-2,,,,,,
team,201810140min,crd,Cmp-Att-Yd-TD-INT,21-31-240-0-1,,,,,,
team,201810140min,min,Cmp-Att-Yd-TD-INT,24-34-233-1-1,,,,,,
team,201810140min,crd,Sacked-Yards,4-32,,,,,,
team,201810140min,min,Sacked-Yards,4-17,,,,,,
team,201810140min,crd,Net Pass Yards,208,,,,,,
team,201810140min,min,Net Pass Yards,216,,,,,,
team,201810140min,crd,Total Yards,268,,,,,,
team,201810140min,min,Total Yards,411,,,,,,
team,201810140min,crd,Fumbles-Lost,1-1,,,,,,
team,201810140min,min,Fumbles-Lost,1-1,,,,,,
team,201810140min,crd,Turnovers,2,,,,,,
team,201810140min,min,Turnovers,2,,,,,,
team,201810140min,crd,Penalties-Yards,5-30,,,,,,
team,201810140min,min,Penalties-Yards,9-52,,,,,,
team,201810140min,crd,Third Down Conv.,0-10,,,,,,
team,201810140min,min,Third Down Conv.,5-14,,,,,,
team,201810140min,crd,Fourth Down Conv.,0-2,,,,,,
team,201810140min,min,Fourth Down Conv.,0-1,,,,,,
team,201810140min,crd,Time of Possession,25:38,,,,,,
team,201810140min,min,Time of Possession,34:22,,,,,,
player,201810140min,crd,RoseJo01,pass_cmp,21,,,,,
player,201810140min,crd,RoseJo01,pass_att,31,,,,,
player,201810140min,crd,RoseJo01,pass_yds,240,,,,,
player,201810140min,crd,RoseJo01,pass_td,0,,,,,
player,201810140min,crd,RoseJo01,pass_int,1,,,,,
player,201810140min,crd,RoseJo01,pass_sacked,4,,,,,
player,201810140min,crd,RoseJo01,pass_sacked_yds,32,,,,,
player,201810140min,crd,RoseJo01,pass_long,40,,,,,
player,201810140min,crd,RoseJo01,pass_rating,77.4,,,,,
player,201810140min,crd,RoseJo01,rush_att,0,,,,,
player,201810140min,crd,RoseJo01,rush_yds,0,,,,,
player,201810140min,crd,RoseJo01,rush_td,0,,,,,
player,201810140min,crd,RoseJo01,rush_long,0,,,,,
player,201810140min,crd,RoseJo01,targets,0,,,,,
player,201810140min,crd,RoseJo01,rec,0,,,,,
player,201810140min,crd,RoseJo01,rec_yds,0,,,,,
player,201810140min,crd,RoseJo01,rec_td,0,,,,,
player,201810140min,crd,RoseJo01,rec_long,0,,,,,
player,201810140min,crd,RoseJo01,fumbles,0,,,,,
player,201810140min,crd,RoseJo01,fumbles_lost,0,,,,,
player,201810140min,crd,JohnDa08,pass_cmp,0,,,,,
player,201810140min,crd,JohnDa08,pass_att,0,,,,,
player,201810140min,crd,JohnDa08,pass_yds,0,,,,,
player,201810140min,crd,JohnDa08,pass_td,0,,,,,
player,201810140min,crd,JohnDa08,pass_int,0,,,,,
player,201810140min,crd,JohnDa08,pass_sacked,0,,,,,
player,201810140min,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201810140min,crd,JohnDa08,pass_long,0,,,,,
player,201810140min,crd,JohnDa08,pass_rating,,,,,,
player,201810140min,crd,JohnDa08,rush_att,18,,,,,
player,201810140min,crd,JohnDa08,rush_yds,54,,,,,
player,201810140min,crd,JohnDa08,rush_td,1,,,,,
player,201810140min,crd,JohnDa08,rush_long,10,,,,,
player,201810140min,crd,JohnDa08,targets,5,,,,,
player,201810140min,crd,JohnDa08,rec,2,,,,,
player,201810140min,crd,JohnDa08,rec_yds,15,,,,,
player,201810140min,crd,JohnDa08,rec_td,0,,,,,
player,201810140min,crd,JohnDa08,rec_long,14,,,,,
player,201810140min,crd,JohnDa08,fumbles,1,,,,,
player,201810140min,crd,JohnDa08,fumbles_lost,1,,,,,
player,201810140min,crd,EdmoCh00,pass_cmp,0,,,,,
player,201810140min,crd,EdmoCh00,pass_att,0,,,,,
player,201810140min,crd,EdmoCh00,pass_yds,0,,,,,
player,201810140min,crd,EdmoCh00,pass_td,0,,,,,
player,201810140min,crd,EdmoCh00,pass_int,0,,,,,
player,201810140min,crd,EdmoCh00,pass_sacked,0,,,,,
player,201810140min,crd,EdmoCh00,pass_sacked_yds,0,,,,,
player,201810140min,crd,EdmoCh00,pass_long,0,,,,,
player,201810140min,crd,EdmoCh00,pass_rating,,,,,,
player,201810140min,crd,EdmoCh00,rush_att,1,,,,,
player,201810140min,crd,EdmoCh00,rush_yds,4,,,,,
player,201810140min,crd,EdmoCh00,rush_td,0,,,,,
player,201810140min,crd,EdmoCh00,rush_long,4,,,,,
player,201810140min,crd,EdmoCh00,targets,0,,,,,
player,201810140min,crd,EdmoCh00,rec,0,,,,,
player,201810140min,crd,EdmoCh00,rec_yds,0,,,,,
player,201810140min,crd,EdmoCh00,rec_td,0,,,,,
player,201810140min,crd,EdmoCh00,rec_long,0,,,,,
player,201810140min,crd,EdmoCh00,fumbles,0,,,,,
player,201810140min,crd,EdmoCh00,fumbles_lost,0,,,,,
player,201810140min,crd,ColeDe00,pass_cmp,0,,,,,
player,201810140min,crd,ColeDe00,pass_att,0,,,,,
player,201810140min,crd,ColeDe00,pass_yds,0,,,,,
player,201810140min,crd,ColeDe00,pass_td,0,,,,,
player,201810140min,crd,ColeDe00,pass_int,0,,,,,
player,201810140min,crd,ColeDe00,pass_sacked,0,,,,,
player,201810140min,crd,ColeDe00,pass_sacked_yds,0,,,,,
player,201810140min,crd,ColeDe00,pass_long,0,,,,,
player,201810140min,crd,ColeDe00,pass_rating,,,,,,
player,201810140min,crd,ColeDe00,rush_att,1,,,,,
player,201810140min,crd,ColeDe00,rush_yds,2,,,,,
player,201810140min,crd,ColeDe00,rush_td,0,,,,,
player,201810140min,crd,ColeDe00,rush_long,2,,,,,
player,201810140min,crd,ColeDe00,targets,0,,,,,
player,201810140min,crd,ColeDe00,rec,0,,,,,
player,201810140min,crd,ColeDe00,rec_yds,0,,,,,
player,201810140min,crd,ColeDe00,rec_td,0,,,,,
player,201810140min,crd,ColeDe00,rec_long,0,,,,,
player,201810140min,crd,ColeDe00,fumbles,0,,,,,
player,201810140min,crd,ColeDe00,fumbles_lost,0,,,,,
player,201810140min,crd,KirkCh01,pass_cmp,0,,,,,
player,201810140min,crd,KirkCh01,pass_att,0,,,,,
player,201810140min,crd,KirkCh01,pass_yds,0,,,,,
player,201810140min,crd,KirkCh01,pass_td,0,,,,,
player,201810140min,crd,KirkCh01,pass_int,0,,,,,
player,201810140min,crd,KirkCh01,pass_sacked,0,,,,,
player,201810140min,crd,KirkCh01,pass_sacked_yds,0,,,,,
player,201810140min,crd,KirkCh01,pass_long,0,,,,,
player,201810140min,crd,KirkCh01,pass_rating,,,,,,
player,201810140min,crd,KirkCh01,rush_att,0,,,,,
player,201810140min,crd,KirkCh01,rush_yds,0,,,,,
player,201810140min,crd,KirkCh01,rush_td,0,,,,,
player,201810140min,crd,KirkCh01,rush_long,0,,,,,
player,201810140min,crd,KirkCh01,targets,7,,,,,
player,201810140min,crd,KirkCh01,rec,6,,,,,
player,201810140min,crd,KirkCh01,rec_yds,77,,,,,
player,201810140min,crd,KirkCh01,rec_td,0,,,,,
player,201810140min,crd,KirkCh01,rec_long,35,,,,,
player,201810140min,crd,KirkCh01,fumbles,0,,,,,
player,201810140min,crd,KirkCh01,fumbles_lost,0,,,,,
player,201810140min,crd,SealRi00,pass_cmp,0,,,,,
player,201810140min,crd,SealRi00,pass_att,0,,,,,
player,201810140min,crd,SealRi00,pass_yds,0,,,,,
player,201810140min,crd,SealRi00,pass_td,0,,,,,
player,201810140min,crd,SealRi00,pass_int,0,,,,,
player,201810140min,crd,SealRi00,pass_sacked,0,,,,,
player,201810140min,crd,SealRi00,pass_sacked_yds,0,,,,,
player,201810140min,crd,SealRi00,pass_long,0,,,,,
player,201810140min,crd,SealRi00,pass_rating,,,,,,
player,201810140min,crd,SealRi00,rush_att,0,,,,,
player,201810140min,crd,SealRi00,rush_yds,0,,,,,
player,201810140min,crd,SealRi00,rush_td,0,,,,,
player,201810140min,crd,SealRi00,rush_long,0,,,,,
player,201810140min,crd,SealRi00,targets,6,,,,,
player,201810140min,crd,SealRi00,rec,5,,,,,
player,201810140min,crd,SealRi00,rec_yds,69,,,,,
player,201810140min,crd,SealRi00,rec_td,0,,,,,
player,201810140min,crd,SealRi00,rec_long,40,,,,,
player,201810140min,crd,SealRi00,fumbles,0,,,,,
player,201810140min,crd,SealRi00,fumbles_lost,0,,,,,
player,201810140min,crd,FitzLa00,pass_cmp,0,,,,,
player,201810140min,crd,FitzLa00,pass_att,0,,,,,
player,201810140min,crd,FitzLa00,pass_yds,0,,,,,
player,201810140min,crd,FitzLa00,pass_td,0,,,,,
player,201810140min,crd,FitzLa00,pass_int,0,,,,,
player,201810140min,crd,FitzLa00,pass_sacked,0,,,,,
