game,2018,14,20181210,201812100sea,min,"Minnesota Vikings",7,sea,"Seattle Seahawks",21
team,201812100sea,min,First Downs,16,,,,,,
team,201812100sea,sea,First Downs,19,,,,,,
team,201812100sea,min,Rush-Yds-TDs,21-77-0,,,,,,
team,201812100sea,sea,Rush-Yds-TDs,42-214-1,,,,,,
team,201812100sea,min,Cmp-Att-Yd-TD-INT,20-33-208-1-0,,,,,,
team,201812100sea,sea,Cmp-Att-Yd-TD-INT,10-20-72-0-1,,,,,,
team,201812100sea,min,Sacked-Yards,2-9,,,,,,
team,201812100sea,sea,Sacked-Yards,2-12,,,,,,
team,201812100sea,min,Net Pass Yards,199,,,,,,
team,201812100sea,sea,Net Pass Yards,60,,,,,,
team,201812100sea,min,Total Yards,276,,,,,,
team,201812100sea,sea,Total Yards,274,,,,,,
team,201812100sea,min,Fumbles-Lost,1-1,,,,,,
team,201812100sea,sea,Fumbles-Lost,0-0,,,,,,
team,201812100sea,min,Turnovers,1,,,,,,
team,201812100sea,sea,Turnovers,1,,,,,,
team,201812100sea,min,Penalties-Yards,4-51,,,,,,
team,201812100sea,sea,Penalties-Yards,4-45,,,,,,
team,201812100sea,min,Third Down Conv.,2-10,,,,,,
team,201812100sea,sea,Third Down Conv.,3-11,,,,,,
team,201812100sea,min,Fourth Down Conv.,0-2,,,,,,
team,201812100sea,sea,Fourth Down Conv.,1-1,,,,,,
team,201812100sea,min,Time of Possession,28:11,,,,,,
team,201812100sea,sea,Time of Possession,31:49,,,,,,
player,201812100sea,min,CousKi00,pass_cmp,20,,,,,
player,201812100sea,min,CousKi00,pass_att,33,,,,,
player,201812100sea,min,CousKi00,pass_yds,208,,,,,
player,201812100sea,min,CousKi00,pass_td,1,,,,,
player,201812100sea,min,CousKi00,pass_int,0,,,,,
player,201812100sea,min,CousKi00,pass_sacked,2,,,,,
player,201812100sea,min,CousKi00,pass_sacked_yds,9,,,,,
player,201812100sea,min,CousKi00,pass_long,48,,,,,
player,201812100sea,min,CousKi00,pass_rating,89.0,,,,,
player,201812100sea,min,CousKi00,rush_att,3,,,,,
player,201812100sea,min,CousKi00,rush_yds,5,,,,,
player,201812100sea,min,CousKi00,rush_td,0,,,,,
player,201812100sea,min,CousKi00,rush_long,4,,,,,
player,201812100sea,min,CousKi00,targets,0,,,,,
player,201812100sea,min,CousKi00,rec,0,,,,,
player,201812100sea,min,CousKi00,rec_yds,0,,,,,
player,201812100sea,min,CousKi00,rec_td,0,,,,,
player,201812100sea,min,CousKi00,rec_long,0,,,,,
player,201812100sea,min,CousKi00,fumbles,1,,,,,
player,201812100sea,min,CousKi00,fumbles_lost,1,,,,,
player,201812100sea,min,CookDa01,pass_cmp,0,,,,,
