game,2018,8,20181028,201810280min,nor,"New Orleans Saints",30,min,"Minnesota Vikings",20
team,201810280min,nor,First Downs,17,,,,,,
team,201810280min,min,First Downs,27,,,,,,
team,201810280min,nor,Rush-Yds-TDs,29-106-1,,,,,,
team,201810280min,min,Rush-Yds-TDs,22-85-1,,,,,,
team,201810280min,nor,Cmp-Att-Yd-TD-INT,19-24-164-1-1,,,,,,
team,201810280min,min,Cmp-Att-Yd-TD-INT,31-41-359-2-1,,,,,,
team,201810280min,nor,Sacked-Yards,0-0,,,,,,
team,201810280min,min,Sacked-Yards,4-21,,,,,,
team,201810280min,nor,Net Pass Yards,164,,,,,,
team,201810280min,min,Net Pass Yards,338,,,,,,
team,201810280min,nor,Total Yards,270,,,,,,
team,201810280min,min,Total Yards,423,,,,,,
team,201810280min,nor,Fumbles-Lost,0-0,,,,,,
team,201810280min,min,Fumbles-Lost,2-1,,,,,,
team,201810280min,nor,Turnovers,1,,,,,,
team,201810280min,min,Turnovers,2,,,,,,
team,201810280min,nor,Penalties-Yards,7-64,,,,,,
team,201810280min,min,Penalties-Yards,6-54,,,,,,
team,201810280min,nor,Third Down Conv.,4-9,,,,,,
team,201810280min,min,Third Down Conv.,5-10,,,,,,
team,201810280min,nor,Fourth Down Conv.,0-0,,,,,,
team,201810280min,min,Fourth Down Conv.,2-3,,,,,,
team,201810280min,nor,Time of Possession,28:37,,,,,,
team,201810280min,min,Time of Possession,31:23,,,,,,
player,201810280min,nor,BreeDr00,pass_cmp,18,,,,,
player,201810280min,nor,BreeDr00,pass_att,23,,,,,
player,201810280min,nor,BreeDr00,pass_yds,120,,,,,
player,201810280min,nor,BreeDr00,pass_td,1,,,,,
player,201810280min,nor,BreeDr00,pass_int,1,,,,,
player,201810280min,nor,BreeDr00,pass_sacked,0,,,,,
player,201810280min,nor,BreeDr00,pass_sacked_yds,0,,,,,
player,201810280min,nor,BreeDr00,pass_long,20,,,,,
player,201810280min,nor,BreeDr00,pass_rating,84.8,,,,,
player,201810280min,nor,BreeDr00,rush_att,0,,,,,
player,201810280min,nor,BreeDr00,rush_yds,0,,,,,
player,201810280min,nor,BreeDr00,rush_td,0,,,,,
player,201810280min,nor,BreeDr00,rush_long,0,,,,,
player,201810280min,nor,BreeDr00,targets,0,,,,,
player,201810280min,nor,BreeDr00,rec,0,,,,,
player,201810280min,nor,BreeDr00,rec_yds,0,,,,,
player,201810280min,nor,BreeDr00,rec_td,0,,,,,
player,201810280min,nor,BreeDr00,rec_long,0,,,,,
player,201810280min,nor,BreeDr00,fumbles,0,,,,,
player,201810280min,nor,BreeDr00,fumbles_lost,0,,,,,
player,201810280min,nor,HillTa00,pass_cmp,1,,,,,
player,201810280min,nor,HillTa00,pass_att,1,,,,,
player,201810280min,nor,HillTa00,pass_yds,44,,,,,
player,201810280min,nor,HillTa00,pass_td,0,,,,,
player,201810280min,nor,HillTa00,pass_int,0,,,,,
player,201810280min,nor,HillTa00,pass_sacked,0,,,,,
player,201810280min,nor,HillTa00,pass_sacked_yds,0,,,,,
player,201810280min,nor,HillTa00,pass_long,44,,,,,
player,201810280min,nor,HillTa00,pass_rating,118.7,,,,,
player,201810280min,nor,HillTa00,rush_att,3,,,,,
player,201810280min,nor,HillTa00,rush_yds,-2,,,,,
player,201810280min,nor,HillTa00,rush_td,0,,,,,
player,201810280min,nor,HillTa00,rush_long,2,,,,,
player,201810280min,nor,HillTa00,targets,1,,,,,
player,201810280min,nor,HillTa00,rec,1,,,,,
player,201810280min,nor,HillTa00,rec_yds,5,,,,,
player,201810280min,nor,HillTa00,rec_td,0,,,,,
player,201810280min,nor,HillTa00,rec_long,5,,,,,
player,201810280min,nor,HillTa00,fumbles,0,,,,,
player,201810280min,nor,HillTa00,fumbles_lost,0,,,,,
player,201810280min,nor,IngrMa01,pass_cmp,0,,,,,
player,201810280min,nor,IngrMa01,pass_att,0,,,,,
player,201810280min,nor,IngrMa01,pass_yds,0,,,,,
player,201810280min,nor,IngrMa01,pass_td,0,,,,,
player,201810280min,nor,IngrMa01,pass_int,0,,,,,
player,201810280min,nor,IngrMa01,pass_sacked,0,,,,,
player,201810280min,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201810280min,nor,IngrMa01,pass_long,0,,,,,
player,201810280min,nor,IngrMa01,pass_rating,,,,,,
player,201810280min,nor,IngrMa01,rush_att,13,,,,,
player,201810280min,nor,IngrMa01,rush_yds,63,,,,,
player,201810280min,nor,IngrMa01,rush_td,0,,,,,
player,201810280min,nor,IngrMa01,rush_long,11,,,,,
player,201810280min,nor,IngrMa01,targets,3,,,,,
player,201810280min,nor,IngrMa01,rec,3,,,,,
player,201810280min,nor,IngrMa01,rec_yds,29,,,,,
player,201810280min,nor,IngrMa01,rec_td,0,,,,,
player,201810280min,nor,IngrMa01,rec_long,19,,,,,
player,201810280min,nor,IngrMa01,fumbles,0,,,,,
player,201810280min,nor,IngrMa01,fumbles_lost,0,,,,,
player,201810280min,nor,KamaAl00,pass_cmp,0,,,,,
player,201810280min,nor,KamaAl00,pass_att,0,,,,,
player,201810280min,nor,KamaAl00,pass_yds,0,,,,,
player,201810280min,nor,KamaAl00,pass_td,0,,,,,
player,201810280min,nor,KamaAl00,pass_int,0,,,,,
player,201810280min,nor,KamaAl00,pass_sacked,0,,,,,
player,201810280min,nor,KamaAl00,pass_sacked_yds,0,,,,,
player,201810280min,nor,KamaAl00,pass_long,0,,,,,
player,201810280min,nor,KamaAl00,pass_rating,,,,,,
player,201810280min,nor,KamaAl00,rush_att,13,,,,,
player,201810280min,nor,KamaAl00,rush_yds,45,,,,,
player,201810280min,nor,KamaAl00,rush_td,1,,,,,
player,201810280min,nor,KamaAl00,rush_long,17,,,,,
player,201810280min,nor,KamaAl00,targets,8,,,,,
player,201810280min,nor,KamaAl00,rec,7,,,,,
player,201810280min,nor,KamaAl00,rec_yds,31,,,,,
player,201810280min,nor,KamaAl00,rec_td,1,,,,,
player,201810280min,nor,KamaAl00,rec_long,17,,,,,
player,201810280min,nor,KamaAl00,fumbles,0,,,,,
player,201810280min,nor,KamaAl00,fumbles_lost,0,,,,,
player,201810280min,nor,ThomMi05,pass_cmp,0,,,,,
player,201810280min,nor,ThomMi05,pass_att,0,,,,,
player,201810280min,nor,ThomMi05,pass_yds,0,,,,,
player,201810280min,nor,ThomMi05,pass_td,0,,,,,
player,201810280min,nor,ThomMi05,pass_int,0,,,,,
player,201810280min,nor,ThomMi05,pass_sacked,0,,,,,
player,201810280min,nor,ThomMi05,pass_sacked_yds,0,,,,,
player,201810280min,nor,ThomMi05,pass_long,0,,,,,
player,201810280min,nor,ThomMi05,pass_rating,,,,,,
player,201810280min,nor,ThomMi05,rush_att,0,,,,,
player,201810280min,nor,ThomMi05,rush_yds,0,,,,,
player,201810280min,nor,ThomMi05,rush_td,0,,,,,
player,201810280min,nor,ThomMi05,rush_long,0,,,,,
player,201810280min,nor,ThomMi05,targets,6,,,,,
player,201810280min,nor,ThomMi05,rec,5,,,,,
player,201810280min,nor,ThomMi05,rec_yds,81,,,,,
player,201810280min,nor,ThomMi05,rec_td,0,,,,,
player,201810280min,nor,ThomMi05,rec_long,44,,,,,
player,201810280min,nor,ThomMi05,fumbles,0,,,,,
player,201810280min,nor,ThomMi05,fumbles_lost,0,,,,,
player,201810280min,nor,SmitTr03,pass_cmp,0,,,,,
player,201810280min,nor,SmitTr03,pass_att,0,,,,,
player,201810280min,nor,SmitTr03,pass_yds,0,,,,,
player,201810280min,nor,SmitTr03,pass_td,0,,,,,
player,201810280min,nor,SmitTr03,pass_int,0,,,,,
player,201810280min,nor,SmitTr03,pass_sacked,0,,,,,
player,201810280min,nor,SmitTr03,pass_sacked_yds,0,,,,,
player,201810280min,nor,SmitTr03,pass_long,0,,,,,
player,201810280min,nor,SmitTr03,pass_rating,,,,,,
player,201810280min,nor,SmitTr03,rush_att,0,,,,,
player,201810280min,nor,SmitTr03,rush_yds,0,,,,,
player,201810280min,nor,SmitTr03,rush_td,0,,,,,
player,201810280min,nor,SmitTr03,rush_long,0,,,,,
player,201810280min,nor,SmitTr03,targets,4,,,,,
player,201810280min,nor,SmitTr03,rec,3,,,,,
player,201810280min,nor,SmitTr03,rec_yds,18,,,,,
player,201810280min,nor,SmitTr03,rec_td,0,,,,,
player,201810280min,nor,SmitTr03,rec_long,7,,,,,
player,201810280min,nor,SmitTr03,fumbles,0,,,,,
player,201810280min,nor,SmitTr03,fumbles_lost,0,,,,,
player,201810280min,nor,CarrAu00,pass_cmp,0,,,,,
player,201810280min,nor,CarrAu00,pass_att,0,,,,,
player,201810280min,nor,CarrAu00,pass_yds,0,,,,,
player,201810280min,nor,CarrAu00,pass_td,0,,,,,
player,201810280min,nor,CarrAu00,pass_int,0,,,,,
