game,2018,11,20181118,201811180crd,rai,"Oakland Raiders",23,crd,"Arizona Cardinals",21
team,201811180crd,rai,First Downs,19,,,,,,
team,201811180crd,crd,First Downs,13,,,,,,
team,201811180crd,rai,Rush-Yds-TDs,33-152-0,,,,,,
team,201811180crd,crd,Rush-Yds-TDs,31-154-0,,,,,,
team,201811180crd,rai,Cmp-Att-Yd-TD-INT,19-31-192-2-0,,,,,,
team,201811180crd,crd,Cmp-Att-Yd-TD-INT,9-20-136-3-2,,,,,,
team,201811180crd,rai,Sacked-Yards,4-19,,,,,,
team,201811180crd,crd,Sacked-Yards,1-8,,,,,,
team,201811180crd,rai,Net Pass Yards,173,,,,,,
team,201811180crd,crd,Net Pass Yards,128,,,,,,
team,201811180crd,rai,Total Yards,325,,,,,,
team,201811180crd,crd,Total Yards,282,,,,,,
team,201811180crd,rai,Fumbles-Lost,1-0,,,,,,
team,201811180crd,crd,Fumbles-Lost,1-0,,,,,,
team,201811180crd,rai,Turnovers,0,,,,,,
team,201811180crd,crd,Turnovers,2,,,,,,
team,201811180crd,rai,Penalties-Yards,4-20,,,,,,
team,201811180crd,crd,Penalties-Yards,7-62,,,,,,
team,201811180crd,rai,Third Down Conv.,5-15,,,,,,
team,201811180crd,crd,Third Down Conv.,3-11,,,,,,
team,201811180crd,rai,Fourth Down Conv.,0-0,,,,,,
team,201811180crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201811180crd,rai,Time of Possession,36:01,,,,,,
team,201811180crd,crd,Time of Possession,23:59,,,,,,
player,201811180crd,rai,CarrDe02,pass_cmp,19,,,,,
player,201811180crd,rai,CarrDe02,pass_att,31,,,,,
player,201811180crd,rai,CarrDe02,pass_yds,192,,,,,
player,201811180crd,rai,CarrDe02,pass_td,2,,,,,
player,201811180crd,rai,CarrDe02,pass_int,0,,,,,
player,201811180crd,rai,CarrDe02,pass_sacked,4,,,,,
player,201811180crd,rai,CarrDe02,pass_sacked_yds,19,,,,,
player,201811180crd,rai,CarrDe02,pass_long,32,,,,,
player,201811180crd,rai,CarrDe02,pass_rating,100.5,,,,,
player,201811180crd,rai,CarrDe02,rush_att,0,,,,,
player,201811180crd,rai,CarrDe02,rush_yds,0,,,,,
player,201811180crd,rai,CarrDe02,rush_td,0,,,,,
player,201811180crd,rai,CarrDe02,rush_long,0,,,,,
player,201811180crd,rai,CarrDe02,targets,0,,,,,
player,201811180crd,rai,CarrDe02,rec,0,,,,,
player,201811180crd,rai,CarrDe02,rec_yds,0,,,,,
player,201811180crd,rai,CarrDe02,rec_td,0,,,,,
player,201811180crd,rai,CarrDe02,rec_long,0,,,,,
player,201811180crd,rai,CarrDe02,fumbles,0,,,,,
player,201811180crd,rai,CarrDe02,fumbles_lost,0,,,,,
player,201811180crd,rai,RichJa01,pass_cmp,0,,,,,
player,201811180crd,rai,RichJa01,pass_att,0,,,,,
player,201811180crd,rai,RichJa01,pass_yds,0,,,,,
player,201811180crd,rai,RichJa01,pass_td,0,,,,,
player,201811180crd,rai,RichJa01,pass_int,0,,,,,
player,201811180crd,rai,RichJa01,pass_sacked,0,,,,,
player,201811180crd,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201811180crd,rai,RichJa01,pass_long,0,,,,,
player,201811180crd,rai,RichJa01,pass_rating,,,,,,
player,201811180crd,rai,RichJa01,rush_att,11,,,,,
player,201811180crd,rai,RichJa01,rush_yds,61,,,,,
player,201811180crd,rai,RichJa01,rush_td,0,,,,,
player,201811180crd,rai,RichJa01,rush_long,24,,,,,
player,201811180crd,rai,RichJa01,targets,4,,,,,
player,201811180crd,rai,RichJa01,rec,3,,,,,
player,201811180crd,rai,RichJa01,rec_yds,32,,,,,
player,201811180crd,rai,RichJa01,rec_td,0,,,,,
player,201811180crd,rai,RichJa01,rec_long,16,,,,,
player,201811180crd,rai,RichJa01,fumbles,1,,,,,
player,201811180crd,rai,RichJa01,fumbles_lost,0,,,,,
player,201811180crd,rai,MartDo00,pass_cmp,0,,,,,
player,201811180crd,rai,MartDo00,pass_att,0,,,,,
player,201811180crd,rai,MartDo00,pass_yds,0,,,,,
