game,2018,3,20180923,201809230kan,sfo,"San Francisco 49ers",27,kan,"Kansas City Chiefs",38
team,201809230kan,sfo,First Downs,26,,,,,,
team,201809230kan,kan,First Downs,31,,,,,,
team,201809230kan,sfo,Rush-Yds-TDs,29-178-1,,,,,,
team,201809230kan,kan,Rush-Yds-TDs,28-77-2,,,,,,
team,201809230kan,sfo,Cmp-Att-Yd-TD-INT,20-30-251-2-0,,,,,,
team,201809230kan,kan,Cmp-Att-Yd-TD-INT,24-38-314-3-0,,,,,,
team,201809230kan,sfo,Sacked-Yards,4-23,,,,,,
team,201809230kan,kan,Sacked-Yards,2-7,,,,,,
team,201809230kan,sfo,Net Pass Yards,228,,,,,,
team,201809230kan,kan,Net Pass Yards,307,,,,,,
team,201809230kan,sfo,Total Yards,406,,,,,,
team,201809230kan,kan,Total Yards,384,,,,,,
team,201809230kan,sfo,Fumbles-Lost,3-0,,,,,,
team,201809230kan,kan,Fumbles-Lost,2-0,,,,,,
team,201809230kan,sfo,Turnovers,0,,,,,,
team,201809230kan,kan,Turnovers,0,,,,,,
team,201809230kan,sfo,Penalties-Yards,14-147,,,,,,
team,201809230kan,kan,Penalties-Yards,6-48,,,,,,
team,201809230kan,sfo,Third Down Conv.,2-9,,,,,,
team,201809230kan,kan,Third Down Conv.,7-11,,,,,,
team,201809230kan,sfo,Fourth Down Conv.,2-2,,,,,,
team,201809230kan,kan,Fourth Down Conv.,1-1,,,,,,
team,201809230kan,sfo,Time of Possession,29:59,,,,,,
team,201809230kan,kan,Time of Possession,30:01,,,,,,
player,201809230kan,sfo,GaroJi00,pass_cmp,20,,,,,
player,201809230kan,sfo,GaroJi00,pass_att,30,,,,,
player,201809230kan,sfo,GaroJi00,pass_yds,251,,,,,
player,201809230kan,sfo,GaroJi00,pass_td,2,,,,,
player,201809230kan,sfo,GaroJi00,pass_int,0,,,,,
player,201809230kan,sfo,GaroJi00,pass_sacked,4,,,,,
player,201809230kan,sfo,GaroJi00,pass_sacked_yds,23,,,,,
player,201809230kan,sfo,GaroJi00,pass_long,35,,,,,
player,201809230kan,sfo,GaroJi00,pass_rating,114.7,,,,,
player,201809230kan,sfo,GaroJi00,rush_att,3,,,,,
player,201809230kan,sfo,GaroJi00,rush_yds,23,,,,,
player,201809230kan,sfo,GaroJi00,rush_td,0,,,,,
player,201809230kan,sfo,GaroJi00,rush_long,13,,,,,
player,201809230kan,sfo,GaroJi00,targets,0,,,,,
player,201809230kan,sfo,GaroJi00,rec,0,,,,,
