game,2018,10,20181111,201811110kan,crd,"Arizona Cardinals",14,kan,"Kansas City Chiefs",26
team,201811110kan,crd,First Downs,21,,,,,,
team,201811110kan,kan,First Downs,20,,,,,,
team,201811110kan,crd,Rush-Yds-TDs,25-94-1,,,,,,
team,201811110kan,kan,Rush-Yds-TDs,23-118-1,,,,,,
team,201811110kan,crd,Cmp-Att-Yd-TD-INT,22-39-208-1-2,,,,,,
team,201811110kan,kan,Cmp-Att-Yd-TD-INT,21-28-249-2-0,,,,,,
team,201811110kan,crd,Sacked-Yards,5-42,,,,,,
team,201811110kan,kan,Sacked-Yards,5-37,,,,,,
team,201811110kan,crd,Net Pass Yards,166,,,,,,
team,201811110kan,kan,Net Pass Yards,212,,,,,,
team,201811110kan,crd,Total Yards,260,,,,,,
team,201811110kan,kan,Total Yards,330,,,,,,
team,201811110kan,crd,Fumbles-Lost,1-0,,,,,,
team,201811110kan,kan,Fumbles-Lost,1-0,,,,,,
team,201811110kan,crd,Turnovers,2,,,,,,
team,201811110kan,kan,Turnovers,0,,,,,,
team,201811110kan,crd,Penalties-Yards,3-30,,,,,,
team,201811110kan,kan,Penalties-Yards,8-63,,,,,,
team,201811110kan,crd,Third Down Conv.,7-14,,,,,,
team,201811110kan,kan,Third Down Conv.,4-11,,,,,,
team,201811110kan,crd,Fourth Down Conv.,1-2,,,,,,
team,201811110kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201811110kan,crd,Time of Possession,31:47,,,,,,
team,201811110kan,kan,Time of Possession,28:13,,,,,,
player,201811110kan,crd,RoseJo01,pass_cmp,22,,,,,
player,201811110kan,crd,RoseJo01,pass_att,39,,,,,
player,201811110kan,crd,RoseJo01,pass_yds,208,,,,,
player,201811110kan,crd,RoseJo01,pass_td,1,,,,,
player,201811110kan,crd,RoseJo01,pass_int,2,,,,,
player,201811110kan,crd,RoseJo01,pass_sacked,5,,,,,
player,201811110kan,crd,RoseJo01,pass_sacked_yds,42,,,,,
player,201811110kan,crd,RoseJo01,pass_long,24,,,,,
player,201811110kan,crd,RoseJo01,pass_rating,58.5,,,,,
player,201811110kan,crd,RoseJo01,rush_att,1,,,,,
player,201811110kan,crd,RoseJo01,rush_yds,-1,,,,,
player,201811110kan,crd,RoseJo01,rush_td,0,,,,,
player,201811110kan,crd,RoseJo01,rush_long,-1,,,,,
player,201811110kan,crd,RoseJo01,targets,0,,,,,
player,201811110kan,crd,RoseJo01,rec,0,,,,,
player,201811110kan,crd,RoseJo01,rec_yds,0,,,,,
player,201811110kan,crd,RoseJo01,rec_td,0,,,,,
player,201811110kan,crd,RoseJo01,rec_long,0,,,,,
player,201811110kan,crd,RoseJo01,fumbles,1,,,,,
player,201811110kan,crd,RoseJo01,fumbles_lost,0,,,,,
player,201811110kan,crd,JohnDa08,pass_cmp,0,,,,,
player,201811110kan,crd,JohnDa08,pass_att,0,,,,,
player,201811110kan,crd,JohnDa08,pass_yds,0,,,,,
player,201811110kan,crd,JohnDa08,pass_td,0,,,,,
player,201811110kan,crd,JohnDa08,pass_int,0,,,,,
player,201811110kan,crd,JohnDa08,pass_sacked,0,,,,,
player,201811110kan,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201811110kan,crd,JohnDa08,pass_long,0,,,,,
player,201811110kan,crd,JohnDa08,pass_rating,,,,,,
player,201811110kan,crd,JohnDa08,rush_att,21,,,,,
player,201811110kan,crd,JohnDa08,rush_yds,98,,,,,
player,201811110kan,crd,JohnDa08,rush_td,1,,,,,
player,201811110kan,crd,JohnDa08,rush_long,11,,,,,
player,201811110kan,crd,JohnDa08,targets,9,,,,,
player,201811110kan,crd,JohnDa08,rec,7,,,,,
player,201811110kan,crd,JohnDa08,rec_yds,85,,,,,
player,201811110kan,crd,JohnDa08,rec_td,1,,,,,
player,201811110kan,crd,JohnDa08,rec_long,24,,,,,
player,201811110kan,crd,JohnDa08,fumbles,0,,,,,
player,201811110kan,crd,JohnDa08,fumbles_lost,0,,,,,
player,201811110kan,crd,EdmoCh00,pass_cmp,0,,,,,
player,201811110kan,crd,EdmoCh00,pass_att,0,,,,,
player,201811110kan,crd,EdmoCh00,pass_yds,0,,,,,
player,201811110kan,crd,EdmoCh00,pass_td,0,,,,,
player,201811110kan,crd,EdmoCh00,pass_int,0,,,,,
player,201811110kan,crd,EdmoCh00,pass_sacked,0,,,,,
player,201811110kan,crd,EdmoCh00,pass_sacked_yds,0,,,,,
player,201811110kan,crd,EdmoCh00,pass_long,0,,,,,
player,201811110kan,crd,EdmoCh00,pass_rating,,,,,,
player,201811110kan,crd,EdmoCh00,rush_att,2,,,,,
player,201811110kan,crd,EdmoCh00,rush_yds,7,,,,,
player,201811110kan,crd,EdmoCh00,rush_td,0,,,,,
player,201811110kan,crd,EdmoCh00,rush_long,5,,,,,
player,201811110kan,crd,EdmoCh00,targets,0,,,,,
player,201811110kan,crd,EdmoCh00,rec,0,,,,,
player,201811110kan,crd,EdmoCh00,rec_yds,0,,,,,
player,201811110kan,crd,EdmoCh00,rec_td,0,,,,,
player,201811110kan,crd,EdmoCh00,rec_long,0,,,,,
player,201811110kan,crd,EdmoCh00,fumbles,0,,,,,
player,201811110kan,crd,EdmoCh00,fumbles_lost,0,,,,,
player,201811110kan,crd,SealRi00,pass_cmp,0,,,,,
player,201811110kan,crd,SealRi00,pass_att,0,,,,,
player,201811110kan,crd,SealRi00,pass_yds,0,,,,,
player,201811110kan,crd,SealRi00,pass_td,0,,,,,
player,201811110kan,crd,SealRi00,pass_int,0,,,,,
player,201811110kan,crd,SealRi00,pass_sacked,0,,,,,
player,201811110kan,crd,SealRi00,pass_sacked_yds,0,,,,,
player,201811110kan,crd,SealRi00,pass_long,0,,,,,
player,201811110kan,crd,SealRi00,pass_rating,,,,,,
player,201811110kan,crd,SealRi00,rush_att,0,,,,,
player,201811110kan,crd,SealRi00,rush_yds,0,,,,,
player,201811110kan,crd,SealRi00,rush_td,0,,,,,
player,201811110kan,crd,SealRi00,rush_long,0,,,,,
player,201811110kan,crd,SealRi00,targets,9,,,,,
player,201811110kan,crd,SealRi00,rec,5,,,,,
player,201811110kan,crd,SealRi00,rec_yds,51,,,,,
player,201811110kan,crd,SealRi00,rec_td,0,,,,,
player,201811110kan,crd,SealRi00,rec_long,21,,,,,
player,201811110kan,crd,SealRi00,fumbles,0,,,,,
