game,2018,13,20181202,201812020nyg,chi,"Chicago Bears",27,nyg,"New York Giants",30
team,201812020nyg,chi,First Downs,23,,,,,,
team,201812020nyg,nyg,First Downs,18,,,,,,
team,201812020nyg,chi,Rush-Yds-TDs,32-118-1,,,,,,
team,201812020nyg,nyg,Rush-Yds-TDs,29-141-0,,,,,,
team,201812020nyg,chi,Cmp-Att-Yd-TD-INT,27-40-286-2-2,,,,,,
team,201812020nyg,nyg,Cmp-Att-Yd-TD-INT,20-36-219-2-1,,,,,,
team,201812020nyg,chi,Sacked-Yards,5-28,,,,,,
team,201812020nyg,nyg,Sacked-Yards,3-22,,,,,,
team,201812020nyg,chi,Net Pass Yards,258,,,,,,
team,201812020nyg,nyg,Net Pass Yards,197,,,,,,
team,201812020nyg,chi,Total Yards,376,,,,,,
team,201812020nyg,nyg,Total Yards,338,,,,,,
team,201812020nyg,chi,Fumbles-Lost,6-1,,,,,,
team,201812020nyg,nyg,Fumbles-Lost,0-0,,,,,,
team,201812020nyg,chi,Turnovers,3,,,,,,
team,201812020nyg,nyg,Turnovers,1,,,,,,
team,201812020nyg,chi,Penalties-Yards,8-58,,,,,,
team,201812020nyg,nyg,Penalties-Yards,12-107,,,,,,
team,201812020nyg,chi,Third Down Conv.,2-15,,,,,,
team,201812020nyg,nyg,Third Down Conv.,6-17,,,,,,
team,201812020nyg,chi,Fourth Down Conv.,4-5,,,,,,
team,201812020nyg,nyg,Fourth Down Conv.,2-2,,,,,,
team,201812020nyg,chi,Time of Possession,33:58,,,,,,
team,201812020nyg,nyg,Time of Possession,33:13,,,,,,
player,201812020nyg,chi,DaniCh00,pass_cmp,26,,,,,
player,201812020nyg,chi,DaniCh00,pass_att,39,,,,,
player,201812020nyg,chi,DaniCh00,pass_yds,285,,,,,
player,201812020nyg,chi,DaniCh00,pass_td,1,,,,,
player,201812020nyg,chi,DaniCh00,pass_int,2,,,,,
player,201812020nyg,chi,DaniCh00,pass_sacked,5,,,,,
player,201812020nyg,chi,DaniCh00,pass_sacked_yds,28,,,,,
player,201812020nyg,chi,DaniCh00,pass_long,46,,,,,
player,201812020nyg,chi,DaniCh00,pass_rating,75.3,,,,,
player,201812020nyg,chi,DaniCh00,rush_att,4,,,,,
player,201812020nyg,chi,DaniCh00,rush_yds,4,,,,,
player,201812020nyg,chi,DaniCh00,rush_td,0,,,,,
player,201812020nyg,chi,DaniCh00,rush_long,4,,,,,
player,201812020nyg,chi,DaniCh00,targets,0,,,,,
player,201812020nyg,chi,DaniCh00,rec,0,,,,,
player,201812020nyg,chi,DaniCh00,rec_yds,0,,,,,
player,201812020nyg,chi,DaniCh00,rec_td,0,,,,,
player,201812020nyg,chi,DaniCh00,rec_long,0,,,,,
player,201812020nyg,chi,DaniCh00,fumbles,4,,,,,
player,201812020nyg,chi,DaniCh00,fumbles_lost,0,,,,,
player,201812020nyg,chi,CoheTa00,pass_cmp,1,,,,,
player,201812020nyg,chi,CoheTa00,pass_att,1,,,,,
player,201812020nyg,chi,CoheTa00,pass_yds,1,,,,,
player,201812020nyg,chi,CoheTa00,pass_td,1,,,,,
player,201812020nyg,chi,CoheTa00,pass_int,0,,,,,
player,201812020nyg,chi,CoheTa00,pass_sacked,0,,,,,
player,201812020nyg,chi,CoheTa00,pass_sacked_yds,0,,,,,
player,201812020nyg,chi,CoheTa00,pass_long,1,,,,,
player,201812020nyg,chi,CoheTa00,pass_rating,118.7,,,,,
player,201812020nyg,chi,CoheTa00,rush_att,8,,,,,
player,201812020nyg,chi,CoheTa00,rush_yds,30,,,,,
player,201812020nyg,chi,CoheTa00,rush_td,0,,,,,
player,201812020nyg,chi,CoheTa00,rush_long,11,,,,,
player,201812020nyg,chi,CoheTa00,targets,14,,,,,
player,201812020nyg,chi,CoheTa00,rec,12,,,,,
player,201812020nyg,chi,CoheTa00,rec_yds,156,,,,,
player,201812020nyg,chi,CoheTa00,rec_td,0,,,,,
player,201812020nyg,chi,CoheTa00,rec_long,46,,,,,
player,201812020nyg,chi,CoheTa00,fumbles,1,,,,,
player,201812020nyg,chi,CoheTa00,fumbles_lost,0,,,,,
player,201812020nyg,chi,HowaJo00,pass_cmp,0,,,,,
player,201812020nyg,chi,HowaJo00,pass_att,0,,,,,
player,201812020nyg,chi,HowaJo00,pass_yds,0,,,,,
player,201812020nyg,chi,HowaJo00,pass_td,0,,,,,
player,201812020nyg,chi,HowaJo00,pass_int,0,,,,,
player,201812020nyg,chi,HowaJo00,pass_sacked,0,,,,,
player,201812020nyg,chi,HowaJo00,pass_sacked_yds,0,,,,,
player,201812020nyg,chi,HowaJo00,pass_long,0,,,,,
player,201812020nyg,chi,HowaJo00,pass_rating,,,,,,
player,201812020nyg,chi,HowaJo00,rush_att,16,,,,,
player,201812020nyg,chi,HowaJo00,rush_yds,76,,,,,
player,201812020nyg,chi,HowaJo00,rush_td,0,,,,,
player,201812020nyg,chi,HowaJo00,rush_long,25,,,,,
player,201812020nyg,chi,HowaJo00,targets,1,,,,,
player,201812020nyg,chi,HowaJo00,rec,1,,,,,
player,201812020nyg,chi,HowaJo00,rec_yds,4,,,,,
player,201812020nyg,chi,HowaJo00,rec_td,0,,,,,
player,201812020nyg,chi,HowaJo00,rec_long,4,,,,,
player,201812020nyg,chi,HowaJo00,fumbles,0,,,,,
player,201812020nyg,chi,HowaJo00,fumbles_lost,0,,,,,
player,201812020nyg,chi,MizzTa00,pass_cmp,0,,,,,
player,201812020nyg,chi,MizzTa00,pass_att,0,,,,,
player,201812020nyg,chi,MizzTa00,pass_yds,0,,,,,
player,201812020nyg,chi,MizzTa00,pass_td,0,,,,,
player,201812020nyg,chi,MizzTa00,pass_int,0,,,,,
player,201812020nyg,chi,MizzTa00,pass_sacked,0,,,,,
player,201812020nyg,chi,MizzTa00,pass_sacked_yds,0,,,,,
player,201812020nyg,chi,MizzTa00,pass_long,0,,,,,
player,201812020nyg,chi,MizzTa00,pass_rating,,,,,,
player,201812020nyg,chi,MizzTa00,rush_att,3,,,,,
player,201812020nyg,chi,MizzTa00,rush_yds,7,,,,,
player,201812020nyg,chi,MizzTa00,rush_td,0,,,,,
player,201812020nyg,chi,MizzTa00,rush_long,4,,,,,
player,201812020nyg,chi,MizzTa00,targets,2,,,,,
player,201812020nyg,chi,MizzTa00,rec,2,,,,,
player,201812020nyg,chi,MizzTa00,rec_yds,16,,,,,
player,201812020nyg,chi,MizzTa00,rec_td,0,,,,,
player,201812020nyg,chi,MizzTa00,rec_long,9,,,,,
player,201812020nyg,chi,MizzTa00,fumbles,0,,,,,
