game,2018,16,20181223,201812230dal,tam,"Tampa Bay Buccaneers",20,dal,"Dallas Cowboys",27
team,201812230dal,tam,First Downs,27,,,,,,
team,201812230dal,dal,First Downs,16,,,,,,
team,201812230dal,tam,Rush-Yds-TDs,24-63-1,,,,,,
team,201812230dal,dal,Rush-Yds-TDs,24-80-1,,,,,,
team,201812230dal,tam,Cmp-Att-Yd-TD-INT,34-48-336-1-0,,,,,,
team,201812230dal,dal,Cmp-Att-Yd-TD-INT,20-25-161-1-0,,,,,,
team,201812230dal,tam,Sacked-Yards,3-16,,,,,,
team,201812230dal,dal,Sacked-Yards,1-9,,,,,,
team,201812230dal,tam,Net Pass Yards,320,,,,,,
team,201812230dal,dal,Net Pass Yards,152,,,,,,
team,201812230dal,tam,Total Yards,383,,,,,,
team,201812230dal,dal,Total Yards,232,,,,,,
team,201812230dal,tam,Fumbles-Lost,2-2,,,,,,
team,201812230dal,dal,Fumbles-Lost,1-0,,,,,,
team,201812230dal,tam,Turnovers,2,,,,,,
team,201812230dal,dal,Turnovers,0,,,,,,
team,201812230dal,tam,Penalties-Yards,9-72,,,,,,
team,201812230dal,dal,Penalties-Yards,10-67,,,,,,
team,201812230dal,tam,Third Down Conv.,4-13,,,,,,
team,201812230dal,dal,Third Down Conv.,3-9,,,,,,
team,201812230dal,tam,Fourth Down Conv.,1-2,,,,,,
team,201812230dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201812230dal,tam,Time of Possession,35:19,,,,,,
team,201812230dal,dal,Time of Possession,24:41,,,,,,
player,201812230dal,tam,WinsJa00,pass_cmp,34,,,,,
player,201812230dal,tam,WinsJa00,pass_att,48,,,,,
player,201812230dal,tam,WinsJa00,pass_yds,336,,,,,
player,201812230dal,tam,WinsJa00,pass_td,1,,,,,
player,201812230dal,tam,WinsJa00,pass_int,0,,,,,
player,201812230dal,tam,WinsJa00,pass_sacked,3,,,,,
player,201812230dal,tam,WinsJa00,pass_sacked_yds,16,,,,,
player,201812230dal,tam,WinsJa00,pass_long,38,,,,,
player,201812230dal,tam,WinsJa00,pass_rating,97.2,,,,,
player,201812230dal,tam,WinsJa00,rush_att,4,,,,,
player,201812230dal,tam,WinsJa00,rush_yds,14,,,,,
player,201812230dal,tam,WinsJa00,rush_td,0,,,,,
player,201812230dal,tam,WinsJa00,rush_long,5,,,,,
player,201812230dal,tam,WinsJa00,targets,0,,,,,
player,201812230dal,tam,WinsJa00,rec,0,,,,,
player,201812230dal,tam,WinsJa00,rec_yds,0,,,,,
player,201812230dal,tam,WinsJa00,rec_td,0,,,,,
player,201812230dal,tam,WinsJa00,rec_long,0,,,,,
player,201812230dal,tam,WinsJa00,fumbles,2,,,,,
player,201812230dal,tam,WinsJa00,fumbles_lost,2,,,,,
player,201812230dal,tam,BarbPe01,pass_cmp,0,,,,,
player,201812230dal,tam,BarbPe01,pass_att,0,,,,,
player,201812230dal,tam,BarbPe01,pass_yds,0,,,,,
player,201812230dal,tam,BarbPe01,pass_td,0,,,,,
player,201812230dal,tam,BarbPe01,pass_int,0,,,,,
player,201812230dal,tam,BarbPe01,pass_sacked,0,,,,,
player,201812230dal,tam,BarbPe01,pass_sacked_yds,0,,,,,
player,201812230dal,tam,BarbPe01,pass_long,0,,,,,
player,201812230dal,tam,BarbPe01,pass_rating,,,,,,
player,201812230dal,tam,BarbPe01,rush_att,17,,,,,
player,201812230dal,tam,BarbPe01,rush_yds,43,,,,,
player,201812230dal,tam,BarbPe01,rush_td,0,,,,,
player,201812230dal,tam,BarbPe01,rush_long,8,,,,,
player,201812230dal,tam,BarbPe01,targets,3,,,,,
player,201812230dal,tam,BarbPe01,rec,3,,,,,
player,201812230dal,tam,BarbPe01,rec_yds,13,,,,,
