game,2018,6,20181014,201810140oti,rav,"Baltimore Ravens",21,oti,"Tennessee Titans",0
team,201810140oti,rav,First Downs,23,,,,,,
team,201810140oti,oti,First Downs,7,,,,,,
team,201810140oti,rav,Rush-Yds-TDs,35-123-2,,,,,,
team,201810140oti,oti,Rush-Yds-TDs,14-55-0,,,,,,
team,201810140oti,rav,Cmp-Att-Yd-TD-INT,25-37-238-1-1,,,,,,
team,201810140oti,oti,Cmp-Att-Yd-TD-INT,10-15-117-0-0,,,,,,
team,201810140oti,rav,Sacked-Yards,0-0,,,,,,
team,201810140oti,oti,Sacked-Yards,11-66,,,,,,
team,201810140oti,rav,Net Pass Yards,238,,,,,,
team,201810140oti,oti,Net Pass Yards,51,,,,,,
team,201810140oti,rav,Total Yards,361,,,,,,
team,201810140oti,oti,Total Yards,106,,,,,,
team,201810140oti,rav,Fumbles-Lost,0-0,,,,,,
team,201810140oti,oti,Fumbles-Lost,1-0,,,,,,
team,201810140oti,rav,Turnovers,1,,,,,,
team,201810140oti,oti,Turnovers,0,,,,,,
team,201810140oti,rav,Penalties-Yards,10-70,,,,,,
team,201810140oti,oti,Penalties-Yards,4-35,,,,,,
team,201810140oti,rav,Third Down Conv.,12-17,,,,,,
team,201810140oti,oti,Third Down Conv.,1-10,,,,,,
team,201810140oti,rav,Fourth Down Conv.,1-1,,,,,,
team,201810140oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201810140oti,rav,Time of Possession,37:34,,,,,,
team,201810140oti,oti,Time of Possession,22:26,,,,,,
player,201810140oti,rav,FlacJo00,pass_cmp,25,,,,,
player,201810140oti,rav,FlacJo00,pass_att,37,,,,,
player,201810140oti,rav,FlacJo00,pass_yds,238,,,,,
player,201810140oti,rav,FlacJo00,pass_td,1,,,,,
player,201810140oti,rav,FlacJo00,pass_int,1,,,,,
player,201810140oti,rav,FlacJo00,pass_sacked,0,,,,,
player,201810140oti,rav,FlacJo00,pass_sacked_yds,0,,,,,
player,201810140oti,rav,FlacJo00,pass_long,27,,,,,
player,201810140oti,rav,FlacJo00,pass_rating,82.9,,,,,
player,201810140oti,rav,FlacJo00,rush_att,3,,,,,
player,201810140oti,rav,FlacJo00,rush_yds,4,,,,,
player,201810140oti,rav,FlacJo00,rush_td,0,,,,,
player,201810140oti,rav,FlacJo00,rush_long,3,,,,,
player,201810140oti,rav,FlacJo00,targets,0,,,,,
player,201810140oti,rav,FlacJo00,rec,0,,,,,
