game,2018,3,20180924,201809240tam,pit,"Pittsburgh Steelers",30,tam,"Tampa Bay Buccaneers",27
team,201809240tam,pit,First Downs,22,,,,,,
team,201809240tam,tam,First Downs,28,,,,,,
team,201809240tam,pit,Rush-Yds-TDs,22-78-0,,,,,,
team,201809240tam,tam,Rush-Yds-TDs,16-63-0,,,,,,
team,201809240tam,pit,Cmp-Att-Yd-TD-INT,30-38-353-3-1,,,,,,
team,201809240tam,tam,Cmp-Att-Yd-TD-INT,30-50-411-3-3,,,,,,
team,201809240tam,pit,Sacked-Yards,3-18,,,,,,
team,201809240tam,tam,Sacked-Yards,3-19,,,,,,
team,201809240tam,pit,Net Pass Yards,335,,,,,,
team,201809240tam,tam,Net Pass Yards,392,,,,,,
team,201809240tam,pit,Total Yards,413,,,,,,
team,201809240tam,tam,Total Yards,455,,,,,,
team,201809240tam,pit,Fumbles-Lost,1-0,,,,,,
team,201809240tam,tam,Fumbles-Lost,1-1,,,,,,
team,201809240tam,pit,Turnovers,1,,,,,,
team,201809240tam,tam,Turnovers,4,,,,,,
team,201809240tam,pit,Penalties-Yards,13-155,,,,,,
team,201809240tam,tam,Penalties-Yards,9-80,,,,,,
team,201809240tam,pit,Third Down Conv.,3-11,,,,,,
team,201809240tam,tam,Third Down Conv.,3-9,,,,,,
team,201809240tam,pit,Fourth Down Conv.,0-0,,,,,,
team,201809240tam,tam,Fourth Down Conv.,1-1,,,,,,
team,201809240tam,pit,Time of Possession,30:21,,,,,,
team,201809240tam,tam,Time of Possession,29:39,,,,,,
player,201809240tam,pit,RoetBe00,pass_cmp,30,,,,,
player,201809240tam,pit,RoetBe00,pass_att,38,,,,,
player,201809240tam,pit,RoetBe00,pass_yds,353,,,,,
player,201809240tam,pit,RoetBe00,pass_td,3,,,,,
player,201809240tam,pit,RoetBe00,pass_int,1,,,,,
player,201809240tam,pit,RoetBe00,pass_sacked,3,,,,,
player,201809240tam,pit,RoetBe00,pass_sacked_yds,18,,,,,
player,201809240tam,pit,RoetBe00,pass_long,75,,,,,
player,201809240tam,pit,RoetBe00,pass_rating,120.7,,,,,
player,201809240tam,pit,RoetBe00,rush_att,4,,,,,
player,201809240tam,pit,RoetBe00,rush_yds,-1,,,,,
player,201809240tam,pit,RoetBe00,rush_td,0,,,,,
player,201809240tam,pit,RoetBe00,rush_long,2,,,,,
player,201809240tam,pit,RoetBe00,targets,0,,,,,
player,201809240tam,pit,RoetBe00,rec,0,,,,,
player,201809240tam,pit,RoetBe00,rec_yds,0,,,,,
player,201809240tam,pit,RoetBe00,rec_td,0,,,,,
