game,2018,10,20181111,201811110tam,was,"Washington Redskins",16,tam,"Tampa Bay Buccaneers",3
player,201811110tam,was,ReedJo02,pass_yds,0,,,,,
player,201811110tam,was,ReedJo02,pass_td,0,,,,,
player,201811110tam,was,ReedJo02,pass_int,0,,,,,
player,201811110tam,was,ReedJo02,pass_sacked,0,,,,,
player,201811110tam,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201811110tam,was,ReedJo02,pass_long,0,,,,,
player,201811110tam,was,ReedJo02,pass_rating,,,,,,
player,201811110tam,was,ReedJo02,rush_att,0,,,,,
player,201811110tam,was,ReedJo02,rush_yds,0,,,,,
player,201811110tam,was,ReedJo02,rush_td,0,,,,,
player,201811110tam,was,ReedJo02,rush_long,0,,,,,
player,201811110tam,was,ReedJo02,targets,6,,,,,
player,201811110tam,was,ReedJo02,rec,4,,,,,
player,201811110tam,was,ReedJo02,rec_yds,51,,,,,
player,201811110tam,was,ReedJo02,rec_td,0,,,,,
player,201811110tam,was,ReedJo02,rec_long,24,,,,,
player,201811110tam,was,ReedJo02,fumbles,0,,,,,
player,201811110tam,was,ReedJo02,fumbles_lost,0,,,,,
player,201811110tam,was,DoctJo00,pass_cmp,0,,,,,
player,201811110tam,was,DoctJo00,pass_att,0,,,,,
player,201811110tam,was,DoctJo00,pass_yds,0,,,,,
player,201811110tam,was,DoctJo00,pass_td,0,,,,,
player,201811110tam,was,DoctJo00,pass_int,0,,,,,
player,201811110tam,was,DoctJo00,pass_sacked,0,,,,,
player,201811110tam,was,DoctJo00,pass_sacked_yds,0,,,,,
player,201811110tam,was,DoctJo00,pass_long,0,,,,,
player,201811110tam,was,DoctJo00,pass_rating,,,,,,
player,201811110tam,was,DoctJo00,rush_att,0,,,,,
player,201811110tam,was,DoctJo00,rush_yds,0,,,,,
player,201811110tam,was,DoctJo00,rush_td,0,,,,,
player,201811110tam,was,DoctJo00,rush_long,0,,,,,
player,201811110tam,was,DoctJo00,targets,4,,,,,
player,201811110tam,was,DoctJo00,rec,4,,,,,
player,201811110tam,was,DoctJo00,rec_yds,46,,,,,
player,201811110tam,was,DoctJo00,rec_td,1,,,,,
player,201811110tam,was,DoctJo00,rec_long,15,,,,,
player,201811110tam,was,DoctJo00,fumbles,0,,,,,
player,201811110tam,was,DoctJo00,fumbles_lost,0,,,,,
player,201811110tam,was,FloyMi00,pass_cmp,0,,,,,
player,201811110tam,was,FloyMi00,pass_att,0,,,,,
player,201811110tam,was,FloyMi00,pass_yds,0,,,,,
player,201811110tam,was,FloyMi00,pass_td,0,,,,,
player,201811110tam,was,FloyMi00,pass_int,0,,,,,
player,201811110tam,was,FloyMi00,pass_sacked,0,,,,,
player,201811110tam,was,FloyMi00,pass_sacked_yds,0,,,,,
player,201811110tam,was,FloyMi00,pass_long,0,,,,,
player,201811110tam,was,FloyMi00,pass_rating,,,,,,
player,201811110tam,was,FloyMi00,rush_att,0,,,,,
player,201811110tam,was,FloyMi00,rush_yds,0,,,,,
player,201811110tam,was,FloyMi00,rush_td,0,,,,,
player,201811110tam,was,FloyMi00,rush_long,0,,,,,
player,201811110tam,was,FloyMi00,targets,3,,,,,
player,201811110tam,was,FloyMi00,rec,2,,,,,
player,201811110tam,was,FloyMi00,rec_yds,15,,,,,
player,201811110tam,was,FloyMi00,rec_td,0,,,,,
player,201811110tam,was,FloyMi00,rec_long,9,,,,,
player,201811110tam,was,FloyMi00,fumbles,0,,,,,
player,201811110tam,was,FloyMi00,fumbles_lost,0,,,,,
player,201811110tam,was,SpriJe00,pass_cmp,0,,,,,
player,201811110tam,was,SpriJe00,pass_att,0,,,,,
player,201811110tam,was,SpriJe00,pass_yds,0,,,,,
player,201811110tam,was,SpriJe00,pass_td,0,,,,,
player,201811110tam,was,SpriJe00,pass_int,0,,,,,
player,201811110tam,was,SpriJe00,pass_sacked,0,,,,,
player,201811110tam,was,SpriJe00,pass_sacked_yds,0,,,,,
player,201811110tam,was,SpriJe00,pass_long,0,,,,,
player,201811110tam,was,SpriJe00,pass_rating,,,,,,
player,201811110tam,was,SpriJe00,rush_att,0,,,,,
player,201811110tam,was,SpriJe00,rush_yds,0,,,,,
player,201811110tam,was,SpriJe00,rush_td,0,,,,,
player,201811110tam,was,SpriJe00,rush_long,0,,,,,
player,201811110tam,was,SpriJe00,targets,1,,,,,
player,201811110tam,was,SpriJe00,rec,0,,,,,
player,201811110tam,was,SpriJe00,rec_yds,0,,,,,
player,201811110tam,was,SpriJe00,rec_td,0,,,,,
player,201811110tam,was,SpriJe00,rec_long,0,,,,,
player,201811110tam,was,SpriJe00,fumbles,0,,,,,
player,201811110tam,was,SpriJe00,fumbles_lost,0,,,,,
player,201811110tam,was,DaviVe00,pass_cmp,0,,,,,
player,201811110tam,was,DaviVe00,pass_att,0,,,,,
player,201811110tam,was,DaviVe00,pass_yds,0,,,,,
player,201811110tam,was,DaviVe00,pass_td,0,,,,,
player,201811110tam,was,DaviVe00,pass_int,0,,,,,
player,201811110tam,was,DaviVe00,pass_sacked,0,,,,,
player,201811110tam,was,DaviVe00,pass_sacked_yds,0,,,,,
player,201811110tam,was,DaviVe00,pass_long,0,,,,,
player,201811110tam,was,DaviVe00,pass_rating,,,,,,
player,201811110tam,was,DaviVe00,rush_att,0,,,,,
player,201811110tam,was,DaviVe00,rush_yds,0,,,,,
player,201811110tam,was,DaviVe00,rush_td,0,,,,,
player,201811110tam,was,DaviVe00,rush_long,0,,,,,
player,201811110tam,was,DaviVe00,targets,1,,,,,
player,201811110tam,was,DaviVe00,rec,0,,,,,
player,201811110tam,was,DaviVe00,rec_yds,0,,,,,
player,201811110tam,was,DaviVe00,rec_td,0,,,,,
player,201811110tam,was,DaviVe00,rec_long,0,,,,,
player,201811110tam,was,DaviVe00,fumbles,0,,,,,
player,201811110tam,was,DaviVe00,fumbles_lost,0,,,,,
player,201811110tam,tam,FitzRy00,pass_cmp,29,,,,,
player,201811110tam,tam,FitzRy00,pass_att,41,,,,,
player,201811110tam,tam,FitzRy00,pass_yds,406,,,,,
player,201811110tam,tam,FitzRy00,pass_td,0,,,,,
player,201811110tam,tam,FitzRy00,pass_int,2,,,,,
player,201811110tam,tam,FitzRy00,pass_sacked,2,,,,,
player,201811110tam,tam,FitzRy00,pass_sacked_yds,8,,,,,
player,201811110tam,tam,FitzRy00,pass_long,29,,,,,
player,201811110tam,tam,FitzRy00,pass_rating,82.0,,,,,
player,201811110tam,tam,FitzRy00,rush_att,8,,,,,
player,201811110tam,tam,FitzRy00,rush_yds,35,,,,,
player,201811110tam,tam,FitzRy00,rush_td,0,,,,,
player,201811110tam,tam,FitzRy00,rush_long,8,,,,,
player,201811110tam,tam,FitzRy00,targets,0,,,,,
player,201811110tam,tam,FitzRy00,rec,0,,,,,
player,201811110tam,tam,FitzRy00,rec_yds,0,,,,,
player,201811110tam,tam,FitzRy00,rec_td,0,,,,,
player,201811110tam,tam,FitzRy00,rec_long,0,,,,,
player,201811110tam,tam,FitzRy00,fumbles,1,,,,,
player,201811110tam,tam,FitzRy00,fumbles_lost,1,,,,,
player,201811110tam,tam,BarbPe01,pass_cmp,0,,,,,
player,201811110tam,tam,BarbPe01,pass_att,0,,,,,
player,201811110tam,tam,BarbPe01,pass_yds,0,,,,,
player,201811110tam,tam,BarbPe01,pass_td,0,,,,,
player,201811110tam,tam,BarbPe01,pass_int,0,,,,,
player,201811110tam,tam,BarbPe01,pass_sacked,0,,,,,
