game,2018,3,20180923,201809230sea,dal,"Dallas Cowboys",13,sea,"Seattle Seahawks",24
team,201809230sea,dal,First Downs,17,,,,,,
team,201809230sea,sea,First Downs,18,,,,,,
team,201809230sea,dal,Rush-Yds-TDs,19-166-0,,,,,,
team,201809230sea,sea,Rush-Yds-TDs,39-113-1,,,,,,
team,201809230sea,dal,Cmp-Att-Yd-TD-INT,19-34-168-1-2,,,,,,
team,201809230sea,sea,Cmp-Att-Yd-TD-INT,16-26-192-2-0,,,,,,
team,201809230sea,dal,Sacked-Yards,5-31,,,,,,
team,201809230sea,sea,Sacked-Yards,2-10,,,,,,
team,201809230sea,dal,Net Pass Yards,137,,,,,,
team,201809230sea,sea,Net Pass Yards,182,,,,,,
team,201809230sea,dal,Total Yards,303,,,,,,
team,201809230sea,sea,Total Yards,295,,,,,,
team,201809230sea,dal,Fumbles-Lost,1-1,,,,,,
team,201809230sea,sea,Fumbles-Lost,1-0,,,,,,
team,201809230sea,dal,Turnovers,3,,,,,,
team,201809230sea,sea,Turnovers,0,,,,,,
team,201809230sea,dal,Penalties-Yards,7-55,,,,,,
team,201809230sea,sea,Penalties-Yards,10-67,,,,,,
team,201809230sea,dal,Third Down Conv.,3-13,,,,,,
team,201809230sea,sea,Third Down Conv.,7-16,,,,,,
team,201809230sea,dal,Fourth Down Conv.,1-2,,,,,,
team,201809230sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201809230sea,dal,Time of Possession,27:16,,,,,,
team,201809230sea,sea,Time of Possession,32:44,,,,,,
player,201809230sea,dal,PresDa01,pass_cmp,19,,,,,
player,201809230sea,dal,PresDa01,pass_att,34,,,,,
player,201809230sea,dal,PresDa01,pass_yds,168,,,,,
player,201809230sea,dal,PresDa01,pass_td,1,,,,,
player,201809230sea,dal,PresDa01,pass_int,2,,,,,
player,201809230sea,dal,PresDa01,pass_sacked,5,,,,,
player,201809230sea,dal,PresDa01,pass_sacked_yds,31,,,,,
player,201809230sea,dal,PresDa01,pass_long,20,,,,,
player,201809230sea,dal,PresDa01,pass_rating,54.5,,,,,
player,201809230sea,dal,PresDa01,rush_att,2,,,,,
player,201809230sea,dal,PresDa01,rush_yds,21,,,,,
player,201809230sea,dal,PresDa01,rush_td,0,,,,,
player,201809230sea,dal,PresDa01,rush_long,11,,,,,
player,201809230sea,dal,PresDa01,targets,0,,,,,
player,201809230sea,dal,PresDa01,rec,0,,,,,
