game,2018,14,20181209,201812090rai,pit,"Pittsburgh Steelers",21,rai,"Oakland Raiders",24
team,201812090rai,pit,First Downs,24,,,,,,
team,201812090rai,rai,First Downs,20,,,,,,
team,201812090rai,pit,Rush-Yds-TDs,19-40-1,,,,,,
team,201812090rai,rai,Rush-Yds-TDs,25-55-1,,,,,,
team,201812090rai,pit,Cmp-Att-Yd-TD-INT,29-38-306-2-1,,,,,,
team,201812090rai,rai,Cmp-Att-Yd-TD-INT,25-34-322-2-0,,,,,,
team,201812090rai,pit,Sacked-Yards,1-6,,,,,,
team,201812090rai,rai,Sacked-Yards,4-23,,,,,,
team,201812090rai,pit,Net Pass Yards,300,,,,,,
team,201812090rai,rai,Net Pass Yards,299,,,,,,
team,201812090rai,pit,Total Yards,340,,,,,,
team,201812090rai,rai,Total Yards,354,,,,,,
team,201812090rai,pit,Fumbles-Lost,0-0,,,,,,
team,201812090rai,rai,Fumbles-Lost,1-1,,,,,,
team,201812090rai,pit,Turnovers,1,,,,,,
team,201812090rai,rai,Turnovers,1,,,,,,
team,201812090rai,pit,Penalties-Yards,2-14,,,,,,
team,201812090rai,rai,Penalties-Yards,13-130,,,,,,
team,201812090rai,pit,Third Down Conv.,6-11,,,,,,
team,201812090rai,rai,Third Down Conv.,4-12,,,,,,
team,201812090rai,pit,Fourth Down Conv.,0-1,,,,,,
team,201812090rai,rai,Fourth Down Conv.,2-2,,,,,,
team,201812090rai,pit,Time of Possession,27:24,,,,,,
team,201812090rai,rai,Time of Possession,32:36,,,,,,
player,201812090rai,pit,RoetBe00,pass_cmp,25,,,,,
player,201812090rai,pit,RoetBe00,pass_att,29,,,,,
player,201812090rai,pit,RoetBe00,pass_yds,282,,,,,
player,201812090rai,pit,RoetBe00,pass_td,2,,,,,
player,201812090rai,pit,RoetBe00,pass_int,0,,,,,
player,201812090rai,pit,RoetBe00,pass_sacked,1,,,,,
player,201812090rai,pit,RoetBe00,pass_sacked_yds,6,,,,,
player,201812090rai,pit,RoetBe00,pass_long,48,,,,,
player,201812090rai,pit,RoetBe00,pass_rating,130.2,,,,,
player,201812090rai,pit,RoetBe00,rush_att,0,,,,,
player,201812090rai,pit,RoetBe00,rush_yds,0,,,,,
player,201812090rai,pit,RoetBe00,rush_td,0,,,,,
player,201812090rai,pit,RoetBe00,rush_long,0,,,,,
player,201812090rai,pit,RoetBe00,targets,0,,,,,
player,201812090rai,pit,RoetBe00,rec,0,,,,,
player,201812090rai,pit,RoetBe00,rec_yds,0,,,,,
player,201812090rai,pit,RoetBe00,rec_td,0,,,,,
player,201812090rai,pit,RoetBe00,rec_long,0,,,,,
player,201812090rai,pit,RoetBe00,fumbles,0,,,,,
player,201812090rai,pit,RoetBe00,fumbles_lost,0,,,,,
player,201812090rai,pit,DobbJo00,pass_cmp,4,,,,,
player,201812090rai,pit,DobbJo00,pass_att,9,,,,,
player,201812090rai,pit,DobbJo00,pass_yds,24,,,,,
player,201812090rai,pit,DobbJo00,pass_td,0,,,,,
player,201812090rai,pit,DobbJo00,pass_int,1,,,,,
player,201812090rai,pit,DobbJo00,pass_sacked,0,,,,,
player,201812090rai,pit,DobbJo00,pass_sacked_yds,0,,,,,
player,201812090rai,pit,DobbJo00,pass_long,12,,,,,
player,201812090rai,pit,DobbJo00,pass_rating,12.0,,,,,
player,201812090rai,pit,DobbJo00,rush_att,2,,,,,
player,201812090rai,pit,DobbJo00,rush_yds,15,,,,,
player,201812090rai,pit,DobbJo00,rush_td,0,,,,,
player,201812090rai,pit,DobbJo00,rush_long,10,,,,,
player,201812090rai,pit,DobbJo00,targets,0,,,,,
player,201812090rai,pit,DobbJo00,rec,0,,,,,
player,201812090rai,pit,DobbJo00,rec_yds,0,,,,,
player,201812090rai,pit,DobbJo00,rec_td,0,,,,,
player,201812090rai,pit,DobbJo00,rec_long,0,,,,,
player,201812090rai,pit,DobbJo00,fumbles,0,,,,,
player,201812090rai,pit,DobbJo00,fumbles_lost,0,,,,,
player,201812090rai,pit,SamuJa00,pass_cmp,0,,,,,
player,201812090rai,pit,SamuJa00,pass_att,0,,,,,
player,201812090rai,pit,SamuJa00,pass_yds,0,,,,,
player,201812090rai,pit,SamuJa00,pass_td,0,,,,,
player,201812090rai,pit,SamuJa00,pass_int,0,,,,,
player,201812090rai,pit,SamuJa00,pass_sacked,0,,,,,
player,201812090rai,pit,SamuJa00,pass_sacked_yds,0,,,,,
player,201812090rai,pit,SamuJa00,pass_long,0,,,,,
player,201812090rai,pit,SamuJa00,pass_rating,,,,,,
player,201812090rai,pit,SamuJa00,rush_att,11,,,,,
player,201812090rai,pit,SamuJa00,rush_yds,28,,,,,
player,201812090rai,pit,SamuJa00,rush_td,0,,,,,
player,201812090rai,pit,SamuJa00,rush_long,9,,,,,
player,201812090rai,pit,SamuJa00,targets,7,,,,,
player,201812090rai,pit,SamuJa00,rec,7,,,,,
player,201812090rai,pit,SamuJa00,rec_yds,64,,,,,
player,201812090rai,pit,SamuJa00,rec_td,0,,,,,
player,201812090rai,pit,SamuJa00,rec_long,23,,,,,
player,201812090rai,pit,SamuJa00,fumbles,0,,,,,
player,201812090rai,pit,SamuJa00,fumbles_lost,0,,,,,
player,201812090rai,pit,RidlSt00,pass_cmp,0,,,,,
player,201812090rai,pit,RidlSt00,pass_att,0,,,,,
player,201812090rai,pit,RidlSt00,pass_yds,0,,,,,
player,201812090rai,pit,RidlSt00,pass_td,0,,,,,
player,201812090rai,pit,RidlSt00,pass_int,0,,,,,
player,201812090rai,pit,RidlSt00,pass_sacked,0,,,,,
player,201812090rai,pit,RidlSt00,pass_sacked_yds,0,,,,,
player,201812090rai,pit,RidlSt00,pass_long,0,,,,,
player,201812090rai,pit,RidlSt00,pass_rating,,,,,,
player,201812090rai,pit,RidlSt00,rush_att,5,,,,,
player,201812090rai,pit,RidlSt00,rush_yds,4,,,,,
player,201812090rai,pit,RidlSt00,rush_td,1,,,,,
player,201812090rai,pit,RidlSt00,rush_long,2,,,,,
player,201812090rai,pit,RidlSt00,targets,0,,,,,
player,201812090rai,pit,RidlSt00,rec,0,,,,,
player,201812090rai,pit,RidlSt00,rec_yds,0,,,,,
player,201812090rai,pit,RidlSt00,rec_td,0,,,,,
player,201812090rai,pit,RidlSt00,rec_long,0,,,,,
player,201812090rai,pit,RidlSt00,fumbles,0,,,,,
player,201812090rai,pit,RidlSt00,fumbles_lost,0,,,,,
player,201812090rai,pit,SmitJu00,pass_cmp,0,,,,,
player,201812090rai,pit,SmitJu00,pass_att,0,,,,,
player,201812090rai,pit,SmitJu00,pass_yds,0,,,,,
