game,2018,4,20180930,201809300dal,det,"Detroit Lions",24,dal,"Dallas Cowboys",26
team,201809300dal,det,First Downs,18,,,,,,
team,201809300dal,dal,First Downs,26,,,,,,
team,201809300dal,det,Rush-Yds-TDs,20-96-1,,,,,,
team,201809300dal,dal,Rush-Yds-TDs,35-183-0,,,,,,
team,201809300dal,det,Cmp-Att-Yd-TD-INT,24-30-307-2-0,,,,,,
team,201809300dal,dal,Cmp-Att-Yd-TD-INT,17-27-255-2-0,,,,,,
team,201809300dal,det,Sacked-Yards,3-21,,,,,,
team,201809300dal,dal,Sacked-Yards,3-24,,,,,,
team,201809300dal,det,Net Pass Yards,286,,,,,,
team,201809300dal,dal,Net Pass Yards,231,,,,,,
team,201809300dal,det,Total Yards,382,,,,,,
team,201809300dal,dal,Total Yards,414,,,,,,
team,201809300dal,det,Fumbles-Lost,0-0,,,,,,
team,201809300dal,dal,Fumbles-Lost,2-0,,,,,,
team,201809300dal,det,Turnovers,0,,,,,,
team,201809300dal,dal,Turnovers,0,,,,,,
team,201809300dal,det,Penalties-Yards,8-58,,,,,,
team,201809300dal,dal,Penalties-Yards,2-20,,,,,,
team,201809300dal,det,Third Down Conv.,6-11,,,,,,
team,201809300dal,dal,Third Down Conv.,5-12,,,,,,
team,201809300dal,det,Fourth Down Conv.,0-0,,,,,,
team,201809300dal,dal,Fourth Down Conv.,1-1,,,,,,
team,201809300dal,det,Time of Possession,29:55,,,,,,
team,201809300dal,dal,Time of Possession,30:05,,,,,,
player,201809300dal,det,StafMa00,pass_cmp,24,,,,,
player,201809300dal,det,StafMa00,pass_att,30,,,,,
player,201809300dal,det,StafMa00,pass_yds,307,,,,,
player,201809300dal,det,StafMa00,pass_td,2,,,,,
player,201809300dal,det,StafMa00,pass_int,0,,,,,
player,201809300dal,det,StafMa00,pass_sacked,3,,,,,
player,201809300dal,det,StafMa00,pass_sacked_yds,21,,,,,
player,201809300dal,det,StafMa00,pass_long,45,,,,,
player,201809300dal,det,StafMa00,pass_rating,131.5,,,,,
player,201809300dal,det,StafMa00,rush_att,2,,,,,
player,201809300dal,det,StafMa00,rush_yds,5,,,,,
player,201809300dal,det,StafMa00,rush_td,0,,,,,
player,201809300dal,det,StafMa00,rush_long,3,,,,,
player,201809300dal,det,StafMa00,targets,0,,,,,
player,201809300dal,det,StafMa00,rec,0,,,,,
player,201809300dal,det,StafMa00,rec_yds,0,,,,,
player,201809300dal,det,StafMa00,rec_td,0,,,,,
player,201809300dal,det,StafMa00,rec_long,0,,,,,
player,201809300dal,det,StafMa00,fumbles,0,,,,,
player,201809300dal,det,StafMa00,fumbles_lost,0,,,,,
player,201809300dal,det,JohnKe06,pass_cmp,0,,,,,
player,201809300dal,det,JohnKe06,pass_att,0,,,,,
player,201809300dal,det,JohnKe06,pass_yds,0,,,,,
player,201809300dal,det,JohnKe06,pass_td,0,,,,,
player,201809300dal,det,JohnKe06,pass_int,0,,,,,
player,201809300dal,det,JohnKe06,pass_sacked,0,,,,,
player,201809300dal,det,JohnKe06,pass_sacked_yds,0,,,,,
player,201809300dal,det,JohnKe06,pass_long,0,,,,,
player,201809300dal,det,JohnKe06,pass_rating,,,,,,
player,201809300dal,det,JohnKe06,rush_att,9,,,,,
player,201809300dal,det,JohnKe06,rush_yds,55,,,,,
player,201809300dal,det,JohnKe06,rush_td,1,,,,,
player,201809300dal,det,JohnKe06,rush_long,32,,,,,
player,201809300dal,det,JohnKe06,targets,1,,,,,
player,201809300dal,det,JohnKe06,rec,1,,,,,
player,201809300dal,det,JohnKe06,rec_yds,1,,,,,
player,201809300dal,det,JohnKe06,rec_td,0,,,,,
player,201809300dal,det,JohnKe06,rec_long,1,,,,,
player,201809300dal,det,JohnKe06,fumbles,0,,,,,
player,201809300dal,det,JohnKe06,fumbles_lost,0,,,,,
player,201809300dal,det,AgneJa00,pass_cmp,0,,,,,
player,201809300dal,det,AgneJa00,pass_att,0,,,,,
player,201809300dal,det,AgneJa00,pass_yds,0,,,,,
player,201809300dal,det,AgneJa00,pass_td,0,,,,,
player,201809300dal,det,AgneJa00,pass_int,0,,,,,
player,201809300dal,det,AgneJa00,pass_sacked,0,,,,,
player,201809300dal,det,AgneJa00,pass_sacked_yds,0,,,,,
player,201809300dal,det,AgneJa00,pass_long,0,,,,,
player,201809300dal,det,AgneJa00,pass_rating,,,,,,
player,201809300dal,det,AgneJa00,rush_att,1,,,,,
player,201809300dal,det,AgneJa00,rush_yds,17,,,,,
player,201809300dal,det,AgneJa00,rush_td,0,,,,,
player,201809300dal,det,AgneJa00,rush_long,17,,,,,
player,201809300dal,det,AgneJa00,targets,0,,,,,
player,201809300dal,det,AgneJa00,rec,0,,,,,
player,201809300dal,det,AgneJa00,rec_yds,0,,,,,
player,201809300dal,det,AgneJa00,rec_td,0,,,,,
player,201809300dal,det,AgneJa00,rec_long,0,,,,,
player,201809300dal,det,AgneJa00,fumbles,0,,,,,
player,201809300dal,det,AgneJa00,fumbles_lost,0,,,,,
player,201809300dal,det,BlouLe00,pass_cmp,0,,,,,
player,201809300dal,det,BlouLe00,pass_att,0,,,,,
player,201809300dal,det,BlouLe00,pass_yds,0,,,,,
player,201809300dal,det,BlouLe00,pass_td,0,,,,,
player,201809300dal,det,BlouLe00,pass_int,0,,,,,
player,201809300dal,det,BlouLe00,pass_sacked,0,,,,,
