game,2018,3,20180923,201809230mia,rai,"Oakland Raiders",20,mia,"Miami Dolphins",28
team,201809230mia,rai,First Downs,25,,,,,,
team,201809230mia,mia,First Downs,13,,,,,,
team,201809230mia,rai,Rush-Yds-TDs,32-109-1,,,,,,
team,201809230mia,mia,Rush-Yds-TDs,14-41-0,,,,,,
team,201809230mia,rai,Cmp-Att-Yd-TD-INT,27-39-345-1-2,,,,,,
team,201809230mia,mia,Cmp-Att-Yd-TD-INT,18-24-341-4-0,,,,,,
team,201809230mia,rai,Sacked-Yards,3-20,,,,,,
team,201809230mia,mia,Sacked-Yards,1-9,,,,,,
team,201809230mia,rai,Net Pass Yards,325,,,,,,
team,201809230mia,mia,Net Pass Yards,332,,,,,,
team,201809230mia,rai,Total Yards,434,,,,,,
team,201809230mia,mia,Total Yards,373,,,,,,
team,201809230mia,rai,Fumbles-Lost,1-0,,,,,,
team,201809230mia,mia,Fumbles-Lost,0-0,,,,,,
team,201809230mia,rai,Turnovers,2,,,,,,
team,201809230mia,mia,Turnovers,0,,,,,,
team,201809230mia,rai,Penalties-Yards,8-38,,,,,,
team,201809230mia,mia,Penalties-Yards,9-74,,,,,,
team,201809230mia,rai,Third Down Conv.,7-13,,,,,,
team,201809230mia,mia,Third Down Conv.,2-8,,,,,,
team,201809230mia,rai,Fourth Down Conv.,0-1,,,,,,
team,201809230mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201809230mia,rai,Time of Possession,38:31,,,,,,
team,201809230mia,mia,Time of Possession,21:29,,,,,,
player,201809230mia,rai,CarrDe02,pass_cmp,27,,,,,
player,201809230mia,rai,CarrDe02,pass_att,39,,,,,
player,201809230mia,rai,CarrDe02,pass_yds,345,,,,,
player,201809230mia,rai,CarrDe02,pass_td,1,,,,,
player,201809230mia,rai,CarrDe02,pass_int,2,,,,,
player,201809230mia,rai,CarrDe02,pass_sacked,3,,,,,
player,201809230mia,rai,CarrDe02,pass_sacked_yds,20,,,,,
player,201809230mia,rai,CarrDe02,pass_long,66,,,,,
player,201809230mia,rai,CarrDe02,pass_rating,83.8,,,,,
player,201809230mia,rai,CarrDe02,rush_att,2,,,,,
player,201809230mia,rai,CarrDe02,rush_yds,-2,,,,,
player,201809230mia,rai,CarrDe02,rush_td,0,,,,,
player,201809230mia,rai,CarrDe02,rush_long,-1,,,,,
player,201809230mia,rai,CarrDe02,targets,0,,,,,
player,201809230mia,rai,CarrDe02,rec,0,,,,,
player,201809230mia,rai,CarrDe02,rec_yds,0,,,,,
player,201809230mia,rai,CarrDe02,rec_td,0,,,,,
player,201809230mia,rai,CarrDe02,rec_long,0,,,,,
player,201809230mia,rai,CarrDe02,fumbles,0,,,,,
player,201809230mia,rai,CarrDe02,fumbles_lost,0,,,,,
player,201809230mia,rai,LyncMa00,pass_cmp,0,,,,,
player,201809230mia,rai,LyncMa00,pass_att,0,,,,,
player,201809230mia,rai,LyncMa00,pass_yds,0,,,,,
player,201809230mia,rai,LyncMa00,pass_td,0,,,,,
player,201809230mia,rai,LyncMa00,pass_int,0,,,,,
player,201809230mia,rai,LyncMa00,pass_sacked,0,,,,,
player,201809230mia,rai,LyncMa00,pass_sacked_yds,0,,,,,
player,201809230mia,rai,LyncMa00,pass_long,0,,,,,
player,201809230mia,rai,LyncMa00,pass_rating,,,,,,
player,201809230mia,rai,LyncMa00,rush_att,19,,,,,
player,201809230mia,rai,LyncMa00,rush_yds,64,,,,,
player,201809230mia,rai,LyncMa00,rush_td,1,,,,,
player,201809230mia,rai,LyncMa00,rush_long,9,,,,,
player,201809230mia,rai,LyncMa00,targets,4,,,,,
player,201809230mia,rai,LyncMa00,rec,3,,,,,
player,201809230mia,rai,LyncMa00,rec_yds,22,,,,,
player,201809230mia,rai,LyncMa00,rec_td,0,,,,,
player,201809230mia,rai,LyncMa00,rec_long,14,,,,,
player,201809230mia,rai,LyncMa00,fumbles,0,,,,,
player,201809230mia,rai,LyncMa00,fumbles_lost,0,,,,,
player,201809230mia,rai,MartDo00,pass_cmp,0,,,,,
player,201809230mia,rai,MartDo00,pass_att,0,,,,,
player,201809230mia,rai,MartDo00,pass_yds,0,,,,,
player,201809230mia,rai,MartDo00,pass_td,0,,,,,
player,201809230mia,rai,MartDo00,pass_int,0,,,,,
player,201809230mia,rai,MartDo00,pass_sacked,0,,,,,
player,201809230mia,rai,MartDo00,pass_sacked_yds,0,,,,,
player,201809230mia,rai,MartDo00,pass_long,0,,,,,
