game,2018,16,20181223,201812230phi,htx,"Houston Texans",30,phi,"Philadelphia Eagles",32
player,201812230phi,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201812230phi,htx,BlueAl00,pass_long,0,,,,,
player,201812230phi,htx,BlueAl00,pass_rating,,,,,,
player,201812230phi,htx,BlueAl00,rush_att,4,,,,,
player,201812230phi,htx,BlueAl00,rush_yds,14,,,,,
player,201812230phi,htx,BlueAl00,rush_td,0,,,,,
player,201812230phi,htx,BlueAl00,rush_long,5,,,,,
player,201812230phi,htx,BlueAl00,targets,5,,,,,
player,201812230phi,htx,BlueAl00,rec,4,,,,,
player,201812230phi,htx,BlueAl00,rec_yds,26,,,,,
player,201812230phi,htx,BlueAl00,rec_td,0,,,,,
player,201812230phi,htx,BlueAl00,rec_long,9,,,,,
player,201812230phi,htx,BlueAl00,fumbles,0,,,,,
player,201812230phi,htx,BlueAl00,fumbles_lost,0,,,,,
player,201812230phi,htx,HopkDe00,pass_cmp,0,,,,,
player,201812230phi,htx,HopkDe00,pass_att,0,,,,,
player,201812230phi,htx,HopkDe00,pass_yds,0,,,,,
player,201812230phi,htx,HopkDe00,pass_td,0,,,,,
player,201812230phi,htx,HopkDe00,pass_int,0,,,,,
player,201812230phi,htx,HopkDe00,pass_sacked,0,,,,,
player,201812230phi,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201812230phi,htx,HopkDe00,pass_long,0,,,,,
player,201812230phi,htx,HopkDe00,pass_rating,,,,,,
player,201812230phi,htx,HopkDe00,rush_att,0,,,,,
player,201812230phi,htx,HopkDe00,rush_yds,0,,,,,
player,201812230phi,htx,HopkDe00,rush_td,0,,,,,
player,201812230phi,htx,HopkDe00,rush_long,0,,,,,
player,201812230phi,htx,HopkDe00,targets,12,,,,,
player,201812230phi,htx,HopkDe00,rec,9,,,,,
player,201812230phi,htx,HopkDe00,rec_yds,104,,,,,
player,201812230phi,htx,HopkDe00,rec_td,0,,,,,
player,201812230phi,htx,HopkDe00,rec_long,18,,,,,
player,201812230phi,htx,HopkDe00,fumbles,0,,,,,
player,201812230phi,htx,HopkDe00,fumbles_lost,0,,,,,
player,201812230phi,htx,CartDe02,pass_cmp,0,,,,,
player,201812230phi,htx,CartDe02,pass_att,0,,,,,
player,201812230phi,htx,CartDe02,pass_yds,0,,,,,
player,201812230phi,htx,CartDe02,pass_td,0,,,,,
player,201812230phi,htx,CartDe02,pass_int,0,,,,,
player,201812230phi,htx,CartDe02,pass_sacked,0,,,,,
player,201812230phi,htx,CartDe02,pass_sacked_yds,0,,,,,
player,201812230phi,htx,CartDe02,pass_long,0,,,,,
player,201812230phi,htx,CartDe02,pass_rating,,,,,,
player,201812230phi,htx,CartDe02,rush_att,0,,,,,
player,201812230phi,htx,CartDe02,rush_yds,0,,,,,
player,201812230phi,htx,CartDe02,rush_td,0,,,,,
player,201812230phi,htx,CartDe02,rush_long,0,,,,,
player,201812230phi,htx,CartDe02,targets,7,,,,,
player,201812230phi,htx,CartDe02,rec,6,,,,,
player,201812230phi,htx,CartDe02,rec_yds,61,,,,,
player,201812230phi,htx,CartDe02,rec_td,0,,,,,
player,201812230phi,htx,CartDe02,rec_long,24,,,,,
player,201812230phi,htx,CartDe02,fumbles,0,,,,,
player,201812230phi,htx,CartDe02,fumbles_lost,0,,,,,
player,201812230phi,htx,ThomDe03,pass_cmp,0,,,,,
player,201812230phi,htx,ThomDe03,pass_att,0,,,,,
player,201812230phi,htx,ThomDe03,pass_yds,0,,,,,
player,201812230phi,htx,ThomDe03,pass_td,0,,,,,
player,201812230phi,htx,ThomDe03,pass_int,0,,,,,
player,201812230phi,htx,ThomDe03,pass_sacked,0,,,,,
player,201812230phi,htx,ThomDe03,pass_sacked_yds,0,,,,,
player,201812230phi,htx,ThomDe03,pass_long,0,,,,,
player,201812230phi,htx,ThomDe03,pass_rating,,,,,,
player,201812230phi,htx,ThomDe03,rush_att,0,,,,,
player,201812230phi,htx,ThomDe03,rush_yds,0,,,,,
player,201812230phi,htx,ThomDe03,rush_td,0,,,,,
player,201812230phi,htx,ThomDe03,rush_long,0,,,,,
player,201812230phi,htx,ThomDe03,targets,5,,,,,
