game,2018,9,20181104,201811040car,tam,"Tampa Bay Buccaneers",28,car,"Carolina Panthers",42
player,201811040car,car,GanoGr44,punt,0,,,,,
player,201811040car,car,GanoGr44,punt_yds,0,,,,,
player,201811040car,car,GanoGr44,punt_yds_per_punt,,,,,,
player,201811040car,car,GanoGr44,punt_long,0,,,,,
player,201811040car,car,PalaMi00,xpm,,,,,,
player,201811040car,car,PalaMi00,xpa,,,,,,
player,201811040car,car,PalaMi00,fgm,,,,,,
player,201811040car,car,PalaMi00,fga,,,,,,
player,201811040car,car,PalaMi00,punt,4,,,,,
player,201811040car,car,PalaMi00,punt_yds,200,,,,,
player,201811040car,car,PalaMi00,punt_yds_per_punt,50.0,,,,,
player,201811040car,car,PalaMi00,punt_long,59,,,,,
player,201811040car,tam,FitzRy00,pass_cmp,24,,,,,
player,201811040car,tam,FitzRy00,pass_att,40,,,,,
player,201811040car,tam,FitzRy00,pass_yds,243,,,,,
player,201811040car,tam,FitzRy00,pass_first_down,17,,,,,
player,201811040car,tam,FitzRy00,pass_air_yds,135,,,,,
player,201811040car,tam,FitzRy00,pass_air_yds_per_cmp,5.6,,,,,
player,201811040car,tam,FitzRy00,pass_air_yds_per_att,3.4,,,,,
player,201811040car,tam,FitzRy00,pass_tgt_yds_per_att,8.8,,,,,
player,201811040car,tam,FitzRy00,pass_yac,108,,,,,
player,201811040car,tam,FitzRy00,pass_yac_per_cmp,4.5,,,,,
player,201811040car,tam,FitzRy00,pass_drops,0,,,,,
player,201811040car,tam,FitzRy00,pass_drop_pct,0.0,,,,,
player,201811040car,tam,FitzRy00,pass_poor_throws,8,,,,,
player,201811040car,tam,FitzRy00,pass_poor_throw_pct,20.0,,,,,
player,201811040car,tam,FitzRy00,pass_blitzed,24,,,,,
player,201811040car,tam,FitzRy00,pass_hurried,5,,,,,
player,201811040car,tam,FitzRy00,pass_hits,3,,,,,
player,201811040car,tam,FitzRy00,rush_scrambles,4,,,,,
player,201811040car,tam,FitzRy00,rush_scrambles_yds_per_att,5.5,,,,,
player,201811040car,tam,AngeBr00,pass_cmp,0,,,,,
player,201811040car,tam,AngeBr00,pass_att,1,,,,,
player,201811040car,tam,AngeBr00,pass_yds,0,,,,,
player,201811040car,tam,AngeBr00,pass_first_down,,,,,,
player,201811040car,tam,AngeBr00,pass_air_yds,0,,,,,
player,201811040car,tam,AngeBr00,pass_air_yds_per_cmp,,,,,,
player,201811040car,tam,AngeBr00,pass_air_yds_per_att,0.0,,,,,
player,201811040car,tam,AngeBr00,pass_tgt_yds_per_att,10.0,,,,,
player,201811040car,tam,AngeBr00,pass_yac,0,,,,,
player,201811040car,tam,AngeBr00,pass_yac_per_cmp,,,,,,
player,201811040car,tam,AngeBr00,pass_drops,0,,,,,
player,201811040car,tam,AngeBr00,pass_drop_pct,0.0,,,,,
player,201811040car,tam,AngeBr00,pass_poor_throws,0,,,,,
player,201811040car,tam,AngeBr00,pass_poor_throw_pct,0.0,,,,,
player,201811040car,tam,AngeBr00,pass_blitzed,0,,,,,
player,201811040car,tam,AngeBr00,pass_hurried,0,,,,,
