game,2018,15,20181216,201812160min,mia,"Miami Dolphins",17,min,"Minnesota Vikings",41
team,201812160min,mia,First Downs,12,,,,,,
team,201812160min,min,First Downs,22,,,,,,
team,201812160min,mia,Rush-Yds-TDs,20-156-1,,,,,,
team,201812160min,min,Rush-Yds-TDs,40-220-3,,,,,,
team,201812160min,mia,Cmp-Att-Yd-TD-INT,11-24-108-0-0,,,,,,
team,201812160min,min,Cmp-Att-Yd-TD-INT,14-21-215-2-1,,,,,,
team,201812160min,mia,Sacked-Yards,9-71,,,,,,
team,201812160min,min,Sacked-Yards,2-17,,,,,,
team,201812160min,mia,Net Pass Yards,37,,,,,,
team,201812160min,min,Net Pass Yards,198,,,,,,
team,201812160min,mia,Total Yards,193,,,,,,
team,201812160min,min,Total Yards,418,,,,,,
team,201812160min,mia,Fumbles-Lost,1-0,,,,,,
team,201812160min,min,Fumbles-Lost,0-0,,,,,,
team,201812160min,mia,Turnovers,0,,,,,,
team,201812160min,min,Turnovers,1,,,,,,
team,201812160min,mia,Penalties-Yards,8-49,,,,,,
team,201812160min,min,Penalties-Yards,6-45,,,,,,
team,201812160min,mia,Third Down Conv.,2-12,,,,,,
team,201812160min,min,Third Down Conv.,5-13,,,,,,
team,201812160min,mia,Fourth Down Conv.,0-2,,,,,,
team,201812160min,min,Fourth Down Conv.,0-0,,,,,,
team,201812160min,mia,Time of Possession,26:44,,,,,,
team,201812160min,min,Time of Possession,33:16,,,,,,
player,201812160min,mia,TannRy00,pass_cmp,11,,,,,
player,201812160min,mia,TannRy00,pass_att,24,,,,,
player,201812160min,mia,TannRy00,pass_yds,108,,,,,
player,201812160min,mia,TannRy00,pass_td,0,,,,,
player,201812160min,mia,TannRy00,pass_int,0,,,,,
player,201812160min,mia,TannRy00,pass_sacked,9,,,,,
player,201812160min,mia,TannRy00,pass_sacked_yds,71,,,,,
player,201812160min,mia,TannRy00,pass_long,18,,,,,
player,201812160min,mia,TannRy00,pass_rating,59.0,,,,,
player,201812160min,mia,TannRy00,rush_att,1,,,,,
player,201812160min,mia,TannRy00,rush_yds,1,,,,,
player,201812160min,mia,TannRy00,rush_td,0,,,,,
player,201812160min,mia,TannRy00,rush_long,1,,,,,
player,201812160min,mia,TannRy00,targets,0,,,,,
player,201812160min,mia,TannRy00,rec,0,,,,,
player,201812160min,mia,TannRy00,rec_yds,0,,,,,
player,201812160min,mia,TannRy00,rec_td,0,,,,,
player,201812160min,mia,TannRy00,rec_long,0,,,,,
player,201812160min,mia,TannRy00,fumbles,0,,,,,
player,201812160min,mia,TannRy00,fumbles_lost,0,,,,,
player,201812160min,mia,BallKa00,pass_cmp,0,,,,,
player,201812160min,mia,BallKa00,pass_att,0,,,,,
player,201812160min,mia,BallKa00,pass_yds,0,,,,,
player,201812160min,mia,BallKa00,pass_td,0,,,,,
player,201812160min,mia,BallKa00,pass_int,0,,,,,
player,201812160min,mia,BallKa00,pass_sacked,0,,,,,
player,201812160min,mia,BallKa00,pass_sacked_yds,0,,,,,
player,201812160min,mia,BallKa00,pass_long,0,,,,,
player,201812160min,mia,BallKa00,pass_rating,,,,,,
player,201812160min,mia,BallKa00,rush_att,12,,,,,
player,201812160min,mia,BallKa00,rush_yds,123,,,,,
player,201812160min,mia,BallKa00,rush_td,1,,,,,
player,201812160min,mia,BallKa00,rush_long,75,,,,,
player,201812160min,mia,BallKa00,targets,1,,,,,
player,201812160min,mia,BallKa00,rec,1,,,,,
player,201812160min,mia,BallKa00,rec_yds,-2,,,,,
player,201812160min,mia,BallKa00,rec_td,0,,,,,
player,201812160min,mia,BallKa00,rec_long,-2,,,,,
player,201812160min,mia,BallKa00,fumbles,0,,,,,
player,201812160min,mia,BallKa00,fumbles_lost,0,,,,,
player,201812160min,mia,GoreFr00,pass_cmp,0,,,,,
player,201812160min,mia,GoreFr00,pass_att,0,,,,,
player,201812160min,mia,GoreFr00,pass_yds,0,,,,,
player,201812160min,mia,GoreFr00,pass_td,0,,,,,
player,201812160min,mia,GoreFr00,pass_int,0,,,,,
player,201812160min,mia,GoreFr00,pass_sacked,0,,,,,
player,201812160min,mia,GoreFr00,pass_sacked_yds,0,,,,,
player,201812160min,mia,GoreFr00,pass_long,0,,,,,
player,201812160min,mia,GoreFr00,pass_rating,,,,,,
player,201812160min,mia,GoreFr00,rush_att,5,,,,,
player,201812160min,mia,GoreFr00,rush_yds,14,,,,,
player,201812160min,mia,GoreFr00,rush_td,0,,,,,
player,201812160min,mia,GoreFr00,rush_long,10,,,,,
player,201812160min,mia,GoreFr00,targets,0,,,,,
player,201812160min,mia,GoreFr00,rec,0,,,,,
player,201812160min,mia,GoreFr00,rec_yds,0,,,,,
player,201812160min,mia,GoreFr00,rec_td,0,,,,,
player,201812160min,mia,GoreFr00,rec_long,0,,,,,
player,201812160min,mia,GoreFr00,fumbles,0,,,,,
player,201812160min,mia,GoreFr00,fumbles_lost,0,,,,,
player,201812160min,mia,BoldBr00,pass_cmp,0,,,,,
player,201812160min,mia,BoldBr00,pass_att,0,,,,,
player,201812160min,mia,BoldBr00,pass_yds,0,,,,,
player,201812160min,mia,BoldBr00,pass_td,0,,,,,
player,201812160min,mia,BoldBr00,pass_int,0,,,,,
player,201812160min,mia,BoldBr00,pass_sacked,0,,,,,
player,201812160min,mia,BoldBr00,pass_sacked_yds,0,,,,,
player,201812160min,mia,BoldBr00,pass_long,0,,,,,
