game,2018,12,20181122,201811220nor,atl,"Atlanta Falcons",17,nor,"New Orleans Saints",31
team,201811220nor,atl,First Downs,21,,,,,,
team,201811220nor,nor,First Downs,19,,,,,,
team,201811220nor,atl,Rush-Yds-TDs,16-26-0,,,,,,
team,201811220nor,nor,Rush-Yds-TDs,31-150-0,,,,,,
team,201811220nor,atl,Cmp-Att-Yd-TD-INT,35-47-377-2-1,,,,,,
team,201811220nor,nor,Cmp-Att-Yd-TD-INT,15-22-171-4-1,,,,,,
team,201811220nor,atl,Sacked-Yards,6-37,,,,,,
team,201811220nor,nor,Sacked-Yards,2-9,,,,,,
team,201811220nor,atl,Net Pass Yards,340,,,,,,
team,201811220nor,nor,Net Pass Yards,162,,,,,,
team,201811220nor,atl,Total Yards,366,,,,,,
team,201811220nor,nor,Total Yards,312,,,,,,
team,201811220nor,atl,Fumbles-Lost,5-3,,,,,,
team,201811220nor,nor,Fumbles-Lost,1-0,,,,,,
team,201811220nor,atl,Turnovers,4,,,,,,
team,201811220nor,nor,Turnovers,1,,,,,,
team,201811220nor,atl,Penalties-Yards,2-26,,,,,,
team,201811220nor,nor,Penalties-Yards,3-19,,,,,,
team,201811220nor,atl,Third Down Conv.,5-15,,,,,,
team,201811220nor,nor,Third Down Conv.,5-11,,,,,,
team,201811220nor,atl,Fourth Down Conv.,4-6,,,,,,
team,201811220nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201811220nor,atl,Time of Possession,30:59,,,,,,
team,201811220nor,nor,Time of Possession,29:01,,,,,,
player,201811220nor,atl,RyanMa00,pass_cmp,35,,,,,
player,201811220nor,atl,RyanMa00,pass_att,47,,,,,
player,201811220nor,atl,RyanMa00,pass_yds,377,,,,,
player,201811220nor,atl,RyanMa00,pass_td,2,,,,,
player,201811220nor,atl,RyanMa00,pass_int,1,,,,,
player,201811220nor,atl,RyanMa00,pass_sacked,6,,,,,
player,201811220nor,atl,RyanMa00,pass_sacked_yds,37,,,,,
player,201811220nor,atl,RyanMa00,pass_long,50,,,,,
player,201811220nor,atl,RyanMa00,pass_rating,102.9,,,,,
player,201811220nor,atl,RyanMa00,rush_att,2,,,,,
player,201811220nor,atl,RyanMa00,rush_yds,16,,,,,
player,201811220nor,atl,RyanMa00,rush_td,0,,,,,
player,201811220nor,atl,RyanMa00,rush_long,9,,,,,
player,201811220nor,atl,RyanMa00,targets,0,,,,,
player,201811220nor,atl,RyanMa00,rec,0,,,,,
player,201811220nor,atl,RyanMa00,rec_yds,0,,,,,
player,201811220nor,atl,RyanMa00,rec_td,0,,,,,
player,201811220nor,atl,RyanMa00,rec_long,0,,,,,
player,201811220nor,atl,RyanMa00,fumbles,3,,,,,
player,201811220nor,atl,RyanMa00,fumbles_lost,1,,,,,
player,201811220nor,atl,ColeTe01,pass_cmp,0,,,,,
player,201811220nor,atl,ColeTe01,pass_att,0,,,,,
player,201811220nor,atl,ColeTe01,pass_yds,0,,,,,
player,201811220nor,atl,ColeTe01,pass_td,0,,,,,
player,201811220nor,atl,ColeTe01,pass_int,0,,,,,
