game,2018,11,20181118,201811180sdg,den,"Denver Broncos",23,sdg,"Los Angeles Chargers",22
team,201811180sdg,den,First Downs,16,,,,,,
team,201811180sdg,sdg,First Downs,26,,,,,,
team,201811180sdg,den,Rush-Yds-TDs,19-108-3,,,,,,
team,201811180sdg,sdg,Rush-Yds-TDs,26-95-0,,,,,,
team,201811180sdg,den,Cmp-Att-Yd-TD-INT,20-33-217-0-0,,,,,,
team,201811180sdg,sdg,Cmp-Att-Yd-TD-INT,28-43-401-2-2,,,,,,
team,201811180sdg,den,Sacked-Yards,0-0,,,,,,
team,201811180sdg,sdg,Sacked-Yards,3-17,,,,,,
team,201811180sdg,den,Net Pass Yards,217,,,,,,
team,201811180sdg,sdg,Net Pass Yards,384,,,,,,
team,201811180sdg,den,Total Yards,325,,,,,,
team,201811180sdg,sdg,Total Yards,479,,,,,,
team,201811180sdg,den,Fumbles-Lost,0-0,,,,,,
team,201811180sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201811180sdg,den,Turnovers,0,,,,,,
team,201811180sdg,sdg,Turnovers,2,,,,,,
team,201811180sdg,den,Penalties-Yards,7-43,,,,,,
team,201811180sdg,sdg,Penalties-Yards,14-120,,,,,,
team,201811180sdg,den,Third Down Conv.,3-10,,,,,,
team,201811180sdg,sdg,Third Down Conv.,9-15,,,,,,
team,201811180sdg,den,Fourth Down Conv.,1-2,,,,,,
team,201811180sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201811180sdg,den,Time of Possession,22:11,,,,,,
team,201811180sdg,sdg,Time of Possession,37:49,,,,,,
player,201811180sdg,den,KeenCa00,pass_cmp,19,,,,,
player,201811180sdg,den,KeenCa00,pass_att,32,,,,,
player,201811180sdg,den,KeenCa00,pass_yds,205,,,,,
player,201811180sdg,den,KeenCa00,pass_td,0,,,,,
player,201811180sdg,den,KeenCa00,pass_int,0,,,,,
player,201811180sdg,den,KeenCa00,pass_sacked,0,,,,,
player,201811180sdg,den,KeenCa00,pass_sacked_yds,0,,,,,
player,201811180sdg,den,KeenCa00,pass_long,39,,,,,
player,201811180sdg,den,KeenCa00,pass_rating,78.3,,,,,
player,201811180sdg,den,KeenCa00,rush_att,0,,,,,
player,201811180sdg,den,KeenCa00,rush_yds,0,,,,,
player,201811180sdg,den,KeenCa00,rush_td,0,,,,,
player,201811180sdg,den,KeenCa00,rush_long,0,,,,,
player,201811180sdg,den,KeenCa00,targets,0,,,,,
player,201811180sdg,den,KeenCa00,rec,0,,,,,
player,201811180sdg,den,KeenCa00,rec_yds,0,,,,,
player,201811180sdg,den,KeenCa00,rec_td,0,,,,,
player,201811180sdg,den,KeenCa00,rec_long,0,,,,,
player,201811180sdg,den,KeenCa00,fumbles,0,,,,,
player,201811180sdg,den,KeenCa00,fumbles_lost,0,,,,,
player,201811180sdg,den,WadmCo00,pass_cmp,1,,,,,
player,201811180sdg,den,WadmCo00,pass_att,1,,,,,
player,201811180sdg,den,WadmCo00,pass_yds,12,,,,,
