game,2018,13,20181202,201812020nwe,min,"Minnesota Vikings",10,nwe,"New England Patriots",24
team,201812020nwe,min,First Downs,16,,,,,,
team,201812020nwe,nwe,First Downs,27,,,,,,
team,201812020nwe,min,Rush-Yds-TDs,13-95-0,,,,,,
team,201812020nwe,nwe,Rush-Yds-TDs,39-160-2,,,,,,
team,201812020nwe,min,Cmp-Att-Yd-TD-INT,32-44-201-1-2,,,,,,
team,201812020nwe,nwe,Cmp-Att-Yd-TD-INT,24-32-311-1-1,,,,,,
team,201812020nwe,min,Sacked-Yards,2-18,,,,,,
team,201812020nwe,nwe,Sacked-Yards,0-0,,,,,,
team,201812020nwe,min,Net Pass Yards,183,,,,,,
team,201812020nwe,nwe,Net Pass Yards,311,,,,,,
team,201812020nwe,min,Total Yards,278,,,,,,
team,201812020nwe,nwe,Total Yards,471,,,,,,
team,201812020nwe,min,Fumbles-Lost,0-0,,,,,,
team,201812020nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201812020nwe,min,Turnovers,2,,,,,,
team,201812020nwe,nwe,Turnovers,1,,,,,,
team,201812020nwe,min,Penalties-Yards,5-55,,,,,,
team,201812020nwe,nwe,Penalties-Yards,7-60,,,,,,
team,201812020nwe,min,Third Down Conv.,3-12,,,,,,
team,201812020nwe,nwe,Third Down Conv.,7-14,,,,,,
team,201812020nwe,min,Fourth Down Conv.,1-2,,,,,,
team,201812020nwe,nwe,Fourth Down Conv.,1-1,,,,,,
team,201812020nwe,min,Time of Possession,26:39,,,,,,
team,201812020nwe,nwe,Time of Possession,33:21,,,,,,
player,201812020nwe,min,CousKi00,pass_cmp,32,,,,,
player,201812020nwe,min,CousKi00,pass_att,44,,,,,
player,201812020nwe,min,CousKi00,pass_yds,201,,,,,
player,201812020nwe,min,CousKi00,pass_td,1,,,,,
player,201812020nwe,min,CousKi00,pass_int,2,,,,,
player,201812020nwe,min,CousKi00,pass_sacked,2,,,,,
player,201812020nwe,min,CousKi00,pass_sacked_yds,18,,,,,
player,201812020nwe,min,CousKi00,pass_long,24,,,,,
player,201812020nwe,min,CousKi00,pass_rating,70.4,,,,,
player,201812020nwe,min,CousKi00,rush_att,0,,,,,
player,201812020nwe,min,CousKi00,rush_yds,0,,,,,
player,201812020nwe,min,CousKi00,rush_td,0,,,,,
player,201812020nwe,min,CousKi00,rush_long,0,,,,,
player,201812020nwe,min,CousKi00,targets,0,,,,,
player,201812020nwe,min,CousKi00,rec,0,,,,,
player,201812020nwe,min,CousKi00,rec_yds,0,,,,,
player,201812020nwe,min,CousKi00,rec_td,0,,,,,
player,201812020nwe,min,CousKi00,rec_long,0,,,,,
player,201812020nwe,min,CousKi00,fumbles,0,,,,,
player,201812020nwe,min,CousKi00,fumbles_lost,0,,,,,
player,201812020nwe,min,CookDa01,pass_cmp,0,,,,,
player,201812020nwe,min,CookDa01,pass_att,0,,,,,
player,201812020nwe,min,CookDa01,pass_yds,0,,,,,
player,201812020nwe,min,CookDa01,pass_td,0,,,,,
player,201812020nwe,min,CookDa01,pass_int,0,,,,,
player,201812020nwe,min,CookDa01,pass_sacked,0,,,,,
player,201812020nwe,min,CookDa01,pass_sacked_yds,0,,,,,
player,201812020nwe,min,CookDa01,pass_long,0,,,,,
player,201812020nwe,min,CookDa01,pass_rating,,,,,,
player,201812020nwe,min,CookDa01,rush_att,9,,,,,
player,201812020nwe,min,CookDa01,rush_yds,84,,,,,
player,201812020nwe,min,CookDa01,rush_td,0,,,,,
player,201812020nwe,min,CookDa01,rush_long,32,,,,,
player,201812020nwe,min,CookDa01,targets,10,,,,,
player,201812020nwe,min,CookDa01,rec,8,,,,,
player,201812020nwe,min,CookDa01,rec_yds,22,,,,,
player,201812020nwe,min,CookDa01,rec_td,0,,,,,
player,201812020nwe,min,CookDa01,rec_long,5,,,,,
player,201812020nwe,min,CookDa01,fumbles,0,,,,,
player,201812020nwe,min,CookDa01,fumbles_lost,0,,,,,
player,201812020nwe,min,MurrLa00,pass_cmp,0,,,,,
player,201812020nwe,min,MurrLa00,pass_att,0,,,,,
player,201812020nwe,min,MurrLa00,pass_yds,0,,,,,
player,201812020nwe,min,MurrLa00,pass_td,0,,,,,
player,201812020nwe,min,MurrLa00,pass_int,0,,,,,
player,201812020nwe,min,MurrLa00,pass_sacked,0,,,,,
player,201812020nwe,min,MurrLa00,pass_sacked_yds,0,,,,,
player,201812020nwe,min,MurrLa00,pass_long,0,,,,,
player,201812020nwe,min,MurrLa00,pass_rating,,,,,,
player,201812020nwe,min,MurrLa00,rush_att,4,,,,,
player,201812020nwe,min,MurrLa00,rush_yds,11,,,,,
