game,2018,7,20181021,201810210rav,nor,"New Orleans Saints",24,rav,"Baltimore Ravens",23
team,201810210rav,nor,First Downs,26,,,,,,
team,201810210rav,rav,First Downs,25,,,,,,
team,201810210rav,nor,Rush-Yds-TDs,39-134-1,,,,,,
team,201810210rav,rav,Rush-Yds-TDs,23-77-1,,,,,,
team,201810210rav,nor,Cmp-Att-Yd-TD-INT,22-30-212-2-0,,,,,,
team,201810210rav,rav,Cmp-Att-Yd-TD-INT,24-40-284-2-0,,,,,,
team,201810210rav,nor,Sacked-Yards,1-7,,,,,,
team,201810210rav,rav,Sacked-Yards,1-10,,,,,,
team,201810210rav,nor,Net Pass Yards,205,,,,,,
team,201810210rav,rav,Net Pass Yards,274,,,,,,
team,201810210rav,nor,Total Yards,339,,,,,,
team,201810210rav,rav,Total Yards,351,,,,,,
team,201810210rav,nor,Fumbles-Lost,2-1,,,,,,
team,201810210rav,rav,Fumbles-Lost,0-0,,,,,,
team,201810210rav,nor,Turnovers,1,,,,,,
team,201810210rav,rav,Turnovers,0,,,,,,
team,201810210rav,nor,Penalties-Yards,6-52,,,,,,
team,201810210rav,rav,Penalties-Yards,5-54,,,,,,
team,201810210rav,nor,Third Down Conv.,6-14,,,,,,
team,201810210rav,rav,Third Down Conv.,5-12,,,,,,
team,201810210rav,nor,Fourth Down Conv.,4-5,,,,,,
team,201810210rav,rav,Fourth Down Conv.,1-2,,,,,,
team,201810210rav,nor,Time of Possession,33:31,,,,,,
team,201810210rav,rav,Time of Possession,26:29,,,,,,
player,201810210rav,nor,BreeDr00,pass_cmp,22,,,,,
player,201810210rav,nor,BreeDr00,pass_att,30,,,,,
player,201810210rav,nor,BreeDr00,pass_yds,212,,,,,
player,201810210rav,nor,BreeDr00,pass_td,2,,,,,
player,201810210rav,nor,BreeDr00,pass_int,0,,,,,
player,201810210rav,nor,BreeDr00,pass_sacked,1,,,,,
player,201810210rav,nor,BreeDr00,pass_sacked_yds,7,,,,,
player,201810210rav,nor,BreeDr00,pass_long,32,,,,,
player,201810210rav,nor,BreeDr00,pass_rating,114.9,,,,,
player,201810210rav,nor,BreeDr00,rush_att,4,,,,,
player,201810210rav,nor,BreeDr00,rush_yds,3,,,,,
