game,2018,6,20181014,201810140was,car,"Carolina Panthers",17,was,"Washington Redskins",23
player,201810140was,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201810140was,car,OlseGr00,pass_long,0,,,,,
player,201810140was,car,OlseGr00,pass_rating,,,,,,
player,201810140was,car,OlseGr00,rush_att,0,,,,,
player,201810140was,car,OlseGr00,rush_yds,0,,,,,
player,201810140was,car,OlseGr00,rush_td,0,,,,,
player,201810140was,car,OlseGr00,rush_long,0,,,,,
player,201810140was,car,OlseGr00,targets,7,,,,,
player,201810140was,car,OlseGr00,rec,4,,,,,
player,201810140was,car,OlseGr00,rec_yds,48,,,,,
player,201810140was,car,OlseGr00,rec_td,0,,,,,
player,201810140was,car,OlseGr00,rec_long,18,,,,,
player,201810140was,car,OlseGr00,fumbles,0,,,,,
player,201810140was,car,OlseGr00,fumbles_lost,0,,,,,
player,201810140was,car,SmitTo02,pass_cmp,0,,,,,
player,201810140was,car,SmitTo02,pass_att,0,,,,,
player,201810140was,car,SmitTo02,pass_yds,0,,,,,
player,201810140was,car,SmitTo02,pass_td,0,,,,,
player,201810140was,car,SmitTo02,pass_int,0,,,,,
player,201810140was,car,SmitTo02,pass_sacked,0,,,,,
player,201810140was,car,SmitTo02,pass_sacked_yds,0,,,,,
player,201810140was,car,SmitTo02,pass_long,0,,,,,
player,201810140was,car,SmitTo02,pass_rating,,,,,,
player,201810140was,car,SmitTo02,rush_att,0,,,,,
player,201810140was,car,SmitTo02,rush_yds,0,,,,,
player,201810140was,car,SmitTo02,rush_td,0,,,,,
player,201810140was,car,SmitTo02,rush_long,0,,,,,
player,201810140was,car,SmitTo02,targets,5,,,,,
player,201810140was,car,SmitTo02,rec,5,,,,,
player,201810140was,car,SmitTo02,rec_yds,43,,,,,
player,201810140was,car,SmitTo02,rec_td,1,,,,,
player,201810140was,car,SmitTo02,rec_long,12,,,,,
player,201810140was,car,SmitTo02,fumbles,0,,,,,
player,201810140was,car,SmitTo02,fumbles_lost,0,,,,,
player,201810140was,car,WrigJa02,pass_cmp,0,,,,,
player,201810140was,car,WrigJa02,pass_att,0,,,,,
player,201810140was,car,WrigJa02,pass_yds,0,,,,,
player,201810140was,car,WrigJa02,pass_td,0,,,,,
player,201810140was,car,WrigJa02,pass_int,0,,,,,
player,201810140was,car,WrigJa02,pass_sacked,0,,,,,
player,201810140was,car,WrigJa02,pass_sacked_yds,0,,,,,
player,201810140was,car,WrigJa02,pass_long,0,,,,,
player,201810140was,car,WrigJa02,pass_rating,,,,,,
player,201810140was,car,WrigJa02,rush_att,0,,,,,
player,201810140was,car,WrigJa02,rush_yds,0,,,,,
player,201810140was,car,WrigJa02,rush_td,0,,,,,
player,201810140was,car,WrigJa02,rush_long,0,,,,,
player,201810140was,car,WrigJa02,targets,2,,,,,
player,201810140was,car,WrigJa02,rec,1,,,,,
player,201810140was,car,WrigJa02,rec_yds,3,,,,,
player,201810140was,car,WrigJa02,rec_td,0,,,,,
player,201810140was,car,WrigJa02,rec_long,3,,,,,
player,201810140was,car,WrigJa02,fumbles,0,,,,,
player,201810140was,car,WrigJa02,fumbles_lost,0,,,,,
player,201810140was,car,ManhCh00,pass_cmp,0,,,,,
player,201810140was,car,ManhCh00,pass_att,0,,,,,
player,201810140was,car,ManhCh00,pass_yds,0,,,,,
player,201810140was,car,ManhCh00,pass_td,0,,,,,
player,201810140was,car,ManhCh00,pass_int,0,,,,,
player,201810140was,car,ManhCh00,pass_sacked,0,,,,,
player,201810140was,car,ManhCh00,pass_sacked_yds,0,,,,,
player,201810140was,car,ManhCh00,pass_long,0,,,,,
player,201810140was,car,ManhCh00,pass_rating,,,,,,
player,201810140was,car,ManhCh00,rush_att,0,,,,,
player,201810140was,car,ManhCh00,rush_yds,0,,,,,
player,201810140was,car,ManhCh00,rush_td,0,,,,,
player,201810140was,car,ManhCh00,rush_long,0,,,,,
player,201810140was,car,ManhCh00,targets,2,,,,,
player,201810140was,car,ManhCh00,rec,1,,,,,
player,201810140was,car,ManhCh00,rec_yds,2,,,,,
player,201810140was,car,ManhCh00,rec_td,0,,,,,
player,201810140was,car,ManhCh00,rec_long,2,,,,,
player,201810140was,car,ManhCh00,fumbles,0,,,,,
player,201810140was,car,ManhCh00,fumbles_lost,0,,,,,
player,201810140was,was,SmitAl03,pass_cmp,21,,,,,
player,201810140was,was,SmitAl03,pass_att,36,,,,,
player,201810140was,was,SmitAl03,pass_yds,163,,,,,
player,201810140was,was,SmitAl03,pass_td,2,,,,,
player,201810140was,was,SmitAl03,pass_int,0,,,,,
player,201810140was,was,SmitAl03,pass_sacked,3,,,,,
player,201810140was,was,SmitAl03,pass_sacked_yds,7,,,,,
player,201810140was,was,SmitAl03,pass_long,22,,,,,
player,201810140was,was,SmitAl03,pass_rating,88.1,,,,,
player,201810140was,was,SmitAl03,rush_att,6,,,,,
player,201810140was,was,SmitAl03,rush_yds,13,,,,,
player,201810140was,was,SmitAl03,rush_td,0,,,,,
player,201810140was,was,SmitAl03,rush_long,5,,,,,
player,201810140was,was,SmitAl03,targets,0,,,,,
player,201810140was,was,SmitAl03,rec,0,,,,,
player,201810140was,was,SmitAl03,rec_yds,0,,,,,
player,201810140was,was,SmitAl03,rec_td,0,,,,,
player,201810140was,was,SmitAl03,rec_long,0,,,,,
player,201810140was,was,SmitAl03,fumbles,1,,,,,
player,201810140was,was,SmitAl03,fumbles_lost,0,,,,,
player,201810140was,was,PeteAd01,pass_cmp,0,,,,,
player,201810140was,was,PeteAd01,pass_att,0,,,,,
player,201810140was,was,PeteAd01,pass_yds,0,,,,,
player,201810140was,was,PeteAd01,pass_td,0,,,,,
player,201810140was,was,PeteAd01,pass_int,0,,,,,
player,201810140was,was,PeteAd01,pass_sacked,0,,,,,
player,201810140was,was,PeteAd01,pass_sacked_yds,0,,,,,
player,201810140was,was,PeteAd01,pass_long,0,,,,,
player,201810140was,was,PeteAd01,pass_rating,,,,,,
player,201810140was,was,PeteAd01,rush_att,17,,,,,
player,201810140was,was,PeteAd01,rush_yds,97,,,,,
player,201810140was,was,PeteAd01,rush_td,0,,,,,
player,201810140was,was,PeteAd01,rush_long,19,,,,,
player,201810140was,was,PeteAd01,targets,1,,,,,
player,201810140was,was,PeteAd01,rec,0,,,,,
player,201810140was,was,PeteAd01,rec_yds,0,,,,,
player,201810140was,was,PeteAd01,rec_td,0,,,,,
player,201810140was,was,PeteAd01,rec_long,0,,,,,
player,201810140was,was,PeteAd01,fumbles,0,,,,,
player,201810140was,was,PeteAd01,fumbles_lost,0,,,,,
player,201810140was,was,BibbKa00,pass_cmp,0,,,,,
player,201810140was,was,BibbKa00,pass_att,0,,,,,
player,201810140was,was,BibbKa00,pass_yds,0,,,,,
player,201810140was,was,BibbKa00,pass_td,0,,,,,
player,201810140was,was,BibbKa00,pass_int,0,,,,,
player,201810140was,was,BibbKa00,pass_sacked,0,,,,,
player,201810140was,was,BibbKa00,pass_sacked_yds,0,,,,,
player,201810140was,was,BibbKa00,pass_long,0,,,,,
player,201810140was,was,BibbKa00,pass_rating,,,,,,
player,201810140was,was,BibbKa00,rush_att,2,,,,,
player,201810140was,was,BibbKa00,rush_yds,11,,,,,
player,201810140was,was,BibbKa00,rush_td,0,,,,,
player,201810140was,was,BibbKa00,rush_long,8,,,,,
player,201810140was,was,BibbKa00,targets,2,,,,,
player,201810140was,was,BibbKa00,rec,1,,,,,
player,201810140was,was,BibbKa00,rec_yds,6,,,,,
player,201810140was,was,BibbKa00,rec_td,0,,,,,
player,201810140was,was,BibbKa00,rec_long,6,,,,,
player,201810140was,was,BibbKa00,fumbles,0,,,,,
player,201810140was,was,BibbKa00,fumbles_lost,0,,,,,
player,201810140was,was,HarrMa05,pass_cmp,0,,,,,
player,201810140was,was,HarrMa05,pass_att,0,,,,,
player,201810140was,was,HarrMa05,pass_yds,0,,,,,
player,201810140was,was,HarrMa05,pass_td,0,,,,,
player,201810140was,was,HarrMa05,pass_int,0,,,,,
player,201810140was,was,HarrMa05,pass_sacked,0,,,,,
player,201810140was,was,HarrMa05,pass_sacked_yds,0,,,,,
player,201810140was,was,HarrMa05,pass_long,0,,,,,
player,201810140was,was,HarrMa05,pass_rating,,,,,,
player,201810140was,was,HarrMa05,rush_att,1,,,,,
player,201810140was,was,HarrMa05,rush_yds,6,,,,,
player,201810140was,was,HarrMa05,rush_td,0,,,,,
player,201810140was,was,HarrMa05,rush_long,6,,,,,
player,201810140was,was,HarrMa05,targets,4,,,,,
player,201810140was,was,HarrMa05,rec,3,,,,,
player,201810140was,was,HarrMa05,rec_yds,13,,,,,
player,201810140was,was,HarrMa05,rec_td,0,,,,,
player,201810140was,was,HarrMa05,rec_long,13,,,,,
player,201810140was,was,HarrMa05,fumbles,0,,,,,
player,201810140was,was,HarrMa05,fumbles_lost,0,,,,,
player,201810140was,was,PeriSa00,pass_cmp,0,,,,,
player,201810140was,was,PeriSa00,pass_att,0,,,,,
player,201810140was,was,PeriSa00,pass_yds,0,,,,,
player,201810140was,was,PeriSa00,pass_td,0,,,,,
player,201810140was,was,PeriSa00,pass_int,0,,,,,
player,201810140was,was,PeriSa00,pass_sacked,0,,,,,
player,201810140was,was,PeriSa00,pass_sacked_yds,0,,,,,
player,201810140was,was,PeriSa00,pass_long,0,,,,,
player,201810140was,was,PeriSa00,pass_rating,,,,,,
player,201810140was,was,PeriSa00,rush_att,1,,,,,
player,201810140was,was,PeriSa00,rush_yds,3,,,,,
player,201810140was,was,PeriSa00,rush_td,0,,,,,
player,201810140was,was,PeriSa00,rush_long,3,,,,,
player,201810140was,was,PeriSa00,targets,1,,,,,
player,201810140was,was,PeriSa00,rec,1,,,,,
