game,2018,6,20181011,201810110nyg,phi,"Philadelphia Eagles",34,nyg,"New York Giants",13
team,201810110nyg,phi,First Downs,23,,,,,,
team,201810110nyg,nyg,First Downs,17,,,,,,
team,201810110nyg,phi,Rush-Yds-TDs,31-108-1,,,,,,
team,201810110nyg,nyg,Rush-Yds-TDs,17-147-1,,,,,,
team,201810110nyg,phi,Cmp-Att-Yd-TD-INT,26-36-278-3-0,,,,,,
team,201810110nyg,nyg,Cmp-Att-Yd-TD-INT,24-43-281-0-1,,,,,,
team,201810110nyg,phi,Sacked-Yards,1-7,,,,,,
team,201810110nyg,nyg,Sacked-Yards,4-27,,,,,,
team,201810110nyg,phi,Net Pass Yards,271,,,,,,
team,201810110nyg,nyg,Net Pass Yards,254,,,,,,
team,201810110nyg,phi,Total Yards,379,,,,,,
team,201810110nyg,nyg,Total Yards,401,,,,,,
team,201810110nyg,phi,Fumbles-Lost,3-0,,,,,,
team,201810110nyg,nyg,Fumbles-Lost,2-0,,,,,,
team,201810110nyg,phi,Turnovers,0,,,,,,
team,201810110nyg,nyg,Turnovers,1,,,,,,
team,201810110nyg,phi,Penalties-Yards,4-25,,,,,,
team,201810110nyg,nyg,Penalties-Yards,5-61,,,,,,
team,201810110nyg,phi,Third Down Conv.,9-16,,,,,,
team,201810110nyg,nyg,Third Down Conv.,4-14,,,,,,
team,201810110nyg,phi,Fourth Down Conv.,0-0,,,,,,
team,201810110nyg,nyg,Fourth Down Conv.,0-1,,,,,,
team,201810110nyg,phi,Time of Possession,32:30,,,,,,
team,201810110nyg,nyg,Time of Possession,27:30,,,,,,
player,201810110nyg,phi,WentCa00,pass_cmp,26,,,,,
player,201810110nyg,phi,WentCa00,pass_att,36,,,,,
player,201810110nyg,phi,WentCa00,pass_yds,278,,,,,
player,201810110nyg,phi,WentCa00,pass_td,3,,,,,
player,201810110nyg,phi,WentCa00,pass_int,0,,,,,
player,201810110nyg,phi,WentCa00,pass_sacked,1,,,,,
player,201810110nyg,phi,WentCa00,pass_sacked_yds,7,,,,,
player,201810110nyg,phi,WentCa00,pass_long,58,,,,,
player,201810110nyg,phi,WentCa00,pass_rating,122.2,,,,,
player,201810110nyg,phi,WentCa00,rush_att,2,,,,,
player,201810110nyg,phi,WentCa00,rush_yds,14,,,,,
player,201810110nyg,phi,WentCa00,rush_td,0,,,,,
player,201810110nyg,phi,WentCa00,rush_long,9,,,,,
player,201810110nyg,phi,WentCa00,targets,0,,,,,
player,201810110nyg,phi,WentCa00,rec,0,,,,,
player,201810110nyg,phi,WentCa00,rec_yds,0,,,,,
player,201810110nyg,phi,WentCa00,rec_td,0,,,,,
player,201810110nyg,phi,WentCa00,rec_long,0,,,,,
player,201810110nyg,phi,WentCa00,fumbles,1,,,,,
player,201810110nyg,phi,WentCa00,fumbles_lost,0,,,,,
player,201810110nyg,phi,SmalWe00,pass_cmp,0,,,,,
player,201810110nyg,phi,SmalWe00,pass_att,0,,,,,
player,201810110nyg,phi,SmalWe00,pass_yds,0,,,,,
player,201810110nyg,phi,SmalWe00,pass_td,0,,,,,
player,201810110nyg,phi,SmalWe00,pass_int,0,,,,,
player,201810110nyg,phi,SmalWe00,pass_sacked,0,,,,,
player,201810110nyg,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201810110nyg,phi,SmalWe00,pass_long,0,,,,,
player,201810110nyg,phi,SmalWe00,pass_rating,,,,,,
player,201810110nyg,phi,SmalWe00,rush_att,18,,,,,
