game,2018,12,20181125,201811250car,sea,"Seattle Seahawks",30,car,"Carolina Panthers",27
player,201811250car,car,NewtCa00,pass_air_yds_per_cmp,3.8,,,,,
player,201811250car,car,NewtCa00,pass_air_yds_per_att,3.1,,,,,
player,201811250car,car,NewtCa00,pass_tgt_yds_per_att,4.8,,,,,
player,201811250car,car,NewtCa00,pass_yac,162,,,,,
player,201811250car,car,NewtCa00,pass_yac_per_cmp,6.5,,,,,
player,201811250car,car,NewtCa00,pass_drops,1,,,,,
player,201811250car,car,NewtCa00,pass_drop_pct,3.3,,,,,
player,201811250car,car,NewtCa00,pass_poor_throws,1,,,,,
player,201811250car,car,NewtCa00,pass_poor_throw_pct,3.3,,,,,
player,201811250car,car,NewtCa00,pass_blitzed,7,,,,,
player,201811250car,car,NewtCa00,pass_hurried,1,,,,,
player,201811250car,car,NewtCa00,pass_hits,0,,,,,
player,201811250car,car,NewtCa00,rush_scrambles,1,,,,,
player,201811250car,car,NewtCa00,rush_scrambles_yds_per_att,26.0,,,,,
player,201811250car,sea,CarsCh00,rush_att,16,,,,,
player,201811250car,sea,CarsCh00,rush_yds,55,,,,,
player,201811250car,sea,CarsCh00,rush_first_down,6,,,,,
player,201811250car,sea,CarsCh00,rush_yds_before_contact,5,,,,,
player,201811250car,sea,CarsCh00,rush_yds_bc_per_rush,0.3,,,,,
player,201811250car,sea,CarsCh00,rush_yac,50,,,,,
player,201811250car,sea,CarsCh00,rush_yac_per_rush,3.1,,,,,
player,201811250car,sea,CarsCh00,rush_broken_tackles,2,,,,,
player,201811250car,sea,CarsCh00,rush_broken_tackles_per_rush,8.0,,,,,
player,201811250car,sea,DaviMi01,rush_att,4,,,,,
player,201811250car,sea,DaviMi01,rush_yds,14,,,,,
player,201811250car,sea,DaviMi01,rush_first_down,,,,,,
player,201811250car,sea,DaviMi01,rush_yds_before_contact,8,,,,,
player,201811250car,sea,DaviMi01,rush_yds_bc_per_rush,2.0,,,,,
player,201811250car,sea,DaviMi01,rush_yac,6,,,,,
player,201811250car,sea,DaviMi01,rush_yac_per_rush,1.5,,,,,
player,201811250car,sea,DaviMi01,rush_broken_tackles,0,,,,,
player,201811250car,sea,DaviMi01,rush_broken_tackles_per_rush,,,,,,
player,201811250car,sea,PennRa00,rush_att,4,,,,,
player,201811250car,sea,PennRa00,rush_yds,4,,,,,
player,201811250car,sea,PennRa00,rush_first_down,,,,,,
player,201811250car,sea,PennRa00,rush_yds_before_contact,2,,,,,
player,201811250car,sea,PennRa00,rush_yds_bc_per_rush,0.5,,,,,
player,201811250car,sea,PennRa00,rush_yac,2,,,,,
player,201811250car,sea,PennRa00,rush_yac_per_rush,0.5,,,,,
player,201811250car,sea,PennRa00,rush_broken_tackles,0,,,,,
player,201811250car,sea,PennRa00,rush_broken_tackles_per_rush,,,,,,
player,201811250car,sea,WilsRu00,rush_att,3,,,,,
player,201811250car,sea,WilsRu00,rush_yds,4,,,,,
player,201811250car,sea,WilsRu00,rush_first_down,1,,,,,
player,201811250car,sea,WilsRu00,rush_yds_before_contact,4,,,,,
player,201811250car,sea,WilsRu00,rush_yds_bc_per_rush,1.3,,,,,
player,201811250car,sea,WilsRu00,rush_yac,0,,,,,
player,201811250car,sea,WilsRu00,rush_yac_per_rush,0.0,,,,,
player,201811250car,sea,WilsRu00,rush_broken_tackles,0,,,,,
player,201811250car,sea,WilsRu00,rush_broken_tackles_per_rush,,,,,,
player,201811250car,sea,LockTy00,rush_att,1,,,,,
player,201811250car,sea,LockTy00,rush_yds,-2,,,,,
player,201811250car,sea,LockTy00,rush_first_down,0,,,,,
