game,2018,15,20181216,201812160rav,tam,"Tampa Bay Buccaneers",12,rav,"Baltimore Ravens",20
team,201812160rav,tam,First Downs,12,,,,,,
team,201812160rav,rav,First Downs,24,,,,,,
team,201812160rav,tam,Rush-Yds-TDs,21-85-1,,,,,,
team,201812160rav,rav,Rush-Yds-TDs,49-242-1,,,,,,
team,201812160rav,tam,Cmp-Att-Yd-TD-INT,13-25-157-0-1,,,,,,
team,201812160rav,rav,Cmp-Att-Yd-TD-INT,14-23-131-1-0,,,,,,
team,201812160rav,tam,Sacked-Yards,1-1,,,,,,
team,201812160rav,rav,Sacked-Yards,2-3,,,,,,
team,201812160rav,tam,Net Pass Yards,156,,,,,,
team,201812160rav,rav,Net Pass Yards,128,,,,,,
team,201812160rav,tam,Total Yards,241,,,,,,
team,201812160rav,rav,Total Yards,370,,,,,,
team,201812160rav,tam,Fumbles-Lost,0-0,,,,,,
team,201812160rav,rav,Fumbles-Lost,2-2,,,,,,
team,201812160rav,tam,Turnovers,1,,,,,,
team,201812160rav,rav,Turnovers,2,,,,,,
team,201812160rav,tam,Penalties-Yards,6-58,,,,,,
team,201812160rav,rav,Penalties-Yards,8-70,,,,,,
team,201812160rav,tam,Third Down Conv.,3-10,,,,,,
team,201812160rav,rav,Third Down Conv.,9-16,,,,,,
team,201812160rav,tam,Fourth Down Conv.,0-1,,,,,,
team,201812160rav,rav,Fourth Down Conv.,1-1,,,,,,
team,201812160rav,tam,Time of Possession,22:50,,,,,,
team,201812160rav,rav,Time of Possession,37:10,,,,,,
player,201812160rav,tam,WinsJa00,pass_cmp,13,,,,,
player,201812160rav,tam,WinsJa00,pass_att,25,,,,,
player,201812160rav,tam,WinsJa00,pass_yds,157,,,,,
player,201812160rav,tam,WinsJa00,pass_td,0,,,,,
player,201812160rav,tam,WinsJa00,pass_int,1,,,,,
player,201812160rav,tam,WinsJa00,pass_sacked,1,,,,,
player,201812160rav,tam,WinsJa00,pass_sacked_yds,1,,,,,
player,201812160rav,tam,WinsJa00,pass_long,64,,,,,
player,201812160rav,tam,WinsJa00,pass_rating,54.9,,,,,
player,201812160rav,tam,WinsJa00,rush_att,2,,,,,
player,201812160rav,tam,WinsJa00,rush_yds,0,,,,,
player,201812160rav,tam,WinsJa00,rush_td,0,,,,,
player,201812160rav,tam,WinsJa00,rush_long,1,,,,,
player,201812160rav,tam,WinsJa00,targets,0,,,,,
player,201812160rav,tam,WinsJa00,rec,0,,,,,
player,201812160rav,tam,WinsJa00,rec_yds,0,,,,,
player,201812160rav,tam,WinsJa00,rec_td,0,,,,,
player,201812160rav,tam,WinsJa00,rec_long,0,,,,,
player,201812160rav,tam,WinsJa00,fumbles,0,,,,,
player,201812160rav,tam,WinsJa00,fumbles_lost,0,,,,,
player,201812160rav,tam,BarbPe01,pass_cmp,0,,,,,
player,201812160rav,tam,BarbPe01,pass_att,0,,,,,
player,201812160rav,tam,BarbPe01,pass_yds,0,,,,,
player,201812160rav,tam,BarbPe01,pass_td,0,,,,,
player,201812160rav,tam,BarbPe01,pass_int,0,,,,,
player,201812160rav,tam,BarbPe01,pass_sacked,0,,,,,
player,201812160rav,tam,BarbPe01,pass_sacked_yds,0,,,,,
player,201812160rav,tam,BarbPe01,pass_long,0,,,,,
player,201812160rav,tam,BarbPe01,pass_rating,,,,,,
player,201812160rav,tam,BarbPe01,rush_att,19,,,,,
player,201812160rav,tam,BarbPe01,rush_yds,85,,,,,
player,201812160rav,tam,BarbPe01,rush_td,1,,,,,
player,201812160rav,tam,BarbPe01,rush_long,15,,,,,
player,201812160rav,tam,BarbPe01,targets,2,,,,,
player,201812160rav,tam,BarbPe01,rec,2,,,,,
player,201812160rav,tam,BarbPe01,rec_yds,4,,,,,
player,201812160rav,tam,BarbPe01,rec_td,0,,,,,
player,201812160rav,tam,BarbPe01,rec_long,3,,,,,
player,201812160rav,tam,BarbPe01,fumbles,0,,,,,
player,201812160rav,tam,BarbPe01,fumbles_lost,0,,,,,
player,201812160rav,tam,EvanMi00,pass_cmp,0,,,,,
player,201812160rav,tam,EvanMi00,pass_att,0,,,,,
player,201812160rav,tam,EvanMi00,pass_yds,0,,,,,
player,201812160rav,tam,EvanMi00,pass_td,0,,,,,
player,201812160rav,tam,EvanMi00,pass_int,0,,,,,
player,201812160rav,tam,EvanMi00,pass_sacked,0,,,,,
player,201812160rav,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201812160rav,tam,EvanMi00,pass_long,0,,,,,
player,201812160rav,tam,EvanMi00,pass_rating,,,,,,
player,201812160rav,tam,EvanMi00,rush_att,0,,,,,
player,201812160rav,tam,EvanMi00,rush_yds,0,,,,,
player,201812160rav,tam,EvanMi00,rush_td,0,,,,,
player,201812160rav,tam,EvanMi00,rush_long,0,,,,,
player,201812160rav,tam,EvanMi00,targets,9,,,,,
player,201812160rav,tam,EvanMi00,rec,4,,,,,
player,201812160rav,tam,EvanMi00,rec_yds,121,,,,,
player,201812160rav,tam,EvanMi00,rec_td,0,,,,,
player,201812160rav,tam,EvanMi00,rec_long,64,,,,,
player,201812160rav,tam,EvanMi00,fumbles,0,,,,,
player,201812160rav,tam,EvanMi00,fumbles_lost,0,,,,,
player,201812160rav,tam,HumpAd00,pass_cmp,0,,,,,
player,201812160rav,tam,HumpAd00,pass_att,0,,,,,
player,201812160rav,tam,HumpAd00,pass_yds,0,,,,,
player,201812160rav,tam,HumpAd00,pass_td,0,,,,,
player,201812160rav,tam,HumpAd00,pass_int,0,,,,,
player,201812160rav,tam,HumpAd00,pass_sacked,0,,,,,
player,201812160rav,tam,HumpAd00,pass_sacked_yds,0,,,,,
player,201812160rav,tam,HumpAd00,pass_long,0,,,,,
player,201812160rav,tam,HumpAd00,pass_rating,,,,,,
player,201812160rav,tam,HumpAd00,rush_att,0,,,,,
player,201812160rav,tam,HumpAd00,rush_yds,0,,,,,
player,201812160rav,tam,HumpAd00,rush_td,0,,,,,
player,201812160rav,tam,HumpAd00,rush_long,0,,,,,
player,201812160rav,tam,HumpAd00,targets,6,,,,,
player,201812160rav,tam,HumpAd00,rec,4,,,,,
player,201812160rav,tam,HumpAd00,rec_yds,23,,,,,
player,201812160rav,tam,HumpAd00,rec_td,0,,,,,
player,201812160rav,tam,HumpAd00,rec_long,8,,,,,
player,201812160rav,tam,HumpAd00,fumbles,0,,,,,
player,201812160rav,tam,HumpAd00,fumbles_lost,0,,,,,
player,201812160rav,tam,BratCa00,pass_cmp,0,,,,,
player,201812160rav,tam,BratCa00,pass_att,0,,,,,
player,201812160rav,tam,BratCa00,pass_yds,0,,,,,
player,201812160rav,tam,BratCa00,pass_td,0,,,,,
player,201812160rav,tam,BratCa00,pass_int,0,,,,,
player,201812160rav,tam,BratCa00,pass_sacked,0,,,,,
player,201812160rav,tam,BratCa00,pass_sacked_yds,0,,,,,
player,201812160rav,tam,BratCa00,pass_long,0,,,,,
player,201812160rav,tam,BratCa00,pass_rating,,,,,,
player,201812160rav,tam,BratCa00,rush_att,0,,,,,
player,201812160rav,tam,BratCa00,rush_yds,0,,,,,
player,201812160rav,tam,BratCa00,rush_td,0,,,,,
player,201812160rav,tam,BratCa00,rush_long,0,,,,,
player,201812160rav,tam,BratCa00,targets,2,,,,,
player,201812160rav,tam,BratCa00,rec,1,,,,,
player,201812160rav,tam,BratCa00,rec_yds,9,,,,,
player,201812160rav,tam,BratCa00,rec_td,0,,,,,
player,201812160rav,tam,BratCa00,rec_long,9,,,,,
player,201812160rav,tam,BratCa00,fumbles,0,,,,,
player,201812160rav,tam,BratCa00,fumbles_lost,0,,,,,
player,201812160rav,tam,RodgJa00,pass_cmp,0,,,,,
player,201812160rav,tam,RodgJa00,pass_att,0,,,,,
player,201812160rav,tam,RodgJa00,pass_yds,0,,,,,
player,201812160rav,tam,RodgJa00,pass_td,0,,,,,
