game,2018,14,20181209,201812090dal,phi,"Philadelphia Eagles",23,dal,"Dallas Cowboys",29
team,201812090dal,phi,First Downs,16,,,,,,
team,201812090dal,dal,First Downs,32,,,,,,
team,201812090dal,phi,Rush-Yds-TDs,14-34-0,,,,,,
team,201812090dal,dal,Rush-Yds-TDs,36-142-0,,,,,,
team,201812090dal,phi,Cmp-Att-Yd-TD-INT,22-32-228-3-0,,,,,,
team,201812090dal,dal,Cmp-Att-Yd-TD-INT,42-54-455-3-2,,,,,,
team,201812090dal,phi,Sacked-Yards,2-6,,,,,,
team,201812090dal,dal,Sacked-Yards,3-21,,,,,,
team,201812090dal,phi,Net Pass Yards,222,,,,,,
team,201812090dal,dal,Net Pass Yards,434,,,,,,
team,201812090dal,phi,Total Yards,256,,,,,,
team,201812090dal,dal,Total Yards,576,,,,,,
team,201812090dal,phi,Fumbles-Lost,1-1,,,,,,
team,201812090dal,dal,Fumbles-Lost,2-1,,,,,,
team,201812090dal,phi,Turnovers,1,,,,,,
team,201812090dal,dal,Turnovers,3,,,,,,
team,201812090dal,phi,Penalties-Yards,5-49,,,,,,
team,201812090dal,dal,Penalties-Yards,11-110,,,,,,
team,201812090dal,phi,Third Down Conv.,1-9,,,,,,
team,201812090dal,dal,Third Down Conv.,9-18,,,,,,
team,201812090dal,phi,Fourth Down Conv.,1-1,,,,,,
team,201812090dal,dal,Fourth Down Conv.,1-1,,,,,,
team,201812090dal,phi,Time of Possession,22:32,,,,,,
team,201812090dal,dal,Time of Possession,45:33,,,,,,
player,201812090dal,phi,WentCa00,pass_cmp,22,,,,,
player,201812090dal,phi,WentCa00,pass_att,32,,,,,
player,201812090dal,phi,WentCa00,pass_yds,228,,,,,
player,201812090dal,phi,WentCa00,pass_td,3,,,,,
player,201812090dal,phi,WentCa00,pass_int,0,,,,,
player,201812090dal,phi,WentCa00,pass_sacked,2,,,,,
player,201812090dal,phi,WentCa00,pass_sacked_yds,6,,,,,
player,201812090dal,phi,WentCa00,pass_long,42,,,,,
player,201812090dal,phi,WentCa00,pass_rating,120.3,,,,,
player,201812090dal,phi,WentCa00,rush_att,4,,,,,
player,201812090dal,phi,WentCa00,rush_yds,-3,,,,,
player,201812090dal,phi,WentCa00,rush_td,0,,,,,
player,201812090dal,phi,WentCa00,rush_long,1,,,,,
player,201812090dal,phi,WentCa00,targets,0,,,,,
player,201812090dal,phi,WentCa00,rec,0,,,,,
player,201812090dal,phi,WentCa00,rec_yds,0,,,,,
player,201812090dal,phi,WentCa00,rec_td,0,,,,,
player,201812090dal,phi,WentCa00,rec_long,0,,,,,
player,201812090dal,phi,WentCa00,fumbles,1,,,,,
player,201812090dal,phi,WentCa00,fumbles_lost,1,,,,,
player,201812090dal,phi,AdamJo03,pass_cmp,0,,,,,
player,201812090dal,phi,AdamJo03,pass_att,0,,,,,
player,201812090dal,phi,AdamJo03,pass_yds,0,,,,,
player,201812090dal,phi,AdamJo03,pass_td,0,,,,,
player,201812090dal,phi,AdamJo03,pass_int,0,,,,,
player,201812090dal,phi,AdamJo03,pass_sacked,0,,,,,
player,201812090dal,phi,AdamJo03,pass_sacked_yds,0,,,,,
player,201812090dal,phi,AdamJo03,pass_long,0,,,,,
player,201812090dal,phi,AdamJo03,pass_rating,,,,,,
player,201812090dal,phi,AdamJo03,rush_att,7,,,,,
player,201812090dal,phi,AdamJo03,rush_yds,36,,,,,
player,201812090dal,phi,AdamJo03,rush_td,0,,,,,
player,201812090dal,phi,AdamJo03,rush_long,24,,,,,
player,201812090dal,phi,AdamJo03,targets,0,,,,,
player,201812090dal,phi,AdamJo03,rec,0,,,,,
player,201812090dal,phi,AdamJo03,rec_yds,0,,,,,
player,201812090dal,phi,AdamJo03,rec_td,0,,,,,
player,201812090dal,phi,AdamJo03,rec_long,0,,,,,
player,201812090dal,phi,AdamJo03,fumbles,0,,,,,
player,201812090dal,phi,AdamJo03,fumbles_lost,0,,,,,
player,201812090dal,phi,SmalWe00,pass_cmp,0,,,,,
player,201812090dal,phi,SmalWe00,pass_att,0,,,,,
player,201812090dal,phi,SmalWe00,pass_yds,0,,,,,
player,201812090dal,phi,SmalWe00,pass_td,0,,,,,
player,201812090dal,phi,SmalWe00,pass_int,0,,,,,
player,201812090dal,phi,SmalWe00,pass_sacked,0,,,,,
player,201812090dal,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201812090dal,phi,SmalWe00,pass_long,0,,,,,
player,201812090dal,phi,SmalWe00,pass_rating,,,,,,
player,201812090dal,phi,SmalWe00,rush_att,1,,,,,
player,201812090dal,phi,SmalWe00,rush_yds,3,,,,,
player,201812090dal,phi,SmalWe00,rush_td,0,,,,,
player,201812090dal,phi,SmalWe00,rush_long,3,,,,,
player,201812090dal,phi,SmalWe00,targets,0,,,,,
player,201812090dal,phi,SmalWe00,rec,0,,,,,
player,201812090dal,phi,SmalWe00,rec_yds,0,,,,,
player,201812090dal,phi,SmalWe00,rec_td,0,,,,,
player,201812090dal,phi,SmalWe00,rec_long,0,,,,,
player,201812090dal,phi,SmalWe00,fumbles,0,,,,,
player,201812090dal,phi,SmalWe00,fumbles_lost,0,,,,,
player,201812090dal,phi,SproDa00,pass_cmp,0,,,,,
player,201812090dal,phi,SproDa00,pass_att,0,,,,,
player,201812090dal,phi,SproDa00,pass_yds,0,,,,,
player,201812090dal,phi,SproDa00,pass_td,0,,,,,
player,201812090dal,phi,SproDa00,pass_int,0,,,,,
player,201812090dal,phi,SproDa00,pass_sacked,0,,,,,
player,201812090dal,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201812090dal,phi,SproDa00,pass_long,0,,,,,
player,201812090dal,phi,SproDa00,pass_rating,,,,,,
player,201812090dal,phi,SproDa00,rush_att,1,,,,,
player,201812090dal,phi,SproDa00,rush_yds,2,,,,,
player,201812090dal,phi,SproDa00,rush_td,0,,,,,
player,201812090dal,phi,SproDa00,rush_long,2,,,,,
player,201812090dal,phi,SproDa00,targets,3,,,,,
player,201812090dal,phi,SproDa00,rec,3,,,,,
player,201812090dal,phi,SproDa00,rec_yds,34,,,,,
player,201812090dal,phi,SproDa00,rec_td,1,,,,,
player,201812090dal,phi,SproDa00,rec_long,25,,,,,
player,201812090dal,phi,SproDa00,fumbles,0,,,,,
player,201812090dal,phi,SproDa00,fumbles_lost,0,,,,,
player,201812090dal,phi,JeffAl00,pass_cmp,0,,,,,
player,201812090dal,phi,JeffAl00,pass_att,0,,,,,
player,201812090dal,phi,JeffAl00,pass_yds,0,,,,,
player,201812090dal,phi,JeffAl00,pass_td,0,,,,,
player,201812090dal,phi,JeffAl00,pass_int,0,,,,,
player,201812090dal,phi,JeffAl00,pass_sacked,0,,,,,
player,201812090dal,phi,JeffAl00,pass_sacked_yds,0,,,,,
player,201812090dal,phi,JeffAl00,pass_long,0,,,,,
player,201812090dal,phi,JeffAl00,pass_rating,,,,,,
player,201812090dal,phi,JeffAl00,rush_att,0,,,,,
player,201812090dal,phi,JeffAl00,rush_yds,0,,,,,
player,201812090dal,phi,JeffAl00,rush_td,0,,,,,
player,201812090dal,phi,JeffAl00,rush_long,0,,,,,
player,201812090dal,phi,JeffAl00,targets,9,,,,,
player,201812090dal,phi,JeffAl00,rec,6,,,,,
player,201812090dal,phi,JeffAl00,rec_yds,50,,,,,
player,201812090dal,phi,JeffAl00,rec_td,1,,,,,
player,201812090dal,phi,JeffAl00,rec_long,12,,,,,
player,201812090dal,phi,JeffAl00,fumbles,0,,,,,
player,201812090dal,phi,JeffAl00,fumbles_lost,0,,,,,
player,201812090dal,phi,AghoNe00,pass_cmp,0,,,,,
player,201812090dal,phi,AghoNe00,pass_att,0,,,,,
player,201812090dal,phi,AghoNe00,pass_yds,0,,,,,
player,201812090dal,phi,AghoNe00,pass_td,0,,,,,
player,201812090dal,phi,AghoNe00,pass_int,0,,,,,
player,201812090dal,phi,AghoNe00,pass_sacked,0,,,,,
player,201812090dal,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201812090dal,phi,AghoNe00,pass_long,0,,,,,
player,201812090dal,phi,AghoNe00,pass_rating,,,,,,
player,201812090dal,phi,AghoNe00,rush_att,0,,,,,
player,201812090dal,phi,AghoNe00,rush_yds,0,,,,,
player,201812090dal,phi,AghoNe00,rush_td,0,,,,,
player,201812090dal,phi,AghoNe00,rush_long,0,,,,,
player,201812090dal,phi,AghoNe00,targets,3,,,,,
player,201812090dal,phi,AghoNe00,rec,2,,,,,
player,201812090dal,phi,AghoNe00,rec_yds,49,,,,,
player,201812090dal,phi,AghoNe00,rec_td,0,,,,,
player,201812090dal,phi,AghoNe00,rec_long,42,,,,,
player,201812090dal,phi,AghoNe00,fumbles,0,,,,,
