game,2018,1,20180909,201809090crd,was,"Washington Redskins",24,crd,"Arizona Cardinals",6
team,201809090crd,was,First Downs,30,,,,,,
team,201809090crd,crd,First Downs,14,,,,,,
team,201809090crd,was,Rush-Yds-TDs,42-182-1,,,,,,
team,201809090crd,crd,Rush-Yds-TDs,15-68-1,,,,,,
team,201809090crd,was,Cmp-Att-Yd-TD-INT,21-30-255-2-0,,,,,,
team,201809090crd,crd,Cmp-Att-Yd-TD-INT,20-34-153-0-1,,,,,,
team,201809090crd,was,Sacked-Yards,3-8,,,,,,
team,201809090crd,crd,Sacked-Yards,2-8,,,,,,
team,201809090crd,was,Net Pass Yards,247,,,,,,
team,201809090crd,crd,Net Pass Yards,145,,,,,,
team,201809090crd,was,Total Yards,429,,,,,,
team,201809090crd,crd,Total Yards,213,,,,,,
team,201809090crd,was,Fumbles-Lost,3-1,,,,,,
team,201809090crd,crd,Fumbles-Lost,1-1,,,,,,
team,201809090crd,was,Turnovers,1,,,,,,
team,201809090crd,crd,Turnovers,2,,,,,,
team,201809090crd,was,Penalties-Yards,9-63,,,,,,
team,201809090crd,crd,Penalties-Yards,9-67,,,,,,
team,201809090crd,was,Third Down Conv.,6-13,,,,,,
team,201809090crd,crd,Third Down Conv.,1-8,,,,,,
team,201809090crd,was,Fourth Down Conv.,1-1,,,,,,
team,201809090crd,crd,Fourth Down Conv.,0-1,,,,,,
team,201809090crd,was,Time of Possession,38:08,,,,,,
team,201809090crd,crd,Time of Possession,21:52,,,,,,
player,201809090crd,was,SmitAl03,pass_cmp,21,,,,,
player,201809090crd,was,SmitAl03,pass_att,30,,,,,
player,201809090crd,was,SmitAl03,pass_yds,255,,,,,
player,201809090crd,was,SmitAl03,pass_td,2,,,,,
player,201809090crd,was,SmitAl03,pass_int,0,,,,,
player,201809090crd,was,SmitAl03,pass_sacked,3,,,,,
player,201809090crd,was,SmitAl03,pass_sacked_yds,8,,,,,
player,201809090crd,was,SmitAl03,pass_long,52,,,,,
player,201809090crd,was,SmitAl03,pass_rating,118.1,,,,,
player,201809090crd,was,SmitAl03,rush_att,8,,,,,
player,201809090crd,was,SmitAl03,rush_yds,14,,,,,
player,201809090crd,was,SmitAl03,rush_td,0,,,,,
player,201809090crd,was,SmitAl03,rush_long,7,,,,,
player,201809090crd,was,SmitAl03,targets,0,,,,,
player,201809090crd,was,SmitAl03,rec,0,,,,,
player,201809090crd,was,SmitAl03,rec_yds,0,,,,,
player,201809090crd,was,SmitAl03,rec_td,0,,,,,
player,201809090crd,was,SmitAl03,rec_long,0,,,,,
player,201809090crd,was,SmitAl03,fumbles,2,,,,,
player,201809090crd,was,SmitAl03,fumbles_lost,0,,,,,
player,201809090crd,was,PeteAd01,pass_cmp,0,,,,,
player,201809090crd,was,PeteAd01,pass_att,0,,,,,
player,201809090crd,was,PeteAd01,pass_yds,0,,,,,
player,201809090crd,was,PeteAd01,pass_td,0,,,,,
player,201809090crd,was,PeteAd01,pass_int,0,,,,,
player,201809090crd,was,PeteAd01,pass_sacked,0,,,,,
player,201809090crd,was,PeteAd01,pass_sacked_yds,0,,,,,
player,201809090crd,was,PeteAd01,pass_long,0,,,,,
player,201809090crd,was,PeteAd01,pass_rating,,,,,,
player,201809090crd,was,PeteAd01,rush_att,26,,,,,
player,201809090crd,was,PeteAd01,rush_yds,96,,,,,
player,201809090crd,was,PeteAd01,rush_td,1,,,,,
player,201809090crd,was,PeteAd01,rush_long,17,,,,,
player,201809090crd,was,PeteAd01,targets,3,,,,,
player,201809090crd,was,PeteAd01,rec,2,,,,,
player,201809090crd,was,PeteAd01,rec_yds,70,,,,,
player,201809090crd,was,PeteAd01,rec_td,0,,,,,
player,201809090crd,was,PeteAd01,rec_long,52,,,,,
player,201809090crd,was,PeteAd01,fumbles,1,,,,,
player,201809090crd,was,PeteAd01,fumbles_lost,1,,,,,
player,201809090crd,was,ThomCh03,pass_cmp,0,,,,,
player,201809090crd,was,ThomCh03,pass_att,0,,,,,
player,201809090crd,was,ThomCh03,pass_yds,0,,,,,
player,201809090crd,was,ThomCh03,pass_td,0,,,,,
player,201809090crd,was,ThomCh03,pass_int,0,,,,,
player,201809090crd,was,ThomCh03,pass_sacked,0,,,,,
player,201809090crd,was,ThomCh03,pass_sacked_yds,0,,,,,
player,201809090crd,was,ThomCh03,pass_long,0,,,,,
player,201809090crd,was,ThomCh03,pass_rating,,,,,,
player,201809090crd,was,ThomCh03,rush_att,5,,,,,
player,201809090crd,was,ThomCh03,rush_yds,65,,,,,
player,201809090crd,was,ThomCh03,rush_td,0,,,,,
player,201809090crd,was,ThomCh03,rush_long,16,,,,,
player,201809090crd,was,ThomCh03,targets,7,,,,,
player,201809090crd,was,ThomCh03,rec,6,,,,,
player,201809090crd,was,ThomCh03,rec_yds,63,,,,,
player,201809090crd,was,ThomCh03,rec_td,1,,,,,
player,201809090crd,was,ThomCh03,rec_long,23,,,,,
player,201809090crd,was,ThomCh03,fumbles,0,,,,,
player,201809090crd,was,ThomCh03,fumbles_lost,0,,,,,
player,201809090crd,was,KellRo00,pass_cmp,0,,,,,
player,201809090crd,was,KellRo00,pass_att,0,,,,,
player,201809090crd,was,KellRo00,pass_yds,0,,,,,
player,201809090crd,was,KellRo00,pass_td,0,,,,,
player,201809090crd,was,KellRo00,pass_int,0,,,,,
player,201809090crd,was,KellRo00,pass_sacked,0,,,,,
player,201809090crd,was,KellRo00,pass_sacked_yds,0,,,,,
player,201809090crd,was,KellRo00,pass_long,0,,,,,
player,201809090crd,was,KellRo00,pass_rating,,,,,,
player,201809090crd,was,KellRo00,rush_att,3,,,,,
player,201809090crd,was,KellRo00,rush_yds,7,,,,,
player,201809090crd,was,KellRo00,rush_td,0,,,,,
player,201809090crd,was,KellRo00,rush_long,6,,,,,
player,201809090crd,was,KellRo00,targets,0,,,,,
player,201809090crd,was,KellRo00,rec,0,,,,,
player,201809090crd,was,KellRo00,rec_yds,0,,,,,
player,201809090crd,was,KellRo00,rec_td,0,,,,,
